time/fps,time/total_timesteps,rollout/ep_rew_mean,time/time_elapsed,time/iterations,rollout/ep_len_mean,train/clip_fraction,train/entropy_loss,train/clip_range,train/n_updates,train/loss,train/learning_rate,train/value_loss,train/approx_kl,train/policy_gradient_loss,train/explained_variance
731,102400,-32.940874320000006,139,50,711.17,0.109130859375,-0.890133892558515,0.2,490,26.067163467407227,0.0003,102.60199792832137,0.01301579,-0.003632309155727853,0.4893041253089905
723,104448,-30.401808269999997,144,51,727.53,0.010986328125,-0.8564057320356369,0.2,500,2.69223952293396,0.0003,77.70049947984516,0.0029374307,-0.0012921815359732136,0.34194135665893555
720,106496,-28.460645189999994,147,52,735.46,0.104931640625,-0.9422770589590073,0.2,510,0.7685670256614685,0.0003,38.46044690702111,0.029045355,-0.007069748912181239,0.5993163585662842
716,108544,-22.441806989999996,151,53,751.42,0.054931640625,-0.896789331920445,0.2,520,4.564273834228516,0.0003,62.37777010574937,0.0076320237,-0.001985152244742494,0.6977531909942627
714,110592,-23.230252009999994,154,54,756.3,0.044384765625,-0.7436518859118223,0.2,530,3.6495983600616455,0.0003,62.28819729089737,0.0036912197,-0.0020439070904103573,0.6333011090755463
713,112640,-18.438347219999997,157,55,769.83,0.027734375,-0.8253619434311986,0.2,540,37.30595016479492,0.0003,49.77417976390571,0.0025490946,-0.0008134535732096992,0.5800622701644897
710,114688,-19.760783500000002,161,56,782.75,0.1435546875,-0.9783065801486373,0.2,550,3.8244779109954834,0.0003,40.886555339954796,0.0091778785,-0.004703284399874974,0.7796042561531067
708,116736,-15.102264430000002,164,57,803.79,0.071337890625,-0.8168209452182055,0.2,560,115.10324096679688,0.0003,81.25186210051179,0.0061835055,-0.0021193605949520133,0.6011040806770325
709,118784,-11.171516130000002,167,58,815.6,0.027880859375,-0.840922917984426,0.2,570,2.1801438331604004,0.0003,82.74602672159672,0.0036827098,-0.0014579771952412557,0.4108206033706665
706,120832,-8.13257561,171,59,820.8,0.0474609375,-0.9052387977018952,0.2,580,6.451261520385742,0.0003,55.728406658396125,0.0058234464,-0.0020091230446269035,0.6875172555446625
699,122880,-6.568892610000001,175,60,837.34,0.02666015625,-0.7351547561585903,0.2,590,89.26061248779297,0.0003,156.57302321493626,0.00375692,-0.002925583123942488,0.5647301971912384
