time/iterations,rollout/ep_len_mean,rollout/ep_rew_mean,time/total_timesteps,time/fps,time/time_elapsed,train/policy_gradient_loss,train/loss,train/n_updates,train/clip_range,train/approx_kl,train/explained_variance,train/clip_fraction,train/entropy_loss,train/value_loss,train/learning_rate
16,200.52,-126.75493538999997,32768,1224,26,-0.003532956582785118,548.9974365234375,150,0.2,0.003736938,0.00017881393432617188,0.00595703125,-1.1691105011850595,346.6667516350746,0.0003
17,218.14,-124.39962096999997,34816,1214,28,-0.00483775856118882,187.43177795410156,160,0.2,0.006756573,0.0017317533493041992,0.044482421875,-1.1536228846758605,250.42929725646974,0.0003
18,229.11,-121.55553890000002,36864,1207,30,-0.005980981056927704,47.10615539550781,170,0.2,0.009868715,0.1085425615310669,0.052734375,-1.0615079961717129,318.5269673347473,0.0003
19,242.29,-121.36872374999999,38912,1161,33,-0.002354777661821572,110.08382415771484,180,0.2,0.0030072378,0.12714117765426636,0.001025390625,-1.0342072965577245,435.8982151031494,0.0003
20,260.7,-116.05230574,40960,1109,36,-0.0053088108616066165,30.911563873291016,190,0.2,0.008591967,0.49150216579437256,0.068505859375,-1.1710853762924671,125.82471665143967,0.0003
21,269.35,-112.78462190999998,43008,1110,38,-0.006430519734567497,92.72044372558594,200,0.2,0.008226281,0.43628740310668945,0.05556640625,-1.2009835328906775,139.13070915937425,0.0003
22,281.97,-110.7219623,45056,1090,41,-0.00629518342029769,55.636192321777344,210,0.2,0.007262923,0.20112532377243042,0.0275390625,-0.9921147037297487,362.2477686882019,0.0003
23,293.75,-107.51351094000002,47104,1074,43,-0.005504231090890243,104.0711669921875,220,0.2,0.0037302412,0.21426230669021606,0.008056640625,-1.098190724104643,308.6873329639435,0.0003
24,305.08,-104.71724358,49152,1053,46,-0.0072191482802736575,94.27656555175781,230,0.2,0.009083616,0.3554225564002991,0.05361328125,-1.07878430634737,177.70023132562636,0.0003
25,316.07,-104.21771212,51200,1033,49,-0.002224654940800974,115.09768676757812,240,0.2,0.0028993832,0.27741479873657227,0.00634765625,-1.061350833810866,284.1439831733704,0.0003
26,321.41,-103.28122245,53248,1014,52,-0.006342555684386753,57.939109802246094,250,0.2,0.004490444,0.505974143743515,0.0423828125,-1.0395216010510921,143.3834517478943,0.0003
27,334.08,-99.44393365000002,55296,977,56,-0.00658889226760948,59.07036590576172,260,0.2,0.0057260823,0.5088776648044586,0.059423828125,-1.0571038952097296,192.86855446100236,0.0003
28,354.51,-96.99197536000003,57344,968,59,-0.005299206372728804,23.75290298461914,270,0.2,0.008567896,0.7420707941055298,0.076904296875,-1.157693111523986,73.06778615117074,0.0003
29,365.27,-95.92517034000001,59392,948,62,-0.0032532312769035345,68.29537200927734,280,0.2,0.0069325594,0.5773126482963562,0.04619140625,-1.0448293523862957,150.48155518770218,0.0003
30,386.1,-97.10622149999999,61440,940,65,-0.008022967408760451,23.864604949951172,290,0.2,0.00860046,0.6459313333034515,0.081787109375,-1.048296121135354,88.30401486754417,0.0003
31,402.31,-93.36177896000002,63488,909,69,-0.010445493721636012,63.17295455932617,300,0.2,0.013943747,0.3811197876930237,0.152294921875,-1.0638243991881609,85.70455451011658,0.0003
32,418.36,-89.91833059000001,65536,891,73,-0.004265235651837429,19.477802276611328,310,0.2,0.0053549176,0.574656218290329,0.030078125,-1.0102703031152487,73.3125078201294,0.0003
33,431.99,-89.29290236000001,67584,880,76,-0.007856856362195686,22.12701988220215,320,0.2,0.011514783,0.6517533361911774,0.1009765625,-1.1064565494656562,78.61249778568745,0.0003
