time/time_elapsed,rollout/ep_rew_mean,time/fps,rollout/ep_len_mean,time/iterations,time/total_timesteps,train/n_updates,train/clip_range,train/entropy_loss,train/loss,train/learning_rate,train/clip_fraction,train/approx_kl,train/policy_gradient_loss,train/explained_variance,train/value_loss
311,11.380629760000001,796,496.03,121,247808,1200,0.2,-0.8360031072050333,6.448473930358887,0.0003,0.047412109375,0.002107447,-0.00019461925548966975,0.8347803503274918,53.58249384388328
313,11.33337008,796,494.14,122,249856,1210,0.2,-0.8710050819441676,1.8807913064956665,0.0003,0.10810546875,0.0052286834,-0.002073138189734891,0.8412712812423706,64.97672720998526
316,15.66283313,795,497.18,123,251904,1220,0.2,-0.7492902448400856,212.4332275390625,0.0003,0.088671875,0.007350744,-0.004396597535014734,0.6848513782024384,161.43186058402063
1,-483.733777,1024,549.0,1,2048,1230,0.2,-0.7890367263928055,5.067883014678955,0.0003,0.07529296875,0.006332124,-0.003831276590062771,0.8301567733287811,79.01811472773552
4,-402.50287171428573,868,540.1428571428571,2,4096,1240,0.2,-0.8701416254043579,35.3823356628418,0.0003,0.089697265625,0.010149604,-0.002576206846424611,0.8302203565835953,114.03203182816506
7,-439.03820054545463,816,532.2727272727273,3,6144,1250,0.2,-0.7601651649922132,35.06178283691406,0.0003,0.053173828125,0.00506772,-0.0034118884374038315,0.7092933654785156,172.36225821971894
9,-402.1225281764706,828,477.5882352941176,4,8192,1260,0.2,-0.8035682698711752,19.285911560058594,0.0003,0.07080078125,0.0047667064,-0.0021452254834002813,0.8249232620000839,133.9959187477827
12,-401.99028645000004,792,506.15,5,10240,1270,0.2,-0.7336019007489085,26.02425193786621,0.0003,0.031201171875,0.0052451803,-0.0034989977400982754,0.7027826905250549,189.8837458074093
15,-419.6376280833333,782,495.1666666666667,6,12288,1280,0.2,-0.6907244015485048,153.0508270263672,0.0003,0.04609375,0.0038361803,-0.002266648885415634,0.7810507565736771,98.58455662727356
17,-384.394725137931,797,474.6551724137931,7,14336,1290,0.2,-0.811363822594285,13.66888427734375,0.0003,0.160693359375,0.010180416,-0.0025761944089026656,0.8727584779262543,58.840080603957176
