time/fps,rollout/ep_len_mean,time/iterations,time/total_timesteps,time/time_elapsed,rollout/ep_rew_mean,train/loss,train/policy_gradient_loss,train/approx_kl,train/value_loss,train/clip_fraction,train/explained_variance,train/entropy_loss,train/n_updates,train/clip_range,train/learning_rate
797,732.67,76,155648,195,-19.54156317,5.623656749725342,-0.0021623045367960003,0.008593905,129.20871414244175,0.08076171875,0.5899492800235748,-0.699765388481319,750,0.2,0.0003
793,740.14,77,157696,198,-17.19280508,27.213924407958984,-0.004254120294353925,0.0033981786,139.90311060845852,0.017431640625,0.6442934572696686,-0.8727739967405796,760,0.2,0.0003
792,736.19,78,159744,201,-17.02585714,9.655491828918457,-0.00341936274926411,0.007509699,66.11484252810479,0.065869140625,0.7900500446557999,-0.8700022220611572,770,0.2,0.0003
791,735.83,79,161792,204,-11.822921599999999,29.147869110107422,-0.005956089898245409,0.0057532927,96.78847509920597,0.050244140625,0.7089234590530396,-0.9092959064990283,780,0.2,0.0003
792,727.66,80,163840,206,-12.551513400000003,8.111662864685059,-0.0030661418888485057,0.004856973,110.83570048213005,0.05546875,0.450985848903656,-0.7785062123090029,790,0.2,0.0003
792,723.63,81,165888,209,-11.537995639999998,80.87422943115234,-0.0027918221727304625,0.0034616366,181.03262505829335,0.025146484375,0.5800887048244476,-0.8498775420710445,800,0.2,0.0003
790,724.35,82,167936,212,-8.84054961,589.2283935546875,-0.002585157442081254,0.003954146,73.43869117349386,0.0578125,0.5200663208961487,-0.674456731416285,810,0.2,0.0003
789,719.18,83,169984,215,-7.7962178600000005,30.10340690612793,-0.004090283953701146,0.009062271,90.20089767575264,0.06328125,0.5713284313678741,-0.781228519231081,820,0.2,0.0003
789,710.35,84,172032,218,-5.61136561,259.21246337890625,-0.002033662392932456,0.00882313,70.9863119289279,0.0953125,0.41976916790008545,-0.756776126101613,830,0.2,0.0003
790,692.68,85,174080,220,-6.3755013,377.3409118652344,-0.0015797143896634225,0.0045091785,195.9881197065115,0.027001953125,0.4289858341217041,-0.8515835136175156,840,0.2,0.0003
791,681.9,86,176128,222,-6.28283926,42.9695930480957,-0.0018847443130653118,0.0034513748,185.1328976392746,0.0251953125,0.568060427904129,-0.8279091089963913,850,0.2,0.0003
792,669.38,87,178176,224,-7.147671840000002,151.00515747070312,-0.004594916420683148,0.005985748,108.97386468350888,0.05546875,0.6039610207080841,-0.8013376832008362,860,0.2,0.0003
792,666.74,88,180224,227,-2.297927590000001,43.89208984375,-0.002804637206281768,0.003024003,213.25753867030144,0.032470703125,0.5875040590763092,-0.785696991160512,870,0.2,0.0003
792,656.16,89,182272,229,-1.4019357,51.5200080871582,-0.002470883939531632,0.003876887,90.95851823985576,0.053857421875,0.5394822359085083,-0.7817538913339377,880,0.2,0.0003
793,648.94,90,184320,232,-0.09186251000000155,7.471170425415039,-0.0037990273711329793,0.0073621795,68.0863682821393,0.09052734375,0.7607232630252838,-0.7648130288347602,890,0.2,0.0003
792,650.32,91,186368,235,4.959938229999999,58.541961669921875,-0.0013683516110177152,0.004975605,99.1261219918728,0.039111328125,0.6419046521186829,-0.7849168349057436,900,0.2,0.0003
793,629.19,92,188416,237,10.959763740000001,18.54749298095703,4.5868358211009766e-05,0.0049192943,73.04291575849057,0.0369140625,0.6797918379306793,-0.8312280049547554,910,0.2,0.0003
794,622.56,93,190464,239,11.713139120000001,17.071321487426758,-0.002361049589671893,0.0065490548,123.54345888197422,0.053076171875,0.6970812380313873,-0.6957854786887765,920,0.2,0.0003
