time/total_timesteps,rollout/ep_rew_mean,time/fps,rollout/ep_len_mean,time/time_elapsed,time/iterations,train/learning_rate,train/policy_gradient_loss,train/explained_variance,train/n_updates,train/entropy_loss,train/value_loss,train/clip_fraction,train/loss,train/approx_kl,train/clip_range
112640,-62.36446675,741,680.09,151,55,0.0003,-0.0035694329868420026,0.7284307181835175,540,-0.930871368944645,13.586021517962218,0.083251953125,2.013079881668091,0.0056804568,0.2
114688,-59.73607153,736,694.31,155,56,0.0003,-0.004152056560997153,0.742823988199234,550,-0.8715786520391703,21.58281608559191,0.074169921875,1.1961561441421509,0.00671685,0.2
116736,-55.65011967999999,733,709.14,159,57,0.0003,-0.004082642796129221,0.5818268656730652,560,-0.9303036823868751,32.55263623744249,0.086572265625,1.229648470878601,0.008890007,0.2
118784,-53.617287469999994,729,722.2,162,58,0.0003,-0.0025638892955612393,0.7672051936388016,570,-0.8798692870885134,22.244211478531362,0.057568359375,1.5631393194198608,0.0052062008,0.2
120832,-50.971298039999986,727,736.14,166,59,0.0003,0.0004190679101157002,0.5971148908138275,580,-0.8284370137378574,107.51566199809312,0.008154296875,9.924675941467285,0.0032122934,0.2
122880,-44.42908185999999,724,747.94,169,60,0.0003,-0.0037585839909297647,0.569835752248764,590,-0.7662035532295703,53.673697386682036,0.037646484375,111.96427917480469,0.0041330247,0.2
124928,-45.22717635000001,719,752.72,173,61,0.0003,-0.0022391415215679443,0.6056817471981049,600,-0.7448078330606223,88.52654114067555,0.03896484375,3.872061252593994,0.0062941425,0.2
126976,-42.54378833,714,768.14,177,62,0.0003,-0.0024130373989464716,0.8965136185288429,610,-0.8366793857887387,50.19892277643085,0.038671875,4.067274570465088,0.0038613998,0.2
129024,-40.51616466,712,780.84,181,63,0.0003,-0.0005220554288825951,0.7823988348245621,620,-0.8530246531590819,30.096773889660835,0.087646484375,0.7534832954406738,0.0039492026,0.2
131072,-38.784639379999994,709,795.33,184,64,0.0003,-0.0017460249655414373,0.6649335324764252,630,-0.835423406586051,37.909731201082465,0.04853515625,0.7764725089073181,0.006050039,0.2
133120,-35.07470063999999,705,806.42,188,65,0.0003,-0.0019246039941208438,0.6199424266815186,640,-0.8293993446975947,46.304136312007905,0.059716796875,2.0297675132751465,0.0075494973,0.2
135168,-31.564154899999995,702,817.59,192,66,0.0003,-0.0036520658410154282,0.6434615552425385,650,-0.8194664999842644,33.48000955171883,0.071435546875,1.603110909461975,0.0077794455,0.2
137216,-30.155907029999995,700,831.72,196,67,0.0003,-0.0005510396382305771,0.6458051800727844,660,-0.8566278448328376,58.45645081475377,0.0548828125,11.592489242553711,0.01176658,0.2
139264,-28.090537879999992,695,838.17,200,68,0.0003,-0.0016277338174404577,0.4407697916030884,670,-0.8316641664132476,151.58710539713502,0.025439453125,39.05118942260742,0.0026223105,0.2
141312,-26.877339189999997,689,843.27,204,69,0.0003,-0.002390902656770777,0.6893700063228607,680,-0.8538518749177456,33.26244367677718,0.069189453125,2.991105794906616,0.009232757,0.2
143360,-22.431770619999998,688,855.71,208,70,0.0003,-0.0028424093972716944,0.37714606523513794,690,-0.8048602333292365,105.21259433850646,0.0970703125,36.735355377197266,0.008706747,0.2
145408,-24.282286909999996,689,855.88,210,71,0.0003,-0.00730837337905541,0.38219010829925537,700,-0.7492520252242685,167.21367579102517,0.04248046875,68.2962417602539,0.0142688155,0.2
147456,-23.257444859999996,689,860.34,213,72,0.0003,-0.0018650320766028018,0.5622270405292511,710,-0.7842134229838849,113.67123393714428,0.0244140625,12.930317878723145,0.0038644369,0.2
149504,-18.619042290000003,688,869.92,217,73,0.0003,-0.0015521605637331959,0.8464362621307373,720,-0.8158256331458688,60.67206529676914,0.0169921875,183.29672241210938,0.0042579835,0.2
151552,-14.831794180000005,687,885.4,220,74,0.0003,-0.0014892614559357752,0.41564762592315674,730,-0.7801532490178943,147.23493779301643,0.006298828125,14.608747482299805,0.0016275846,0.2
153600,-13.084902300000003,687,886.58,223,75,0.0003,-0.0015625317662852467,0.42776036262512207,740,-0.7919169511646033,114.91578945368528,0.026123046875,123.65219116210938,0.0035763502,0.2
155648,-12.681931789999998,688,888.15,226,76,0.0003,-0.0026466568016985546,0.6407478451728821,750,-0.826990749873221,83.46149025596678,0.032470703125,9.978395462036133,0.0032993779,0.2
157696,-12.318379919999998,687,888.9,229,77,0.0003,-0.003576719036209397,0.7803299725055695,760,-0.7562769606709481,84.01823431104421,0.05078125,25.84170150756836,0.0075936504,0.2
159744,-10.20017171,686,889.46,232,78,0.0003,0.00047607952292310073,0.39739108085632324,770,-0.7522890133783221,57.89977798499167,0.0404296875,7.136072635650635,0.0056329495,0.2
161792,-3.9603681199999996,685,886.52,236,79,0.0003,-0.0010804925208503847,0.4372488260269165,780,-0.7255838399752974,139.3037056595087,0.01748046875,24.32697868347168,0.0019431876,0.2
163840,-3.2550055299999996,685,882.44,238,80,0.0003,-0.0012580246380821335,0.19378793239593506,790,-0.8048044545575976,102.1070089302957,0.048876953125,32.5573844909668,0.0069816806,0.2
165888,0.09394043000000117,684,880.83,242,81,0.0003,-0.0023139146600442474,0.4687209129333496,800,-0.8374760741367936,119.19811009392143,0.051220703125,155.63973999023438,0.0034255502,0.2
167936,-0.5287896799999984,683,878.54,245,82,0.0003,-0.001065206761995796,0.4971073269844055,810,-0.6057743554934859,86.82803592681884,0.020458984375,2.0781662464141846,0.0023627079,0.2
169984,4.320066320000002,683,873.47,248,83,0.0003,-0.0005410006153397263,0.5785512626171112,820,-0.7492440510541201,60.54375987872481,0.047900390625,6.851118087768555,0.008126892,0.2
172032,8.69360889,682,875.09,252,84,0.0003,-0.0030331660549563822,0.30243033170700073,830,-0.8137536965310573,147.05881344079972,0.043408203125,156.4398651123047,0.0064705433,0.2
174080,12.89615321,680,880.94,255,85,0.0003,-0.0021549876822973602,0.38201892375946045,840,-0.8326937610283494,146.34407319128513,0.097119140625,263.8537902832031,0.011676998,0.2
176128,13.354659550000001,680,869.39,258,86,0.0003,-0.0022555968062079046,0.5740210711956024,850,-0.648492451570928,83.13453776538373,0.050634765625,20.617393493652344,0.0046777395,0.2
178176,16.159890090000005,680,854.73,261,87,0.0003,-0.003752272847486893,0.4423365592956543,860,-0.7759315790608525,155.8215241521597,0.06162109375,145.60519409179688,0.0049375896,0.2
180224,15.44119863,679,847.13,265,88,0.0003,-0.0017290638581471285,0.46766775846481323,870,-0.7092984087765217,173.27417265176774,0.07119140625,6.871358394622803,0.0041068923,0.2
182272,16.145650560000004,678,847.13,268,89,0.0003,-0.0035807400185149164,0.47718101739883423,880,-0.7393258508294821,127.92950838059187,0.029443359375,95.21923065185547,0.0048496015,0.2
184320,15.962662970000002,680,839.44,271,90,0.0003,9.941068856278434e-05,0.6206094622612,890,-0.7073318595066667,35.718028699606656,0.12099609375,2.9562273025512695,0.009925354,0.2
186368,16.45837982,680,827.71,273,91,0.0003,-0.0013407100457698106,0.37664854526519775,900,-0.7682975312694907,170.52991288006305,0.017724609375,62.82388687133789,0.0036695288,0.2
188416,18.28000003,680,810.57,276,92,0.0003,-0.003233734652167186,0.5549627542495728,910,-0.7493496311828494,124.69867972582578,0.087451171875,27.33470916748047,0.008136125,0.2
190464,20.8164388,681,801.66,279,93,0.0003,-0.002491877647844376,0.546854168176651,920,-0.7375400543212891,173.89612788259984,0.03388671875,55.60087203979492,0.00662249,0.2
192512,20.661595660000003,682,792.79,282,94,0.0003,-0.005252925340028014,0.2514359951019287,930,-0.6149780696257949,77.83922091275454,0.048095703125,21.940744400024414,0.0062608686,0.2
194560,23.80242408,681,783.41,285,95,0.0003,-0.0004888906834821683,0.4991288185119629,940,-0.7055782057344914,132.65376233905553,0.0392578125,94.37751007080078,0.0021234863,0.2
196608,22.53405277,682,784.01,288,96,0.0003,-0.0014661542438261677,0.39809852838516235,950,-0.7180523570626974,117.69289813041686,0.03095703125,288.0733642578125,0.0037154162,0.2
