time/time_elapsed,time/fps,time/total_timesteps,rollout/ep_rew_mean,time/iterations,rollout/ep_len_mean,train/explained_variance,train/clip_range,train/loss,train/entropy_loss,train/value_loss,train/n_updates,train/approx_kl,train/learning_rate,train/clip_fraction,train/policy_gradient_loss
35,1166,40960,-136.70052449000002,20,199.35,0.1737956404685974,0.2,103.94246673583984,-1.197612975910306,370.00387024879456,190,0.0044816667,0.0003,0.012451171875,-0.0032437159505207093
37,1147,43008,-135.08569660999999,21,202.3,-0.05299508571624756,0.2,256.63861083984375,-1.1633874893188476,497.66081018447875,200,0.0065164044,0.0003,0.027587890625,-0.0029302155453478917
39,1132,45056,-130.54572084,22,214.1,0.12516486644744873,0.2,308.4905090332031,-1.153034633025527,480.6295296669006,210,0.0047533307,0.0003,0.04482421875,-0.006695459860202391
42,1105,47104,-132.49419672000002,23,229.02,0.11545497179031372,0.2,104.68395233154297,-1.114660481736064,289.62627694606783,220,0.013020795,0.0003,0.0650390625,-0.006422361684963107
45,1076,49152,-125.14328045999999,24,241.15,0.18636870384216309,0.2,98.36512756347656,-1.0927103124558926,364.41044182777404,230,0.005010318,0.0003,0.025732421875,-0.005719439391396008
47,1076,51200,-127.80301795999999,25,248.17,0.3057754635810852,0.2,45.230438232421875,-1.1707584537565707,270.562165594101,240,0.0073691783,0.0003,0.04169921875,-0.0059068850852781905
49,1076,53248,-122.87522072,26,249.32,0.27535706758499146,0.2,272.903564453125,-1.065086417645216,552.5412012577057,250,0.006168078,0.0003,0.04658203125,-0.004671054830396315
51,1074,55296,-122.21300655,27,248.9,0.45706504583358765,0.2,211.25015258789062,-1.0491092700511218,561.9024707317352,260,0.005335635,0.0003,0.01376953125,-0.004534888675698312
54,1059,57344,-115.57625735000002,28,259.03,0.48187685012817383,0.2,218.61337280273438,-1.051173458993435,375.24384531974795,270,0.009409463,0.0003,0.07685546875,-0.006555269186355872
57,1027,59392,-115.65771298,29,277.15,0.4188493490219116,0.2,146.89691162109375,-1.0825197584927082,238.96010127067566,280,0.005370171,0.0003,0.015234375,-0.0036203573421516922
59,1026,61440,-113.86476636000002,30,285.55,0.501056045293808,0.2,40.43828582763672,-1.1698992177844048,124.63273756504059,290,0.009498011,0.0003,0.07861328125,-0.006542292948870454
62,1023,63488,-116.48009774,31,294.24,0.4001331329345703,0.2,62.09146499633789,-1.0502598678693176,287.3686890602112,300,0.008564791,0.0003,0.05927734375,-0.00616516732115997
66,990,65536,-110.62736638,32,311.53,0.22604286670684814,0.2,166.9037628173828,-1.0595371536910534,289.11788854599,310,0.0102735795,0.0003,0.13154296875,-0.009204003326885868
69,968,67584,-107.16953589,33,324.4,0.48520582914352417,0.2,18.60315704345703,-1.0923457443714142,120.1238227725029,320,0.007720084,0.0003,0.06083984375,-0.008484787474299083
72,955,69632,-103.01426740000002,34,339.41,0.4115533232688904,0.2,44.065608978271484,-1.076772766187787,171.87649379968644,330,0.006833881,0.0003,0.071435546875,-0.007450359615904745
75,950,71680,-105.07928766999997,35,352.95,0.5668397545814514,0.2,16.64467430114746,-1.0773759547621011,110.01495056152343,340,0.004834241,0.0003,0.045556640625,-0.0055656671203905715
78,944,73728,-101.09905866999999,36,361.26,0.6062187552452087,0.2,100.66163635253906,-1.0845656603574754,141.71605098247528,350,0.009530529,0.0003,0.07216796875,-0.00550372851503198
81,931,75776,-99.34259859,37,378.22,0.5308578312397003,0.2,22.300504684448242,-0.9963578013703227,104.32293345332145,360,0.004783583,0.0003,0.05556640625,-0.007172806013841182
86,903,77824,-96.18777605000001,38,386.55,0.6923137605190277,0.2,15.777135848999023,-1.037051354534924,54.1784200578928,370,0.02175862,0.0003,0.146728515625,-0.008755442663095891
88,898,79872,-96.54894530000001,39,395.03,0.7653709203004837,0.2,8.363743782043457,-1.1130297768861055,50.195508390665054,380,0.008986036,0.0003,0.1251953125,-0.007689335818577092
92,887,81920,-90.69162992,40,406.84,0.5688688158988953,0.2,34.173072814941406,-1.1230531193315982,91.89493927061558,390,0.0077222604,0.0003,0.076513671875,-0.004210810775111895
95,881,83968,-89.36704639999999,41,420.7,0.695061445236206,0.2,38.77507781982422,-1.1275157041847705,80.92947741746903,400,0.009231364,0.0003,0.072509765625,-0.006720230158680352
98,870,86016,-86.92469703,42,437.55,0.5730975270271301,0.2,15.340782165527344,-0.8785853108391166,136.32710100114346,410,0.0047125136,0.0003,0.03330078125,-0.0057813970026472815
101,863,88064,-83.46708757,43,454.02,0.7509568482637405,0.2,5.629388332366943,-1.0729460710659624,42.5493198633194,420,0.008141033,0.0003,0.063623046875,-0.00592257396565401
104,860,90112,-82.66905154,44,471.57,0.7415941655635834,0.2,7.531038761138916,-1.0399025965481996,47.83665447086096,430,0.010821855,0.0003,0.10625,-0.006679898948641494
108,850,92160,-78.78435497999999,45,481.72,0.5147528648376465,0.2,10.083203315734863,-1.0870782274752855,128.96164846718312,440,0.0083175395,0.0003,0.05908203125,-0.004018046172859613
111,844,94208,-78.10083239000001,46,497.94,0.7074441313743591,0.2,65.28561401367188,-1.0499852146953343,92.67827076464891,450,0.004634736,0.0003,0.044775390625,-0.005602956967777573
115,836,96256,-73.51057983999999,47,514.63,0.4927758574485779,0.2,49.86104965209961,-0.9361089017242193,146.31847566366196,460,0.004440257,0.0003,0.03720703125,-0.003424200519657461
117,835,98304,-72.59345022000001,48,516.71,0.5509904325008392,0.2,36.50730514526367,-1.0279291911050676,104.33287249058485,470,0.005951294,0.0003,0.040966796875,-0.004423626044444973
120,830,100352,-65.57284311000001,49,531.15,0.4397667646408081,0.2,84.56306457519531,-0.9165621580556035,168.56342748701573,480,0.0066826837,0.0003,0.03896484375,-0.0032130595755006652
124,824,102400,-67.80826756,50,538.97,0.5747701823711395,0.2,29.13298225402832,-0.9845883481204509,126.99619125425815,490,0.005338587,0.0003,0.035498046875,-0.0030352301480888856
127,820,104448,-65.96398212,51,553.41,0.7998371571302414,0.2,3.7764909267425537,-1.0190799394622445,49.91097820401192,500,0.0067257653,0.0003,0.059521484375,-0.0032472457409312484
131,811,106496,-63.82620509000001,52,568.87,0.5804136097431183,0.2,41.17112350463867,-0.9549932777881622,186.86650246083735,510,0.010413092,0.0003,0.0724609375,-0.004821556304523256
