time/time_elapsed,time/total_timesteps,time/fps,rollout/ep_rew_mean,rollout/ep_len_mean,time/iterations,train/clip_fraction,train/learning_rate,train/n_updates,train/value_loss,train/explained_variance,train/entropy_loss,train/approx_kl,train/clip_range,train/policy_gradient_loss,train/loss
40,47104,1155,-120.44419620000001,245.38,23,0.123974609375,0.0003,220,190.44326909780503,0.345561683177948,-0.9876084081828594,0.014143433,0.2,-0.00901319115437218,58.80454635620117
43,49152,1136,-116.35425337000001,261.37,24,0.142919921875,0.0003,230,146.95959097146988,0.39077985286712646,-0.9801254399120808,0.014467608,0.2,-0.01439623303594999,72.3251953125
46,51200,1102,-115.55679757999998,272.05,25,0.07646484375,0.0003,240,205.9431571483612,0.3367488384246826,-0.9164073949679732,0.008065147,0.2,-0.010558651681640186,243.27688598632812
49,53248,1073,-115.07100890999999,288.63,26,0.096142578125,0.0003,250,92.08645601272583,0.17681151628494263,-0.9553771847859025,0.0073614707,0.2,-0.008289671801321674,26.762187957763672
52,55296,1045,-112.23838152999997,308.43,27,0.10703125,0.0003,260,151.94810436964036,0.22874802350997925,-0.9885578002780676,0.011177148,0.2,-0.006417542893905193,44.36006164550781
56,57344,1022,-108.24984273999999,325.01,28,0.085205078125,0.0003,270,109.14958275556565,0.35432082414627075,-1.0101232063025236,0.008338242,0.2,-0.007138888938789023,12.255814552307129
59,59392,998,-106.00334838999997,342.17,29,0.070849609375,0.0003,280,44.075030982494354,0.5873741209506989,-0.9359375698491931,0.011220139,0.2,-0.007977892554481513,123.51580047607422
63,61440,970,-100.24688420999999,359.09,30,0.07314453125,0.0003,290,49.318739891052246,0.2908339500427246,-0.9227438246831298,0.008270508,0.2,-0.00455939355888404,16.905380249023438
67,63488,935,-100.20479728000001,375.05,31,0.150244140625,0.0003,300,25.32772447168827,0.32013678550720215,-0.9849335458129644,0.012706973,0.2,-0.013437599589815363,11.445770263671875
71,65536,913,-97.33263813000002,391.09,32,0.07470703125,0.0003,310,44.76415068209171,0.5062307417392731,-0.9454796502366662,0.007387853,0.2,-0.005348439019871876,13.595917701721191
75,67584,898,-93.66081095999999,408.85,33,0.079736328125,0.0003,320,29.941748739778994,0.5684892237186432,-0.9958366259932518,0.0068289493,0.2,-0.004901797560160048,8.035038948059082
78,69632,884,-92.06158058,425.87,34,0.079736328125,0.0003,330,23.444930057227612,0.7431740462779999,-0.9773624902591109,0.006818032,0.2,-0.004424027854111045,4.925469875335693
81,71680,875,-87.92081596,443.15,35,0.0533203125,0.0003,340,46.262602023780346,0.48967981338500977,-0.9599548736587167,0.009730427,0.2,-0.00462945275940001,12.189560890197754
85,73728,862,-86.63306208000002,459.94,36,0.086474609375,0.0003,350,27.5642403498292,0.5497989356517792,-0.9628100084140897,0.00861084,0.2,-0.005057306117669214,3.9123947620391846
88,75776,855,-83.42858802999999,475.47,37,0.040380859375,0.0003,360,36.0185164168477,0.70113804936409,-0.9337842460721731,0.0054784324,0.2,-0.004376496415352449,6.9353203773498535
91,77824,847,-80.36485373,492.61,38,0.066943359375,0.0003,370,30.58920910656452,0.8175529539585114,-0.8242029748857022,0.023792397,0.2,-0.0019493423387757502,7.270946502685547
94,79872,844,-78.31884792,515.36,39,0.025146484375,0.0003,380,31.556170156598093,0.6280912458896637,-0.908481913805008,0.0025407858,0.2,-0.0014628888871811795,4.075347423553467
98,81920,833,-76.5967343,531.78,40,0.03759765625,0.0003,390,62.129175041615966,0.6996614038944244,-0.9054577972739934,0.0052948315,0.2,-0.0029143350722733883,4.906311511993408
101,83968,827,-71.29433275999999,548.36,41,0.04326171875,0.0003,400,25.63103469759226,0.7955683916807175,-0.8776830803602934,0.0036465875,0.2,-0.0016475102725962642,2.3388218879699707
104,86016,822,-70.68678691999999,563.1,42,0.1150390625,0.0003,410,19.8137692078948,0.8844968155026436,-0.8725949056446552,0.010495415,0.2,-0.007588101566943806,1.9902976751327515
107,88064,820,-69.53122333999998,579.68,43,0.040966796875,0.0003,420,55.531073389947416,0.6679591238498688,-0.9203294932842254,0.0045283046,0.2,-0.002610423121950589,4.951228141784668
111,90112,810,-63.90486304000001,595.08,44,0.085107421875,0.0003,430,16.51771134734154,0.4262062907218933,-0.8709897547960281,0.008119598,0.2,-0.0006653655582340434,2.830501079559326
113,92160,809,-63.21703677000001,610.88,45,0.14892578125,0.0003,440,22.296645736694337,0.6668865978717804,-0.9253254653885961,0.012650048,0.2,-0.009331286627275403,3.1380245685577393
117,94208,798,-62.639462349999995,628.0,46,0.1009765625,0.0003,450,30.66515746563673,0.7916129976511002,-0.8506922192871571,0.013485769,0.2,-0.005174026045278879,172.14361572265625
121,96256,792,-58.75810530999999,644.13,47,0.06767578125,0.0003,460,21.829035496339202,0.8018162399530411,-0.8741705300286412,0.0058539277,0.2,-0.0038671088484989015,1.5950061082839966
125,98304,784,-55.68808971999999,656.49,48,0.0169921875,0.0003,470,33.32184184268117,0.8214034587144852,-0.8436548994854093,0.0023448602,0.2,-0.0018490601571102161,2.790990114212036
128,100352,779,-53.479363369999994,681.97,49,0.056689453125,0.0003,480,47.847631859779355,0.5465821027755737,-0.9290763232856989,0.010462027,0.2,-0.0025023991605849006,7.1640801429748535
131,102400,779,-52.821526750000004,696.26,50,0.052734375,0.0003,490,41.98141709715128,0.7478107810020447,-0.8851356582716108,0.0052841813,0.2,-0.004188225212419639,1.6047451496124268
135,104448,773,-51.444112020000006,711.51,51,0.07412109375,0.0003,500,76.7459556028247,0.7049594521522522,-0.90408501829952,0.0065197274,0.2,-0.003898356223362498,61.65547561645508
138,106496,768,-48.205044640000004,728.82,52,0.0404296875,0.0003,510,61.37248205915093,0.6823383867740631,-0.8233284214511514,0.0068071806,0.2,-0.0017607762674742844,17.116430282592773
141,108544,767,-46.00019517,745.47,53,0.121142578125,0.0003,520,30.08930047079921,0.7857191413640976,-0.922626619040966,0.00975038,0.2,-0.008750838150444907,2.187627077102661
144,110592,763,-40.393902940000004,760.68,54,0.059716796875,0.0003,530,24.178321577608585,0.8528158217668533,-0.8389799054712057,0.0059531447,0.2,-0.0012744172257953324,2.0122337341308594
148,112640,758,-41.98624629999999,768.94,55,0.04501953125,0.0003,540,80.2863152332604,0.43977630138397217,-0.801979953981936,0.006176659,0.2,-0.0020896263369650113,38.5125846862793
152,114688,752,-37.74933387000001,785.39,56,0.053369140625,0.0003,550,8.49154836460948,0.8945664092898369,-0.8649217739701272,0.007815235,0.2,-0.0006225040255230851,2.552852153778076
155,116736,749,-36.9773367,801.43,57,0.056005859375,0.0003,560,16.77935703881085,0.8066534101963043,-0.8701871810480952,0.0034660664,0.2,-0.001027584708208451,1.1881786584854126
159,118784,746,-33.089924679999996,818.12,58,0.04462890625,0.0003,570,28.66388345658779,0.8513615131378174,-0.8803910613059998,0.006697178,0.2,-0.004319982668675948,2.078280210494995
