time/time_elapsed,time/total_timesteps,time/iterations,rollout/ep_rew_mean,time/fps,rollout/ep_len_mean,train/clip_fraction,train/approx_kl,train/learning_rate,train/value_loss,train/n_updates,train/loss,train/entropy_loss,train/clip_range,train/policy_gradient_loss,train/explained_variance
131,104448,51,-54.642992590000006,797,667.06,0.056005859375,0.0051240777,0.0003,68.49183136969805,500,175.2303009033203,-0.9180703284218907,0.2,-0.0020892992295557635,0.16138094663619995
134,106496,52,-52.312342720000004,789,681.86,0.0591796875,0.006428946,0.0003,26.996974701434375,510,1.7696447372436523,-0.9302241010591388,0.2,-0.0012798133873729966,0.5644443035125732
138,108544,53,-49.25745828,782,696.35,0.062109375,0.005407178,0.0003,22.174677266180517,520,124.57701873779297,-0.9331499043852091,0.2,-0.0014919152432412374,0.5785031616687775
142,110592,54,-46.24170137,777,712.61,0.087548828125,0.007420335,0.0003,34.676424195989966,530,1.5481022596359253,-0.9573295732960105,0.2,-0.005105691395874601,0.6094920933246613
145,112640,55,-43.52528435,772,726.02,0.0798828125,0.009675762,0.0003,31.324696715548633,540,4.833737850189209,-0.8798374477773905,0.2,-0.003262869972968474,0.40749692916870117
148,114688,56,-43.17803804000001,772,741.73,0.0291015625,0.003870351,0.0003,60.804599803686145,550,10.38368034362793,-0.8291926849633455,0.2,-0.0016288173197608557,0.26181989908218384
151,116736,57,-42.08782470000001,772,741.73,0.033642578125,0.0025998591,0.0003,60.16431378722191,560,4.496391296386719,-0.833532283268869,0.2,-0.0020061725066625514,0.3271080255508423
154,118784,58,-40.919346940000004,767,749.55,0.059716796875,0.00513356,0.0003,31.433008532971144,570,1.918705940246582,-0.9268867911770939,0.2,-0.003424535055819433,0.6791926324367523
159,120832,59,-39.24981887,757,764.15,0.09130859375,0.011683602,0.0003,37.23549934178591,580,3.7458109855651855,-0.8440509242936969,0.2,-0.0023849633573263416,0.45359641313552856
162,122880,60,-41.44679283000001,757,760.73,0.0626953125,0.003936368,0.0003,22.257024950906633,590,1.2821288108825684,-0.883705317787826,0.2,-0.0014626378717366606,0.4333183765411377
165,124928,61,-39.80011989,756,765.87,0.037060546875,0.006298422,0.0003,65.03016286343336,600,110.86156463623047,-0.9027262018993497,0.2,-0.0018150100280763582,0.42275315523147583
167,126976,62,-35.665270459999995,757,777.52,0.0861328125,0.008036532,0.0003,38.00483183339238,610,1.2799276113510132,-0.9273289948701858,0.2,-0.0038568603398744018,0.6679490208625793
171,129024,63,-32.847814650000004,754,787.36,0.028759765625,0.003536437,0.0003,150.88245104253292,620,23.582340240478516,-0.8115498831495642,0.2,-0.0013537497812649234,0.3434067964553833
173,131072,64,-30.0618518,753,802.86,0.1060546875,0.008938953,0.0003,117.75531217716635,630,38.570274353027344,-0.8656250149011612,0.2,-0.00648740045435261,0.45542800426483154
177,133120,65,-27.88548003,750,813.68,0.0931640625,0.009967445,0.0003,25.60300550237298,640,3.6001555919647217,-0.899703068472445,0.2,-0.002324967004096834,0.7512552887201309
181,135168,66,-25.331303360000003,744,828.78,0.05927734375,0.004712141,0.0003,83.53980486020446,650,4.161438465118408,-0.8693285560235381,0.2,-0.0018521596350183245,0.2853350043296814
185,137216,67,-22.09792541,741,841.12,0.107763671875,0.010336487,0.0003,31.543435785919428,660,1.6809340715408325,-0.8830211319029331,0.2,-0.003784738945250865,0.3138704299926758
189,139264,68,-24.15199372,736,846.73,0.09580078125,0.01138216,0.0003,26.089638129249217,670,2.231123924255371,-0.8682513372972608,0.2,-0.004243507704813965,0.6124607920646667
