rollout/ep_len_mean,time/fps,time/iterations,time/time_elapsed,time/total_timesteps,rollout/ep_rew_mean,train/value_loss,train/n_updates,train/loss,train/approx_kl,train/entropy_loss,train/policy_gradient_loss,train/explained_variance,train/clip_range,train/clip_fraction,train/learning_rate
828.52,743,91,250,186368,-9.807772010000003,23.76009882390499,900,151.6829376220703,0.0051867943,-0.8941154876723886,-0.0008901162225811276,0.6492981910705566,0.2,0.061669921875,0.0003
830.97,740,92,254,188416,-12.52861292,22.44427460581064,910,3.4938549995422363,0.0035649256,-0.8460407081991435,-0.0009219762752763927,0.9370625615119934,0.2,0.028955078125,0.0003
841.28,737,93,258,190464,-15.084428339999999,20.598215392231943,920,3.169898271560669,0.006883438,-0.8482426738366484,-0.003786269758711569,0.9158010706305504,0.2,0.042724609375,0.0003
841.83,737,94,261,192512,-14.906042519999996,29.30643232241273,930,13.819937705993652,0.0040385714,-0.8536902667954565,-0.003052850164385745,0.8324670046567917,0.2,0.044921875,0.0003
846.2,735,95,264,194560,-16.96362722,25.860297668725252,940,2.0264952182769775,0.0047079157,-0.8394847445189952,-0.0006697073033137713,0.6737699508666992,0.2,0.062744140625,0.0003
850.43,733,96,268,196608,-17.175170310000002,22.604190091043712,950,3.4071366786956787,0.0048706364,-0.8270916283130646,-0.0006628030736465007,0.9174529388546944,0.2,0.042578125,0.0003
857.24,732,97,271,198656,-16.643195820000003,23.538318692147733,960,3.396772623062134,0.0039405106,-0.8491441687569022,-0.0009566652763169259,0.861378401517868,0.2,0.052490234375,0.0003
862.75,731,98,274,200704,-16.563949840000003,24.917116311565042,970,2.0925724506378174,0.0033306219,-0.8395498780533671,-0.0011599934710829984,0.6297065913677216,0.2,0.058056640625,0.0003
867.17,731,99,277,202752,-17.93809551,27.771950310468675,980,3.3339202404022217,0.0047763297,-0.8275641122832894,-0.0031483527323871384,0.9109779000282288,0.2,0.052734375,0.0003
869.32,731,100,280,204800,-19.239126719999998,35.259773859381674,990,50.18338394165039,0.0049668606,-0.855317042209208,-0.001482136932463618,0.848885253071785,0.2,0.033447265625,0.0003
865.7,731,101,282,206848,-21.372717769999998,53.628981803357604,1000,6.210992336273193,0.0069918195,-0.8895754808560014,-0.0019455663787084632,0.7158624529838562,0.2,0.04169921875,0.0003
869.19,730,102,286,208896,-22.7211586,63.03675454556942,1010,17.598764419555664,0.0045199967,-0.8339117776602507,-0.0034743317279207985,0.5674313604831696,0.2,0.03916015625,0.0003
871.28,728,103,289,210944,-25.054813520000003,23.969404458999634,1020,3.1347334384918213,0.0040452396,-0.8820676675066352,-0.00049760223046178,0.6417220234870911,0.2,0.0494140625,0.0003
876.29,726,104,293,212992,-24.838503699999997,17.04190461039543,1030,2.3681464195251465,0.006084886,-0.8790005622431636,-0.0006096514596720226,0.8217692375183105,0.2,0.069287109375,0.0003
879.28,726,105,295,215040,-23.715709420000003,23.124658174812794,1040,5.199825763702393,0.0070601366,-0.8468316921964287,-0.0038659677244140766,0.7727654427289963,0.2,0.065380859375,0.0003
883.51,726,106,298,217088,-25.8535672,64.93825497031212,1050,26.18121910095215,0.00417578,-0.9031820861622691,-0.0020348635851405563,0.8046801835298538,0.2,0.068701171875,0.0003
