rollout/ep_len_mean,time/time_elapsed,time/iterations,time/total_timesteps,time/fps,rollout/ep_rew_mean,train/clip_range,train/learning_rate,train/approx_kl,train/n_updates,train/value_loss,train/explained_variance,train/entropy_loss,train/loss,train/policy_gradient_loss,train/clip_fraction
485.19,306,118,241664,787,54.42365932999999,0.2,0.0003,0.004586963,1170,208.95035171210765,0.6727705299854279,-0.6817591398954391,78.11854553222656,-0.00071551602522959,0.062109375
485.77,309,119,243712,788,52.28853128,0.2,0.0003,0.0081697,1180,149.68525217175483,0.6793145537376404,-0.8037306053563953,36.57481002807617,-0.0033161540886794683,0.125537109375
468.56,311,120,245760,790,49.96109557,0.2,0.0003,0.0072772577,1190,195.9826396614313,0.6552172899246216,-0.6655987864360213,62.880775451660156,-0.005206060551427072,0.047607421875
455.35,313,121,247808,790,51.935652039999994,0.2,0.0003,0.0072205868,1200,220.2373739361763,0.6779841780662537,-0.7647598080337048,30.553813934326172,-0.0054346160810382575,0.106982421875
460.13,315,122,249856,791,47.47886374999999,0.2,0.0003,0.007697097,1210,167.60702155232428,0.5933176875114441,-0.7309816578403115,23.83348274230957,-0.0045549299647973385,0.10908203125
455.15,318,123,251904,792,50.35927776999999,0.2,0.0003,0.010745926,1220,117.03296335339546,0.7953905612230301,-0.6867706689983606,44.43684005737305,-0.002592853833630215,0.0677734375
440.25,1,1,2048,1088,-228.95,0.2,0.0003,0.004460196,1230,219.35455134510994,0.6111265420913696,-0.7164101146161557,53.764041900634766,-0.002655666264035972,0.02451171875
423.3333333333333,3,2,4096,1026,-218.63333333333333,0.2,0.0003,0.018953184,1240,132.31052034497262,0.5641815364360809,-0.8683567937463522,21.778650283813477,-0.008458440662070642,0.158251953125
398.3333333333333,6,3,6144,1011,-229.60666666666663,0.2,0.0003,0.009043026,1250,106.07086870968342,0.7587333023548126,-0.7953428875654935,29.461143493652344,-0.003850388435239438,0.09228515625
391.6,8,4,8192,977,-216.26500000000001,0.2,0.0003,0.0070274696,1260,129.2308078110218,0.8453574627637863,-0.8080562030896544,68.25616455078125,-0.004056404872972053,0.098681640625
381.5769230769231,10,5,10240,979,-209.19615384615386,0.2,0.0003,0.005938424,1270,68.1419209510088,0.915029801428318,-0.7314215043559671,19.97092056274414,-0.004306048823491437,0.066259765625
385.38709677419354,12,6,12288,983,-206.8435483870968,0.2,0.0003,0.0031646227,1280,84.80657278001308,0.9225776717066765,-0.7470622580498457,22.38080596923828,-0.0010543865435465704,0.010888671875
374.7105263157895,14,7,14336,1000,-217.61973684210525,0.2,0.0003,0.0040318007,1290,91.13022005558014,0.9283056259155273,-0.6580206412822008,25.77090835571289,-0.004032812036894029,0.0275390625
369.6363636363636,16,8,16384,1002,-218.5909090909091,0.2,0.0003,0.0059183845,1300,137.91079708635806,0.8845176696777344,-0.7545215407386422,35.209529876708984,-0.004739984137995634,0.050537109375
365.04,18,9,18432,1005,-215.287,0.2,0.0003,0.01080703,1310,95.33284323215484,0.9318238198757172,-0.7942754724994302,58.6231575012207,-8.977932156994939e-05,0.061572265625
376.037037037037,20,10,20480,993,-213.76759259259256,0.2,0.0003,0.013729274,1320,73.59705120325089,0.9435740560293198,-0.8157080091536045,17.137290954589844,-0.0023049832438118757,0.101904296875
368.11475409836066,22,11,22528,998,-207.42295081967208,0.2,0.0003,0.0025713053,1330,48.47212891578674,0.9504704140126705,-0.5768000493757427,7.344030857086182,-0.002615583225269802,0.025439453125
363.05970149253733,24,12,24576,1003,-207.12014925373137,0.2,0.0003,0.0035929661,1340,56.43062921762466,0.9667540490627289,-0.7405355758965015,23.589000701904297,-0.0017885882793052589,0.0513671875
356.31081081081084,26,13,26624,1008,-202.88648648648646,0.2,0.0003,0.007050833,1350,145.97654721736907,0.9215219616889954,-0.8416800638660789,145.48756408691406,-0.005572104042585124,0.09609375
