rollout/ep_rew_mean,time/time_elapsed,rollout/ep_len_mean,time/fps,time/iterations,time/total_timesteps,train/loss,train/explained_variance,train/clip_range,train/std,train/clip_fraction,train/learning_rate,train/n_updates,train/approx_kl,train/entropy_loss,train/policy_gradient_loss,train/value_loss
-0.4891304600000001,405,715.61,504,100,204800,30.717205047607422,0.6478022336959839,0.2,0.6494123935699463,0.078125,0.0003,990,0.009718044,-1.9687424082309009,-0.0013910290363128297,137.8440264940262
-1.2876495500000005,410,708.8,504,101,206848,2.035370111465454,0.7819189727306366,0.2,0.6488794088363647,0.130810546875,0.0003,1000,0.009850289,-1.9756310060620308,-0.0014191034337272868,22.482536474894733
-4.38887929,413,691.47,504,102,208896,30.422388076782227,0.5902628004550934,0.2,0.6499620676040649,0.03583984375,0.0003,1010,0.003964166,-1.9731031071394682,-0.0017427116283215583,116.73311683982611
-0.96010988,417,686.4,505,103,210944,135.45448303222656,0.2987661361694336,0.2,0.6513376235961914,0.09873046875,0.0003,1020,0.009812117,-1.9776541583240033,-0.007504156370123383,174.09170928895475
-0.24849407999999953,421,691.98,505,104,212992,61.90666580200195,0.669702410697937,0.2,0.6526849269866943,0.062109375,0.0003,1030,0.0049757976,-1.983106456324458,0.00019533802405931057,48.161352472938596
-0.18067022000000116,426,700.23,504,105,215040,39.57051467895508,0.6231718361377716,0.2,0.65618497133255,0.060693359375,0.0003,1040,0.006154087,-1.987627538666129,-0.004300844285171479,140.9448665186763
-4.69833059,429,694.76,505,106,217088,16.562952041625977,0.568683922290802,0.2,0.6540811657905579,0.060009765625,0.0003,1050,0.0061117304,-1.9907598033547402,-0.002088694318081252,57.61266402453184
-3.95228524,432,692.45,506,107,219136,26.78553009033203,0.6691238582134247,0.2,0.6562533378601074,0.08798828125,0.0003,1060,0.008923426,-1.9917880408465862,-0.00560929691491765,100.46445367485285
-3.7480161400000003,437,692.45,505,108,221184,45.674163818359375,0.32429254055023193,0.2,0.6519843339920044,0.036376953125,0.0003,1070,0.0034948143,-1.9894775789231063,-0.003700104934978299,133.84845499992372
-8.345890640000002,441,675.16,506,109,223232,2.830597162246704,0.7233096063137054,0.2,0.6544407606124878,0.118603515625,0.0003,1080,0.007818986,-1.9850474722683429,-0.0011927689556614496,44.4784334205091
-6.6586672100000035,445,667.55,506,110,225280,26.815067291259766,0.4307531714439392,0.2,0.653779923915863,0.038671875,0.0003,1090,0.0040221624,-1.9856358751654626,-0.00507476940547349,209.54107098579408
-9.301293520000002,448,661.87,506,111,227328,63.70317077636719,0.3364771008491516,0.2,0.648337721824646,0.06591796875,0.0003,1100,0.0076443353,-1.9780337516218425,-0.0020641518640331924,81.85735614448785
-8.586065580000001,453,665.76,505,112,229376,130.38565063476562,0.5515291094779968,0.2,0.6431388258934021,0.068798828125,0.0003,1110,0.006940362,-1.9637773353606462,-0.003822847607807489,87.98894096538424
-11.522244229999998,457,651.97,505,113,231424,5.782537937164307,0.6188308894634247,0.2,0.6381767988204956,0.1130859375,0.0003,1120,0.015950102,-1.9452022876590491,-0.0005334045366907958,38.759918907657266
-10.619287410000004,460,636.94,507,114,233472,57.169921875,0.7538291811943054,0.2,0.6351752281188965,0.05888671875,0.0003,1130,0.0043802587,-1.9367189720273017,-1.7371140711475163e-05,85.91869873255492
-9.074797930000003,464,639.4,507,115,235520,45.56590270996094,0.5372759997844696,0.2,0.6352134346961975,0.03681640625,0.0003,1140,0.0075123003,-1.9280599262565374,-0.004947479697148083,218.43409634828566
-6.059548720000002,468,640.56,507,116,237568,66.48687744140625,0.5083607733249664,0.2,0.6330323815345764,0.036767578125,0.0003,1150,0.005249127,-1.9267423633486032,-0.0013116712383634877,147.77987723946572
-0.38669179000000087,472,648.87,507,117,239616,25.79625129699707,0.5825407803058624,0.2,0.6302382946014404,0.052490234375,0.0003,1160,0.006165905,-1.9185964822769166,-0.0020893718668958173,90.0039044186473
-0.5150753400000008,476,655.0,507,118,241664,3.9427649974823,0.4960368871688843,0.2,0.6184074878692627,0.058056640625,0.0003,1170,0.006773592,-1.8939198363572358,-0.004184969908965286,124.00009623989463
0.6881163400000017,480,660.96,507,119,243712,5.386214256286621,0.6652823984622955,0.2,0.6098840236663818,0.1095703125,0.0003,1180,0.007093979,-1.8613798301666975,-0.001139129633520497,39.83455286622048
-1.7888612999999998,484,657.43,507,120,245760,27.31583023071289,0.6862199604511261,0.2,0.6072573065757751,0.0865234375,0.0003,1190,0.005677668,-1.8427222020924092,-0.0005651284733175999,98.40928866863251
-1.3321386300000007,487,668.06,508,121,247808,36.811004638671875,0.6046354174613953,0.2,0.6094186305999756,0.089111328125,0.0003,1200,0.008360253,-1.8429075423628092,-0.003595665479224408,147.52517003118993
-2.4147157700000013,491,667.15,508,122,249856,5.771890640258789,0.7397236227989197,0.2,0.6093761920928955,0.1208984375,0.0003,1210,0.0072552697,-1.8465120937675237,-0.0020951685961335897,28.570538702607156
-2.6916450500000018,494,662.69,508,123,251904,14.048884391784668,0.6101022958755493,0.2,0.6151276230812073,0.100634765625,0.0003,1220,0.005164773,-1.849767693132162,-0.0013748094323091209,73.13672772422433
-164.29776725,2,483.0,768,1,2048,2.3649017810821533,0.6418056786060333,0.2,0.6129498481750488,0.0861328125,0.0003,1230,0.0071608033,-1.8520354211330414,-0.001310511956398841,94.2194346666336
-138.60687055555556,6,437.1111111111111,619,2,4096,237.85516357421875,0.5643583238124847,0.2,0.6157238483428955,0.071484375,0.0003,1240,0.0069614453,-1.8511573042720557,-0.005687703745206818,172.0263068854809
-88.71519928571429,9,430.7142857142857,636,3,6144,27.37259292602539,0.7536726295948029,0.2,0.6169973015785217,0.0685546875,0.0003,1250,0.009562574,-1.8594978764653205,-0.0033399635954992845,146.46838292479515
-87.91030294444445,13,409.3888888888889,613,4,8192,98.8991470336914,0.3983451724052429,0.2,0.6090484857559204,0.065087890625,0.0003,1260,0.007452892,-1.8506579745560885,-0.0026783916480781047,183.2845117032528
-78.90693845000001,17,468.45,576,5,10240,291.70281982421875,0.06393730640411377,0.2,0.6085141897201538,0.051416015625,0.0003,1270,0.004458757,-1.8364241540431976,-0.0024390805803705005,192.1707590162754
-85.88705895652174,22,501.69565217391306,555,6,12288,13.762028694152832,0.6923924684524536,0.2,0.6076781749725342,0.09423828125,0.0003,1280,0.008024765,-1.8332777630537749,0.0001218537348904647,42.37790286056698
-80.47411107407406,26,526.1481481481482,539,7,14336,1.2833421230316162,0.7762645184993744,0.2,0.6024096012115479,0.126416015625,0.0003,1290,0.009336603,-1.8283434830605985,0.0006084997396101244,48.473503610491754
-81.89846834375001,29,494.96875,549,8,16384,7.637084007263184,0.7129135429859161,0.2,0.6003919243812561,0.085009765625,0.0003,1300,0.006694204,-1.8139186065644026,-0.0016643496528558899,103.76992000192404
-79.6651060277778,33,498.6666666666667,557,9,18432,81.4946517944336,0.5496470034122467,0.2,0.5982296466827393,0.055908203125,0.0003,1310,0.008708799,-1.806145353242755,-0.002734442910150392,206.33874955177308
-71.486684125,37,506.35,550,10,20480,1.9434936046600342,0.1571366786956787,0.2,0.6012846231460571,0.085595703125,0.0003,1320,0.009935574,-1.8060048289597035,-0.008162823623933946,185.40259160622955
