time/total_timesteps,time/iterations,rollout/ep_len_mean,rollout/ep_rew_mean,time/fps,time/time_elapsed,train/explained_variance,train/n_updates,train/clip_range,train/policy_gradient_loss,train/loss,train/learning_rate,train/entropy_loss,train/value_loss,train/approx_kl,train/clip_fraction
126976,62,714.81,30.890707639999995,757,167,0.33836299180984497,610,0.2,-0.002744441876347992,283.1587219238281,0.0003,-0.7536321876570582,134.86167136728764,0.0034074509,0.045458984375
129024,63,697.07,36.79352401,756,170,0.6155826449394226,620,0.2,-0.004624284785677446,20.895492553710938,0.0003,-0.7769161468371749,106.20396612882614,0.0053192163,0.06123046875
131072,64,689.45,41.768968380000004,757,173,0.6771002113819122,630,0.2,-0.0007786042035149876,9.994327545166016,0.0003,-0.8103853423148394,102.13156016170979,0.004642229,0.057373046875
133120,65,685.78,41.29933924,757,175,0.7846836447715759,640,0.2,-0.003715502034810925,8.84456729888916,0.0003,-0.8530612559989095,73.76057894676924,0.0062651006,0.056689453125
135168,66,670.22,43.81562750999999,757,178,0.6293330192565918,650,0.2,-0.001329930433348636,97.22915649414062,0.0003,-0.870595459267497,126.67341471835971,0.009883776,0.046826171875
137216,67,651.48,45.073769950000006,756,181,0.7659354209899902,660,0.2,-0.0020971277914213714,30.964595794677734,0.0003,-0.7868645278736949,128.2252847492695,0.004328442,0.0283203125
139264,68,631.39,41.726064619999995,759,183,0.37920260429382324,670,0.2,-0.0023415019837557337,28.972837448120117,0.0003,-0.798704251460731,221.63748414516448,0.0042060483,0.024462890625
141312,69,622.19,45.540381970000006,759,186,0.5385131537914276,680,0.2,-0.0012507219667895696,37.82651901245117,0.0003,-0.8880798375234008,328.4714078307152,0.0055997055,0.03857421875
143360,70,601.42,47.436141019999994,761,188,0.6103399395942688,690,0.2,-0.003134925670019584,14.582056999206543,0.0003,-0.7304321426898241,106.10185340344906,0.004705658,0.0470703125
145408,71,602.23,49.405216489999994,762,190,0.5789158046245575,700,0.2,-0.0032414965164207386,19.633214950561523,0.0003,-0.8594684647396207,159.42235493957998,0.0052055903,0.04072265625
147456,72,581.03,51.403001239999995,764,192,0.6587943136692047,710,0.2,-0.006041123423347017,10.86982536315918,0.0003,-0.8315016014501453,148.51939225792884,0.013515304,0.12333984375
149504,73,560.43,53.56916884,764,195,0.7561697363853455,720,0.2,-0.0030575387962016977,98.2612075805664,0.0003,-0.8154006911441684,199.05006603598594,0.0041811345,0.032568359375
151552,74,543.51,52.84360161000001,766,197,0.8553809970617294,730,0.2,-0.0010885644762311131,14.964678764343262,0.0003,-0.8613414868712426,105.16018924862146,0.0031242557,0.06162109375
153600,75,533.89,52.32481765000001,766,200,0.6908603012561798,740,0.2,-0.004783376189880073,34.668880462646484,0.0003,-0.7680134942755104,200.00376719534398,0.010640245,0.0865234375
155648,76,528.1,55.02755738999999,766,203,0.7274873554706573,750,0.2,-0.0019084789164480753,18.07966423034668,0.0003,-0.811109303124249,120.89021307975054,0.0043059345,0.037841796875
157696,77,530.81,54.38083750999999,764,206,0.778555229306221,760,0.2,-0.009593076980672776,21.45612907409668,0.0003,-0.7445005211979151,162.57694125771522,0.005316364,0.039404296875
159744,78,532.96,54.337395650000005,762,209,0.8041876256465912,770,0.2,-0.0037668551005481275,47.886898040771484,0.0003,-0.7862286530435085,93.02427212893963,0.006715328,0.068603515625
161792,79,532.37,52.344522639999994,762,212,0.7922654002904892,780,0.2,-0.0022739464620826766,5.871600151062012,0.0003,-0.8465946525335312,69.72740679830312,0.0040992093,0.062060546875
163840,80,536.42,51.77958508,760,215,0.6707125902175903,790,0.2,-0.0013760437206656207,185.77352905273438,0.0003,-0.7092438952997326,143.2595547311008,0.0051181815,0.032568359375
165888,81,537.15,50.911485840000005,759,218,0.8005149215459824,800,0.2,-0.0028523312546894887,9.123042106628418,0.0003,-0.7701894713565707,88.85446426868438,0.0076114163,0.091064453125
167936,82,539.18,50.91072509000001,760,220,0.7103745639324188,810,0.2,-0.001521721572134993,11.159440994262695,0.0003,-0.7273620739579201,91.9240384593606,0.00462237,0.030859375
169984,83,542.86,55.00321717,760,223,0.7904088050127029,820,0.2,-0.0024280134352011374,19.466279983520508,0.0003,-0.8380700251087546,91.12443601489068,0.007538897,0.121826171875
172032,84,542.21,55.28732819999999,760,226,0.6933308243751526,830,0.2,-0.003153090265914216,243.06024169921875,0.0003,-0.852179248072207,103.6962179005146,0.0034225185,0.01806640625
174080,85,542.95,58.10710583,761,228,0.7715418934822083,840,0.2,-0.0023916212703625206,7.4655280113220215,0.0003,-0.7954044379293919,92.25984745994211,0.002995601,0.0494140625
176128,86,540.83,57.12637282,762,230,0.5385445654392242,850,0.2,-0.00468308208801318,11.065035820007324,0.0003,-0.810939933359623,194.30374139547348,0.0058546728,0.050390625
178176,87,541.91,57.164404729999994,762,233,0.4436568021774292,860,0.2,-0.00446791084468714,21.939002990722656,0.0003,-0.6992731478065253,203.11263976991177,0.0056437682,0.051123046875
180224,88,543.75,57.04866388000001,763,236,0.5955223441123962,870,0.2,-0.003709565139433835,70.74273681640625,0.0003,-0.84482262134552,175.27034530192614,0.01054237,0.062255859375
