time/total_timesteps,time/iterations,rollout/ep_len_mean,time/fps,time/time_elapsed,rollout/ep_rew_mean,train/loss,train/value_loss,train/n_updates,train/entropy_loss,train/policy_gradient_loss,train/explained_variance,train/clip_range,train/learning_rate,train/clip_fraction,train/approx_kl
212992,104,854.29,696,305,-21.945298580000003,2.907968282699585,16.7510778978467,1030,-0.8715500678867102,-0.005618654868885642,0.9479402601718903,0.2,0.0003,0.1251953125,0.008819513
215040,105,853.36,697,308,-24.807355460000004,1.03569495677948,21.61166813708842,1040,-0.9045625649392605,-0.0012162198181613348,0.8799940273165703,0.2,0.0003,0.075634765625,0.0049580703
217088,106,845.86,698,310,-30.379659899999996,21.024171829223633,56.5993485070765,1050,-0.8682043265551329,-0.0015449553975486197,0.8144936114549637,0.2,0.0003,0.060009765625,0.0074608685
219136,107,840.92,697,314,-31.552121389999996,6.288393974304199,82.749801120162,1060,-0.89651899933815,-0.0018141902080969885,0.8322964757680893,0.2,0.0003,0.031884765625,0.004263849
221184,108,844.69,696,317,-30.615533069999998,8.720966339111328,45.3383016474545,1070,-0.8212735829874873,-0.0023572510872327257,0.7558649927377701,0.2,0.0003,0.049365234375,0.004901256
223232,109,851.17,694,321,-30.67818559,2.351848602294922,24.033406300842763,1080,-0.8930813711136579,-0.001251908126141643,0.9088207706809044,0.2,0.0003,0.04248046875,0.005277681
225280,110,848.35,693,324,-30.31248511,2.4427199363708496,16.07115640938282,1090,-0.8895512701943517,-0.00282555697922362,0.9661933816969395,0.2,0.0003,0.06435546875,0.007941876
227328,111,845.34,692,328,-31.82181083,80.48912811279297,40.8001410394907,1100,-0.8249555239453912,-0.0034214210834761618,0.9427514597773552,0.2,0.0003,0.0658203125,0.00525899
229376,112,836.69,690,332,-34.62685059,1.2090668678283691,39.148326373845336,1110,-0.866656799800694,-0.0015490331439650617,0.8167859017848969,0.2,0.0003,0.04052734375,0.006803161
231424,113,836.69,690,335,-33.86402238,6.472503185272217,68.20923851281404,1120,-0.8268079793080687,-0.006632028036256088,0.903167650103569,0.2,0.0003,0.06787109375,0.008338056
233472,114,836.69,688,339,-34.292945579999994,1.4288684129714966,15.858322953805327,1130,-0.8683284446597099,-0.0027284421244985423,0.9421148933470249,0.2,0.0003,0.0669921875,0.009225638
235520,115,825.54,688,342,-35.70776718,1.1664224863052368,17.758867789059877,1140,-0.8700408734381199,-0.0004450034350156784,0.9417854733765125,0.2,0.0003,0.067138671875,0.0042864652
237568,116,835.39,687,345,-33.71765584,21.696977615356445,57.410322561860085,1150,-0.8672974273562432,-0.0019700227510838888,0.8981170430779457,0.2,0.0003,0.0390625,0.0018543091
239616,117,840.06,686,349,-30.790066500000002,2.4391183853149414,33.97991959676146,1160,-0.8552959499880671,-0.002522081405186327,0.9386327043175697,0.2,0.0003,0.083642578125,0.0076521924
241664,118,848.46,685,352,-30.299497599999995,0.4874846935272217,27.273572393879295,1170,-0.8536685051396489,-0.00469599296557135,0.8657006025314331,0.2,0.0003,0.103564453125,0.007952145
243712,119,850.41,685,355,-29.599068699999997,28.487533569335938,39.2211620695889,1180,-0.8571063794195652,-0.003734095219988376,0.8874787837266922,0.2,0.0003,0.04873046875,0.0046433
245760,120,844.87,685,358,-31.102392790000007,1.9076334238052368,65.01115693449974,1190,-0.8714330911636352,0.0001250505323696416,0.7822915017604828,0.2,0.0003,0.030224609375,0.0071222233
247808,121,845.42,685,361,-31.988555220000002,12.905121803283691,58.9108369231224,1200,-0.8511866396293044,-0.0045536433193774425,0.7585870772600174,0.2,0.0003,0.0525390625,0.0038929246
249856,122,839.01,682,365,-30.79970502000001,3.7615463733673096,38.36648846268654,1210,-0.7965405339375138,-0.0030275658908067273,0.9340864717960358,0.2,0.0003,0.07958984375,0.011520894
251904,123,840.45,680,370,-30.32782058,28.755130767822266,106.46271943747998,1220,-0.8175190890207886,-0.002469599829782965,0.4510747194290161,0.2,0.0003,0.048046875,0.0037885907
2048,1,942.5,670,3,-785.575,1.3978110551834106,29.651371811330318,1230,-0.8171167498454451,-0.0018087654709233903,0.9229622110724449,0.2,0.0003,0.0578125,0.0071292976
4096,2,521.7142857142857,767,5,-524.2642857142857,2.0563082695007324,118.93250700682401,1240,-0.8275814399123191,-0.004794772478635423,0.23332267999649048,0.2,0.0003,0.073291015625,0.008153042
6144,3,608.7,717,8,-574.6299999999999,46.620269775390625,129.75146134793758,1250,-0.8245645549148322,0.0009962492636987007,0.7535759210586548,0.2,0.0003,0.0169921875,0.0039969794
8192,4,620.5833333333334,702,11,-589.7291666666666,5.9412360191345215,100.55661819726228,1260,-0.7967146188020706,-0.0008557591194403358,0.47026902437210083,0.2,0.0003,0.044189453125,0.0033957884
10240,5,624.2666666666667,651,15,-581.6433333333333,1.4027361869812012,20.962186888977886,1270,-0.8351985001936555,9.891071385936812e-05,0.8590039610862732,0.2,0.0003,0.078759765625,0.011044293
12288,6,674.7222222222222,634,19,-626.8,15.269306182861328,91.13689464479685,1280,-0.7963782966136932,-0.0011222600740438792,0.49307578802108765,0.2,0.0003,0.051513671875,0.00532695
14336,7,682.4285714285714,625,22,-636.3904761904762,5.646493434906006,20.421609736606477,1290,-0.8440645907074213,-0.0030666124665003737,0.21164077520370483,0.2,0.0003,0.062255859375,0.0068381717
16384,8,679.7391304347826,617,26,-635.7217391304348,1.1486692428588867,11.108935229107738,1300,-0.8958554226905108,-0.0002709006148506887,0.3969215154647827,0.2,0.0003,0.096484375,0.0084369
18432,9,707.7307692307693,598,30,-647.5173076923077,0.5590532422065735,9.458710865676403,1310,-0.8807093735784293,-0.00607716566810268,0.4806744456291199,0.2,0.0003,0.12890625,0.009159546
20480,10,703.3793103448276,595,34,-644.393103448276,106.2900390625,100.36548315882683,1320,-0.8895018829032779,-0.0017631257192988413,0.4308292269706726,0.2,0.0003,0.12509765625,0.013079655
22528,11,696.375,607,37,-629.4890625,17.53877067565918,35.68535822331906,1330,-0.8213508348912001,-0.00545743127077003,0.6871735751628876,0.2,0.0003,0.097265625,0.00897106
24576,12,684.0,622,39,-618.3028571428572,51.0488166809082,189.42729025781153,1340,-0.8178593724966049,-0.001405583987434511,0.4900158643722534,0.2,0.0003,0.043603515625,0.006323455
