time/iterations,rollout/ep_rew_mean,rollout/ep_len_mean,time/time_elapsed,time/total_timesteps,time/fps,train/learning_rate,train/entropy_loss,train/explained_variance,train/n_updates,train/policy_gradient_loss,train/clip_fraction,train/clip_range,train/loss,train/value_loss,train/approx_kl
24,-106.50229284,295.6,50,49152,970,0.0003,-1.1855079032480718,0.6368891298770905,230,-0.006264608632045565,0.085107421875,0.2,43.20746612548828,87.9578793823719,0.012411172
25,-104.36922208999997,316.37,53,51200,962,0.0003,-1.174178959429264,0.5312052071094513,240,-0.002804594736517174,0.05439453125,0.2,57.85438919067383,108.2670287668705,0.0073773284
26,-102.39504906,331.66,56,53248,950,0.0003,-1.1468416709452867,0.3686976432800293,250,-0.0074445988881052475,0.077880859375,0.2,70.92461395263672,185.84367899298667,0.010282836
27,-99.45423563,343.41,59,55296,932,0.0003,-1.1185282159596681,0.3446611166000366,260,-0.00649718124041101,0.054931640625,0.2,38.05697250366211,182.16340708732605,0.0066050235
28,-96.76434031,360.4,62,57344,920,0.0003,-1.0800257716327906,0.5744162797927856,270,-0.0103423250184278,0.124365234375,0.2,75.36611938476562,90.7609998613596,0.010277249
29,-95.73678893999998,379.53,64,59392,916,0.0003,-1.060420623421669,0.641390323638916,280,-0.008630702778464183,0.093994140625,0.2,18.328155517578125,72.82426723241807,0.007854777
30,-92.98458809,396.44,67,61440,906,0.0003,-1.0674025405198335,0.6135309040546417,290,-0.0072896743804449216,0.0734375,0.2,34.0997314453125,97.6289351284504,0.00801472
31,-89.42481692,413.61,71,63488,891,0.0003,-1.0394756080582739,0.6776333749294281,300,-0.006367982218216639,0.04326171875,0.2,9.928855895996094,53.91597382426262,0.0062213857
32,-85.79132643999998,429.57,74,65536,877,0.0003,-1.0523860396817326,0.7759069353342056,310,-0.007286928813118721,0.11591796875,0.2,10.781388282775879,34.71045098304749,0.010066694
33,-79.46181925,451.35,78,67584,866,0.0003,-1.0028450524434447,-0.07641065120697021,320,-0.011476672430580948,0.06123046875,0.2,34.445396423339844,83.58740708827972,0.010824464
