rollout/ep_rew_mean,time/total_timesteps,time/iterations,time/fps,time/time_elapsed,rollout/ep_len_mean,train/entropy_loss,train/clip_fraction,train/approx_kl,train/policy_gradient_loss,train/n_updates,train/value_loss,train/explained_variance,train/loss,train/learning_rate,train/clip_range
-114.51860888000002,53248,26,1076,49,299.04,-1.1046919200569392,0.19775390625,0.012182534,-0.012552112725097686,250,76.77918354272842,0.34842705726623535,17.512168884277344,0.0003,0.2
-112.02945838,55296,27,1050,52,315.71,-1.0080441376194358,0.120556640625,0.013298616,-0.006366354309284361,260,66.33871384263038,0.4983378052711487,16.936254501342773,0.0003,0.2
-107.86864127999999,57344,28,1022,56,332.37,-1.0110036324709655,0.08564453125,0.007723802,-0.006759635936032282,270,64.71674816608429,0.5902932584285736,20.77452278137207,0.0003,0.2
-100.93606527999998,59392,29,992,59,354.18,-1.012026236951351,0.04326171875,0.0076410365,-0.004059102207247633,280,63.73748708665371,0.6250945031642914,15.220924377441406,0.0003,0.2
-101.45504279,61440,30,951,64,371.34,-0.9504839392378926,0.090234375,0.012283582,-0.006760298610606697,290,123.94361856877804,0.47193658351898193,10.920355796813965,0.0003,0.2
-98.36178591,63488,31,911,69,387.94,-0.9738753801211715,0.07001953125,0.009897858,-0.006277466605388327,300,43.64526828825474,0.5831692516803741,9.908293724060059,0.0003,0.2
-98.37008357999999,65536,32,900,72,404.51,-0.9498367762193084,0.03798828125,0.0047716424,-0.005039314089663094,310,70.44195239841937,0.4133507013320923,15.100767135620117,0.0003,0.2
-95.2739294,67584,33,890,75,419.18,-0.9683805923908949,0.07138671875,0.007368205,-0.007224714037874946,320,38.53486655652523,0.49741119146347046,8.247882843017578,0.0003,0.2
-92.30684160999999,69632,34,875,79,435.12,-0.9980929143726825,0.08955078125,0.008431627,-0.00618876114313025,330,81.95567424595356,0.47816914319992065,25.279775619506836,0.0003,0.2
-90.07738089,71680,35,865,82,451.06,-0.964693971350789,0.27958984375,0.013043907,-0.016454046295257284,340,40.07495604902506,0.7498331964015961,3.0920987129211426,0.0003,0.2
-84.63871515000001,73728,36,846,87,471.19,-0.8593588598072529,0.04375,0.007936845,-0.005955528548292932,350,61.2077002286911,0.6691088974475861,16.00060272216797,0.0003,0.2
-81.72635197000001,75776,37,838,90,487.34,-0.8059531481936574,0.048388671875,0.004664926,-0.002892674504983006,360,71.0298967435956,0.7287133038043976,3.5029985904693604,0.0003,0.2
-78.15208169,77824,38,821,94,502.99,-0.8899099739268422,0.057568359375,0.0048859743,-0.005677906626078766,370,41.249293544888495,0.7863457649946213,7.877984046936035,0.0003,0.2
-76.02606161,79872,39,811,98,518.42,-0.8304971907287836,0.077392578125,0.0061845477,-0.005171068675554125,380,34.410707803815605,0.8460129499435425,1.8189083337783813,0.0003,0.2
-76.87355925000001,81920,40,800,102,530.12,-0.8039198746904731,0.0361328125,0.0047369143,-0.005335317231947556,390,44.6165687084198,0.8029973208904266,4.749911785125732,0.0003,0.2
-71.19937275000001,83968,41,791,106,545.61,-0.9287351403385401,0.076025390625,0.008577521,-0.006032919940480497,400,71.19108235910535,0.6318009495735168,8.111244201660156,0.0003,0.2
-70.6985159,86016,42,780,110,562.49,-0.6841654039919376,0.058642578125,0.004447894,-0.0068738651338208,410,32.72568997964263,0.8767496198415756,2.0754129886627197,0.0003,0.2
-61.754692590000005,88064,43,775,113,581.05,-0.770356692187488,0.098828125,0.009025307,-0.0022747202456230298,420,35.324073400348425,0.851673424243927,3.91121244430542,0.0003,0.2
-53.35254355,90112,44,775,116,594.79,-0.7743212914094328,0.058837890625,0.017997615,-0.005167995870579034,430,137.21096384823323,0.46353596448898315,71.70320892333984,0.0003,0.2
-46.90085614,92160,45,777,118,608.03,-0.7835153942927718,0.040380859375,0.007845553,-0.004468875560269226,440,193.93740930259227,0.1404867172241211,482.5038146972656,0.0003,0.2
-40.75391371000001,94208,46,778,120,622.92,-0.845436803996563,0.01455078125,0.002754611,-0.0018434106634231285,450,221.3413421869278,0.19520002603530884,51.321205139160156,0.0003,0.2
-29.499426720000006,96256,47,778,123,635.14,-0.8133914532139898,0.033984375,0.0040653255,-0.003489940486906562,460,209.37154272198677,0.28876638412475586,462.0466613769531,0.0003,0.2
-23.321272769999997,98304,48,778,126,644.34,-0.8069401437416672,0.0115234375,0.0029348896,-0.002871384678292088,470,178.64671319127083,0.24107873439788818,21.27214813232422,0.0003,0.2
-16.09096282,100352,49,777,129,658.19,-0.8343608686700463,0.039892578125,0.0056867516,-0.0032030318143370096,480,117.88157908320427,0.3366895914077759,38.012107849121094,0.0003,0.2
-8.78478641,102400,50,776,131,672.65,-0.7990362048149109,0.044140625,0.006040178,-0.005541945342338294,490,115.299346190691,0.3963966369628906,24.619277954101562,0.0003,0.2
-2.3439840100000007,104448,51,776,134,686.25,-0.7558824552223087,0.040185546875,0.0055241687,-0.002181316235510167,500,104.6680629312992,0.29394304752349854,21.333927154541016,0.0003,0.2
1.2053282099999998,106496,52,777,136,702.08,-0.7681916814297438,0.036572265625,0.0037012026,-0.0037478190868569074,510,177.39723957479,0.3523936867713928,215.9100799560547,0.0003,0.2
6.951182580000002,108544,53,777,139,707.0,-0.5577016384340823,0.020703125,0.0024903459,-0.003672809262207011,520,144.4164862781763,0.41151905059814453,97.56875610351562,0.0003,0.2
5.679968270000001,110592,54,780,141,709.87,-0.8233204212039709,0.02431640625,0.0024566313,-0.0026626484890584835,530,204.25781299769878,0.40619957447052,22.676773071289062,0.0003,0.2
11.83536556,112640,55,780,144,715.09,-0.8818636329844594,0.072509765625,0.0071528777,-0.007045191554061603,540,181.29398773908616,0.5967144668102264,27.978769302368164,0.0003,0.2
15.06199101,114688,56,783,146,725.42,-0.699872531928122,0.018701171875,0.0036495924,-0.0013813305653457065,550,180.92186630964278,0.7516192495822906,30.283811569213867,0.0003,0.2
17.275957480000002,116736,57,780,149,727.35,-0.84402980748564,0.041455078125,0.0062105674,-0.0026227641435980333,560,324.30895485281945,0.6135609745979309,259.6719055175781,0.0003,0.2
25.839387059999993,118784,58,781,152,726.57,-0.8353271761909127,0.0373046875,0.0044774916,-0.002546525952493539,570,150.74663823843002,0.6200421154499054,20.095613479614258,0.0003,0.2
28.24030718,120832,59,782,154,718.94,-0.7858867149800062,0.1087890625,0.0114143025,-0.0032363231235649436,580,135.4060942441225,0.3833472728729248,31.098390579223633,0.0003,0.2
32.27828543,122880,60,780,157,705.48,-0.860309325903654,0.019287109375,0.0030413354,-0.0017949862658497295,590,274.3966931223869,0.4030207395553589,166.21743774414062,0.0003,0.2
35.6221974,124928,61,780,159,689.18,-0.7581793449819088,0.056787109375,0.0063051903,-0.005479637937969528,600,152.90220390558244,0.4207266569137573,37.53398132324219,0.0003,0.2
35.424106220000006,126976,62,781,162,674.53,-0.745885918289423,0.079296875,0.0093886815,-0.0041159075866744384,610,118.7658337533474,0.5073146820068359,36.93627166748047,0.0003,0.2
36.17736886,129024,63,780,165,666.01,-0.821277036331594,0.04345703125,0.0042980155,-0.002057455582689727,620,222.8712115585804,0.51826611161232,96.2660140991211,0.0003,0.2
36.850317180000005,131072,64,780,167,654.09,-0.7910966809839011,0.056298828125,0.008410582,-0.00023541805348941124,630,156.11887077093124,0.49910157918930054,105.51968383789062,0.0003,0.2
37.65744521,133120,65,781,170,638.35,-0.8060614289715886,0.01669921875,0.00335635,-0.0027119533408040295,640,181.79579466581345,0.44853276014328003,54.89131164550781,0.0003,0.2
38.89591714999999,135168,66,782,172,623.36,-0.8084610981866718,0.069091796875,0.005489967,-0.004106728904298506,650,180.3244170755148,0.5794633030891418,345.8861389160156,0.0003,0.2
38.854990980000004,137216,67,782,175,603.72,-0.7840868435800076,0.0642578125,0.00710918,-0.0054233339491474904,660,218.82914836406707,0.3173832297325134,275.49517822265625,0.0003,0.2
34.91442027000001,139264,68,783,177,598.94,-0.842613616399467,0.07119140625,0.009053094,-0.0026655630019376984,670,207.3934351682663,0.5210565328598022,128.07981872558594,0.0003,0.2
36.36770579,141312,69,782,180,589.12,-0.7380573783069849,0.08671875,0.009675011,-0.004255207189271459,680,189.7719181239605,0.5825526714324951,39.295780181884766,0.0003,0.2
