time/time_elapsed,time/total_timesteps,rollout/ep_len_mean,time/fps,time/iterations,rollout/ep_rew_mean,train/n_updates,train/value_loss,train/std,train/clip_fraction,train/clip_range,train/entropy_loss,train/approx_kl,train/learning_rate,train/explained_variance,train/loss,train/policy_gradient_loss
173,94208,717.78,543,46,-40.33419947,450,50.33597782999277,0.7732257843017578,0.055810546875,0.2,-2.321146997064352,0.0048675076,0.0003,0.7560813426971436,9.537397384643555,-0.004050743748666719
177,96256,726.57,542,47,-41.92826934000001,460,85.06533828154207,0.7611582279205322,0.0775390625,0.2,-2.3037365093827247,0.0053027133,0.0003,0.7473308444023132,209.81011962890625,-0.003348542437015567
181,98304,736.36,541,48,-35.783659130000004,470,41.04974045529961,0.7427588701248169,0.1134765625,0.2,-2.2633224494755266,0.0076131737,0.0003,0.8575584143400192,2.6996586322784424,-0.002023253735387698
187,100352,744.06,536,49,-35.37888649,480,112.06968721449375,0.7388655543327332,0.049072265625,0.2,-2.234929323196411,0.006622062,0.0003,0.6536352634429932,93.24436950683594,-0.0016663388705637772
191,102400,760.71,533,50,-32.456763529999996,490,40.68713945373893,0.7373649477958679,0.067333984375,0.2,-2.227533994615078,0.0063499864,0.0003,0.8186106383800507,3.1432089805603027,-0.002564468589844182
195,104448,778.46,532,51,-31.01282327,500,57.916317611187694,0.732693612575531,0.043798828125,0.2,-2.220257992297411,0.005623457,0.0003,0.8520794212818146,2.7004482746124268,-0.0002813608996802941
200,106496,788.64,530,52,-28.304686559999997,510,53.60406529977918,0.7384817600250244,0.068212890625,0.2,-2.2224186219275,0.005971374,0.0003,0.8799033835530281,4.257376670837402,-0.003913117064439575
203,108544,794.6,532,53,-25.725767279999996,520,52.55545324385166,0.7312979698181152,0.047265625,0.2,-2.222739528864622,0.0076965694,0.0003,0.7729648500680923,55.02089309692383,-0.0018064460586174392
208,110592,803.21,530,54,-20.82886028,530,148.4841598957777,0.7298005819320679,0.068701171875,0.2,-2.2070759356021883,0.0068335542,0.0003,0.7517721056938171,29.888887405395508,-0.003648238284222316
214,112640,818.52,526,55,-16.459427410000004,540,121.43943536430598,0.7228371500968933,0.0646484375,0.2,-2.1944040402770044,0.004745353,0.0003,0.6172237694263458,115.1539077758789,-0.004203919468272943
219,114688,823.23,523,56,-9.398469790000004,550,33.01790487170219,0.7183459997177124,0.116552734375,0.2,-2.179999665915966,0.007312947,0.0003,0.834133580327034,4.070268630981445,-0.0027469337692309637
224,116736,833.99,519,57,-8.058246540000004,560,107.83124737292528,0.709195613861084,0.066796875,0.2,-2.161584110558033,0.0038130502,0.0003,0.6307024657726288,27.43535041809082,-0.0009398866095580161
228,118784,832.64,520,58,-7.188345980000008,570,89.2863138012588,0.6985553503036499,0.105712890625,0.2,-2.1356473177671433,0.007847514,0.0003,0.6902821660041809,3.2658088207244873,-0.005318164293566951
231,120832,845.95,522,59,-1.604394060000004,580,96.7543440386653,0.6887009143829346,0.07353515625,0.2,-2.1046371765434744,0.007871865,0.0003,0.7344231009483337,24.56780433654785,-0.004196643866453087
234,122880,826.75,523,60,-2.9389055699999984,590,112.55278900712729,0.6893746256828308,0.052294921875,0.2,-2.0903448507189752,0.0043219123,0.0003,0.6282022595405579,37.74153137207031,0.0016650308767566457
238,124928,815.26,523,61,2.86644106,600,167.567489695549,0.6904575824737549,0.102490234375,0.2,-2.093130077421665,0.009405011,0.0003,0.6285225450992584,15.521949768066406,-0.006513423661817797
243,126976,817.67,522,62,4.743236890000001,610,124.98554729223251,0.6857671737670898,0.08203125,0.2,-2.0895215518772603,0.0076634493,0.0003,0.6795187294483185,162.1012420654297,-0.005503493786818581
247,129024,819.03,521,63,3.446518610000002,620,64.67118191421032,0.6732823848724365,0.083447265625,0.2,-2.0655940748751163,0.005635334,0.0003,0.6340894997119904,49.251155853271484,-0.002280455530853942
250,131072,809.82,523,64,4.846245820000002,630,48.78001805692911,0.6688195466995239,0.084033203125,0.2,-2.0389266684651375,0.005267144,0.0003,0.7616590112447739,3.75935435295105,-0.00025480386975687
254,133120,809.82,523,65,5.768989909999999,640,79.13141622543336,0.6633764505386353,0.085791015625,0.2,-2.023503230512142,0.0067187743,0.0003,0.766153410077095,6.00752067565918,-0.004350112020620145
258,135168,807.75,523,66,7.385691110000002,650,65.67238650023937,0.6573226451873779,0.085302734375,0.2,-2.0044983815401793,0.0088684345,0.0003,0.7675309926271439,1.9762647151947021,-0.002211120592255611
263,137216,807.75,520,67,7.431316810000001,660,94.25745308697223,0.6565974950790405,0.04267578125,0.2,-1.9941318903118372,0.004451181,0.0003,0.5543450713157654,18.22899627685547,-0.0008485572012432385
267,139264,791.11,519,68,7.150093839999999,670,20.91713627204299,0.6619526147842407,0.074462890625,0.2,-2.003232127800584,0.005794109,0.0003,0.7255184948444366,57.3369026184082,-0.0023361997482425068
272,141312,791.11,518,69,7.447584429999997,680,179.29164520204068,0.6528623104095459,0.061083984375,0.2,-1.9964777879416942,0.005104665,0.0003,0.37778568267822266,206.52825927734375,-0.00503331760482979
276,143360,783.6,517,70,8.843713359999999,690,41.51099169328809,0.642606258392334,0.095947265625,0.2,-1.9612889330834151,0.008575702,0.0003,0.8102078884840012,2.9015395641326904,-0.0004407365362567361
280,145408,778.31,517,71,8.091532559999996,700,84.33041422665119,0.6397782564163208,0.07197265625,0.2,-1.944411439821124,0.0055776667,0.0003,0.5473908185958862,68.55699157714844,-0.004373037523328094
285,147456,777.7,516,72,7.067934799999998,710,77.87326837480069,0.6391165256500244,0.0443359375,0.2,-1.9377573050558567,0.0039257375,0.0003,0.6462912559509277,169.7974395751953,-0.002104556744598085
289,149504,778.29,516,73,9.671020719999996,720,33.76718053370714,0.6410831212997437,0.095947265625,0.2,-1.9406491968780757,0.007060258,0.0003,0.8439388424158096,4.025086402893066,-0.004407753572741058
292,151552,773.57,518,74,7.277756929999997,730,81.05444070212543,0.6348735094070435,0.060498046875,0.2,-1.938882926478982,0.0065170685,0.0003,0.7345970869064331,2.7405858039855957,-0.0018148527669836767
295,153600,763.5,519,75,10.560963809999997,740,75.11045787036419,0.6370192170143127,0.04091796875,0.2,-1.9271760664880275,0.007927954,0.0003,0.6948412954807281,28.65337371826172,-0.0032149361693882385
299,155648,754.68,519,76,8.266430709999995,750,114.11183406710624,0.6343227624893188,0.045654296875,0.2,-1.928628309443593,0.0068482216,0.0003,0.685439944267273,74.79719543457031,-0.002565971825606539
302,157696,753.31,520,77,11.510775339999999,760,69.87557096779346,0.6310948133468628,0.067919921875,0.2,-1.9192340321838857,0.0054704677,0.0003,0.8318390399217606,22.50749969482422,0.00042151584930252286
306,159744,757.15,520,78,9.066900659999996,770,83.11890846192837,0.6343672275543213,0.06513671875,0.2,-1.9186600636690856,0.007836939,0.0003,0.8318237215280533,25.4224910736084,-0.003107140107022133
310,161792,754.78,521,79,10.648387899999996,780,36.797732969932255,0.627888560295105,0.10634765625,0.2,-1.9162978749722241,0.007074631,0.0003,0.7722778618335724,3.594048500061035,0.0017026811372488737
314,163840,762.48,521,80,13.900179169999996,790,90.67907995432616,0.6251420378684998,0.06396484375,0.2,-1.8981609284877776,0.005291163,0.0003,0.6294267177581787,7.736373424530029,-0.0034073787173838355
