time/total_timesteps,time/iterations,time/time_elapsed,rollout/ep_rew_mean,rollout/ep_len_mean,time/fps,train/approx_kl,train/learning_rate,train/entropy_loss,train/loss,train/value_loss,train/n_updates,train/policy_gradient_loss,train/explained_variance,train/clip_range,train/clip_fraction
186368,91,272,1.6704631900000022,850.08,682,0.013001911,0.0003,-0.7764160823076963,211.26258850097656,33.57123732054606,900,-0.0008445529332675505,0.7270384728908539,0.2,0.08046875
188416,92,275,-0.9842277199999995,847.45,683,0.0032868644,0.0003,-0.7240312514826656,50.11380386352539,93.75154846012592,910,-0.0024911823085858485,0.7154246270656586,0.2,0.04658203125
190464,93,278,-3.1414797500000007,836.23,684,0.004099462,0.0003,-0.8036938544362784,53.54619216918945,123.11802361309529,920,-0.0007054468216665555,0.5550532937049866,0.2,0.023779296875
192512,94,281,-1.7698884300000006,836.23,684,0.0036385101,0.0003,-0.7619270239025354,48.52214813232422,166.98190586417914,930,-0.0017198533903865609,0.4503416419029236,0.2,0.028759765625
194560,95,284,-4.3340587500000005,837.18,684,0.012051458,0.0003,-0.879497516527772,1.5389643907546997,44.60679078586399,940,-0.004820950048451777,0.9287330433726311,0.2,0.1181640625
196608,96,286,-9.001842549999997,822.7,686,0.0049598655,0.0003,-0.8478372056037188,3.0956764221191406,93.98372394517064,950,-0.0031445862870896233,0.821649968624115,0.2,0.05107421875
198656,97,290,-7.0153102999999986,824.61,684,0.00288815,0.0003,-0.8038009185343981,31.50699234008789,153.6513621330261,960,-0.0008491765234794002,0.7698866277933121,0.2,0.011474609375
200704,98,293,-6.912166799999999,821.22,684,0.012379299,0.0003,-0.7700773032382131,5.264485836029053,34.67000579088926,970,-0.0017799552362703253,0.9458356760442257,0.2,0.05869140625
202752,99,295,-11.923351309999997,801.71,685,0.00440092,0.0003,-0.7788804996758699,17.72185516357422,139.28945124745368,980,-0.0010256717228912748,0.7215976119041443,0.2,0.037744140625
204800,100,298,-11.765956000000001,799.25,685,0.0028256057,0.0003,-0.8052768617868423,38.928871154785156,152.94802625477314,990,-0.001974427210370777,0.7609544992446899,0.2,0.018359375
206848,101,302,-15.552123770000001,790.43,684,0.007382324,0.0003,-0.795721355266869,45.32622146606445,83.38465076684952,1000,-0.0012597361448570155,0.862835019826889,0.2,0.03916015625
208896,102,305,-14.912902500000003,790.43,683,0.005624448,0.0003,-0.782224433682859,48.49557113647461,128.1006360143423,1010,-0.0025960440834751353,0.820869117975235,0.2,0.071435546875
210944,103,308,-14.47601202,798.45,682,0.0075650127,0.0003,-0.7112217213958502,1.0455464124679565,38.588951307162645,1020,-0.004657613497693091,0.9118252396583557,0.2,0.111865234375
212992,104,311,-18.99089674,798.73,683,0.0105167795,0.0003,-0.729379803687334,1.9138007164001465,40.68984306678176,1030,-0.000997568362072343,0.8898278400301933,0.2,0.084033203125
215040,105,314,-21.419372889999998,800.2,682,0.0045561823,0.0003,-0.8223829574882984,17.855751037597656,144.45472433269023,1040,-0.003109191141993506,0.7555889785289764,0.2,0.050439453125
217088,106,318,-22.708043959999994,804.17,682,0.008293873,0.0003,-0.9257689643651247,26.132888793945312,43.223533395677805,1050,-0.00455105595610803,0.9172277674078941,0.2,0.12001953125
219136,107,321,-22.23876197,797.75,681,0.013768353,0.0003,-0.786703278683126,8.090670585632324,44.376895835250615,1060,-0.0027837486828502732,0.9080469906330109,0.2,0.148876953125
221184,108,324,-21.984999250000005,797.75,680,0.005471484,0.0003,-0.7292703405022621,43.69435501098633,68.51193476766348,1070,-0.0017066619053366593,0.8862172141671181,0.2,0.07021484375
223232,109,327,-23.377850750000007,785.97,682,0.008284785,0.0003,-0.679698058590293,2.583834648132324,43.2384332485497,1080,-0.0015387968469440239,0.9093671441078186,0.2,0.082763671875
225280,110,329,-27.040399790000002,773.61,683,0.005496253,0.0003,-0.7414527472108603,136.27328491210938,244.22330890297889,1090,-0.0012499880162067712,0.5664156079292297,0.2,0.04404296875
227328,111,332,-25.01928838,768.33,682,0.0020010094,0.0003,-0.7425517372786998,18.423213958740234,118.99784203618765,1100,-0.0019238733613747172,0.7469285726547241,0.2,0.030029296875
229376,112,335,-22.533277139999996,753.24,683,0.010850787,0.0003,-0.822715220414102,8.293024063110352,75.42392632104456,1110,-0.00048110847419593485,0.6079215705394745,0.2,0.07666015625
231424,113,338,-20.46406537,740.62,683,0.007660824,0.0003,-0.7713169993832707,47.68336486816406,205.18368182480336,1120,-0.0025479123105469625,0.6227739155292511,0.2,0.06611328125
233472,114,340,-21.46380982,738.28,684,0.0058619212,0.0003,-0.6641515225172043,261.8154602050781,211.95165631473066,1130,-0.002663668169043376,0.5434078276157379,0.2,0.03935546875
235520,115,343,-17.371620420000003,739.87,684,0.020141758,0.0003,-0.8044843355193734,11.826531410217285,138.71614269912243,1140,-0.0022393830673536285,0.655508428812027,0.2,0.072216796875
237568,116,347,-17.156993079999996,733.95,684,0.016705798,0.0003,-0.875379528477788,4.736365795135498,62.128577614575626,1150,-0.0034855443595006364,0.6735405325889587,0.2,0.12861328125
239616,117,350,-14.55248582,734.23,683,0.0056805355,0.0003,-0.8035023031756282,18.546520233154297,75.06598485186696,1160,-0.00023842818845878355,0.6420345902442932,0.2,0.113916015625
241664,118,353,-13.951531889999998,727.45,683,0.0047354233,0.0003,-0.8305894456803798,4.226955890655518,78.94245568960905,1170,-0.002611654713837197,0.7476785778999329,0.2,0.06552734375
243712,119,356,-11.47084314,728.44,682,0.005599042,0.0003,-0.7725736165419221,6.812268257141113,75.42744960412384,1180,-0.0027659051193040796,0.8547110706567764,0.2,0.0576171875
245760,120,359,-13.281090640000007,722.11,683,0.0075653056,0.0003,-0.9372875133529306,49.519596099853516,70.00695239081979,1190,-0.00012984816639800557,0.6913110315799713,0.2,0.1318359375
247808,121,361,-13.294424090000009,716.98,684,0.014669733,0.0003,-0.6588141554966569,11.1627197265625,125.54153994619847,1200,-0.011397371309431036,0.559417724609375,0.2,0.125146484375
249856,122,365,-12.144538140000002,712.13,684,0.0038572014,0.0003,-0.69001400526613,92.46704864501953,191.7800964385271,1210,-0.0015138387258048168,0.4769464135169983,0.2,0.038134765625
251904,123,368,-13.91887243,710.11,683,0.008345662,0.0003,-0.8449183207005262,52.86540222167969,108.28195872157812,1220,-0.0014722447445819852,0.62085822224617,0.2,0.037841796875
2048,1,2,-414.8443245,1000.0,729,0.014829155,0.0003,-0.6605120463296771,13.32557487487793,74.0452519401908,1230,-0.001587884654145455,0.6769186854362488,0.2,0.103564453125
4096,2,5,-385.7054646,794.8,745,0.0042107035,0.0003,-0.6463873768225312,1.7623040676116943,46.32657122388482,1240,-0.0003901982367096934,0.4971250295639038,0.2,0.064013671875
6144,3,8,-391.29293,759.1428571428571,732,0.009496229,0.0003,-0.817481679841876,174.0019989013672,122.78220307081938,1250,-0.001928781515744049,0.3687870502471924,0.2,0.078759765625
8192,4,11,-432.5879939,787.2,708,0.0048226165,0.0003,-0.7065628884360194,6.793112754821777,89.57177371233702,1260,-0.0012380194468278205,0.7963439524173737,0.2,0.030615234375
10240,5,15,-437.97105074999996,822.6666666666666,671,0.014828255,0.0003,-0.7820467146113514,44.99433898925781,83.73597899749875,1270,-0.0017253944533877075,0.46126121282577515,0.2,0.05830078125
12288,6,18,-436.89351619999997,805.6666666666666,647,0.013271663,0.0003,-0.8531340293586254,3.168215036392212,48.744131334125996,1280,-0.007211880922841374,0.737481027841568,0.2,0.175390625
14336,7,21,-416.28948357894734,752.7894736842105,658,0.0039337566,0.0003,-0.6805983487516641,77.70133209228516,133.65245452076198,1290,-0.0021557626605499536,0.6486147344112396,0.2,0.041943359375
16384,8,24,-441.18316352380947,763.1904761904761,662,0.0044679716,0.0003,-0.6973478615283966,55.68718719482422,157.93644384145736,1300,-0.0012084488012988003,0.6920443773269653,0.2,0.048876953125
18432,9,27,-429.2970948,731.4,669,0.011278318,0.0003,-0.8238516008481384,26.215740203857422,42.197542674094436,1310,-1.4097566599957645e-05,0.7329950630664825,0.2,0.09794921875
20480,10,30,-426.58027857142855,712.3928571428571,674,0.005629958,0.0003,-0.7169824151322246,28.81817054748535,123.51446836292743,1320,-0.0015357198244601022,0.767286092042923,0.2,0.0486328125
22528,11,33,-436.57565634375,703.6875,675,0.0038721678,0.0003,-0.8245685581117869,19.95536231994629,72.0837049074471,1330,-0.0019452792424999644,0.8893526718020439,0.2,0.072119140625
24576,12,35,-422.6273054117647,717.2058823529412,694,0.0044631744,0.0003,-0.7518108926713467,79.53927612304688,135.1904193818569,1340,-0.003840725138434209,0.7150236368179321,0.2,0.03232421875
26624,13,38,-428.4726765945946,718.1081081081081,692,0.0048590573,0.0003,-0.6055571222677827,6.354916095733643,105.21311544179916,1350,-0.0022510171467729377,0.8197175115346909,0.2,0.02666015625
