rollout/ep_rew_mean,time/fps,time/total_timesteps,time/iterations,rollout/ep_len_mean,time/time_elapsed,train/learning_rate,train/clip_fraction,train/clip_range,train/n_updates,train/explained_variance,train/entropy_loss,train/value_loss,train/approx_kl,train/loss,train/policy_gradient_loss
-58.62203982000001,798,96256,47,623.56,120,0.0003,0.051123046875,0.2,460,0.6678837537765503,-0.9600070105865598,177.92885368466378,0.007672118,19.714963912963867,-0.004809518774709432
-58.906135209999995,795,98304,48,619.87,123,0.0003,0.040625,0.2,470,0.7462815642356873,-0.9345673797652125,125.36517371535301,0.0067342524,260.252685546875,-0.003189710890001152
-54.55450385,791,100352,49,633.3,126,0.0003,0.0369140625,0.2,480,0.7749384939670563,-0.9976210679858923,106.10111852884293,0.006988207,81.97051239013672,-0.003011448124379967
-50.64127914000001,785,102400,50,644.75,130,0.0003,0.030517578125,0.2,490,0.7845422923564911,-0.8952959202229976,78.59478912949562,0.0055269455,77.9630126953125,-0.003485248218930792
-48.592697740000006,781,104448,51,653.67,133,0.0003,0.132275390625,0.2,500,0.7834496647119522,-0.9292790938168765,72.79403481036425,0.014499484,22.20909881591797,-0.005975766464689514
-44.95595096000001,779,106496,52,668.6,136,0.0003,0.076025390625,0.2,510,0.7744236141443253,-1.0396588174626231,74.50900883078575,0.006013022,15.726003646850586,-0.0013557706770370714
-39.94020884,777,108544,53,687.94,139,0.0003,0.11357421875,0.2,520,0.8627081662416458,-1.0606390804052352,42.001028404012324,0.0074272593,3.69287109375,-0.0028284895175602286
-35.719778139999995,777,110592,54,703.81,142,0.0003,0.025732421875,0.2,530,0.6069959402084351,-0.8839089784771204,154.69200496077536,0.0052572787,96.328857421875,-0.0013811657816404476
-33.59271572000001,771,112640,55,719.75,146,0.0003,0.048486328125,0.2,540,0.723089337348938,-0.9284467861056328,115.20382074415684,0.006964523,77.29576110839844,-0.0018187631765613332
-33.79241301,768,114688,56,733.2,149,0.0003,0.13203125,0.2,550,0.8447941541671753,-0.8936227854341269,42.394257778674366,0.014335077,2.793301582336426,-0.0042060027772095054
-32.83849415,768,116736,57,743.99,151,0.0003,0.044091796875,0.2,560,0.5915980637073517,-1.0220170808956026,135.8025242611766,0.0071616024,25.077939987182617,-0.0027204410755075513
-29.668820700000005,763,118784,58,754.22,155,0.0003,0.0455078125,0.2,570,0.8764641135931015,-0.9277321584522724,60.48446790277958,0.0061740633,7.999801158905029,-0.005542027775663883
-25.9594119,753,120832,59,768.97,160,0.0003,0.084521484375,0.2,580,0.8096527457237244,-1.0390531685203315,43.63920927941799,0.008652583,7.22960901260376,-0.001331901946105063
-23.57154634,748,122880,60,773.5,164,0.0003,0.139501953125,0.2,590,0.7726178914308548,-1.0315849792212248,57.21050703898072,0.009667538,5.430171489715576,-0.005525701045553433
-22.91725223,746,124928,61,781.77,167,0.0003,0.191845703125,0.2,600,0.7601052075624466,-0.9298418434336782,61.75378876775503,0.01206786,3.0871026515960693,-0.00561533155705547
-23.561902810000003,743,126976,62,787.62,170,0.0003,0.049267578125,0.2,610,0.8311303853988647,-1.0058742113411427,47.19809562191367,0.0063712904,2.2598934173583984,-0.003198631785926409
-19.355591329999996,741,129024,63,800.48,173,0.0003,0.152978515625,0.2,620,0.861614465713501,-0.8829965353012085,39.08038555458188,0.014352757,381.37188720703125,-0.004231752585474169
-18.08957414,739,131072,64,799.5,177,0.0003,0.074951171875,0.2,630,0.7450249791145325,-0.9263936592265963,79.76382940039039,0.0051905024,31.80982208251953,-0.0024159115862858018
-15.16183505,734,133120,65,812.66,181,0.0003,0.025,0.2,640,0.5003854334354401,-0.9036504823714495,172.06538171768187,0.0045405254,137.1600799560547,-0.0008638195344246924
-14.446160460000002,733,135168,66,809.12,184,0.0003,0.091748046875,0.2,650,0.8431532979011536,-1.0092162942513823,34.88925319388509,0.006135055,2.390690326690674,-0.0029659323234227488
-14.012757949999997,731,137216,67,804.43,187,0.0003,0.035986328125,0.2,660,0.5578573346138,-0.8921819243580102,206.69560953378678,0.0066128513,408.33380126953125,-0.001648646227477002
-12.551014050000001,730,139264,68,812.71,190,0.0003,0.119921875,0.2,670,0.6498822271823883,-0.948868784122169,74.65099924281239,0.018425768,25.530115127563477,-0.006027306002215483
-13.555069880000001,731,141312,69,809.0,193,0.0003,0.084130859375,0.2,680,0.7462363243103027,-0.90240842346102,96.94496432691813,0.009602557,371.39532470703125,-0.0034756772249238564
-10.37156489,726,143360,70,813.32,197,0.0003,0.056396484375,0.2,690,0.6736036241054535,-0.9792526347562671,100.21070461124182,0.006822074,14.168013572692871,-0.0015598977388435742
-9.144765940000001,728,145408,71,807.49,199,0.0003,0.058740234375,0.2,700,0.7885582894086838,-0.8610134840011596,55.25100404024124,0.004712018,4.533229351043701,-0.001954822831612546
-10.525957960000001,726,147456,72,803.99,202,0.0003,0.020947265625,0.2,710,0.6460362672805786,-0.8717286575585603,189.60027094185352,0.0035138726,84.54244232177734,-0.001754894052101008
-9.736772270000003,723,149504,73,809.07,206,0.0003,0.064013671875,0.2,720,0.7299427390098572,-0.9581622520461679,75.24914649128914,0.0070974943,4.935830116271973,-0.0027884321101737442
-9.265217920000003,721,151552,74,815.66,210,0.0003,0.136181640625,0.2,730,0.8472931981086731,-0.9409277571365238,47.944390249997376,0.00965271,163.43557739257812,-0.0028114476081100293
-6.9326216100000035,717,153600,75,821.29,213,0.0003,0.076708984375,0.2,740,0.8805219754576683,-0.9034556820988655,34.83999395892024,0.007636244,6.270137786865234,-0.005557675888121593
-5.870801480000003,716,155648,76,816.79,217,0.0003,0.07236328125,0.2,750,0.846305787563324,-0.9515506070107221,45.526359847188,0.008752892,3.1530215740203857,-0.004254966462031007
-3.991542280000003,716,157696,77,806.5,220,0.0003,0.026708984375,0.2,760,0.6921189427375793,-0.8890188725665211,116.65259118378162,0.0037295641,61.10454177856445,-0.0001324599732470233
-4.725831470000003,717,159744,78,800.89,222,0.0003,0.0220703125,0.2,770,0.5453073382377625,-0.835346614010632,142.18914765715598,0.004411244,20.988035202026367,-0.0011446126503869892
-5.270997920000003,718,161792,79,780.56,225,0.0003,0.034765625,0.2,780,0.7168390154838562,-0.9309569699689746,109.08130853027106,0.004469467,7.880021095275879,-0.0003324081604660023
