time/iterations,time/fps,time/total_timesteps,rollout/ep_rew_mean,time/time_elapsed,rollout/ep_len_mean,train/approx_kl,train/policy_gradient_loss,train/clip_range,train/learning_rate,train/clip_fraction,train/value_loss,train/entropy_loss,train/n_updates,train/explained_variance,train/loss
33,928,67584,-79.71175292000001,72,463.9,0.0057498105,-0.006353221973404289,0.2,0.0003,0.05986328125,66.19470399320126,-0.8011731067672372,320,0.7483591735363007,11.41192626953125
34,923,69632,-72.57053224,75,476.23,0.01715656,-0.00478233809080848,0.2,0.0003,0.097216796875,163.95020676851271,-0.6696377949789166,330,0.6214134395122528,23.454368591308594
35,920,71680,-65.51317900000001,77,486.72,0.01391074,-0.006966802021997865,0.2,0.0003,0.0609375,232.78880302906038,-0.7576767992228269,340,0.3881453275680542,184.8775634765625
36,920,73728,-57.157408450000005,80,503.09,0.0064172056,-0.005083840391307604,0.2,0.0003,0.03369140625,216.5587546467781,-0.7526651522144675,350,0.2910541296005249,53.62161636352539
37,909,75776,-51.83802918000001,83,519.14,0.0048931087,-0.0047743320756126195,0.2,0.0003,0.041162109375,165.31199333667755,-0.7907825067639351,360,0.2117396593093872,158.55349731445312
38,907,77824,-46.07988846999999,85,532.52,0.004795541,-0.003062162810965674,0.2,0.0003,0.025439453125,196.8589030146599,-0.786679651029408,370,0.2436116337776184,305.7229309082031
39,904,79872,-41.643002349999996,88,547.89,0.0057205767,-0.0070581852887698915,0.2,0.0003,0.04375,236.6547420322895,-0.8059273347258568,380,0.2967989444732666,112.53582763671875
40,902,81920,-37.06390468000001,90,554.28,0.00659538,-0.0037170521922234912,0.2,0.0003,0.065966796875,142.23548557758332,-0.8335128786042333,390,0.5282106101512909,30.760093688964844
41,897,83968,-31.397180130000002,93,559.17,0.00557312,-0.002551470733305905,0.2,0.0003,0.023779296875,236.7621567249298,-0.8833426028490067,400,0.44701462984085083,173.88095092773438
42,895,86016,-27.65667338,96,568.29,0.0051315557,-0.0037853049594559706,0.2,0.0003,0.044775390625,180.13200211524963,-0.8177760601043701,410,0.39045411348342896,34.006309509277344
43,892,88064,-19.622961360000005,98,569.52,0.007949726,-0.006429027548438171,0.2,0.0003,0.070361328125,179.8727667927742,-0.8682889986783267,420,0.4134642481803894,23.00767707824707
44,891,90112,-17.56499996000001,101,570.89,0.005309904,-0.003886096174392151,0.2,0.0003,0.051318359375,182.27476333379747,-0.7313928566873074,430,0.5123623907566071,163.4087371826172
45,888,92160,-12.156537130000002,103,574.35,0.005022019,-0.005991985548462253,0.2,0.0003,0.068359375,94.1718490421772,-0.7729088654741645,440,0.6206193268299103,29.269737243652344
46,883,94208,-8.67999531,106,576.89,0.0053136665,-0.002810872659756569,0.2,0.0003,0.038671875,199.1283890724182,-0.7945773491635919,450,0.3552154302597046,18.73322105407715
47,884,96256,-4.580727030000002,108,579.94,0.004446045,-0.0018515922041842715,0.2,0.0003,0.030029296875,214.22676062583923,-0.8686168165877461,460,0.30363863706588745,783.4904174804688
48,884,98304,0.10079797999999726,111,584.58,0.010070223,-0.009260980213730364,0.2,0.0003,0.042822265625,205.56846761107445,-0.8979844065383077,470,0.3972274661064148,131.50863647460938
49,882,100352,8.095978539999997,113,595.23,0.005707195,-0.006294630438424065,0.2,0.0003,0.04765625,221.8185573875904,-0.777758508361876,480,0.3843138813972473,470.25543212890625
50,880,102400,10.28435954,116,581.66,0.007066508,-0.004060452616249677,0.2,0.0003,0.07998046875,129.62485253810883,-0.7921461371704936,490,0.3803796172142029,54.5277099609375
51,881,104448,12.560696819999999,118,582.82,0.00502544,-0.0023781891162798275,0.2,0.0003,0.035107421875,210.39858244657518,-0.8586715731769801,500,0.34895819425582886,44.449310302734375
52,878,106496,20.17716889,121,577.49,0.0039960095,-0.0048776763338537425,0.2,0.0003,0.019482421875,225.90736486315728,-0.8805887622758746,510,0.45392006635665894,59.425025939941406
53,877,108544,24.658446379999997,123,578.17,0.009223534,-0.004643773693533149,0.2,0.0003,0.116064453125,131.00847936868666,-0.8455909254029393,520,0.5219947397708893,16.220407485961914
54,876,110592,30.72953871,126,572.8,0.0068901284,-0.0033358436761773192,0.2,0.0003,0.05888671875,96.78306177556514,-0.7667523125186563,530,0.6769684255123138,17.009178161621094
55,875,112640,37.28354014000001,128,572.82,0.005143971,-0.002844018241012236,0.2,0.0003,0.02490234375,223.0138623058796,-0.799792381376028,540,0.4096395969390869,264.352294921875
56,872,114688,42.346804600000006,131,570.12,0.0073795067,-0.004733317812497262,0.2,0.0003,0.076123046875,93.34260430186987,-0.7791860057041049,550,0.6318701803684235,3.41755747795105
57,872,116736,48.860597260000006,133,576.33,0.0060194586,-0.0040260036010295154,0.2,0.0003,0.093017578125,123.29255861639976,-0.8016893001273274,560,0.6780371367931366,17.234739303588867
58,872,118784,52.59113483000001,136,568.5,0.005776206,-0.00482143925037235,0.2,0.0003,0.04326171875,172.06421389579774,-0.7972212918102741,570,0.5261054635047913,139.68234252929688
59,873,120832,57.6677221,138,553.91,0.0046629556,-0.002538666246982757,0.2,0.0003,0.032763671875,137.27309384047985,-0.7786392206326127,580,0.5343642234802246,35.19816589355469
60,873,122880,60.790769610000005,140,547.09,0.0096963,-0.0037433106641401536,0.2,0.0003,0.02666015625,111.0457735568285,-0.7572289284318685,590,0.6623918414115906,18.115232467651367
61,872,124928,62.03050623,143,542.49,0.0074334536,-0.005743997472745832,0.2,0.0003,0.060986328125,145.23033164441586,-0.7645947391167283,600,0.6222384572029114,20.254566192626953
62,870,126976,61.71213666000001,145,540.09,0.0059841885,-0.003281208914995659,0.2,0.0003,0.059765625,175.71269085109233,-0.764861948415637,610,0.5283616781234741,35.687625885009766
63,869,129024,64.83199966000001,148,540.81,0.007639153,-0.0030956118025642354,0.2,0.0003,0.07861328125,96.98360006213188,-0.8551089501008391,620,0.6483859717845917,11.012091636657715
