time/total_timesteps,time/time_elapsed,rollout/ep_rew_mean,time/fps,time/iterations,rollout/ep_len_mean,train/clip_fraction,train/entropy_loss,train/clip_range,train/value_loss,train/loss,train/policy_gradient_loss,train/explained_variance,train/approx_kl,train/learning_rate,train/n_updates
96256,133,-39.27796382,721,47,708.1,0.081640625,-0.9078132621943951,0.2,32.417685019597414,1.869953989982605,-0.004196153710654471,0.6058436334133148,0.007564606,0.0003,460
98304,137,-37.35016152,713,48,716.6,0.019921875,-0.906107127852738,0.2,131.41163076013328,70.16183471679688,-0.001491171673114877,0.5454278290271759,0.0054587587,0.0003,470
100352,141,-33.72907992999999,709,49,720.56,0.093310546875,-0.8475902808830142,0.2,43.2756602179259,5.147094249725342,-0.004401592942303978,0.6826305687427521,0.009124886,0.0003,480
102400,145,-30.908562229999998,705,50,735.83,0.037451171875,-0.7999332239851356,0.2,67.64068565815687,10.476059913635254,-0.003951529577898327,0.45503705739974976,0.008623224,0.0003,490
104448,149,-29.560346149999997,700,51,757.72,0.070947265625,-0.8775080284103751,0.2,38.01270521916449,1.9829126596450806,-0.004282513981888769,0.5714461803436279,0.006314111,0.0003,500
106496,152,-23.153978900000002,698,52,772.15,0.05302734375,-0.8887090066447854,0.2,103.07606498748063,12.742794036865234,-0.0033274171697485143,0.40038156509399414,0.00463258,0.0003,510
108544,155,-21.227700960000004,696,53,787.19,0.052490234375,-0.8731094047427177,0.2,61.92712768316269,63.08098220825195,-0.0041137055624858474,0.5415864288806915,0.006968865,0.0003,520
110592,159,-17.235189300000002,694,54,798.15,0.055224609375,-0.8051287228241563,0.2,61.47186886966229,4.039148807525635,-0.004126899347829749,0.6302131414413452,0.007883367,0.0003,530
112640,163,-14.460337710000001,690,55,805.4,0.048876953125,-0.8768594356253743,0.2,60.59651902839541,5.487911224365234,-0.002509019378339872,0.38142693042755127,0.004744415,0.0003,540
114688,166,-14.638239770000002,690,56,802.38,0.0400390625,-0.9113170785829425,0.2,104.4947389036417,21.003570556640625,-0.001170166992233135,0.29721421003341675,0.004230502,0.0003,550
116736,168,-8.156981640000003,693,57,813.0,0.075830078125,-0.8225947430357337,0.2,74.97932797372341,18.46377182006836,-0.0029993304415256716,0.6217778325080872,0.008098984,0.0003,560
118784,172,-6.04980247,689,58,828.4,0.018310546875,-0.8696258993819356,0.2,232.68751586973667,275.66656494140625,-0.00039880983968032524,0.17980819940567017,0.004865325,0.0003,570
120832,174,-5.448120310000003,691,59,827.72,0.0458984375,-0.7523262284696102,0.2,38.385759542137386,3.5695266723632812,-0.003950379238813184,0.6962771415710449,0.0047695506,0.0003,580
122880,178,0.7277394399999992,689,60,842.18,0.017333984375,-0.8065213708207011,0.2,212.99653189480304,42.57565689086914,-0.001671633193109301,0.47608911991119385,0.0032013408,0.0003,590
