time/fps,time/total_timesteps,rollout/ep_len_mean,rollout/ep_rew_mean,time/iterations,time/time_elapsed,train/loss,train/approx_kl,train/clip_fraction,train/n_updates,train/learning_rate,train/policy_gradient_loss,train/explained_variance,train/clip_range,train/entropy_loss,train/value_loss
830,122880,700.39,-24.32090947,60,147,46.41088104248047,0.008968584,0.0775390625,590,0.0003,-0.00235893401732028,0.8333586305379868,0.2,-0.7599813876673579,77.86658294573427
831,124928,698.06,-25.982110520000003,61,150,119.80406188964844,0.007199505,0.09912109375,600,0.0003,-0.005432521442708093,0.8340700715780258,0.2,-0.7576548648998142,164.91437508761882
829,126976,700.02,-24.648837490000002,62,153,22.773536682128906,0.0045856675,0.05673828125,610,0.0003,-0.0012576826542499476,0.8655581027269363,0.2,-0.8430211003869772,90.32152037769556
830,129024,700.25,-25.06349078,63,155,68.22687530517578,0.0033886035,0.041943359375,620,0.0003,-0.0028323476857622155,0.8984399139881134,0.2,-0.8142633622512221,95.31067041158676
831,131072,682.16,-27.829614030000002,64,157,12.78921890258789,0.0071264305,0.08134765625,630,0.0003,-0.00419778490322642,0.9171182662248611,0.2,-0.7974551104009151,76.36832472980022
834,133120,650.84,-33.525214500000004,65,159,36.220558166503906,0.017515432,0.0681640625,640,0.0003,-0.00880548185959924,0.8346483707427979,0.2,-0.8680781953036785,155.7051967918873
829,135168,645.25,-33.6810743,66,162,40.35452651977539,0.005728755,0.041796875,650,0.0003,-0.0026051423068565783,0.8900557234883308,0.2,-0.8868996102362872,140.32878467440605
827,137216,648.11,-36.01237025,67,165,46.69643020629883,0.006637891,0.07255859375,660,0.0003,-0.0028978010319406166,0.879406750202179,0.2,-0.9400683686137199,67.10325272530318
820,139264,644.13,-34.22466608,68,169,2.6024224758148193,0.008976998,0.14169921875,670,0.0003,-0.00792728941887617,0.9779615942388773,0.2,-0.95579626057297,12.120258390903473
814,141312,640.86,-35.11320686,69,173,105.1107406616211,0.007737387,0.089306640625,680,0.0003,-0.0015302603256714064,0.8606962412595749,0.2,-0.9163840498775244,86.12976953461767
813,143360,630.39,-36.36087954,70,176,3.2362027168273926,0.014643898,0.119970703125,690,0.0003,-0.003915065152250463,0.8712194114923477,0.2,-0.8063318667933345,77.6641757234931
814,145408,616.9,-38.3704756,71,178,234.20582580566406,0.006046609,0.032666015625,700,0.0003,-0.0029485202991054392,0.8624031245708466,0.2,-0.8576222574338317,117.58224202394486
813,147456,608.58,-39.07612151,72,181,24.1532039642334,0.006117383,0.07734375,710,0.0003,-0.004754844386479817,0.9026991724967957,0.2,-0.8749018866568804,96.9634521484375
