time/total_timesteps,time/fps,rollout/ep_len_mean,time/iterations,time/time_elapsed,rollout/ep_rew_mean,train/learning_rate,train/explained_variance,train/approx_kl,train/clip_fraction,train/clip_range,train/loss,train/n_updates,train/entropy_loss,train/policy_gradient_loss,train/value_loss
57344,1086,300.88,28,52,-114.53411328000001,0.0003,0.1142778992652893,0.0091887135,0.0810546875,0.2,186.0704345703125,270,-1.0730279505252838,-0.010487790124170716,176.70231246948242
59392,1043,312.46,29,56,-110.71334473,0.0003,0.03401219844818115,0.008336233,0.054443359375,0.2,102.27424621582031,280,-0.9998459542170167,-0.005204331888671731,210.83159598112107
61440,1005,329.46,30,61,-108.55049715999999,0.0003,0.019714832305908203,0.0047879796,0.057763671875,0.2,28.523143768310547,290,-1.0834980323910712,-0.005609637527595623,114.36406598091125
63488,989,347.14,31,64,-106.18620063999998,0.0003,0.08020371198654175,0.008821314,0.085205078125,0.2,22.984149932861328,300,-1.0587412837892771,-0.011113005301740485,84.5177948653698
65536,973,363.31,32,67,-103.87739761,0.0003,0.24755853414535522,0.004046882,0.0267578125,0.2,15.291309356689453,310,-0.9895128892734647,-0.0039273145666811615,79.62284936904908
67584,945,387.4,33,71,-98.95176351,0.0003,0.4275200366973877,0.0063271476,0.045947265625,0.2,12.371231079101562,320,-1.042117166146636,-0.003409423395351041,32.33563409745693
69632,922,403.76,34,75,-96.98327740999997,0.0003,0.3733571171760559,0.007176848,0.092578125,0.2,6.988335132598877,330,-1.0694068726152182,-0.006345912739925552,47.63261782228947
71680,911,420.03,35,78,-93.53472765999997,0.0003,0.5051355957984924,0.007910518,0.06708984375,0.2,12.307509422302246,340,-0.9380824657157063,-0.008170971658546477,46.39950503110886
73728,907,436.47,36,81,-92.01283176999998,0.0003,0.5363203585147858,0.009966554,0.077587890625,0.2,16.018123626708984,350,-0.9548314029350877,-0.004785158533195499,43.572022542357445
75776,895,447.75,37,84,-89.35017311,0.0003,0.5313879251480103,0.004899671,0.083935546875,0.2,12.928007125854492,360,-1.028513067960739,-0.005386997429013718,40.721487131714824
77824,871,461.34,38,89,-86.60076981999998,0.0003,0.24333375692367554,0.003877337,0.0349609375,0.2,67.26626586914062,370,-1.047770713455975,-0.003496493789862143,117.5146365493536
79872,863,476.6,39,92,-83.88619202999999,0.0003,0.5909048616886139,0.011317663,0.120068359375,0.2,4.304637432098389,380,-1.0498375076800586,-0.007465389961726032,45.22589226514101
81920,857,494.29,40,95,-81.89036231000001,0.0003,0.36137574911117554,0.0047460943,0.020361328125,0.2,7.144561290740967,390,-1.0064231615513564,-0.001813834889435384,150.14803349673747
83968,848,513.59,41,98,-77.53523505000001,0.0003,0.7444260120391846,0.008891747,0.04912109375,0.2,2.3519301414489746,400,-0.9454710848629475,-0.0022269954410148785,36.89249401092529
86016,832,532.2,42,103,-72.10038343000001,0.0003,0.4738531708717346,0.008533845,0.043359375,0.2,25.612539291381836,410,-0.902686532214284,-0.006150383610656718,138.00822245925664
88064,830,542.14,43,106,-68.03734739000001,0.0003,0.4385451078414917,0.007954566,0.060009765625,0.2,69.6536865234375,420,-0.9146257486194372,-0.00462897524193977,133.7561527878046
90112,812,552.41,44,110,-63.01747551000001,0.0003,0.5823600590229034,0.01225644,0.092822265625,0.2,33.68684387207031,430,-0.9603793259710074,-0.0027333786681992935,81.6446286380291
92160,807,564.67,45,114,-63.03378811000002,0.0003,0.5466226041316986,0.0111928405,0.144677734375,0.2,8.85117244720459,440,-1.011240297369659,-0.0057828222692478445,83.77940840572118
94208,809,576.45,46,116,-57.11904989999998,0.0003,0.5029592514038086,0.0027442442,0.0220703125,0.2,221.68055725097656,450,-0.9738263055682183,-0.002158829951804364,162.59603693187236
96256,806,589.86,47,119,-53.92513798,0.0003,0.38083481788635254,0.00726086,0.036376953125,0.2,95.14424133300781,460,-0.8292845094576478,-0.003106788660079474,182.2863323122263
