rollout/ep_rew_mean,time/fps,time/total_timesteps,rollout/ep_len_mean,time/time_elapsed,time/iterations,train/n_updates,train/policy_gradient_loss,train/entropy_loss,train/approx_kl,train/learning_rate,train/clip_fraction,train/explained_variance,train/loss,train/clip_range,train/value_loss
-8.966412889999999,771,196608,729.87,254,96,950,-0.002576895000311197,-0.8539424244314432,0.0042533553,0.0003,0.030615234375,0.774508148431778,71.40619659423828,0.2,114.46007602885365
-6.842345679999999,772,198656,719.45,257,97,960,-0.0010453474375026416,-0.8942332511767745,0.002644035,0.0003,0.006689453125,0.6571277379989624,42.37012481689453,0.2,238.95140021443368
-4.003863870000001,771,200704,719.56,260,98,970,-0.0018336201250349405,-0.774935414455831,0.004551122,0.0003,0.01650390625,0.6948431730270386,33.132999420166016,0.2,207.56378756165503
-3.5481575199999997,770,202752,719.36,263,99,980,-0.0033305029788607498,-0.9422150503844022,0.016215287,0.0003,0.1142578125,0.7988866567611694,0.9286186099052429,0.2,81.38669992834329
-3.1295407900000005,770,204800,731.4,265,100,990,-0.0005487389036716195,-0.6521011322736741,0.0052614757,0.0003,0.02744140625,0.7176354229450226,3.7392499446868896,0.2,64.92336782179773
-2.418569900000001,769,206848,740.36,268,101,1000,-0.00227795330574736,-0.9299461958929897,0.00857147,0.0003,0.109423828125,0.8537930697202682,0.7150227427482605,0.2,47.71619141260162
-3.3456073300000013,769,208896,734.94,271,102,1010,-0.0004700304292782675,-0.8889177784323692,0.004918932,0.0003,0.06298828125,0.7894556373357773,1.1894252300262451,0.2,73.8434182351455
-5.084074020000002,769,210944,740.65,274,103,1020,-0.003120250142092118,-0.9343144416809082,0.0041820616,0.0003,0.085302734375,0.6062667369842529,76.67088317871094,0.2,130.8141259126365
-4.91659772,769,212992,740.65,276,104,1030,-0.001762543892255053,-1.0050547890365125,0.008199798,0.0003,0.135302734375,0.8458193838596344,1.1592737436294556,0.2,47.6369933379814
-4.22168467,769,215040,734.72,279,105,1040,-0.0031586273136781527,-0.9334271471947432,0.0057899253,0.0003,0.068408203125,0.8307535946369171,0.40683192014694214,0.2,62.947778628952804
-2.9028665300000007,769,217088,740.58,282,106,1050,-0.0003215007556718774,-0.8270045302808284,0.0026506567,0.0003,0.025732421875,0.8232494592666626,3.753295421600342,0.2,90.38840719982981
-4.47340133,768,219136,738.4,285,107,1060,-0.0011820657324278726,-1.0075656121596694,0.008671971,0.0003,0.0951171875,0.9030636325478554,0.22486986219882965,0.2,36.96676766755991
-4.96722308,767,221184,738.4,288,108,1070,-0.002768748796006548,-0.9878677112981677,0.009266224,0.0003,0.091064453125,0.8077050298452377,3.817873001098633,0.2,93.195917476248
0.38299983999999987,765,223232,750.19,291,109,1080,-0.004474858651519753,-1.0108175376430153,0.009224165,0.0003,0.112939453125,0.9142848327755928,0.24259549379348755,0.2,41.77054391428828
-0.8040754700000005,765,225280,746.09,294,110,1090,-0.001344358111236943,-0.8129457062110305,0.009990402,0.0003,0.02451171875,0.8649570941925049,33.15635681152344,0.2,70.63597489893436
-2.50442213,766,227328,748.42,296,111,1100,-0.005203518160124076,-0.87609495613724,0.014714017,0.0003,0.13544921875,0.8550059497356415,4.04891300201416,0.2,45.53847481757403
-3.523972860000002,766,229376,740.94,299,112,1110,-0.0009529161223326809,-0.7667462037876248,0.0016334953,0.0003,0.00556640625,0.7492549419403076,129.17478942871094,0.2,155.9487727664411
-1.7439150500000005,765,231424,741.66,302,113,1120,-0.003407717631853302,-0.7248215630650521,0.004321685,0.0003,0.031005859375,0.7509108483791351,50.035911560058594,0.2,152.30920927673577
0.8189643299999991,767,233472,731.32,304,114,1130,-0.0027390371415094705,-0.8181191401556134,0.0027112602,0.0003,0.028955078125,0.819430410861969,7.546128273010254,0.2,99.91390218064188
2.411507149999998,768,235520,738.14,306,115,1140,-0.0011486054438137217,-0.6868858139961957,0.0034245192,0.0003,0.007763671875,0.6699290573596954,19.916881561279297,0.2,223.55441212058068
1.4538476300000003,768,237568,730.27,309,116,1150,-0.004271656730998075,-0.7880538614466787,0.008247606,0.0003,0.078955078125,0.8584111630916595,30.58327865600586,0.2,71.83293687552214
5.005145570000001,768,239616,740.27,311,117,1160,-0.003708370737513178,-0.756683786585927,0.005422523,0.0003,0.03876953125,0.7848828881978989,56.08491516113281,0.2,123.38776316195727
5.574735340000002,767,241664,734.96,314,118,1170,-0.002942850935505703,-0.7742369526997208,0.005353569,0.0003,0.081396484375,0.8006393760442734,2.227827310562134,0.2,77.02258315347134
5.27938153,767,243712,741.03,317,119,1180,-0.001231262936926214,-0.7404743870720267,0.0044912575,0.0003,0.03896484375,0.7316732704639435,5.859356880187988,0.2,64.54144593179225
3.8908944800000005,766,245760,744.36,320,120,1190,-0.004673899887711741,-0.7137992156669497,0.007431176,0.0003,0.0958984375,0.8804157003760338,0.5736908912658691,0.2,37.71121320603415
4.1291551900000005,766,247808,739.37,323,121,1200,-0.0007754524922347628,-0.7618951337412,0.015320321,0.0003,0.143701171875,0.860568568110466,230.75306701660156,0.2,33.79414404039271
6.92312259,767,249856,740.7,325,122,1210,-0.0006466914623160846,-0.7715300826355815,0.003453189,0.0003,0.037353515625,0.8253294676542282,4.9643025398254395,0.2,64.62089385986329
9.8979341,766,251904,738.96,328,123,1220,-0.004420306083920878,-0.7527886979281903,0.010630657,0.0003,0.08232421875,0.6877731680870056,108.7640380859375,0.2,106.06664769761264
-155.19464133333335,921,2048,664.3333333333334,2,1,1230,-0.00626476702382206,-0.6921208668500185,0.015415185,0.0003,0.092138671875,0.5961281359195709,21.206512451171875,0.2,160.59198930710554
