time/time_elapsed,time/fps,rollout/ep_rew_mean,time/total_timesteps,time/iterations,rollout/ep_len_mean,train/clip_range,train/value_loss,train/explained_variance,train/loss,train/entropy_loss,train/clip_fraction,train/policy_gradient_loss,train/n_updates,train/learning_rate,train/approx_kl
350,676,-32.74917036,237568,116,803.42,0.2,30.318038645386697,0.8329648524522781,3.5140271186828613,-0.761646262742579,0.0693359375,-0.00011667815488181077,1150,0.0003,0.006074627
354,675,-32.81657708,239616,117,800.71,0.2,53.079105000197885,0.8194923549890518,28.062891006469727,-0.7548088189214468,0.04306640625,0.0006183135192259215,1160,0.0003,0.0045964685
357,675,-32.06905652,241664,118,794.34,0.2,92.73731294423342,0.3828176259994507,4.379463195800781,-0.7099237976595759,0.05234375,-0.001916899506613845,1170,0.0003,0.0057897824
360,675,-34.02576852,243712,119,780.03,0.2,39.206212769448754,0.8271212130784988,16.445642471313477,-0.7672129454091191,0.046826171875,-0.0004753327710204758,1180,0.0003,0.0049897702
363,675,-32.38479245,245760,120,780.03,0.2,170.97341865897178,0.45584923028945923,142.53846740722656,-0.7682729318737984,0.05048828125,-0.0035353903520444875,1190,0.0003,0.0072339466
366,675,-29.04528495,247808,121,788.61,0.2,14.660315822064877,0.8651250302791595,3.2513012886047363,-0.8041929427534342,0.094873046875,0.0013033235649345444,1200,0.0003,0.005581138
369,676,-34.462645949999995,249856,122,778.84,0.2,25.80408356115222,0.8875326812267303,2.052457809448242,-0.7239467149600387,0.062255859375,-0.0007211855292553083,1210,0.0003,0.0040931175
372,675,-31.713336339999998,251904,123,778.25,0.2,69.83260194957256,0.6890352070331573,3.8585267066955566,-0.8113442327827215,0.0568359375,-0.003390522948029684,1220,0.0003,0.0045559993
2,687,-181.62,2048,1,1000.0,0.2,61.039484752714635,0.1753498911857605,1.5547571182250977,-0.7651935841888189,0.069140625,-0.002075355239503551,1230,0.0003,0.0036614467
5,704,-167.24166666666667,4096,2,552.6666666666666,0.2,2.6199652975425125,0.8700651675462723,0.5655689835548401,-0.8236956425011158,0.12236328125,-0.0010473318514414131,1240,0.0003,0.014458031
