time/total_timesteps,rollout/ep_rew_mean,time/time_elapsed,time/iterations,time/fps,rollout/ep_len_mean,train/clip_fraction,train/learning_rate,train/approx_kl,train/explained_variance,train/n_updates,train/clip_range,train/loss,train/value_loss,train/policy_gradient_loss,train/entropy_loss
75776,-73.83446681999999,89,37,844,495.62,0.055615234375,0.0003,0.00657733,0.5325805246829987,360,0.2,13.68653392791748,46.69845940172672,-0.006688320731336716,-0.997550405561924
77824,-70.23382875,93,38,832,512.45,0.0458984375,0.0003,0.0063035423,0.2224745750427246,370,0.2,147.15223693847656,88.51130933761597,-0.005253714344871696,-0.92738475240767
79872,-68.42256948,97,39,819,529.78,0.0626953125,0.0003,0.008495345,0.3240477442741394,380,0.2,14.217313766479492,39.70139683187008,-0.0039320544652582615,-0.9191329963505268
81920,-66.28808292,101,40,807,546.65,0.15205078125,0.0003,0.012439373,0.20252805948257446,390,0.2,4.269661903381348,22.278197571635246,-0.008576717214600649,-0.9852959264069796
83968,-60.831421660000004,104,41,800,569.48,0.059619140625,0.0003,0.0066358442,0.33901143074035645,400,0.2,3.077958822250366,17.61443543881178,-0.004772961871640291,-1.0043751489371062
86016,-61.986080980000004,108,42,793,582.07,0.080859375,0.0003,0.007566071,0.40269702672958374,410,0.2,6.39735221862793,20.94105460047722,-0.0036773284373339266,-1.0000239450484514
88064,-58.849094130000005,111,43,789,595.31,0.053662109375,0.0003,0.0043455,0.37448257207870483,420,0.2,4.767383098602295,30.088257706165315,-0.002485012595934677,-0.8929878730326891
90112,-56.392190770000006,114,44,786,611.77,0.09111328125,0.0003,0.008684485,0.39136600494384766,430,0.2,5.086840629577637,17.839063757658003,-0.004218831061734818,-0.9897508427500725
92160,-51.56884782000001,117,45,782,627.69,0.087109375,0.0003,0.007392889,0.5176929235458374,440,0.2,5.527151107788086,17.40120484381914,-0.002244554458593484,-1.0091816559433937
94208,-49.27218880000001,122,46,772,643.13,0.030859375,0.0003,0.0034495334,0.5003248751163483,450,0.2,4.963059425354004,18.23222211524844,-0.003716276429622667,-0.9215983558446169
96256,-48.81879344,126,47,761,656.13,0.075048828125,0.0003,0.004558755,0.72148796916008,460,0.2,4.694432735443115,21.72511239796877,-0.004170445930503775,-0.9735019205138087
98304,-45.32565778000001,129,48,758,670.01,0.040625,0.0003,0.004320479,0.5563554167747498,470,0.2,4.616659164428711,24.815883861482142,-0.003463802579790354,-0.9653154334053398
100352,-43.58805553000001,132,49,756,685.84,0.081201171875,0.0003,0.008562217,0.3982815742492676,480,0.2,3.3401567935943604,14.96237230822444,-0.003457609338511247,-0.9687915656715631
102400,-40.51826298,135,50,756,697.84,0.0458984375,0.0003,0.0035747718,0.49796217679977417,490,0.2,4.595997333526611,20.34433762356639,-0.0011500632448587567,-0.9607712289318442
104448,-41.09406991,137,51,757,708.72,0.067041015625,0.0003,0.005476038,0.4917716979980469,500,0.2,2.9958763122558594,20.88094852566719,-0.003430018037033733,-0.967151777073741
106496,-36.720708009999996,141,52,752,719.46,0.073388671875,0.0003,0.0052372934,0.3821765184402466,510,0.2,24.262981414794922,71.90285764038563,-0.001516560734307859,-0.92853814214468
108544,-33.39590328,145,53,746,733.66,0.05009765625,0.0003,0.0050696423,0.4904317855834961,520,0.2,3.5547871589660645,20.93757181763649,-0.0021993596776155753,-0.9182437295094132
110592,-31.521227860000003,149,54,739,749.39,0.10302734375,0.0003,0.009714604,0.5170032680034637,530,0.2,167.90834045410156,23.750951097905634,-0.004573762411746429,-0.9404517937451601
112640,-28.361799339999997,152,55,736,770.18,0.072802734375,0.0003,0.0039171483,0.5308779180049896,540,0.2,1.3973758220672607,18.49304316788912,-0.0024246619366749657,-0.9377715304493904
114688,-24.750769439999996,156,56,735,783.73,0.105224609375,0.0003,0.0063319216,0.5457858741283417,550,0.2,1.9025977849960327,26.666265623271464,-0.005058820101839956,-0.9284079767763614
116736,-24.582534419999998,159,57,730,789.37,0.064892578125,0.0003,0.0057801814,0.5610391795635223,560,0.2,5.307025909423828,31.697910706326365,-0.0011340793091221713,-0.9054556345567107
