time/time_elapsed,rollout/ep_rew_mean,rollout/ep_len_mean,time/total_timesteps,time/iterations,time/fps,train/learning_rate,train/explained_variance,train/clip_range,train/loss,train/approx_kl,train/value_loss,train/n_updates,train/entropy_loss,train/clip_fraction,train/policy_gradient_loss
189,-10.068618039999999,829.04,145408,71,767,0.0003,0.6955354511737823,0.2,46.86756896972656,0.005068967,112.15940104052424,700,-0.9097228722646833,0.06318359375,-0.0032067877909867093
192,-4.759026519999997,826.49,147456,72,766,0.0003,0.7185517251491547,0.2,5.851332187652588,0.008445259,96.45627608597279,710,-0.9212634140625596,0.085546875,-0.0020635752316593425
195,1.3426306900000013,816.29,149504,73,765,0.0003,0.5408378839492798,0.2,24.109115600585938,0.004016419,177.30537645816804,720,-0.6633939546532929,0.025830078125,-0.001325906263809884
198,2.52352168,808.87,151552,74,764,0.0003,0.38017773628234863,0.2,45.312442779541016,0.0057304115,206.67846575975418,730,-0.7597773317247629,0.04580078125,-0.0027742038444557695
201,4.67741809,813.21,153600,75,762,0.0003,0.5070044100284576,0.2,11.62394905090332,0.008408137,147.02897353619338,740,-0.9133526576682925,0.09345703125,-0.005186863516428275
204,4.8322879499999996,803.94,155648,76,761,0.0003,0.6393378376960754,0.2,52.85411071777344,0.0031319573,101.09414492547512,750,-0.8409850064665079,0.047607421875,-0.0026650274212443037
206,6.400345950000001,791.79,157696,77,762,0.0003,0.8757971003651619,0.2,22.10395050048828,0.011408691,95.47394019812346,760,-0.874879196472466,0.101025390625,-0.003116800023417454
209,8.451515,781.53,159744,78,762,0.0003,0.4655984044075012,0.2,53.685543060302734,0.0046249125,156.76876563429832,770,-0.8007122952491045,0.0392578125,-0.0030348247146321228
212,10.7136147,775.69,161792,79,760,0.0003,0.44361722469329834,0.2,19.191591262817383,0.0058593755,128.95956981182098,780,-0.886514518968761,0.056005859375,-0.00339788908167975
215,12.667158630000001,757.81,163840,80,760,0.0003,0.2514759302139282,0.2,14.48818302154541,0.0032784971,109.09926229119301,790,-0.7621049951761961,0.04326171875,-0.0008908390249416698
217,9.672014540000006,739.62,165888,81,762,0.0003,0.6070251762866974,0.2,33.0490608215332,0.005764078,171.72387747764589,800,-0.866106397472322,0.047314453125,-0.0016311089930240996
219,12.271358140000004,732.1,167936,82,764,0.0003,0.5705009996891022,0.2,75.04667663574219,0.0057594255,225.48326215147972,810,-0.7946985650807619,0.03193359375,-0.0010413857089588419
222,12.921507590000001,711.81,169984,83,764,0.0003,0.595315009355545,0.2,17.268129348754883,0.009209204,117.75043255984784,820,-0.8653419397771358,0.074755859375,-0.0011609038927417714
225,15.767122530000004,705.41,172032,84,764,0.0003,0.6014064848423004,0.2,22.471723556518555,0.005504958,201.46479088664054,830,-0.7923294812440872,0.033056640625,-0.0026079386974743103
228,19.921031560000003,701.98,174080,85,762,0.0003,0.4227648973464966,0.2,3.3034205436706543,0.02311549,80.04042389839887,840,-0.8687396541237831,0.1263671875,-0.006336021551578597
231,24.90920880000001,701.9,176128,86,761,0.0003,0.355826199054718,0.2,8.461012840270996,0.009307701,121.40335465073585,850,-0.7911040717735887,0.059375,-0.0017627684203034733
233,24.09805318,684.98,178176,87,761,0.0003,0.5410351157188416,0.2,8.003901481628418,0.005147945,111.66079618483782,860,-0.8644593443721533,0.058154296875,-0.002054192701325519
236,28.840311120000003,677.85,180224,88,762,0.0003,0.29952824115753174,0.2,28.464569091796875,0.005338678,222.62167146801949,870,-0.9294087080284953,0.074755859375,-0.00412039627917693
238,26.980216070000004,682.17,182272,89,762,0.0003,0.5594006180763245,0.2,22.327417373657227,0.0076138433,87.53343274593354,880,-0.8587293887510896,0.067626953125,-0.0037476140969374683
241,29.922100020000002,665.0,184320,90,763,0.0003,0.22776895761489868,0.2,79.25371551513672,0.010018693,159.5673077777028,890,-0.9040261572226882,0.10517578125,-0.0013636813957418781
244,35.52824009999999,665.07,186368,91,762,0.0003,0.5145976841449738,0.2,19.2202091217041,0.0056618387,182.34316438436508,900,-0.8469092441722751,0.05234375,-0.004693010386108654
246,35.960990970000005,650.7,188416,92,763,0.0003,0.48071664571762085,0.2,10.328180313110352,0.0059810607,131.7702750325203,910,-0.8627813747152686,0.054443359375,-0.002500307398440782
248,38.43310916,642.37,190464,93,765,0.0003,0.5781376659870148,0.2,25.69353675842285,0.0037902524,183.21299859285355,920,-0.8150403199717402,0.04580078125,-0.002731613868672866
251,38.1906819,628.13,192512,94,766,0.0003,0.5377584993839264,0.2,34.6411018371582,0.0018614325,174.04225472807883,930,-0.7762628126889467,0.016796875,-0.0016354663679521765
253,39.58407715,606.65,194560,95,767,0.0003,0.23266929388046265,0.2,22.118724822998047,0.0043552844,292.01954730153085,940,-0.8349215976893902,0.03955078125,-0.0036496214976068585
255,37.91478515,589.08,196608,96,768,0.0003,0.4479658603668213,0.2,64.9517822265625,0.0032892087,245.7907374024391,950,-0.8234465301036835,0.040380859375,-0.0013418347305560018
258,42.873442129999994,594.51,198656,97,767,0.0003,0.582192063331604,0.2,38.70140075683594,0.004716003,207.58345370292665,960,-0.867533727735281,0.04912109375,-0.001739380872459151
261,41.79656932999999,591.59,200704,98,767,0.0003,0.42939573526382446,0.2,78.33888244628906,0.009222288,131.1429307281971,970,-0.7299458334222436,0.05966796875,-0.004656420038372744
263,44.91946507000001,593.31,202752,99,768,0.0003,0.390417218208313,0.2,95.66971588134766,0.006351585,182.1112983584404,980,-0.7370568867772818,0.055615234375,-0.0013673993766133209
267,44.79357245999999,591.18,204800,100,766,0.0003,0.48011237382888794,0.2,8.427021026611328,0.004121079,139.55879034996033,990,-0.7319147197529674,0.034326171875,-0.004980027528654318
269,43.09446668,598.77,206848,101,766,0.0003,0.3644152879714966,0.2,4.354339599609375,0.013861652,44.3881730645895,1000,-0.9085654696449638,0.130517578125,-0.0009433629194973037
273,42.481424149999995,607.27,208896,102,764,0.0003,0.42297619581222534,0.2,7.9072370529174805,0.016229872,103.04564407765865,1010,-0.8515650425106287,0.0861328125,-0.005841699859593064
275,38.74476987999999,614.52,210944,103,764,0.0003,0.3645399808883667,0.2,43.92915725708008,0.0046966556,162.1203649327159,1020,-0.9034906608983875,0.033642578125,-0.002598029291402781
278,39.86335955,618.85,212992,104,764,0.0003,0.7019277513027191,0.2,3.5759410858154297,0.004762825,32.364020807296036,1030,-0.826836515404284,0.08974609375,-0.004229895042226417
282,42.020796170000004,621.93,215040,105,760,0.0003,0.3808940649032593,0.2,20.66077995300293,0.003938997,92.87773805558682,1040,-0.8098473198711872,0.041455078125,-0.0009909881970088462
285,43.25001837999999,627.45,217088,106,760,0.0003,0.646047443151474,0.2,10.358484268188477,0.0063255513,68.36716286465526,1050,-0.8419827276840806,0.061376953125,-0.002072146321006585
288,41.082430809999984,630.58,219136,107,758,0.0003,0.8477773815393448,0.2,1.8264743089675903,0.008080535,26.83350841104984,1060,-0.9051707165315748,0.1119140625,-0.0026068880019010977
292,40.646389039999995,635.31,221184,108,757,0.0003,0.824938178062439,0.2,2.5105929374694824,0.005845937,18.651195238530637,1070,-0.8362879334017634,0.067724609375,-0.001949108875123784
