time/fps,rollout/ep_rew_mean,time/time_elapsed,time/total_timesteps,time/iterations,rollout/ep_len_mean,train/clip_fraction,train/n_updates,train/policy_gradient_loss,train/learning_rate,train/entropy_loss,train/approx_kl,train/clip_range,train/value_loss,train/loss,train/explained_variance
730,-318.86069266666664,16,12288,6,584.8095238095239,0.042236328125,1280,-0.0012588498953846282,0.0003,-0.6239387590438128,0.0047833463,0.2,169.44405180811881,284.8601379394531,0.5493454933166504
720,-322.58489304347825,19,14336,7,605.3913043478261,0.076318359375,1290,-0.0003096019441727549,0.0003,-0.8288138838484883,0.0059745116,0.2,68.86203806325793,2.075735569000244,0.6640510559082031
732,-322.43716738461535,22,16384,8,625.5384615384615,0.13505859375,1300,-0.005106809796416201,0.0003,-0.7938255907967686,0.011528983,0.2,86.51976878494024,22.718215942382812,0.8310535550117493
736,-326.24775575862066,25,18432,9,630.7586206896551,0.037451171875,1310,-0.0026729618482931984,0.0003,-0.861630174703896,0.007334382,0.2,95.54962975606323,2.8792402744293213,0.48513710498809814
739,-315.5494010606061,27,20480,10,606.8181818181819,0.02998046875,1320,-0.0012171237751317677,0.0003,-0.8509514605626464,0.005464307,0.2,140.8772038936615,53.711727142333984,0.6179778575897217
738,-313.6971168611111,30,22528,11,614.4722222222222,0.072900390625,1330,-0.0022966280121181626,0.0003,-0.890222180262208,0.0063101156,0.2,144.6554396122694,17.65127944946289,0.7056301534175873
738,-311.4270702820513,33,24576,12,627.1538461538462,0.09921875,1340,-0.0018876566813560204,0.0003,-0.8401901310309767,0.007882148,0.2,150.4454177290201,362.8467102050781,0.6263730823993683
744,-309.55580261904765,35,26624,13,623.2380952380952,0.0806640625,1350,-0.0018249341381306294,0.0003,-0.7033913308754564,0.010195127,0.2,87.20732850059866,15.369478225708008,0.812391847372055
747,-306.77577281818185,38,28672,14,629.1590909090909,0.07314453125,1360,-0.0012683744287642184,0.0003,-0.7715033328160643,0.00722404,0.2,148.96328852176666,64.29457092285156,0.7551400065422058
754,-304.6412123958333,40,30720,15,631.3958333333334,0.1046875,1370,-0.0019324405511724763,0.0003,-0.7857519425451756,0.009293095,0.2,77.91357742864639,2.4706733226776123,0.4489920139312744
753,-304.41696041999995,43,32768,16,646.14,0.063720703125,1380,-0.002005322301738488,0.0003,-0.7451969733461737,0.0059939795,0.2,129.59222015291454,4.13995885848999,0.7389618754386902
745,-305.08043479245276,46,34816,17,652.3207547169811,0.09931640625,1390,-0.0020752684402395973,0.0003,-0.8384491791948676,0.010790384,0.2,50.32169041354209,8.516725540161133,0.7798090428113937
750,-301.1841980701755,49,36864,18,643.5438596491229,0.135400390625,1400,-0.0018278489529620855,0.0003,-0.6865738339722156,0.009737076,0.2,60.97409971952438,19.426240921020508,0.8541529923677444
759,-299.9430074098361,51,38912,19,632.1475409836065,0.0130859375,1410,-0.0011233462480959133,0.0003,-0.7118469681590796,0.0031190023,0.2,153.37373059540988,23.843481063842773,0.6449223458766937
755,-298.14196509374995,54,40960,20,639.953125,0.020263671875,1420,-0.0007515241341025103,0.0003,-0.7412892134860158,0.0035127313,0.2,183.58620113432409,10.652122497558594,0.5120612382888794
752,-298.05731827272723,57,43008,21,650.8636363636364,0.0921875,1430,-0.0010986389275785768,0.0003,-0.6966909153386951,0.007653378,0.2,80.50987332314253,2.5074939727783203,0.7680820524692535
747,-297.95906005882347,60,45056,22,661.1323529411765,0.090380859375,1440,-0.0030102429969701915,0.0003,-0.7723585957661271,0.009419225,0.2,40.621731009706856,9.165557861328125,0.8404566049575806
755,-295.1424591486486,62,47104,23,633.9054054054054,0.257763671875,1450,-0.009050657151965425,0.0003,-0.5735134098678827,0.09263643,0.2,35.797968920785934,0.2603260278701782,0.7737454771995544
761,-285.4091099875,64,49152,24,614.3,0.118115234375,1460,-0.0011380263393220957,0.0003,-0.7006800189614296,0.0052347137,0.2,292.6546225965023,39.88029861450195,0.5761658549308777
