rollout/ep_len_mean,time/fps,time/time_elapsed,time/iterations,rollout/ep_rew_mean,time/total_timesteps,train/clip_fraction,train/learning_rate,train/approx_kl,train/explained_variance,train/entropy_loss,train/loss,train/policy_gradient_loss,train/clip_range,train/value_loss,train/n_updates
317.67,1005,57,28,-104.10949574000001,57344,0.07646484375,0.0003,0.0077710636,-0.0003478527069091797,-1.0766059301793576,112.7530517578125,-0.0015315262113290372,0.2,285.71139080524443,270
317.57,1001,59,29,-105.11768236999998,59392,0.071337890625,0.0003,0.008848876,0.005757331848144531,-1.0673031840473413,181.43309020996094,-0.006004832703911234,0.2,249.29032598733903,280
332.35,984,62,30,-102.23781890999999,61440,0.0107421875,0.0003,0.0036741258,0.21164363622665405,-1.037892091087997,132.5651092529297,-0.00254977432632586,0.2,253.16999013423919,290
347.01,953,66,31,-102.68390867999999,63488,0.045654296875,0.0003,0.005521249,0.4813190698623657,-1.1014719307422638,42.678993225097656,-0.006059005252609495,0.2,142.50843464136125,300
359.1,922,71,32,-102.14936419,65536,0.04013671875,0.0003,0.007870575,0.09289705753326416,-1.1058179382234812,77.71585083007812,-0.007199569253862137,0.2,107.60659610629082,310
375.3,886,76,33,-96.88682411000002,67584,0.031298828125,0.0003,0.0064286254,0.13260513544082642,-1.0130154822021722,55.742431640625,-0.0053604445522069,0.2,173.53045666217804,320
395.45,880,79,34,-95.87156821999999,69632,0.0328125,0.0003,0.006403651,0.11357647180557251,-1.0765074372291565,13.891587257385254,-0.00370064757153159,0.2,38.800551703572275,330
414.33,864,82,35,-94.02726176,71680,0.00322265625,0.0003,0.0027316366,0.36853694915771484,-1.0193170472979545,33.88801574707031,-0.0015886728528130335,0.2,156.4583571791649,340
430.4,853,86,36,-91.50177910999999,73728,0.08291015625,0.0003,0.0063586095,0.13949859142303467,-1.0350588772445917,36.041690826416016,-0.004222483493504114,0.2,106.152856361866,350
438.59,851,89,37,-91.30549610999998,75776,0.0693359375,0.0003,0.0052684797,0.6185811460018158,-1.0928096875548363,14.296187400817871,-0.007398332011507591,0.2,50.14246696531772,360
456.16,847,91,38,-87.73811902000001,77824,0.040966796875,0.0003,0.0044155577,0.19764041900634766,-1.0558671923354268,8.577656745910645,-0.002224300728266826,0.2,49.409569305181506,370
472.38,838,95,39,-85.18189049,79872,0.098974609375,0.0003,0.0104142,0.0695844292640686,-1.0316997226327658,10.677332878112793,-0.009552635885484051,0.2,54.87828823626042,380
488.63,832,98,40,-80.63167456000001,81920,0.018310546875,0.0003,0.00420527,0.1952926516532898,-1.0337646689265967,11.659968376159668,-0.0028070075575669763,0.2,37.867982468009,390
496.3,826,101,41,-82.3947169,83968,0.11484375,0.0003,0.0104879495,0.44029074907302856,-0.9756698092445731,139.66183471679688,-0.008316895726602524,0.2,37.58992141932249,400
511.74,819,104,42,-79.79894567,86016,0.085400390625,0.0003,0.009195738,0.4844663143157959,-1.0361142439767719,15.014963150024414,-0.00768415142010781,0.2,42.71865587234497,410
524.27,810,108,43,-79.6988015,88064,0.051416015625,0.0003,0.0054053096,0.47766077518463135,-0.9951517017558217,7.846340179443359,-0.00370655084043392,0.2,52.864036643505095,420
539.09,797,113,44,-76.92467889,90112,0.029736328125,0.0003,0.003079106,0.6599711775779724,-1.005803837813437,11.673398971557617,-0.0033593371452298017,0.2,59.973946154117584,430
555.28,788,116,45,-74.08303564999999,92160,0.058740234375,0.0003,0.005581662,0.7331241071224213,-0.971755051612854,8.472040176391602,-0.004146046883397503,0.2,43.48803231567145,440
572.4,779,120,46,-71.51335442999999,94208,0.0228515625,0.0003,0.0048112627,0.5684199929237366,-0.9944180972874165,10.86742115020752,-0.0019457627800875343,0.2,45.78190794438124,450
595.03,778,123,47,-71.10623829000001,96256,0.08515625,0.0003,0.007118809,0.717636913061142,-0.9683290598914027,5.910407543182373,-0.008242010387766641,0.2,31.54761859923601,460
610.07,767,128,48,-67.70836083999998,98304,0.0365234375,0.0003,0.0025819486,0.3765677213668823,-0.9469623070210218,24.75006866455078,-0.002593839365727035,0.2,127.36306168138981,470
626.56,764,131,49,-64.56680897,100352,0.10341796875,0.0003,0.0067826603,0.7706052660942078,-0.9646016374230385,5.591465950012207,-0.005723082047188655,0.2,22.031204894185066,480
642.42,759,134,50,-63.767227870000006,102400,0.039111328125,0.0003,0.004457527,0.5375830233097076,-0.9801862485706806,5.153419494628906,-0.0016889975246158428,0.2,28.2679829493165,490
659.3,756,138,51,-60.85810518,104448,0.082568359375,0.0003,0.007835466,0.5986162424087524,-0.9310598326846957,3.915653705596924,-0.003041301037592348,0.2,22.141648103296756,500
675.49,748,142,52,-60.47983459,106496,0.062548828125,0.0003,0.007728057,0.5048495829105377,-0.9556401517242193,93.95097351074219,-0.003231739063630812,0.2,56.30104047358036,510
690.32,739,146,53,-58.699019879999994,108544,0.06953125,0.0003,0.006845842,0.6926997601985931,-0.946511790715158,23.23274040222168,-0.00452126042364398,0.2,43.821463256329295,520
705.67,738,149,54,-56.47700277,110592,0.034326171875,0.0003,0.0047862744,0.5923043489456177,-0.9045986615121364,17.94678497314453,-0.0011200010310858488,0.2,100.3050125092268,530
720.8,733,153,55,-52.73999856000001,112640,0.04951171875,0.0003,0.0063707978,0.7639199644327164,-0.929366835206747,3.027386426925659,-0.002435281996440608,0.2,23.112073831260204,540
724.82,733,156,56,-55.01368536000001,114688,0.0580078125,0.0003,0.005723645,0.7008269131183624,-0.9458653619512916,6.419222354888916,-0.0023203122240374797,0.2,32.142094218730925,550
727.58,731,159,57,-56.927799060000005,116736,0.03603515625,0.0003,0.005721049,0.6470916867256165,-0.8622323462739587,12.607403755187988,-0.00031344739400083197,0.2,90.13764800131321,560
742.79,724,163,58,-52.844596089999996,118784,0.109228515625,0.0003,0.007413914,0.5391218662261963,-0.9506993543356657,7.202297210693359,-0.007718035895959474,0.2,68.96877283900976,570
757.01,717,168,59,-50.277891849999996,120832,0.070361328125,0.0003,0.007933099,0.8063556402921677,-0.9209826836362481,2.9166901111602783,-0.004558239821199095,0.2,20.87074072137475,580
770.28,712,172,60,-49.325351919999996,122880,0.03876953125,0.0003,0.0038315984,0.8974593505263329,-0.8994857676327228,2.9154067039489746,-0.0007496637263102457,0.2,21.248482576012613,590
783.85,709,176,61,-46.01412748,124928,0.063916015625,0.0003,0.006441215,0.7626281678676605,-0.9071746159344911,4.354503631591797,-0.0018867614868213422,0.2,40.57713080048561,600
796.19,710,178,62,-44.990822470000005,126976,0.065478515625,0.0003,0.004584873,0.5796647071838379,-0.8620900111272931,2.1718413829803467,-0.0022115746629424392,0.2,25.868670566380025,610
810.34,702,183,63,-41.95084684,129024,0.037744140625,0.0003,0.005365822,0.6476984024047852,-0.860699187964201,205.36380004882812,-0.0026022934216598514,0.2,31.62931202352047,620
818.44,701,186,64,-42.15828520000001,131072,0.033642578125,0.0003,0.00340352,0.7389609515666962,-0.8603703808039427,4.202023983001709,-0.0015541423199465498,0.2,22.634635565429924,630
