time/total_timesteps,time/iterations,time/time_elapsed,rollout/ep_rew_mean,time/fps,rollout/ep_len_mean,train/explained_variance,train/value_loss,train/clip_range,train/clip_fraction,train/loss,train/approx_kl,train/learning_rate,train/std,train/entropy_loss,train/n_updates,train/policy_gradient_loss
71680,35,130,-77.21015005000001,551,486.79,0.23418760299682617,23.79991294294596,0.2,0.1140625,4.46302604675293,0.008950581,0.0003,0.7964227795600891,-2.3942126229405405,340,-0.008567348829819821
73728,36,135,-75.07130436000001,542,505.01,0.7072189450263977,58.355622983723876,0.2,0.054052734375,5.583700180053711,0.005014864,0.0003,0.7934770584106445,-2.37536173760891,350,-0.002542717888718471
75776,37,140,-73.69822034000002,537,522.16,0.7321019768714905,54.2639961026609,0.2,0.07001953125,7.280501842498779,0.0064042066,0.0003,0.797778308391571,-2.375748600810766,360,-0.004170696053188294
77824,38,146,-69.32828786,529,539.66,0.7125092148780823,43.87165949642658,0.2,0.0546875,6.106928825378418,0.0050586145,0.0003,0.792028546333313,-2.3731029987335206,370,-0.0028224388050148265
79872,39,152,-67.79591961999999,525,557.02,0.743724137544632,36.146533166617154,0.2,0.052880859375,1.4554997682571411,0.0058424864,0.0003,0.7922353744506836,-2.3658568523824215,380,-0.0028667106293141843
81920,40,156,-65.78896356999999,522,574.24,0.763342410326004,39.514628586918114,0.2,0.088818359375,1.7748063802719116,0.00809131,0.0003,0.7733391523361206,-2.338425000011921,390,-0.00656869792874204
83968,41,162,-62.32129652999999,515,591.25,0.7368682622909546,41.33992802202702,0.2,0.070458984375,2.820375680923462,0.006670572,0.0003,0.7609421610832214,-2.299525862187147,400,-0.0030610567126132084
86016,42,168,-58.94991382999999,509,608.51,0.5822027921676636,69.05518974214792,0.2,0.032177734375,83.24492645263672,0.0069102207,0.0003,0.7531439065933228,-2.269581400603056,410,-0.0008512657565006521
88064,43,175,-56.5136785,501,622.54,0.8044617772102356,46.28397480286658,0.2,0.05888671875,0.9735895991325378,0.0056237536,0.0003,0.7438385486602783,-2.2500763185322286,420,-0.003065822750068037
90112,44,181,-52.983081150000004,496,639.64,0.6542179584503174,66.35476341880857,0.2,0.05947265625,5.692927360534668,0.008142761,0.0003,0.7370226383209229,-2.2283768177032472,430,-0.002426428941907943
92160,45,187,-47.41638318,491,664.08,0.8524708598852158,34.97040681913495,0.2,0.05556640625,0.5473638772964478,0.0065227,0.0003,0.7258913516998291,-2.204937036335468,440,-0.003350518429942895
94208,46,192,-46.65869350999999,489,681.32,0.6796669363975525,39.517638645228,0.2,0.071875,0.21087542176246643,0.008146934,0.0003,0.7102741003036499,-2.16554816737771,450,-5.452812183648348e-06
96256,47,196,-44.506813359999995,488,698.22,0.8205723315477371,32.77285454515368,0.2,0.085546875,253.37037658691406,0.0055235852,0.0003,0.704504132270813,-2.1387696295976637,460,-0.004850784747395665
98304,48,200,-42.4026573,489,710.32,0.7837214022874832,47.28432589676231,0.2,0.08193359375,0.5812787413597107,0.0089594815,0.0003,0.7038527727127075,-2.131966374069452,470,-0.0012152741037425585
100352,49,205,-40.691163579999994,489,729.13,0.6091171503067017,95.34050620198249,0.2,0.02998046875,7.348699569702148,0.0053535816,0.0003,0.7022629380226135,-2.127854812890291,480,-0.003502824054157827
102400,50,211,-37.500099309999996,485,745.47,0.6977536678314209,81.16577781960368,0.2,0.0478515625,2.5696702003479004,0.00489299,0.0003,0.7027139663696289,-2.1268011555075645,490,-0.004669217041373486
104448,51,215,-33.771667789999995,485,760.72,0.829481229186058,48.515341830253604,0.2,0.046533203125,4.066473960876465,0.0046688765,0.0003,0.6936701536178589,-2.114329145848751,500,-0.0013287848662002944
