time/total_timesteps,time/iterations,time/time_elapsed,rollout/ep_rew_mean,time/fps,rollout/ep_len_mean,train/loss,train/entropy_loss,train/explained_variance,train/clip_fraction,train/n_updates,train/policy_gradient_loss,train/learning_rate,train/approx_kl,train/clip_range,train/value_loss
198656,97,247,58.78076558000001,801,527.58,122.2414321899414,-0.8024094281718135,0.6456300020217896,0.113671875,960,-0.004968463660770794,0.0003,0.01267552,0.2,128.44525671303273
200704,98,250,58.94680431,802,524.94,22.088211059570312,-0.7917378380894661,0.48417598009109497,0.07099609375,970,-0.0020366426446344122,0.0003,0.0058547584,0.2,129.8037761002779
202752,99,252,62.634554470000005,802,531.82,10.146947860717773,-0.7113115012645721,0.6420943140983582,0.03349609375,980,-0.0022784757577028357,0.0003,0.0043623946,0.2,126.26450496912003
204800,100,254,59.293611309999996,804,526.21,17.02876091003418,-0.714018440246582,0.6573218405246735,0.087255859375,990,-0.003201275957690086,0.0003,0.0052889506,0.2,95.37301756292581
206848,101,256,54.926212510000006,805,520.57,13.24930191040039,-0.7917696800082922,0.5805694758892059,0.038720703125,1000,-0.0009665517733083107,0.0003,0.0032796774,0.2,169.4971691429615
208896,102,259,53.993931409999995,806,514.61,117.49513244628906,-0.7267162153497339,0.6276673376560211,0.019384765625,1010,-0.002617280865160865,0.0003,0.0048407954,0.2,279.5104734361172
210944,103,261,53.66345523,805,513.58,36.88296127319336,-0.7694685693830252,0.6271167397499084,0.040625,1020,-0.002303520707937423,0.0003,0.0044714566,0.2,168.65915787816047
212992,104,264,54.14074504999999,806,512.52,37.36428451538086,-0.6885078590363264,0.8937674760818481,0.0568359375,1030,-0.0024088121397653596,0.0003,0.0069715064,0.2,138.65289696604015
215040,105,266,53.123117089999994,808,504.51,61.50250244140625,-0.6464847764000297,0.7079825699329376,0.062255859375,1040,-0.0027339425527316053,0.0003,0.004902734,0.2,142.0116490662098
217088,106,268,59.030962210000006,809,485.01,29.323427200317383,-0.8534666348248721,0.46826010942459106,0.061181640625,1050,-0.003295589320259751,0.0003,0.0065651257,0.2,214.2627692848444
219136,107,270,58.647075320000006,810,482.34,15.527031898498535,-0.7477028263732791,0.5285187065601349,0.07158203125,1060,-0.002254283579532057,0.0003,0.0052469675,0.2,120.29593541920185
221184,108,272,55.68178664,810,475.81,388.58953857421875,-0.6678415257483721,0.4755646586418152,0.0798828125,1070,-0.001950987603777321,0.0003,0.0062290523,0.2,216.73297848403453
