rollout/ep_len_mean,time/fps,time/time_elapsed,rollout/ep_rew_mean,time/total_timesteps,time/iterations,train/clip_fraction,train/learning_rate,train/loss,train/policy_gradient_loss,train/approx_kl,train/std,train/n_updates,train/clip_range,train/explained_variance,train/entropy_loss,train/value_loss
835.01,509,333,-7.683240540000002,169984,83,0.10185546875,0.0003,0.6449790000915527,-0.00040683469633222557,0.007517228,0.6318346261978149,820,0.2,0.9206086024641991,-1.9003066640347241,42.082355696707964
833.68,508,338,-10.399002670000002,172032,84,0.067724609375,0.0003,3.4387459754943848,-0.002166365733137354,0.0053345524,0.6287810802459717,830,0.2,0.9255154877901077,-1.9081658411771059,30.95278286021203
826.26,508,342,-5.539208480000002,174080,85,0.0578125,0.0003,3.5825581550598145,-0.002984039822695195,0.00514122,0.6278524398803711,840,0.2,0.8041222095489502,-1.902632075175643,75.49648693986236
822.53,510,345,-5.32598929,176128,86,0.057080078125,0.0003,48.715789794921875,-0.002821285642858129,0.0085463915,0.6237090826034546,850,0.2,0.6330091655254364,-1.8958701211959124,131.35669732764364
815.76,509,349,-6.210612090000001,178176,87,0.06943359375,0.0003,66.53578186035156,-0.002846611340646632,0.0037296605,0.6217328310012817,860,0.2,0.7689734250307083,-1.8866602655500173,97.1974321514368
815.76,508,354,-5.698292670000001,180224,88,0.09208984375,0.0003,27.662818908691406,-0.005918384296091972,0.0070640356,0.6312947869300842,870,0.2,0.8736016154289246,-1.8983681958168745,56.84818343892694
818.78,509,357,-6.416286850000001,182272,89,0.161376953125,0.0003,4.992042064666748,-0.004003171474323608,0.012252724,0.6281497478485107,880,0.2,0.8895587399601936,-1.9099464539438487,38.6754337258637
823.66,509,361,-4.682587430000002,184320,90,0.063818359375,0.0003,24.895273208618164,0.003086522842204431,0.0070929783,0.6273492574691772,890,0.2,0.8056655526161194,-1.9051068563014268,94.05832345932723
822.5,510,365,-6.111992230000001,186368,91,0.10107421875,0.0003,0.3421574831008911,-0.00021796295477543025,0.008891645,0.6283759474754333,900,0.2,0.8746993988752365,-1.9001016061753035,46.59882159335539
822.31,508,370,-6.439447720000001,188416,92,0.068359375,0.0003,18.033794403076172,-0.0028581875463714822,0.006775514,0.6273540258407593,910,0.2,0.7187924385070801,-1.9055189937353134,105.27146046310664
816.58,509,373,-4.737344390000001,190464,93,0.0630859375,0.0003,18.834169387817383,-0.0012632111913262634,0.005969094,0.6243727803230286,920,0.2,0.8318574130535126,-1.8977921277284622,67.18941016346216
807.35,509,378,-6.725043260000002,192512,94,0.07607421875,0.0003,81.96190643310547,-0.0023731222085189075,0.006436455,0.6216565370559692,930,0.2,0.7650783807039261,-1.8899017687886954,71.57706289999187
801.2,510,381,-5.92122076,194560,95,0.057275390625,0.0003,11.212355613708496,-0.00463918005443702,0.006555124,0.6229060292243958,940,0.2,0.7577451169490814,-1.887209878116846,103.96906254142523
784.82,511,384,-5.582016169999999,196608,96,0.04970703125,0.0003,3.969346046447754,-0.0014229703665478155,0.005814919,0.616590678691864,950,0.2,0.8004903048276901,-1.879495331272483,84.29509295150638
779.12,511,388,-3.0315165600000014,198656,97,0.04677734375,0.0003,4.079256534576416,-0.002169329063326586,0.0043055336,0.6119803786277771,960,0.2,0.7128094434738159,-1.8616594839841127,142.3042436182499
772.73,512,391,-4.942068030000001,200704,98,0.082470703125,0.0003,7.6802873611450195,0.0006213855976966443,0.0050649866,0.6099908351898193,970,0.2,0.747231125831604,-1.8529475912451745,43.586137239448725
766.47,512,395,-3.89697078,202752,99,0.1291015625,0.0003,1.7179169654846191,-0.002155561999825295,0.0075673005,0.6119959950447083,980,0.2,0.7972309738397598,-1.8467677045613526,82.71429617255926
761.1,513,398,-3.42618301,204800,100,0.063623046875,0.0003,108.74988555908203,-0.0011264287306403276,0.005121715,0.6091214418411255,990,0.2,0.7162652909755707,-1.848673627153039,102.47586405426264
755.47,514,402,-0.3382954200000022,206848,101,0.077880859375,0.0003,2.877620220184326,-0.005451307911425829,0.005115725,0.6049808859825134,1000,0.2,0.730357438325882,-1.8380667217075826,77.12440126091242
750.98,514,406,1.374861459999998,208896,102,0.0935546875,0.0003,149.1048126220703,-0.004363058117814944,0.008886393,0.5997852087020874,1010,0.2,0.8259054571390152,-1.8218520186841487,70.90726335719228
757.63,515,408,2.0098414099999973,210944,103,0.06181640625,0.0003,11.633374214172363,0.00038342881889548154,0.0081798285,0.5864264965057373,1020,0.2,0.7496531009674072,-1.7928075958043337,64.25325564295053
763.83,516,412,1.4064931099999982,212992,104,0.09091796875,0.0003,59.118133544921875,-0.0017365627471008338,0.012678437,0.5801419019699097,1030,0.2,0.7808212637901306,-1.7576893847435713,93.43469912186265
767.49,516,416,3.2778425199999988,215040,105,0.13837890625,0.0003,5.336987018585205,-0.004415331719792448,0.017928047,0.571489691734314,1040,0.2,0.881359413266182,-1.7316601056605578,34.203795868344606
758.56,517,419,2.1771331000000007,217088,106,0.060595703125,0.0003,4.1436591148376465,0.0003960824920795858,0.005597769,0.5704957246780396,1050,0.2,0.6990343928337097,-1.7176735535264016,116.04313937276602
769.06,517,423,0.505561310000001,219136,107,0.038427734375,0.0003,52.85158920288086,-0.0026582027654512785,0.0051526027,0.5688650012016296,1060,0.2,0.6677738130092621,-1.7124461561441422,154.6601136624813
768.99,518,426,-0.08756889999999927,221184,108,0.123291015625,0.0003,2.168177604675293,-0.0014145461813313887,0.0062952004,0.5610108375549316,1070,0.2,0.9163404032588005,-1.697175596654415,23.125745819043367
766.78,518,430,0.3285072700000003,223232,109,0.09521484375,0.0003,2.9287261962890625,0.0017981818884436507,0.009781321,0.5580273270606995,1080,0.2,0.7808437049388885,-1.6776771180331707,65.47846377622336
768.66,519,433,2.4314548300000003,225280,110,0.007421875,0.0003,3.962193489074707,-0.0009883671620627866,0.003180888,0.5577439069747925,1090,0.2,0.7665824741125107,-1.670694063976407,118.81689157858492
742.36,521,436,-0.5265381300000002,227328,111,0.12109375,0.0003,2.131922721862793,-0.004058257813449017,0.011949274,0.5569003224372864,1100,0.2,0.7368233799934387,-1.6697394389659166,70.5846877746284
