rollout/ep_len_mean,time/time_elapsed,time/fps,rollout/ep_rew_mean,time/iterations,time/total_timesteps,train/approx_kl,train/loss,train/n_updates,train/explained_variance,train/clip_fraction,train/learning_rate,train/clip_range,train/policy_gradient_loss,train/value_loss,train/entropy_loss
251.05,36,1120,-111.75245051,20,40960,0.007994963,42.57081604003906,190,0.43213725090026855,0.06572265625,0.0003,0.2,-0.006348187195544597,172.38412849903108,-1.0906187262386084
268.35,39,1078,-108.65648238,21,43008,0.007802965,109.93409729003906,200,0.24558687210083008,0.038623046875,0.0003,0.2,-0.004444022641473566,339.1847440481186,-1.0311053549870848
283.81,42,1067,-107.31735812999999,22,45056,0.012993481,22.60859489440918,210,0.759572371840477,0.13056640625,0.0003,0.2,-0.0110539064873592,66.872036921978,-1.1036076679825784
299.84,45,1039,-105.3771137,23,47104,0.012489162,105.99324035644531,220,0.04332137107849121,0.07568359375,0.0003,0.2,-0.005805863587011117,346.1244860172272,-1.084489231929183
311.91,48,1019,-100.64310628,24,49152,0.006390949,37.442047119140625,230,0.4130432605743408,0.08486328125,0.0003,0.2,-0.006061560990929138,125.19273374080657,-1.0732524942606687
331.66,51,998,-98.80216142999998,25,51200,0.010089256,20.274436950683594,240,0.5994502902030945,0.12294921875,0.0003,0.2,-0.008418498407991137,56.77710788249969,-1.0889147255569696
348.22,55,961,-96.19866794999999,26,53248,0.0075691333,13.92757797241211,250,0.7082858979701996,0.09306640625,0.0003,0.2,-0.011551040365884547,83.12771995663643,-1.0312911346554756
365.78,58,939,-94.35917649999999,27,55296,0.010495963,13.708839416503906,260,0.7458957433700562,0.12119140625,0.0003,0.2,-0.011996291227114852,52.62735569477081,-1.0861317079514266
382.6,61,930,-91.37083475,28,57344,0.0071172784,12.953185081481934,270,0.6872827708721161,0.05947265625,0.0003,0.2,-0.005984582469682209,49.353868168592456,-0.9863603599369526
399.46,65,902,-89.43739993999999,29,59392,0.012186739,10.584988594055176,280,0.7002014219760895,0.115625,0.0003,0.2,-0.009536699618183774,35.632622179389,-0.939937810972333
415.34,69,882,-83.21391573999998,30,61440,0.007529527,8.472838401794434,290,0.6645395755767822,0.066748046875,0.0003,0.2,-0.003880874172682525,51.42006426751614,-0.9355864135548473
432.72,73,867,-85.05328286999999,31,63488,0.0061962674,6.235825061798096,300,0.6844039857387543,0.049072265625,0.0003,0.2,-0.0032020613849454093,37.12861793935299,-1.0456726729869843
447.11,75,863,-82.17382538,32,65536,0.009804741,5.252864360809326,310,0.8281422853469849,0.0958984375,0.0003,0.2,-0.004698006711623748,25.625736525654794,-1.044723960198462
462.41,79,854,-79.21345965999998,33,67584,0.004376324,40.22279357910156,320,0.6939880847930908,0.057666015625,0.0003,0.2,-0.0035158741506165826,46.41296956390143,-1.0359946895390748
484.0,82,845,-72.81441129999999,34,69632,0.00579109,7.536481857299805,330,0.8470995426177979,0.0513671875,0.0003,0.2,-0.006421613013662864,53.33808628618717,-0.9492991000413895
498.21,85,835,-71.84403578999999,35,71680,0.004836552,35.10859680175781,340,0.43716681003570557,0.055908203125,0.0003,0.2,-0.005556448591232765,132.30351223945618,-1.0153679359704255
511.42,89,822,-67.48856454,36,73728,0.0034362434,8.919612884521484,350,0.7547586262226105,0.0072265625,0.0003,0.2,-0.000647998959175311,70.8476262897253,-0.9955948669463396
527.77,93,810,-63.816310300000005,37,75776,0.007619616,16.20066261291504,360,0.29955464601516724,0.03798828125,0.0003,0.2,-0.00879433602312929,119.545643979311,-0.9147771287709474
545.31,97,794,-61.45164383,38,77824,0.0068898844,6.535098075866699,370,0.7589024007320404,0.0892578125,0.0003,0.2,-0.005674179410561919,35.80496402233839,-1.0114995641633868
567.66,101,784,-56.94926686000001,39,79872,0.010058597,3.663869619369507,380,0.6664750874042511,0.097802734375,0.0003,0.2,-0.0039056254361639732,34.056674138456586,-1.0089870249852537
576.09,105,777,-57.50634184000001,40,81920,0.006343847,3.7304141521453857,390,0.49533671140670776,0.06181640625,0.0003,0.2,-0.0028214413625391897,70.41657859385013,-0.909163923561573
589.34,107,778,-54.01562856,41,83968,0.014050208,2.3378803730010986,400,0.639211118221283,0.08310546875,0.0003,0.2,-0.006215514698124025,45.0706027828157,-0.9500586902722716
606.41,111,770,-52.64144962,42,86016,0.0044606915,45.27267074584961,410,0.4559403657913208,0.02880859375,0.0003,0.2,-0.0010243705532047898,88.01073672026396,-0.9322852246463299
610.66,115,764,-51.13548482,43,88064,0.0070130136,2.704688787460327,420,0.5873312652111053,0.06171875,0.0003,0.2,-0.0013406994039542042,41.73627366609871,-0.9250164028257132
635.7,118,757,-45.93324557,44,90112,0.0024361787,25.58807945251465,430,0.45527321100234985,0.01513671875,0.0003,0.2,-0.0010393896198365837,84.87013784497977,-0.9559741921722889
639.11,121,756,-46.630949460000004,45,92160,0.005334857,4.259854316711426,440,0.5654673278331757,0.048388671875,0.0003,0.2,-0.0034904817788628862,70.27767228037119,-1.017468890361488
655.52,124,754,-44.36172871000001,46,94208,0.0067221737,81.67034912109375,450,0.4891936182975769,0.033203125,0.0003,0.2,-0.0035369458761124405,97.94397747218609,-0.9982025710865855
663.41,127,756,-44.53077458,47,96256,0.008833765,2.0621628761291504,460,0.7255476117134094,0.10107421875,0.0003,0.2,-0.006794425570114981,56.25378530919552,-0.9323982277885079
679.91,130,754,-40.28635440000001,48,98304,0.0050689355,59.60943603515625,470,0.5125145614147186,0.051708984375,0.0003,0.2,-0.003199520181806292,126.72545495778323,-0.9488325009122491
696.68,133,752,-38.15172511000001,49,100352,0.006865684,5.514472961425781,480,0.7863006740808487,0.085595703125,0.0003,0.2,-0.006932450880412944,57.431496270745996,-0.9653750341385603
713.31,136,751,-36.09399055000001,50,102400,0.0067152753,1.458963394165039,490,0.8582304567098618,0.08359375,0.0003,0.2,0.0005265652071102522,34.18193426541984,-0.9333108795806766
729.0,140,744,-31.88599035,51,104448,0.004632623,39.58933639526367,500,0.48869097232818604,0.0392578125,0.0003,0.2,-0.0023439667558704967,156.51195484399796,-0.8789271160960197
736.87,143,744,-33.45154022,52,106496,0.0055672307,1.485468864440918,510,0.804392471909523,0.031494140625,0.0003,0.2,-0.0006144287806819193,45.75952657610178,-0.931601901166141
753.13,146,740,-29.968776179999995,53,108544,0.008319053,1.5398578643798828,520,0.8360237926244736,0.075146484375,0.0003,0.2,-0.005162697711784858,42.2494680756703,-0.8195125879719853
768.1,149,737,-27.570501250000003,54,110592,0.0052871592,0.6822948455810547,530,0.8600953966379166,0.06845703125,0.0003,0.2,-0.0014862184929370415,38.07267152201384,-0.837697079218924
783.77,152,738,-25.94871472,55,112640,0.005472188,368.7568664550781,540,0.8163481801748276,0.068359375,0.0003,0.2,-0.0037098921799042727,44.43230337314308,-0.7238973218947649
805.74,155,738,-21.23301888,56,114688,0.006556823,2.1002933979034424,550,0.8987583443522453,0.055908203125,0.0003,0.2,-0.0009838206235144753,26.348068796657024,-0.8369174806401134
805.74,157,739,-21.707042970000003,57,116736,0.007800688,73.11941528320312,560,0.698238730430603,0.1220703125,0.0003,0.2,-0.006603128695860505,101.83945392742753,-0.8157379588112235
816.95,161,735,-18.32769427,58,118784,0.009454093,1.6152586936950684,570,0.8259439021348953,0.086083984375,0.0003,0.2,-0.00424227537587285,38.64144419841468,-0.8483799770474434
824.9,165,730,-17.951066519999998,59,120832,0.018014198,2.123220682144165,580,0.7697313725948334,0.13623046875,0.0003,0.2,-0.00551409476029221,63.65556102879346,-0.8200103659182787
839.42,168,727,-15.250742749999999,60,122880,0.015413673,1.4233925342559814,590,0.8020213395357132,0.0896484375,0.0003,0.2,-0.003511163503571879,34.90237667057663,-0.7189857115969062
852.63,171,728,-8.61030914,61,124928,0.0154633,2.2828853130340576,600,0.8651222139596939,0.140478515625,0.0003,0.2,-0.008651463768910617,36.950910553522405,-0.7038954641669989
855.49,174,728,-4.726570929999998,62,126976,0.0034967568,13.785693168640137,610,0.43636786937713623,0.027783203125,0.0003,0.2,-0.0020728546642203582,251.1067961782217,-0.7300716388970614
