rollout/ep_len_mean,rollout/ep_rew_mean,time/fps,time/total_timesteps,time/iterations,time/time_elapsed,train/policy_gradient_loss,train/approx_kl,train/clip_fraction,train/learning_rate,train/clip_range,train/entropy_loss,train/value_loss,train/n_updates,train/explained_variance,train/loss
669.31,23.34724453,731,157696,77,215,-0.003261409812148486,0.008574633,0.083935546875,0.0003,0.2,-0.7619105031713843,144.84777915477753,760,0.3356931209564209,19.726646423339844
647.08,23.66939903,733,159744,78,217,-0.0027928554118261673,0.005002197,0.04716796875,0.0003,0.2,-0.7704915525391698,338.16085078418257,770,0.2813047766685486,179.12411499023438
623.93,29.323610170000002,736,161792,79,219,-0.0034292212058062432,0.0053645144,0.064208984375,0.0003,0.2,-0.6829856015741825,243.8287287414074,780,0.6540118157863617,76.29007720947266
585.68,30.66160024,738,163840,80,221,-0.002223773951845942,0.0034100385,0.0255859375,0.0003,0.2,-0.6776866741478443,210.20586066246034,790,0.6869687736034393,340.57403564453125
571.08,29.803429689999998,741,165888,81,223,-0.0011519392508489545,0.0032890423,0.028662109375,0.0003,0.2,-0.7689847541972995,335.5696072220802,800,0.40535885095596313,132.56419372558594
560.74,35.72038846,741,167936,82,226,-0.0013634310467750765,0.005271518,0.054052734375,0.0003,0.2,-0.6378458429127931,192.63077712655067,810,0.6784217059612274,158.33367919921875
540.62,40.18270082000001,743,169984,83,228,-0.0017759158683475107,0.005244715,0.065283203125,0.0003,0.2,-0.6412910429760814,114.6317401856184,820,0.6283094584941864,3.3395235538482666
534.1,40.546376529999996,743,172032,84,231,-0.0034331635222770275,0.0096073095,0.085400390625,0.0003,0.2,-0.7637173103168606,192.08196656405926,830,0.6783034801483154,4.934478759765625
526.22,39.801076089999995,745,174080,85,233,-0.003822891523304861,0.0072654285,0.0794921875,0.0003,0.2,-0.6911258285865187,76.9420501217246,840,0.8993260636925697,21.52591896057129
527.8,38.79763454999999,744,176128,86,236,-0.0036585898265911964,0.009978386,0.103076171875,0.0003,0.2,-0.8740370174869895,154.78036926984788,850,0.831090584397316,4.6591033935546875
530.94,40.24987202,744,178176,87,239,-0.0016207426800974646,0.007804935,0.102734375,0.0003,0.2,-0.7678977880626917,33.828975503891705,860,0.90156489610672,2.1328625679016113
533.03,39.00547176999999,744,180224,88,242,-0.0027921128828893417,0.010371281,0.099560546875,0.0003,0.2,-0.8853701919317245,46.44322480931878,870,0.9242162704467773,5.5485920906066895
521.79,35.924102850000004,746,182272,89,244,-0.0021787191457406153,0.008330761,0.06630859375,0.0003,0.2,-0.8177532842382789,138.22209815829993,880,0.7906565219163895,9.409343719482422
519.56,36.30003062,747,184320,90,246,-0.0038640706145088187,0.0052581592,0.055517578125,0.0003,0.2,-0.8348029294982553,267.9698593080044,890,0.7208175361156464,540.7049560546875
515.09,43.52713784999999,749,186368,91,248,-0.0009180760869639925,0.002151893,0.04052734375,0.0003,0.2,-0.8666110703721642,119.95004736185074,900,0.8200131058692932,9.575162887573242
505.95,43.42912787,749,188416,92,251,-0.0019210242287954315,0.0059032436,0.05888671875,0.0003,0.2,-0.731766640022397,126.24986432492733,910,0.8150772303342819,26.812259674072266
500.94,42.663137909999996,749,190464,93,254,-0.0026926312522846272,0.0069341566,0.058984375,0.0003,0.2,-0.8254654988646507,128.66191797852517,920,0.8336363732814789,43.855167388916016
501.11,44.91528122999999,749,192512,94,256,-0.0011105252910056152,0.0062172716,0.043115234375,0.0003,0.2,-0.8467069720849395,65.0798111602664,930,0.9185915216803551,4.347921848297119
505.04,40.55472365000001,748,194560,95,259,-0.0017688831467239652,0.010918736,0.085205078125,0.0003,0.2,-0.8498776361346245,50.90519759207964,940,0.9241772219538689,7.293606281280518
495.96,40.85333363,749,196608,96,262,-0.0010896102270635311,0.005318357,0.05751953125,0.0003,0.2,-0.6203443879261613,137.77997801825404,950,0.6308712661266327,125.56651306152344
489.97,33.293559380000005,751,198656,97,264,-0.0008767769097175915,0.004769196,0.059033203125,0.0003,0.2,-0.7019476609304547,88.62892871424556,960,0.730358749628067,10.136478424072266
496.76,32.65879837,752,200704,98,266,-0.003299377987423213,0.0028192103,0.012255859375,0.0003,0.2,-0.7148394022136927,366.9086114168167,970,0.39310508966445923,338.415771484375
506.5,31.67587475,752,202752,99,269,-0.0021657150602550244,0.004998798,0.0716796875,0.0003,0.2,-0.6348484264686703,57.14013158529997,980,0.797651544213295,4.636105060577393
511.55,30.974953630000005,751,204800,100,272,-0.001769083645194769,0.0038062094,0.040234375,0.0003,0.2,-0.8666143473237753,133.29266966283322,990,0.7003015577793121,22.24203109741211
513.32,30.54537162,752,206848,101,274,-0.0017587591937626712,0.0074485755,0.04873046875,0.0003,0.2,-0.6734300417825579,74.50098959729075,1000,0.5457058250904083,1.8664060831069946
526.45,29.967018440000007,753,208896,102,277,-0.0014881345457979478,0.003962797,0.02861328125,0.0003,0.2,-0.52265112856403,91.54742371290922,1010,0.5728065669536591,13.622447967529297
539.33,30.907221110000002,752,210944,103,280,-0.0034771358859870816,0.012201583,0.12431640625,0.0003,0.2,-0.762508619390428,69.18373867198825,1020,0.8655860722064972,12.42497730255127
544.74,33.438280049999996,752,212992,104,282,-0.0007303418831725139,0.0046826946,0.0421875,0.0003,0.2,-0.7192041054368019,94.06955750882625,1030,0.7994623780250549,20.67799949645996
546.85,31.704392570000003,753,215040,105,285,-0.0008336061204317957,0.0028233062,0.0208984375,0.0003,0.2,-0.703891659155488,95.88546285778284,1040,0.6741986274719238,21.463756561279297
550.42,31.126164510000002,754,217088,106,287,-0.00453175329057558,0.00905117,0.098681640625,0.0003,0.2,-0.6995909938588738,198.33071826845406,1050,0.5886653959751129,7.538304328918457
560.49,32.70971436,754,219136,107,290,-0.001096692340433947,0.0042959424,0.050634765625,0.0003,0.2,-0.7924977285787463,198.64755670428275,1060,0.6840115785598755,41.2670783996582
554.94,32.63794471,756,221184,108,292,-0.0005376584122132044,0.023668481,0.0771484375,0.0003,0.2,-0.7073910722509027,97.24147257693112,1070,0.5939891040325165,194.34555053710938
557.14,35.40110730999999,757,223232,109,294,-0.0017962957885174547,0.003361901,0.043994140625,0.0003,0.2,-0.7240079738199711,253.62981006503105,1080,0.659331202507019,140.1594696044922
563.49,36.765038329999996,757,225280,110,297,-0.0017840141790657071,0.00462758,0.0365234375,0.0003,0.2,-0.6274087445810437,116.97220540940762,1090,0.7495807707309723,22.777807235717773
561.96,28.13968682,759,227328,111,299,-0.0017517171858344228,0.006521093,0.085693359375,0.0003,0.2,-0.7084543513134122,76.25613552480937,1100,0.8112301826477051,6.938465595245361
562.86,31.057334040000004,760,229376,112,301,-0.0023351948337221986,0.004929999,0.03623046875,0.0003,0.2,-0.7239553302526474,291.72429089546205,1110,0.6228194832801819,55.4963493347168
556.93,31.851392549999996,758,231424,113,305,-0.0023084637941792607,0.0035338053,0.0626953125,0.0003,0.2,-0.7713928489014507,117.55754162073136,1120,0.7727530598640442,6.126632213592529
538.02,36.17671539,758,233472,114,307,-0.0033510332221339924,0.0096869655,0.10927734375,0.0003,0.2,-0.7024356845766306,34.58774244040251,1130,0.8289463222026825,10.601676940917969
540.79,36.65855777,758,235520,115,310,-0.001279552343476098,0.004828902,0.01884765625,0.0003,0.2,-0.7091575909405947,120.21025235056877,1140,0.6446563899517059,28.856090545654297
