time/total_timesteps,time/iterations,time/fps,rollout/ep_len_mean,rollout/ep_rew_mean,time/time_elapsed,train/explained_variance,train/clip_fraction,train/clip_range,train/approx_kl,train/value_loss,train/policy_gradient_loss,train/learning_rate,train/std,train/n_updates,train/loss,train/entropy_loss
108544,53,584,695.33,-46.186894519999996,185,0.5139624178409576,0.03642578125,0.2,0.0038413592,144.75287626683712,-0.0006986957247136161,0.0003,0.7578834891319275,520,49.501708984375,-2.2758313164114954
110592,54,584,712.17,-43.07758131999999,189,0.7995912134647369,0.06728515625,0.2,0.006590045,40.33548731058836,-0.0022546427098859567,0.0003,0.7468054294586182,530,8.953858375549316,-2.2645108848810196
112640,55,579,726.2,-44.35714451999999,194,0.8046865463256836,0.08740234375,0.2,0.0077464525,33.122368580847976,-0.006370723754662322,0.0003,0.7396925687789917,540,11.250909805297852,-2.241422061622143
114688,56,573,748.19,-38.89514599,199,0.4012526273727417,0.0935546875,0.2,0.005762551,95.36558783352375,-0.007938868637938867,0.0003,0.7380940914154053,550,4.483449935913086,-2.228618450462818
116736,57,572,760.47,-34.32503193,203,0.40744447708129883,0.112890625,0.2,0.008532007,66.59520081579686,-0.0019673681665153707,0.0003,0.7288833260536194,560,3.158367395401001,-2.211111231893301
118784,58,570,775.81,-31.300220580000005,208,0.5710785686969757,0.0388671875,0.2,0.005571486,45.89187468439341,-0.0048143587802769615,0.0003,0.7186364531517029,570,11.022382736206055,-2.18786481693387
120832,59,562,783.36,-30.610640890000003,214,0.7135288417339325,0.0861328125,0.2,0.0060241995,34.284432016313076,-0.003040040199266514,0.0003,0.7159209847450256,580,20.287843704223633,-2.1704775996506216
122880,60,563,789.95,-31.220760410000008,218,0.8086134344339371,0.069580078125,0.2,0.007463052,36.30797256082296,-0.002079532858624589,0.0003,0.7042022347450256,590,3.668680429458618,-2.143804828077555
124928,61,561,804.79,-29.670974460000007,222,0.4701501131057739,0.046728515625,0.2,0.0050351387,52.6506201595068,-0.0022095933425589466,0.0003,0.6962846517562866,600,6.748907566070557,-2.121834523230791
126976,62,553,812.14,-26.429692890000002,229,0.84173384308815,0.0958984375,0.2,0.010095816,16.41604456305504,-0.007288133876863867,0.0003,0.6762096881866455,610,4.915944576263428,-2.074731896817684
