time/iterations,time/total_timesteps,time/fps,rollout/ep_rew_mean,time/time_elapsed,rollout/ep_len_mean,train/explained_variance,train/loss,train/policy_gradient_loss,train/clip_fraction,train/learning_rate,train/n_updates,train/entropy_loss,train/clip_range,train/value_loss,train/approx_kl
110,225280,718,-10.25839962,313,894.63,0.6313587129116058,5.270395755767822,-0.0013366570688958745,0.023828125,0.0003,1090,-0.8128936134278775,0.2,90.1005426466465,0.006107161
111,227328,717,-14.072635149999996,316,901.75,0.8644141256809235,18.727643966674805,-0.0006030765260220505,0.055517578125,0.0003,1100,-0.87505719717592,0.2,43.43559831976891,0.0057049915
112,229376,717,-14.060280209999997,319,899.36,0.593611478805542,39.627281188964844,-0.0040562188747571785,0.113232421875,0.0003,1110,-0.9348003290593624,0.2,83.23001281023025,0.011937901
113,231424,716,-14.76400059,322,902.91,0.654394805431366,32.50289535522461,-0.0028982924108277076,0.04501953125,0.0003,1120,-0.8567975632846355,0.2,89.78717514798045,0.005147049
114,233472,715,-13.52995057,326,894.53,0.6225973069667816,302.73101806640625,-0.003235499177390011,0.0607421875,0.0003,1130,-0.8461435751989483,0.2,101.8938113629818,0.005193093
115,235520,712,-11.86625307,330,894.78,0.55331751704216,28.28471565246582,-0.0038710751934559083,0.05986328125,0.0003,1140,-0.8199090695008635,0.2,77.23895879238844,0.0057162866
116,237568,711,-12.787154970000001,333,894.78,0.6882529556751251,2.127295732498169,4.143064725212753e-05,0.05703125,0.0003,1150,-0.8191034561023116,0.2,34.33132319897413,0.0039828205
117,239616,710,-10.03271442,337,896.36,0.9122624397277832,2.1974854469299316,-0.0017220425033883657,0.05234375,0.0003,1160,-0.8506153836846352,0.2,32.422791487723586,0.004147417
118,241664,708,-10.597026020000001,340,894.72,0.43020379543304443,23.200416564941406,-0.0014773862894799095,0.080029296875,0.0003,1170,-0.8112580144777894,0.2,64.09197096079588,0.0064126384
119,243712,709,-13.291231609999997,343,894.39,0.7159839272499084,238.86851501464844,-0.002909093831840437,0.038818359375,0.0003,1180,-0.8865902693942189,0.2,36.65603686720133,0.0049375463
120,245760,708,-13.81885768,346,892.54,0.5747731328010559,210.23260498046875,-0.004025494251982309,0.062353515625,0.0003,1190,-0.9079079268500209,0.2,117.30246924161911,0.006597096
121,247808,708,-13.177055990000001,349,883.22,0.7987547367811203,9.27027702331543,-0.0014565536312147742,0.050537109375,0.0003,1200,-0.7774237416684627,0.2,88.73937681168317,0.004198429
122,249856,708,-11.415313789999997,352,882.16,0.7262733280658722,8.432534217834473,-0.001020554323986289,0.034326171875,0.0003,1210,-0.7880146577954292,0.2,92.72751943171025,0.0029209035
123,251904,708,-9.718323099999996,355,884.44,0.60091233253479,5.83814811706543,-0.0011495467340864706,0.066650390625,0.0003,1220,-0.8503178358078003,0.2,77.54039096310734,0.005319667
1,2048,1085,-607.625,1,625.0,0.7765307575464249,3.560206890106201,-0.00036025297085870986,0.044970703125,0.0003,1230,-0.7937464572489261,0.2,78.91183352917433,0.0057745166
2,4096,842,-677.7,4,778.4,0.8448224067687988,14.689826011657715,-0.0035132886354404037,0.11298828125,0.0003,1240,-0.9241311758756637,0.2,53.643590211868286,0.011290381
3,6144,730,-673.45,8,825.4285714285714,0.6868457496166229,11.363383293151855,-0.0001703771464235615,0.021875,0.0003,1250,-0.8132805688306689,0.2,85.55414693206549,0.004568784
