time/fps,time/total_timesteps,time/iterations,rollout/ep_len_mean,time/time_elapsed,rollout/ep_rew_mean,train/n_updates,train/value_loss,train/policy_gradient_loss,train/entropy_loss,train/learning_rate,train/clip_range,train/explained_variance,train/clip_fraction,train/loss,train/approx_kl
1258,28672,14,177.72,22,-133.68552676,130,328.9442939996719,-0.00517000541149173,-1.1564392071217298,0.0003,0.2,0.14911603927612305,0.010009765625,111.7509994506836,0.0048016077
1248,30720,15,189.22,24,-128.75052345,140,248.06319230794907,-0.0039596403265022674,-1.2063125193119049,0.0003,0.2,0.3902473449707031,0.002978515625,69.96925354003906,0.003945986
1198,32768,16,204.55,27,-126.32452487,150,335.62834641933443,-0.002272815103060566,-1.1237376391887666,0.0003,0.2,0.26647186279296875,0.01513671875,92.41213989257812,0.0043429043
1179,34816,17,207.47,29,-125.8834867,160,187.25672914981843,-0.005191178141103592,-1.2174692440778017,0.0003,0.2,0.4170280694961548,0.052880859375,55.15288162231445,0.008199196
1161,36864,18,222.32,31,-122.37703106,170,310.9873428106308,-0.004446416179416701,-1.148857632651925,0.0003,0.2,0.25869661569595337,0.0298828125,475.7066955566406,0.005000639
1110,38912,19,238.52,35,-122.52476892,180,180.1323108792305,-0.006278497552557383,-1.1427048828452826,0.0003,0.2,0.5500024557113647,0.053564453125,81.5984878540039,0.011557559
1084,40960,20,250.91,37,-119.13556674000002,190,74.85387561321258,-0.011409672046283958,-1.1952232722193004,0.0003,0.2,0.6474786400794983,0.13310546875,23.87101173400879,0.012996934
1047,43008,21,264.87,41,-114.28816393,200,171.91812553405762,-0.005657120866817422,-1.1343412600457667,0.0003,0.2,0.6360890865325928,0.023388671875,41.90863800048828,0.0058029173
1030,45056,22,278.62,43,-109.83776153999999,210,142.69980486631394,-0.011193107932922431,-1.1769151110202074,0.0003,0.2,0.6577064394950867,0.12119140625,223.2437744140625,0.012150548
1023,47104,23,298.83,46,-106.66692999000001,220,193.4705754518509,-0.009298707406560424,-1.1079647921025753,0.0003,0.2,0.6461332440376282,0.078662109375,339.4189453125,0.0074860402
1005,49152,24,316.45,48,-105.92325739,230,182.99851399064065,-0.005177478725090623,-1.0070881923660635,0.0003,0.2,0.6171125173568726,0.080908203125,105.64610290527344,0.009576671
993,51200,25,330.47,51,-105.14862589,240,111.64633608460426,-0.006293757536332123,-1.0309296717867256,0.0003,0.2,0.716170608997345,0.104052734375,13.03984260559082,0.008705467
974,53248,26,347.59,54,-103.40298148,250,176.68603416085244,-0.004208108159946278,-1.1067513167858123,0.0003,0.2,0.6213398575782776,0.0115234375,62.08888244628906,0.0036724983
