time/total_timesteps,rollout/ep_rew_mean,time/iterations,time/fps,rollout/ep_len_mean,time/time_elapsed,train/value_loss,train/learning_rate,train/clip_range,train/entropy_loss,train/approx_kl,train/std,train/explained_variance,train/clip_fraction,train/n_updates,train/policy_gradient_loss,train/loss
77824,-71.93777787,38,575,556.6,135,46.8629748724401,0.0003,0.2,-2.4197119168937204,0.0059898645,0.8078618049621582,0.6394267678260803,0.07392578125,370,-0.0024949014172307216,3.5084447860717773
79872,-67.24863114,39,568,573.25,140,20.358207853138445,0.0003,0.2,-2.4032242603600027,0.007915406,0.8096330165863037,0.4737107753753662,0.0953125,380,-0.005302855612535495,4.204914093017578
81920,-65.37889326999999,40,563,590.3,145,29.892593985795976,0.0003,0.2,-2.4139771439135074,0.0068958076,0.8107753992080688,0.7446609437465668,0.0646484375,390,-0.0030049915520066863,5.827783584594727
83968,-63.40495376,41,561,606.49,149,27.213315710425377,0.0003,0.2,-2.412563817203045,0.007003068,0.8107157945632935,0.7714686989784241,0.076904296875,400,-0.006291008316475199,2.4961984157562256
86016,-59.74261016,42,560,622.26,153,49.65161761939525,0.0003,0.2,-2.4000370651483536,0.007434452,0.802807092666626,0.6453753411769867,0.092431640625,410,-0.0051680087999557145,5.140270709991455
88064,-57.737760919999985,43,551,638.63,159,87.6294837579131,0.0003,0.2,-2.3900912128388883,0.0048637353,0.8005936145782471,0.5103824138641357,0.03251953125,420,-0.0016151366842677816,48.610267639160156
90112,-53.720848049999994,44,549,656.29,164,33.38918809071183,0.0003,0.2,-2.3838002666831017,0.0047755213,0.7979335784912109,0.8510643839836121,0.0609375,430,-0.0005103642943140585,4.33936882019043
92160,-50.73024377000001,45,543,670.37,169,85.25552882924676,0.0003,0.2,-2.3727787286043167,0.0063972017,0.7955477237701416,0.6151932775974274,0.065869140625,440,-0.0010223709978163242,100.9836196899414
94208,-44.87820974,46,539,684.91,174,56.15019379258156,0.0003,0.2,-2.366319362819195,0.007356853,0.7908366918563843,0.6259194016456604,0.063232421875,450,0.00015269484210875817,6.711048126220703
96256,-45.425812260000015,47,533,704.1,180,40.656749822199345,0.0003,0.2,-2.3605065673589705,0.0045030257,0.7926732301712036,0.7010623216629028,0.073779296875,460,-0.0014361844790983015,2.7201831340789795
98304,-41.70833151000001,48,535,707.16,183,92.43220205120743,0.0003,0.2,-2.363311865180731,0.0077533177,0.7920588850975037,0.6803836524486542,0.060302734375,470,-0.004992928881256376,41.3544921875
100352,-37.20540711,49,535,718.88,187,129.4059423997998,0.0003,0.2,-2.363124154508114,0.0057216613,0.7913927435874939,0.6417670249938965,0.080078125,480,-0.006408588895283174,15.493481636047363
102400,-35.682012070000006,50,537,736.95,190,75.16744398921728,0.0003,0.2,-2.3510497279465197,0.0054905936,0.7821813821792603,0.5561516582965851,0.046240234375,490,-0.0013366085797315464,15.812850952148438
104448,-34.276191749999995,51,534,754.94,195,142.33344079852105,0.0003,0.2,-2.3374092862010003,0.0111025125,0.781112551689148,0.26973414421081543,0.07724609375,500,-0.003678729628882138,68.765869140625
106496,-32.03974803,52,530,763.55,200,103.60505245998502,0.0003,0.2,-2.32450085952878,0.005571128,0.7735086679458618,0.6786290407180786,0.054052734375,510,-0.0012033241146127693,35.01459884643555
108544,-30.697769979999997,53,527,775.28,205,43.32080430164933,0.0003,0.2,-2.2944351553916933,0.011084957,0.7608685493469238,0.8202822953462601,0.09326171875,520,-0.000347081758081913,2.1991333961486816
110592,-27.99781324,54,522,791.96,211,74.89014538303017,0.0003,0.2,-2.2740781478583814,0.009685291,0.7577191591262817,0.6811141669750214,0.06689453125,530,-0.0011415467022743541,5.480066776275635
112640,-26.56492949,55,521,795.86,216,33.77880519926548,0.0003,0.2,-2.269560744613409,0.007969698,0.754616379737854,0.8478279858827591,0.085595703125,540,-0.002308202680433169,1.6795494556427002
114688,-22.13962704,56,517,810.16,221,61.762800216302274,0.0003,0.2,-2.2668711356818676,0.0080042165,0.7556565403938293,0.7011276483535767,0.079931640625,550,0.0014938020547560881,58.617347717285156
116736,-22.45750613,57,514,818.99,226,35.015284134447576,0.0003,0.2,-2.2571081832051276,0.0062587718,0.7481684684753418,0.798184409737587,0.09853515625,560,-0.0006480561307398603,1.3265355825424194
118784,-21.84907553,58,515,828.94,230,31.54631146043539,0.0003,0.2,-2.2446248814463616,0.0057763737,0.7429929375648499,0.8641713261604309,0.062890625,570,-0.003848595201270655,1.222986102104187
120832,-18.34432584,59,512,845.75,235,119.64031087830662,0.0003,0.2,-2.244191024452448,0.0034521406,0.7476726174354553,0.5771615505218506,0.019775390625,580,-0.0029155040625482797,4.815823554992676
122880,-16.35698991,60,508,858.79,241,32.885236932337286,0.0003,0.2,-2.247020573168993,0.004957278,0.7425941228866577,0.8717648237943649,0.0501953125,590,0.0018754226395685692,0.5514959096908569
124928,-12.03805746,61,507,865.56,246,35.10942908357829,0.0003,0.2,-2.232391770929098,0.007083294,0.7398881316184998,0.8520894795656204,0.087646484375,600,-0.0036620161050450405,1.296388864517212
