time/fps,time/total_timesteps,time/iterations,rollout/ep_len_mean,time/time_elapsed,rollout/ep_rew_mean,train/value_loss,train/clip_fraction,train/entropy_loss,train/clip_range,train/explained_variance,train/n_updates,train/policy_gradient_loss,train/approx_kl,train/loss,train/learning_rate
736,151552,74,635.35,205,52.73875217999999,109.86251486539841,0.049853515625,-0.8368319571018219,0.2,0.7466403841972351,730,-0.0016930681398662274,0.0044853874,27.07347869873047,0.0003
736,153600,75,630.89,208,52.54362514999999,196.66176400482655,0.0529296875,-0.8339335300028324,0.2,0.4296390414237976,740,-0.0038411701840232126,0.0043160734,261.363525390625,0.0003
737,155648,76,619.26,210,48.347474430000005,97.44371672570705,0.082421875,-0.8257741041481494,0.2,0.8072866052389145,750,-0.005371795220708009,0.010077989,13.750102996826172,0.0003
738,157696,77,617.42,213,49.62957025,192.27637805342675,0.02421875,-0.876385398209095,0.2,0.6355490982532501,760,-0.00378521342354361,0.0051032,21.06568145751953,0.0003
738,159744,78,621.12,216,48.53821509,101.55281109213828,0.070458984375,-0.7957885432988405,0.2,0.7154072225093842,770,-0.0030321083235321567,0.0057345373,7.2493486404418945,0.0003
740,161792,79,616.52,218,51.02546451,49.109168441593646,0.0396484375,-0.6786726104095578,0.2,0.7832565158605576,780,-0.0016646395739371655,0.003547557,19.271892547607422,0.0003
739,163840,80,609.77,221,49.2967214,110.0676622018218,0.074365234375,-0.8321145122870803,0.2,0.6955649852752686,790,-0.0005190313968341798,0.0049761035,5.022161483764648,0.0003
741,165888,81,615.74,223,47.101992530000004,184.36759807914495,0.0310546875,-0.7759450389072299,0.2,0.4261696934700012,800,-0.003268399903390673,0.003029344,39.43581008911133,0.0003
742,167936,82,609.61,226,47.69237646999999,171.99497713148594,0.036181640625,-0.7754602203145623,0.2,0.748243123292923,810,-0.0015016904166259338,0.0050135795,9.771598815917969,0.0003
744,169984,83,604.71,228,46.46420438,184.3984907388687,0.006884765625,-0.795868094265461,0.2,0.5117496252059937,820,-0.0013017200893955306,0.0035239423,135.41464233398438,0.0003
744,172032,84,604.96,231,48.30645876,130.78198875784875,0.04326171875,-0.8018670558929444,0.2,0.7530492693185806,830,-0.005083592247683555,0.0048668687,29.080211639404297,0.0003
745,174080,85,592.79,233,41.62774516999999,120.98413492441178,0.030712890625,-0.8240914218127727,0.2,0.8295598477125168,840,-0.0034310604358324783,0.006186178,23.811872482299805,0.0003
745,176128,86,581.1,236,45.11108292,219.936153703928,0.00830078125,-0.7976883128285408,0.2,0.6998037397861481,850,-0.0013468011093209498,0.0013305678,49.290992736816406,0.0003
747,178176,87,580.84,238,41.71210970999999,91.98163671791553,0.03818359375,-0.7891050903126597,0.2,0.805903896689415,860,-0.0002435941314615775,0.003646775,11.349005699157715,0.0003
747,180224,88,576.8,241,38.248671269999996,183.4837442845106,0.040087890625,-0.7148260820657015,0.2,0.6173444390296936,870,-0.0021427632702398112,0.0070450013,74.49730682373047,0.0003
746,182272,89,568.5,244,34.614563929999996,223.7063308417797,0.066845703125,-0.8652597054839134,0.2,0.5210294723510742,880,-0.003248820845328737,0.008017505,118.5047378540039,0.0003
747,184320,90,565.36,246,35.08308342,136.71395631432534,0.11337890625,-0.7946916854009032,0.2,0.68980273604393,890,-0.004020246246363967,0.010203108,6.2933855056762695,0.0003
748,186368,91,565.82,249,34.55639695000001,180.86381122469902,0.048779296875,-0.7928306533023715,0.2,0.7997688204050064,900,-0.0031517896451987324,0.0054011056,120.02590942382812,0.0003
748,188416,92,567.79,251,34.770852330000004,100.84099498093128,0.0431640625,-0.7553150376304985,0.2,0.7817144989967346,910,-0.004224671525662416,0.0049169986,18.061538696289062,0.0003
747,190464,93,570.94,254,31.95982089,101.1143735229969,0.065283203125,-0.7456823965534568,0.2,0.4690822958946228,920,-0.0005649142702168319,0.0063064834,26.616384506225586,0.0003
748,192512,94,576.29,257,32.69891493,132.7126096636057,0.0984375,-0.7445074371993542,0.2,0.43443620204925537,930,-0.0015741570539830718,0.004500925,26.376684188842773,0.0003
749,194560,95,577.83,259,32.35429832,78.37295234948397,0.069384765625,-0.8565956002101303,0.2,0.9358745515346527,940,-0.0029962949134642257,0.005519299,7.859169960021973,0.0003
751,196608,96,578.6,261,33.11921905,184.27600557357073,0.056982421875,-0.7907843375578523,0.2,0.26588618755340576,950,-0.003692026798671577,0.005205331,26.944692611694336,0.0003
751,198656,97,579.62,264,32.70239748999999,210.97641104459763,0.031005859375,-0.8158191457390785,0.2,0.5174652636051178,960,-0.002034992805783986,0.0042427573,46.128238677978516,0.0003
752,200704,98,571.55,266,36.145236619999984,172.48458873331546,0.07490234375,-0.8653770510107279,0.2,0.6115692853927612,970,-0.0068757731471123405,0.011339648,28.438491821289062,0.0003
752,202752,99,575.97,269,41.16527500999999,141.98179284930228,0.071044921875,-0.7481073383241892,0.2,0.5184959173202515,980,-0.0033175679036503425,0.0065923026,25.618886947631836,0.0003
752,204800,100,575.72,272,38.93320528,106.05981779992581,0.0703125,-0.798466195166111,0.2,0.648132711648941,990,-0.006392957159550861,0.009112239,32.925079345703125,0.0003
752,206848,101,580.36,274,39.05170019,162.57424862831832,0.04404296875,-0.7663018709048629,0.2,0.57002192735672,1000,-0.001827152080659289,0.0068261987,126.46354675292969,0.0003
753,208896,102,580.54,277,41.68064016,100.71324732601643,0.07041015625,-0.8050017286092043,0.2,0.6608564257621765,1010,-0.0012817169015761464,0.0057987804,107.6854248046875,0.0003
754,210944,103,579.52,279,39.70675325,86.27205241620541,0.042138671875,-0.8425050323829055,0.2,0.8282368183135986,1020,-0.0009391492261784151,0.0033946314,14.151754379272461,0.0003
754,212992,104,580.16,282,41.25628698,136.30000830888747,0.054345703125,-0.8457836091518403,0.2,0.7188546657562256,1030,-0.0034254135774972384,0.004120049,8.966874122619629,0.0003
754,215040,105,585.3,284,42.36450137,102.61821411550045,0.0556640625,-0.7808363121002913,0.2,0.7865401804447174,1040,-0.002417428361513885,0.0041346448,7.499485492706299,0.0003
755,217088,106,579.41,287,41.031035609999996,46.79064068645239,0.053515625,-0.7823796011507511,0.2,0.8240668326616287,1050,-0.0018466091372829397,0.012445507,121.99180603027344,0.0003
754,219136,107,585.45,290,40.095819119999994,105.21248592883349,0.033935546875,-0.8527804397046566,0.2,0.750623032450676,1060,-0.0015723724274721463,0.0025947709,10.147286415100098,0.0003
754,221184,108,587.04,293,38.294810119999994,51.69310340061784,0.0619140625,-0.6530010557733477,0.2,0.7803747355937958,1070,-0.0009150472898909357,0.004582067,3.7121710777282715,0.0003
754,223232,109,584.38,295,42.26660934,159.72779013216496,0.0537109375,-0.8223771745339036,0.2,0.6580735445022583,1080,-0.0016323488351190462,0.0063337106,62.86927032470703,0.0003
754,225280,110,586.0,298,46.21872392,138.69133270978926,0.055322265625,-0.8436455888673663,0.2,0.7643400579690933,1090,-0.0049672119159367865,0.0073235002,53.03792953491211,0.0003
756,227328,111,584.17,300,48.66315812999999,132.45738343596457,0.058447265625,-0.833232638053596,0.2,0.8188331872224808,1100,-0.0034602374384121505,0.0040390943,37.362388610839844,0.0003
756,229376,112,579.83,303,50.34721685000002,91.12104406654835,0.0888671875,-0.8248462717980146,0.2,0.739144504070282,1110,-0.0001993254292756319,0.007796892,2.4300849437713623,0.0003
757,231424,113,581.04,305,50.74810388,151.1667454883456,0.072314453125,-0.802188453450799,0.2,0.48436808586120605,1120,-0.004435952369021834,0.0056227,14.02400016784668,0.0003
758,233472,114,582.45,307,53.52574211,148.30860914885997,0.0341796875,-0.7858333885669708,0.2,0.623001754283905,1130,-0.0053188330250122815,0.0051166564,50.668701171875,0.0003
758,235520,115,585.81,310,54.291308330000014,103.6684441447258,0.1083984375,-0.7583305262029171,0.2,0.7425635755062103,1140,-0.005580767901847139,0.012475654,32.5013427734375,0.0003
759,237568,116,592.01,312,53.953248710000004,128.2394449353218,0.0572265625,-0.6593749973922968,0.2,0.6586604714393616,1150,-0.005797961256030248,0.004746409,31.670339584350586,0.0003
758,239616,117,596.66,315,56.56761711,70.67949347794055,0.052001953125,-0.6071082228794694,0.2,0.5133377313613892,1160,-0.0016149374365340917,0.0048065805,32.42936325073242,0.0003
758,241664,118,594.11,318,58.112358339999986,69.27872246205807,0.05478515625,-0.6687270378693938,0.2,0.5775759816169739,1170,-0.0023641979045351037,0.006432427,8.328004837036133,0.0003
758,243712,119,595.67,321,60.18929933,180.14434040486813,0.08369140625,-0.8099961061030626,0.2,0.5584248304367065,1180,-0.0043346030630345925,0.0051428587,76.46798706054688,0.0003
758,245760,120,596.91,324,54.41701823,82.58967650160193,0.064404296875,-0.7675122868269681,0.2,0.5419827699661255,1190,-0.00039356844426947647,0.005326991,7.457143306732178,0.0003
759,247808,121,594.64,326,51.71392992999999,203.7206537678838,0.0609375,-0.6858957946300507,0.2,0.45119601488113403,1200,-0.0016853902845468838,0.012374654,16.09994125366211,0.0003
758,249856,122,595.37,329,53.653219990000004,131.18499825596808,0.029296875,-0.7234029041603207,0.2,0.659486323595047,1210,-0.0009106365476327482,0.0041002207,15.297710418701172,0.0003
759,251904,123,583.09,331,56.349526370000014,126.64592111706733,0.048046875,-0.7278011651709676,0.2,0.6684478521347046,1220,-0.0017454858098062687,0.0052734283,4.985323905944824,0.0003
1515,2048,1,444.5,1,-14.695000000000004,114.18698912486434,0.080615234375,-0.8009922184050083,0.2,0.6114956140518188,1230,-0.002271257663232973,0.004465311,18.570085525512695,0.0003
1068,4096,2,511.125,3,-30.68625,67.58533372730017,0.16025390625,-0.7799068113788963,0.2,0.7371481657028198,1240,-0.005367446236778051,0.008729085,10.057445526123047,0.0003
1023,6144,3,492.5833333333333,6,-27.625833333333333,26.042564525455237,0.110498046875,-0.7409435326233507,0.2,0.9433806985616684,1250,-0.002872574444336351,0.008941907,0.5356717109680176,0.0003
1013,8192,4,475.6470588235294,8,-20.367058823529412,63.15281563103199,0.143603515625,-0.8081062393262982,0.2,0.8045018911361694,1260,-0.005532482045964571,0.012065364,8.362618446350098,0.0003
993,10240,5,479.95238095238096,10,-33.233809523809526,56.07741042226553,0.05068359375,-0.7065551271662116,0.2,0.8994496613740921,1270,-0.002368424364976818,0.0044669965,3.275845527648926,0.0003
964,12288,6,486.9583333333333,12,-24.610833333333336,57.72188957482577,0.090869140625,-0.722744557633996,0.2,0.8355235457420349,1280,-0.001251909352140501,0.004990236,69.07770538330078,0.0003
949,14336,7,492.48275862068965,15,-31.72,37.554216203838585,0.05849609375,-0.6700652850791812,0.2,0.8591202795505524,1290,-0.003987559785309713,0.0059626885,23.099199295043945,0.0003
938,16384,8,494.42424242424244,17,-31.831212121212122,92.58448188900948,0.073095703125,-0.770343585126102,0.2,0.8210462629795074,1300,-0.002381923510620254,0.0065897144,78.8819580078125,0.0003
938,18432,9,503.6111111111111,19,-34.89694444444445,50.00836553927511,0.084765625,-0.7457464653998613,0.2,0.7897528409957886,1310,-0.0034724863908195402,0.007622777,10.200976371765137,0.0003
918,20480,10,510.4,22,-35.38275,88.67781535834074,0.131884765625,-0.7096967348828912,0.2,0.6498178243637085,1320,-0.004427134536672384,0.023950499,91.98834991455078,0.0003
913,22528,11,511.47727272727275,24,-28.462954545454544,52.83579060509801,0.0572265625,-0.6372015032917261,0.2,0.7998974919319153,1330,-0.0005779628620075528,0.004558487,30.46169090270996,0.0003
921,24576,12,496.6326530612245,26,-29.54959183673469,86.12848585098982,0.037109375,-0.6481573314405977,0.2,0.7212072014808655,1340,-0.0007678567359107547,0.0036690903,26.728822708129883,0.0003
920,26624,13,497.37735849056605,28,-29.611132075471694,128.2967380732298,0.092041015625,-0.8057568807154893,0.2,0.6436074674129486,1350,-0.0019204783799068536,0.007838413,39.33763885498047,0.0003
