time/time_elapsed,time/iterations,rollout/ep_rew_mean,time/fps,rollout/ep_len_mean,time/total_timesteps,train/clip_range,train/loss,train/n_updates,train/approx_kl,train/clip_fraction,train/policy_gradient_loss,train/explained_variance,train/value_loss,train/learning_rate,train/entropy_loss,train/std
97,30,-83.48547086999999,628,440.35,61440,0.2,12.068111419677734,290,0.008502547,0.072119140625,-0.00848884267034009,0.8560385853052139,35.18977020233869,0.0003,-2.5225834019482134,0.8470510244369507
102,31,-80.28801101,621,450.28,63488,0.2,7.888689041137695,300,0.0096659595,0.116455078125,-0.007049299239588436,0.8564433008432388,38.80369508564472,0.0003,-2.4837836757302285,0.83254075050354
106,32,-82.32080762,616,467.57,65536,0.2,4.833339691162109,310,0.004751468,0.04990234375,-0.004144451192405541,0.8121179044246674,55.285169103741644,0.0003,-2.4775371238589288,0.8377087116241455
110,33,-75.47025647999999,611,487.96,67584,0.2,37.25146484375,320,0.004490355,0.05,-0.004992096407659119,0.7136937379837036,132.07677573859692,0.0003,-2.490732932090759,0.8433616161346436
115,34,-71.21260504,603,504.9,69632,0.2,16.750154495239258,330,0.0070669577,0.054833984375,-0.0048948790667054706,0.5741749703884125,84.22650845944881,0.0003,-2.4948895305395125,0.8407444357872009
118,35,-71.96489323,604,522.18,71680,0.2,121.54328918457031,340,0.008132252,0.098193359375,-0.004725613025948405,0.7313640117645264,66.84501393288375,0.0003,-2.490391544997692,0.8419651985168457
124,36,-65.53592126,593,537.24,73728,0.2,30.01485252380371,350,0.0042544147,0.048681640625,-0.001976960586034693,0.6074126660823822,68.05158486068248,0.0003,-2.477371986210346,0.8291782736778259
129,37,-62.57093304,586,557.34,75776,0.2,6.5907206535339355,360,0.0073745176,0.05078125,-0.0007804183958796784,0.7922149896621704,43.50866438448429,0.0003,-2.445896717905998,0.8141739964485168
134,38,-61.14246047999999,578,574.82,77824,0.2,14.192975997924805,370,0.005467407,0.081884765625,-0.00968908853828907,0.535912036895752,93.37766349464655,0.0003,-2.4079200513660908,0.8005057573318481
138,39,-55.84663901999999,577,593.74,79872,0.2,3.7525224685668945,380,0.009682583,0.100390625,-0.0020722382709209342,0.7674169391393661,34.39984478503466,0.0003,-2.378768153488636,0.7915568947792053
142,40,-53.969459990000004,576,606.85,81920,0.2,68.14035034179688,390,0.0053059035,0.04853515625,-0.00802500816862448,0.5837668478488922,138.35973111987113,0.0003,-2.3682943135499954,0.7901628017425537
146,41,-48.80132557000001,573,624.04,83968,0.2,37.119747161865234,400,0.005100111,0.0486328125,-0.0013399714473052882,0.6498954594135284,66.24319880008697,0.0003,-2.371225794404745,0.7926566004753113
152,42,-46.929008270000004,563,640.62,86016,0.2,2.083927869796753,410,0.006544816,0.06396484375,-0.00014684534689877183,0.7850729674100876,36.27792775966227,0.0003,-2.363287142664194,0.7843363881111145
157,43,-45.774017670000006,557,657.47,88064,0.2,4.242573261260986,420,0.005939021,0.050537109375,-0.0036493250459898262,0.7670184969902039,43.94338232688606,0.0003,-2.330966941267252,0.768315315246582
162,44,-44.63138983000001,555,666.4,90112,0.2,1.203036904335022,430,0.01021439,0.09140625,-0.0035285336663946508,0.8289774507284164,28.823532786592843,0.0003,-2.2975324794650076,0.757309079170227
166,45,-42.504492330000005,552,682.79,92160,0.2,1.731205940246582,440,0.005971139,0.06298828125,-0.00031574501263094136,0.7471480965614319,40.27428540848196,0.0003,-2.2728698909282685,0.7513892650604248
170,46,-38.98860012000001,551,698.95,94208,0.2,317.5248718261719,450,0.005271788,0.062109375,-0.004713248929328983,0.6911443471908569,47.99527107179165,0.0003,-2.2616593539714813,0.7474561929702759
176,47,-36.454273650000005,546,716.26,96256,0.2,1.3048505783081055,460,0.009608977,0.076318359375,-0.005206575694319327,0.8348821401596069,29.248041292279957,0.0003,-2.2542955987155437,0.7477329969406128
180,48,-35.16788793,545,724.3,98304,0.2,1.066940426826477,470,0.00801643,0.0853515625,-0.0031451081835257356,0.832780048251152,31.043834580667315,0.0003,-2.229931015521288,0.7321121692657471
183,49,-33.282581410000006,547,741.09,100352,0.2,1.0317729711532593,480,0.00813657,0.09365234375,-0.0038320762483635916,0.7969658374786377,44.247101138159636,0.0003,-2.2072455279529093,0.7272708415985107
188,50,-31.98623419,543,749.51,102400,0.2,1.5443477630615234,490,0.005887099,0.067333984375,-0.002389331760787172,0.8769702389836311,31.44707449786365,0.0003,-2.1828037060797216,0.713324785232544
193,51,-25.706581890000002,540,772.4,104448,0.2,1.3512319326400757,500,0.006376248,0.0685546875,-0.0033112909350165864,0.8368070274591446,35.672747414559126,0.0003,-2.156411808729172,0.7082837224006653
197,52,-22.019938840000005,538,789.15,106496,0.2,375.4727478027344,510,0.0031764528,0.0376953125,-0.000805257153842831,0.5142747163772583,133.61126706376672,0.0003,-2.1488771446049215,0.7086004614830017
202,53,-20.052892130000004,536,805.11,108544,0.2,1.2240214347839355,520,0.011564884,0.10068359375,-0.0040700491059396885,0.8261393755674362,43.89039730317891,0.0003,-2.1325241975486278,0.6987037062644958
206,54,-17.240076990000002,535,821.55,110592,0.2,3.7413172721862793,530,0.0048629497,0.05712890625,-0.002668307605199516,0.46996235847473145,147.2972111597657,0.0003,-2.1226618118584155,0.6999322175979614
210,55,-17.792356100000003,535,824.78,112640,0.2,0.9584292769432068,540,0.008095019,0.1091796875,-0.005865339731099084,0.8582034856081009,33.55529391970485,0.0003,-2.127342779189348,0.7006208300590515
214,56,-15.462729650000004,535,833.5,114688,0.2,38.45954895019531,550,0.005812628,0.074072265625,-0.0037187748748692684,0.6437062919139862,94.67942771501839,0.0003,-2.1217423982918264,0.6982186436653137
219,57,-13.08136452,532,849.77,116736,0.2,1.6055386066436768,560,0.00869485,0.1158203125,-0.0011942970617383254,0.846355602145195,35.20350843984634,0.0003,-2.1192436568439006,0.699540376663208
223,58,-11.57766881,532,862.33,118784,0.2,255.76763916015625,570,0.007971177,0.06640625,-0.0043418552886578254,0.8190401941537857,38.082179793529214,0.0003,-2.1148145273327827,0.6928092241287231
228,59,-9.78994192,529,878.14,120832,0.2,3.2848875522613525,580,0.0065395366,0.070556640625,-0.0003587963481550105,0.7414130866527557,46.8969474222511,0.0003,-2.0977524913847447,0.6881014108657837
233,60,-8.038437759999999,527,886.09,122880,0.2,0.497893363237381,590,0.0070280246,0.108056640625,-0.0038480666480609216,0.8754815012216568,33.909581563062964,0.0003,-2.060129714012146,0.6691303253173828
237,61,-7.946224959999998,525,882.67,124928,0.2,0.4975776672363281,600,0.0049757585,0.077783203125,-0.005394019682717044,0.8505088239908218,38.898539384640756,0.0003,-2.021467325091362,0.6618977189064026
240,62,-3.4142022199999995,527,876.85,126976,0.2,1.3325966596603394,610,0.006343427,0.068896484375,-0.0026905639650067316,0.7396631240844727,81.9206376478076,0.0003,-2.0087788984179498,0.6594086289405823
243,63,-2.3834558099999996,529,870.44,129024,0.2,61.6683349609375,620,0.005999458,0.04912109375,-0.005895952197897713,0.4164629578590393,157.93030087351798,0.0003,-1.9981354866176844,0.6544292569160461
247,64,2.151890749999999,530,870.73,131072,0.2,10.568079948425293,630,0.013020728,0.0615234375,-0.0012043598260788712,0.7305403351783752,81.1034611966461,0.0003,-1.9801047421991824,0.6481192111968994
250,65,3.060701840000001,531,866.9,133120,0.2,5.85397481918335,640,0.010372853,0.07919921875,-0.003975136450389982,0.6856531202793121,115.48047413751483,0.0003,-1.9738897137343883,0.650170624256134
253,66,2.6215681100000006,533,861.92,135168,0.2,58.139217376708984,650,0.0048329304,0.035546875,-0.0016243756545009091,0.6648177206516266,140.13617716953158,0.0003,-1.9752804063260556,0.6483892202377319
257,67,2.978071,533,856.32,137216,0.2,63.64836120605469,660,0.0043936344,0.061376953125,-0.0037981799621775282,0.7163941860198975,94.68669665530324,0.0003,-1.9716324057430028,0.647781491279602
261,68,8.20297293,532,862.03,139264,0.2,33.60152816772461,670,0.0038606597,0.079443359375,-0.0004546593932900578,0.6738771498203278,57.23062535859644,0.0003,-1.9634504493325948,0.643687903881073
265,69,8.25512116,532,864.29,141312,0.2,19.489757537841797,680,0.005252855,0.057373046875,-0.0006545461430505384,0.7082304656505585,71.14879731200635,0.0003,-1.946069573611021,0.6376307010650635
269,70,8.399971460000001,531,858.48,143360,0.2,1.3454160690307617,690,0.01037609,0.09970703125,-0.0016912346036406234,0.8395093679428101,35.012117837835106,0.0003,-1.9273168530315161,0.6323727369308472
273,71,9.425557750000001,530,858.48,145408,0.2,30.581018447875977,700,0.0059356764,0.0505859375,-0.002352226151560899,0.7844885736703873,73.68773513250053,0.0003,-1.9097769442945718,0.6225224733352661
278,72,9.340347560000003,529,858.48,147456,0.2,0.6241889595985413,710,0.015995232,0.120068359375,0.0016515388590050862,0.8627514690160751,34.731440064683554,0.0003,-1.8857372757047415,0.6193984746932983
282,73,11.23882665,528,854.4,149504,0.2,0.5483789443969727,720,0.009493542,0.093798828125,-0.0016349023804650641,0.8753542602062225,38.397159803751855,0.0003,-1.8719506919384004,0.6155959367752075
286,74,15.5012251,528,862.61,151552,0.2,90.31840515136719,730,0.007429398,0.0611328125,-0.002776597489719279,0.6349947154521942,107.31580623984337,0.0003,-1.8656946778297425,0.6139756441116333
290,75,17.38444891,529,850.88,153600,0.2,1.252545714378357,740,0.0063327616,0.079736328125,0.0013588685309514404,0.8609597831964493,37.41577727161348,0.0003,-1.8525881599634886,0.6085531115531921
293,76,16.40142026,529,846.48,155648,0.2,30.406511306762695,750,0.0050430377,0.049072265625,-0.0013087720835756045,0.5808771252632141,129.62223529666662,0.0003,-1.8417607314884663,0.6072447896003723
297,77,16.943051920000002,530,840.15,157696,0.2,4.200026035308838,760,0.009815094,0.102490234375,-0.005315177956072148,0.7814428806304932,60.42540889754891,0.0003,-1.8298417959362268,0.6015263199806213
300,78,18.147990020000005,532,833.61,159744,0.2,13.0701322555542,770,0.004763471,0.059912109375,-0.003977885426138528,0.7939112037420273,71.39517031833529,0.0003,-1.8168934974819422,0.5993819236755371
302,79,19.480721210000002,534,823.62,161792,0.2,5.536594867706299,780,0.004999171,0.044970703125,-0.00256742649107764,0.6982852220535278,103.14049871563911,0.0003,-1.8130423020571471,0.6001650094985962
307,80,22.17210858,533,823.13,163840,0.2,29.02741241455078,790,0.00655186,0.052294921875,-0.0025955488068575504,0.632697194814682,115.0357026539743,0.0003,-1.8146825585514308,0.6009963750839233
311,81,21.631085740000003,533,826.94,165888,0.2,25.142539978027344,800,0.004163511,0.035595703125,-0.002284123632853152,0.7396425306797028,84.64717883169651,0.0003,-1.8165102299302816,0.5998142957687378
315,82,21.87814938,533,820.53,167936,0.2,0.4212753176689148,810,0.010248946,0.1150390625,-0.0017872796350275166,0.8772819638252258,42.70581857357174,0.0003,-1.7986761525273323,0.5896228551864624
319,83,22.09303009,532,806.4,169984,0.2,287.52789306640625,820,0.009437462,0.08955078125,0.000574678822158603,0.673529863357544,67.2610031446442,0.0003,-1.7864991266280412,0.5943900346755981
323,84,21.209479259999995,532,799.37,172032,0.2,6.795262813568115,830,0.004303386,0.03125,-0.0025641089989221653,0.7424355745315552,102.39845289848745,0.0003,-1.7923193220049143,0.5923644304275513
327,85,21.206085409999996,532,799.37,174080,0.2,90.24655151367188,840,0.009241441,0.104736328125,-0.008418831608287292,0.7376335561275482,102.4812087725848,0.0003,-1.788346764817834,0.5925341248512268
330,86,22.840879869999995,532,786.66,176128,0.2,0.42475372552871704,850,0.0068000397,0.133935546875,0.0026181948713201566,0.8897367641329765,35.336755628325044,0.0003,-1.7814671605825425,0.5869983434677124
333,87,23.11677251,534,759.78,178176,0.2,12.33747673034668,860,0.008464437,0.077783203125,-0.0015512341691646726,0.8184763938188553,63.87742577977478,0.0003,-1.7682819556444884,0.5861780643463135
337,88,22.99128877,534,759.35,180224,0.2,43.676734924316406,870,0.003830722,0.021630859375,-0.0018600985829834826,0.5151070654392242,252.13063964545728,0.0003,-1.7668096333742143,0.5854127407073975
340,89,22.8870383,536,745.38,182272,0.2,4.017862796783447,880,0.005535979,0.04501953125,-0.0013021060127357486,0.8139315396547318,71.91398086436092,0.0003,-1.7559235118329526,0.578863263130188
343,90,21.578133810000004,536,733.76,184320,0.2,18.443899154663086,890,0.008453775,0.08544921875,-0.0073504138927091844,0.6802794635295868,155.76551363617182,0.0003,-1.7399159524589778,0.5771257877349854
347,91,23.933894950000003,536,738.65,186368,0.2,63.52334213256836,900,0.012258343,0.09599609375,-0.0067944348767923655,0.7451635301113129,130.86272151842712,0.0003,-1.737489616498351,0.5775710344314575
351,92,23.088183760000007,536,738.65,188416,0.2,1.476659893989563,910,0.0093578175,0.115087890625,0.0015540994609182235,0.9241131991147995,34.019509774819014,0.0003,-1.7414016667753458,0.5776605606079102
354,93,23.5616207,536,731.99,190464,0.2,0.44466090202331543,920,0.0071800565,0.097607421875,-5.8694691688288e-05,0.8847706019878387,32.109622730361295,0.0003,-1.735827923566103,0.5762565732002258
358,94,24.02280107,536,731.99,192512,0.2,23.828371047973633,930,0.007115932,0.0888671875,-0.0028252562013221906,0.8446128517389297,69.90774032026529,0.0003,-1.725553310662508,0.5723678469657898
362,95,27.995545659999998,537,706.69,194560,0.2,3.3254148960113525,940,0.0077451533,0.070166015625,-0.0009909678243275265,0.8620587140321732,39.867315573617816,0.0003,-1.7155044872313738,0.5682329535484314
364,96,22.66228373,539,701.91,196608,0.2,81.62207794189453,950,0.0075788866,0.043798828125,-0.003937073607812635,0.8048662096261978,126.02234316766263,0.0003,-1.7006705839186906,0.5658347606658936
368,97,23.611963509999995,539,704.46,198656,0.2,151.85552978515625,960,0.004314899,0.014208984375,-0.0015796074207173661,0.6781378090381622,186.88266333043575,0.0003,-1.6963657453656196,0.5658165216445923
371,98,23.034153469999993,540,686.9,200704,0.2,261.14788818359375,970,0.0028779698,0.03173828125,-0.00031388214556500317,0.7837483882904053,75.96568606644868,0.0003,-1.6924904994666576,0.5636346340179443
375,99,25.243938779999997,540,693.7,202752,0.2,48.76089096069336,980,0.003964751,0.030029296875,-0.0024093401207210263,0.6287498772144318,232.06426761746405,0.0003,-1.6849160898476838,0.561495304107666
378,100,26.28134221,541,700.88,204800,0.2,12.733723640441895,990,0.0042680493,0.03974609375,-0.001061026498064166,0.8747314512729645,63.49755631648004,0.0003,-1.678903865814209,0.5596218109130859
381,101,26.9720709,541,693.42,206848,0.2,1.152664065361023,1000,0.0074510933,0.077099609375,-0.00282022102328483,0.8243658244609833,41.86837093438953,0.0003,-1.6699273005127906,0.5570605993270874
385,102,26.31340022,542,699.45,208896,0.2,57.92292785644531,1010,0.005053933,0.0560546875,-0.0014416873804293574,0.6616968512535095,121.35955971777439,0.0003,-1.662710813060403,0.5552439093589783
389,103,27.27573796,541,692.64,210944,0.2,1.3241701126098633,1020,0.009406239,0.108203125,-0.0026075882371515034,0.8129724711179733,46.144193061068655,0.0003,-1.6532782725989819,0.5521782636642456
392,104,28.028360999999997,542,684.83,212992,0.2,14.632864952087402,1030,0.0054753595,0.097802734375,-0.0015679015719797461,0.77256740629673,49.4145584307611,0.0003,-1.653535206243396,0.5548332929611206
396,105,27.246923499999994,542,677.06,215040,0.2,2.2152910232543945,1040,0.004673683,0.05029296875,-0.0030885092724929563,0.7988136261701584,63.09053938612342,0.0003,-1.652865832671523,0.5520830750465393
400,106,27.738514770000002,542,676.72,217088,0.2,1.3003848791122437,1050,0.0053355284,0.033251953125,-0.002850291672802996,0.8190947622060776,67.21199695859104,0.0003,-1.64816936776042,0.5515375733375549
403,107,28.735914209999997,542,669.08,219136,0.2,170.3760223388672,1060,0.004137573,0.046044921875,-0.004103902092174394,0.6839491128921509,96.55425320267678,0.0003,-1.6413800813257695,0.5489267706871033
406,108,28.885228789999996,543,667.39,221184,0.2,29.567974090576172,1070,0.005194758,0.066357421875,-0.0032520706045033876,0.7821548581123352,91.30500626638532,0.0003,-1.626689001172781,0.5436656475067139
409,109,30.058766629999994,545,658.61,223232,0.2,23.454618453979492,1080,0.009504288,0.0859375,-0.0005246406944934279,0.7488360106945038,97.58503926247359,0.0003,-1.6048127789050342,0.5372081995010376
