rollout/ep_len_mean,time/fps,time/iterations,time/time_elapsed,time/total_timesteps,rollout/ep_rew_mean,train/explained_variance,train/clip_fraction,train/learning_rate,train/n_updates,train/value_loss,train/policy_gradient_loss,train/approx_kl,train/entropy_loss,train/loss,train/clip_range
485.16,872,34,79,69632,-78.03848718,0.6990065276622772,0.06474609375,0.0003,330,49.82341093868017,-0.006141807638050523,0.0059689893,-1.0386717334389686,4.513607025146484,0.2
502.97,854,35,83,71680,-73.2508422,0.3656763434410095,0.034765625,0.0003,340,79.44150189608335,-0.003913884573557879,0.0059009967,-1.0641306843608618,27.807798385620117,0.2
518.77,847,36,87,73728,-74.19865353,0.8391380459070206,0.071923828125,0.0003,350,34.110372342169285,-0.006596254016039893,0.009922656,-1.0080282162874936,4.281158447265625,0.2
534.83,840,37,90,75776,-68.29757516,0.3851029872894287,0.20888671875,0.0003,360,40.28422490805387,-0.010764456643664743,0.013631758,-1.08051753975451,5.630446910858154,0.2
550.76,829,38,93,77824,-69.14940006,0.7961958050727844,0.0986328125,0.0003,370,24.737784014642237,-0.005642981472192332,0.009529788,-1.0440156118944288,3.4430153369903564,0.2
570.38,829,39,96,79872,-65.04074747,0.5177038013935089,0.080126953125,0.0003,380,61.81620556563139,-0.00600791873948765,0.0068199094,-1.0433244472369552,24.916112899780273,0.2
587.91,819,40,99,81920,-62.592404589999994,0.5550367832183838,0.02998046875,0.0003,390,133.04884261339902,-0.002254957750119502,0.0035002944,-0.9838778788223863,9.17203426361084,0.2
604.16,812,41,103,83968,-59.55521800999999,0.5810281336307526,0.045654296875,0.0003,400,40.56847248673439,-0.0031113030407141197,0.004557101,-1.0578755533322692,7.110471248626709,0.2
619.95,807,42,106,86016,-58.20483802999999,0.5134747624397278,0.02646484375,0.0003,410,116.89949878677726,-0.002326661670667818,0.0053879577,-0.9940796429291368,183.93592834472656,0.2
635.47,800,43,110,88064,-53.78337689999999,0.7166957259178162,0.06376953125,0.0003,420,38.84224437475204,-0.005502999082091264,0.008228246,-0.9588596589863301,2.6347389221191406,0.2
652.21,793,44,113,90112,-52.650286369999996,0.7582060992717743,0.105419921875,0.0003,430,26.590462879836558,-0.0073231263399065934,0.010954341,-0.9236742610111832,6.065197944641113,0.2
664.45,792,45,116,92160,-49.09021115999999,0.695797324180603,0.089013671875,0.0003,440,37.018416193127635,-0.005850930203450844,0.011090772,-0.9300953157246112,2.658184051513672,0.2
681.91,786,46,119,94208,-46.19667261000001,0.6335903108119965,0.109375,0.0003,450,68.65205551236868,-0.005336745062231784,0.0069608684,-0.9064985781908035,15.476409912109375,0.2
697.09,780,47,123,96256,-45.2888997,0.3508785367012024,0.02568359375,0.0003,460,256.2234199345112,-0.005150554292049492,0.004421725,-0.8677958892658353,49.641075134277344,0.2
699.37,777,48,126,98304,-46.52225159,0.7739956229925156,0.083056640625,0.0003,470,39.08160276338458,-0.0036440372103243137,0.0112511115,-0.9023790314793587,3.721133232116699,0.2
717.35,777,49,129,100352,-42.59822811000001,0.5100609362125397,0.064990234375,0.0003,480,68.59170144796371,-0.002591637859586626,0.009100005,-0.9302414953708649,3.757352113723755,0.2
727.85,186,50,547,102400,-40.15738957000001,0.6617561280727386,0.028466796875,0.0003,490,150.5606541186571,-0.0006873027370602359,0.0034177075,-0.7951954366639257,62.8104133605957,0.2
740.83,189,51,551,104448,-38.374445310000006,0.6133436858654022,0.0291015625,0.0003,500,63.269767589867115,-0.0009480765715125017,0.0046758642,-0.8899156928062439,58.00832748413086,0.2
756.04,191,52,555,106496,-35.04917341,0.8392800688743591,0.0529296875,0.0003,510,26.134700977057218,-0.003869507355557289,0.006534576,-1.0054756589233875,1.8386690616607666,0.2
766.59,194,53,559,108544,-30.910181500000004,0.7965770959854126,0.057666015625,0.0003,520,25.97379327788949,-0.002198206552566262,0.006909325,-0.9934906532987953,3.4812257289886475,0.2
783.28,196,54,562,110592,-30.65848717000001,0.5796839594841003,0.110888671875,0.0003,530,75.8153469979763,-0.00357572444336256,0.010411986,-0.9508587766438723,15.400256156921387,0.2
795.99,199,55,565,112640,-28.96229759,0.7390378713607788,0.06533203125,0.0003,540,42.35408899188042,-0.003543250125949271,0.0060909307,-0.94663403686136,195.99032592773438,0.2
