time/time_elapsed,time/iterations,time/total_timesteps,rollout/ep_rew_mean,time/fps,rollout/ep_len_mean,train/entropy_loss,train/value_loss,train/loss,train/clip_fraction,train/explained_variance,train/policy_gradient_loss,train/approx_kl,train/clip_range,train/learning_rate,train/n_updates
131,56,114688,-39.74695956,870,559.26,-0.9300465967506171,102.8762672200799,8.751996040344238,0.069482421875,0.7955186069011688,-0.0012571039063914214,0.0071260803,0.2,0.0003,550
134,57,116736,-36.92342489,866,571.64,-0.9138210099190474,39.134561109542844,2.77085280418396,0.108544921875,0.9042892903089523,-0.004179294720233884,0.0059143733,0.2,0.0003,560
137,58,118784,-33.628899389999994,863,584.52,-0.8901295725256204,89.54818487167358,8.26617431640625,0.053759765625,0.8565067797899246,-0.0024837018259859177,0.0055422233,0.2,0.0003,570
141,59,120832,-33.03425237,854,600.24,-0.9988323256373406,49.67639063000679,289.4388427734375,0.124365234375,0.884003072977066,-0.00457668499002466,0.012943968,0.2,0.0003,580
144,60,122880,-29.646384010000006,852,614.96,-0.9638153545558452,36.283087362349036,4.313071250915527,0.09443359375,0.9090045019984245,-0.0044596772859222256,0.009016956,0.2,0.0003,590
147,61,124928,-26.247537090000005,845,630.21,-0.8630466509610415,198.21334499418737,144.43238830566406,0.007763671875,0.6427983641624451,-0.001165091825168929,0.002657575,0.2,0.0003,600
150,62,126976,-19.872480009999993,842,641.53,-0.926404669135809,85.07718828916549,11.290973663330078,0.077197265625,0.7385067343711853,-0.0019354066287633031,0.009529057,0.2,0.0003,610
154,63,129024,-19.42931912,833,656.36,-0.9334656469523906,95.05426464378834,3.956794261932373,0.109228515625,0.7939223200082779,-0.0071634969688602725,0.008380457,0.2,0.0003,620
158,64,131072,-15.346895479999999,828,671.19,-0.8258477175608278,38.57331363297999,2.003182888031006,0.096484375,0.8824569657444954,-0.003367362367134774,0.0047408976,0.2,0.0003,630
161,65,133120,-14.621592629999999,824,682.73,-1.0423734804615379,45.78183397017419,1.3136348724365234,0.0796875,0.8717736154794693,-0.004276643549383152,0.0070601753,0.2,0.0003,640
165,66,135168,-12.053656329999994,819,697.93,-0.8419686553999781,135.3680266171694,7.176553726196289,0.050341796875,0.5872851014137268,-0.005019718657058548,0.0073993374,0.2,0.0003,650
167,67,137216,-12.478170889999994,818,697.93,-0.9597389601171017,92.57587753124535,36.436954498291016,0.05986328125,0.79834845662117,-0.004734397582069505,0.011211773,0.2,0.0003,660
171,68,139264,-10.863537739999993,810,699.89,-0.9488466072827577,44.59301836043596,5.113527297973633,0.14873046875,0.8890725001692772,-0.002669622469693422,0.011388669,0.2,0.0003,670
174,69,141312,-7.849775589999999,809,704.97,-0.7930738009512425,31.336646685190498,0.584295928478241,0.101806640625,0.9205854907631874,-0.004133097527665086,0.01204851,0.2,0.0003,680
177,70,143360,-3.7058959299999974,808,709.67,-0.9457950750365853,77.02867298200727,1.8362159729003906,0.11669921875,0.7502191066741943,-0.004550708353053779,0.01049867,0.2,0.0003,690
180,71,145408,-0.8252146699999972,806,714.75,-0.7408495113253594,104.43740473240614,48.77730178833008,0.12216796875,0.7424799203872681,-0.0030719088526893756,0.01292064,0.2,0.0003,700
183,72,147456,1.30199134,805,709.2,-0.7924948429688812,61.158051979914305,5.905133247375488,0.078173828125,0.8141694217920303,-0.002700557271600701,0.009907497,0.2,0.0003,710
186,73,149504,1.7104544799999999,800,716.92,-0.8563838040456175,176.86709000766277,21.712968826293945,0.027880859375,0.7315232455730438,-0.0033588999634957873,0.002486506,0.2,0.0003,720
189,74,151552,2.40275813,797,722.71,-1.0326786290854215,45.04171727653593,0.7053937315940857,0.080908203125,0.8940547332167625,-0.0008160329292877577,0.0035462952,0.2,0.0003,730
192,75,153600,1.1852744800000004,797,710.16,-1.0116816930472852,64.54140243828297,9.634621620178223,0.0802734375,0.8531816750764847,-0.0014998018126789248,0.00974769,0.2,0.0003,740
195,76,155648,1.4547801300000023,795,722.47,-0.9863545084372163,135.87669397890568,223.50653076171875,0.02421875,0.8396734893321991,-0.0013923982711276039,0.005461509,0.2,0.0003,750
198,77,157696,1.3970690100000016,794,728.64,-1.012697240523994,31.2728112610057,1.263925313949585,0.178662109375,0.9246508926153183,-0.007079001522652106,0.012361363,0.2,0.0003,760
201,78,159744,2.797354090000001,792,738.53,-0.9296028159558773,38.20283853188157,227.9282684326172,0.09912109375,0.8994839787483215,-0.005408369743963704,0.010493177,0.2,0.0003,770
204,79,161792,1.7816567500000002,791,742.54,-0.6970608728006482,75.8214247059077,24.5969181060791,0.0119140625,0.8484692424535751,-0.0010930732409178746,0.0023513138,0.2,0.0003,780
207,80,163840,0.4296757800000002,791,741.35,-0.6717449069023133,77.03920757621526,2.1585936546325684,0.10693359375,0.9314208477735519,-0.006700468157941941,0.021695225,0.2,0.0003,790
209,81,165888,-1.4858431699999992,790,751.57,-0.9476998880505562,102.91775626838208,16.009492874145508,0.043115234375,0.8435664772987366,-0.003670707443961874,0.0067305993,0.2,0.0003,800
213,82,167936,-0.26109188999999966,785,762.06,-0.8589444324374199,39.9615579623729,0.7661443948745728,0.047021484375,0.914545364677906,-0.0009494613026618026,0.006288738,0.2,0.0003,810
216,83,169984,-1.6723635599999986,786,753.45,-0.985324802622199,32.563880272954705,1.6270322799682617,0.06279296875,0.9099674820899963,-0.000821525420906255,0.013122603,0.2,0.0003,820
218,84,172032,-3.5422450199999984,786,748.76,-0.7527418376877903,262.85142294168475,28.267498016357422,0.0091796875,0.7388903796672821,-0.0012005787481029983,0.0020561297,0.2,0.0003,830
221,85,174080,-2.8957977599999993,786,751.21,-0.8676336944103241,116.42957213521004,9.788383483886719,0.012060546875,0.8153593093156815,-0.0037010327429015887,0.0034363663,0.2,0.0003,840
224,86,176128,-4.27747048,785,754.27,-0.8571915609762073,62.94685236662626,25.481979370117188,0.034423828125,0.8650345355272293,-0.003274542677900172,0.0043656537,0.2,0.0003,850
227,87,178176,-3.41663068,783,761.48,-0.8138362599536777,176.14779665917158,14.376521110534668,0.01416015625,0.7622726112604141,-0.001754859127322561,0.004544802,0.2,0.0003,860
231,88,180224,-4.024119180000001,778,761.48,-0.8445718917995692,35.497420309111476,1.475736141204834,0.118994140625,0.898993469774723,-0.003165874284604797,0.008959101,0.2,0.0003,870
233,89,182272,-3.5633163500000014,779,757.43,-0.7571277199313045,41.41895113363862,1.4837538003921509,0.1279296875,0.8921353220939636,-0.0027376349178666716,0.01466024,0.2,0.0003,880
236,90,184320,-3.134022770000002,779,757.43,-0.7601459568366409,107.67560482472182,39.148712158203125,0.02529296875,0.843856543302536,-0.0013675292539119255,0.00727,0.2,0.0003,890
239,91,186368,-0.16310846000000112,778,755.2,-0.9499679138883949,33.35153964534402,3.243232011795044,0.099755859375,0.903642013669014,-0.0021890945688937792,0.005004149,0.2,0.0003,900
242,92,188416,-0.1228543300000007,776,767.29,-0.8985944041982293,85.74492354094983,18.709503173828125,0.083837890625,0.7947936654090881,-0.002764594182735891,0.0068211285,0.2,0.0003,910
245,93,190464,0.10694381999999891,775,762.19,-0.9387844135984779,29.003617672715336,0.5249916315078735,0.08671875,0.8983339816331863,-0.0012532318403827957,0.0077215414,0.2,0.0003,920
248,94,192512,3.0399481699999984,774,760.8,-0.8652336465194821,76.05892858691513,3.035416841506958,0.063232421875,0.7910090684890747,-0.0013790125160085154,0.0093545215,0.2,0.0003,930
252,95,194560,3.514004949999998,771,760.8,-0.8878854295238853,90.9181835450232,57.0474853515625,0.092431640625,0.7975555509328842,-0.0013064247232250636,0.011226077,0.2,0.0003,940
255,96,196608,4.326960599999998,770,754.55,-0.8886312857270241,38.316120125260205,0.2457846850156784,0.10048828125,0.8937925770878792,-0.005883936827012803,0.010698692,0.2,0.0003,950
257,97,198656,7.57810621,771,765.39,-0.7078194595873356,67.15615288224072,0.7293881773948669,0.0798828125,0.8255052268505096,-0.003864691397029674,0.004747671,0.2,0.0003,960
259,98,200704,6.770122949999998,772,764.29,-0.8959646986797452,38.03186830910854,0.6017857193946838,0.0751953125,0.9108284264802933,-0.004247645124269184,0.007720202,0.2,0.0003,970
262,99,202752,6.89813804,773,756.66,-0.8614012908190489,68.06991806551814,11.517119407653809,0.07763671875,0.7981188297271729,-0.002770598798088031,0.013651285,0.2,0.0003,980
264,100,204800,3.4339723299999996,773,741.78,-0.7911783186718822,100.15331622362137,3.635066509246826,0.037158203125,0.8468369692564011,-0.0021879514686588665,0.0057629915,0.2,0.0003,990
266,101,206848,3.2227092600000002,775,730.69,-0.8121783776208759,109.17433504592627,60.71009826660156,0.02412109375,0.8027617633342743,-0.0017144354853371624,0.0030454667,0.2,0.0003,1000
269,102,208896,4.3136356,775,727.24,-0.8431388767436147,123.89001976549625,274.9034729003906,0.011376953125,0.794331967830658,-0.0009820557781495154,0.0020339966,0.2,0.0003,1010
272,103,210944,4.9036421699999995,773,727.24,-0.7691400116309524,120.69555024132133,12.1998872756958,0.050439453125,0.8460173904895782,-0.0016083223599707708,0.009033458,0.2,0.0003,1020
274,104,212992,3.1489996599999994,775,711.57,-0.822511813417077,42.0400731950067,0.17931413650512695,0.083349609375,0.9147424548864365,-0.0031145654982537964,0.007814387,0.2,0.0003,1030
278,105,215040,3.25858597,773,712.09,-0.7655398754402996,185.12929134368898,98.30998229980469,0.025341796875,0.6805363297462463,-0.0005987911294141668,0.0049985033,0.2,0.0003,1040
280,106,217088,3.3907556999999997,773,714.08,-0.8160488277673721,58.31281370669603,80.67987823486328,0.12548828125,0.8389064818620682,-0.004684094908589032,0.005750547,0.2,0.0003,1050
283,107,219136,2.9344524800000005,772,721.23,-0.7877135269343853,139.9516891911626,88.78350067138672,0.062841796875,0.7832277566194534,-0.0015608110563334777,0.0058591426,0.2,0.0003,1060
