rollout/ep_len_mean,rollout/ep_rew_mean,time/time_elapsed,time/fps,time/iterations,time/total_timesteps,train/clip_range,train/learning_rate,train/n_updates,train/loss,train/explained_variance,train/clip_fraction,train/approx_kl,train/entropy_loss,train/policy_gradient_loss,train/value_loss
790.43,-38.08103393,163,751,60,122880,0.2,0.0003,590,11.124408721923828,0.44003206491470337,0.0662109375,0.00697981,-0.8452378937974572,-0.004441823261004174,114.71707576215267
803.57,-35.52430189,167,744,61,124928,0.2,0.0003,600,8.25593376159668,0.5729299187660217,0.0912109375,0.007521891,-0.8778744025155902,-0.0038284155853034463,38.16692686229944
820.99,-33.965822300000006,172,737,62,126976,0.2,0.0003,610,8.78022575378418,0.36262768507003784,0.030908203125,0.0057979133,-0.8590755965560675,-0.002195011834555771,65.2474583171308
835.63,-32.096119990000005,175,736,63,129024,0.2,0.0003,620,7.391285419464111,0.4855632781982422,0.051416015625,0.006467296,-0.9124616164714098,1.1907237421837635e-05,99.44885580390692
841.87,-28.267927160000003,178,734,64,131072,0.2,0.0003,630,18.520414352416992,0.6992639303207397,0.046484375,0.008339591,-0.9351887425407768,-0.0008185205624613445,48.379870280623436
853.56,-27.482269369999997,181,733,65,133120,0.2,0.0003,640,5.043021202087402,0.4781253933906555,0.05830078125,0.0059027257,-0.8672338062897325,-0.0021782832329336086,77.64336456432939
856.32,-25.90741905,185,728,66,135168,0.2,0.0003,650,106.10679626464844,0.39167147874832153,0.086572265625,0.014983362,-0.8464378187432885,-0.004327975729393074,119.0175320610404
875.0,-20.939724149999996,191,718,67,137216,0.2,0.0003,660,16.557899475097656,0.7956181764602661,0.066650390625,0.0042529544,-0.8685479151085019,-0.0016433486816822551,42.16433108225465
884.69,-19.125294739999998,193,719,68,139264,0.2,0.0003,670,5.4741950035095215,0.4383363723754883,0.08134765625,0.011848077,-0.9002346433699131,-0.004773522860341472,47.429786048084495
889.8,-17.057841390000004,196,718,69,141312,0.2,0.0003,680,58.128204345703125,0.513367772102356,0.043212890625,0.0055174367,-0.8826447289437056,-0.0008866074713296257,77.39656180813908
901.81,-14.28600971,200,715,70,143360,0.2,0.0003,690,15.788010597229004,0.6186980903148651,0.05888671875,0.007503929,-0.8286498740315438,-0.0023228146594192365,57.89716260433197
912.43,-10.493531590000005,203,713,71,145408,0.2,0.0003,700,311.9505615234375,0.6640816330909729,0.071044921875,0.0072947135,-0.8415794400498271,-0.0036797005996049847,47.88995839655399
919.04,-8.870630050000004,206,714,72,147456,0.2,0.0003,710,191.8873291015625,0.2930693030357361,0.079296875,0.0060187485,-0.8001382669433952,-0.0030983561038738115,126.68176307678223
930.4,-6.109322890000002,209,712,73,149504,0.2,0.0003,720,9.883525848388672,0.703690230846405,0.0544921875,0.006351344,-0.8610351281240582,-0.0038327141512127126,56.742195796966556
929.77,-7.649456590000003,213,711,74,151552,0.2,0.0003,730,14.861167907714844,0.661624014377594,0.05859375,0.0026665735,-0.8781112300232052,-0.0018109368487785106,104.81904283314944
930.73,-4.809123930000001,216,710,75,153600,0.2,0.0003,740,12.682693481445312,0.2582774758338928,0.077783203125,0.009761697,-0.9278788484632969,-0.003098442497139331,69.48668025285005
931.26,-5.061570589999999,220,705,76,155648,0.2,0.0003,750,16.582666397094727,0.6687538623809814,0.099169921875,0.007224477,-0.8341368332505226,-0.0034760696318699045,53.31092920899391
923.76,-8.19939891,223,704,77,157696,0.2,0.0003,760,3.885991334915161,0.652067095041275,0.1021484375,0.008319415,-0.9266977971419692,-0.0008151158384862356,63.8174940675497
915.18,-7.92908173,226,704,78,159744,0.2,0.0003,770,4.835518836975098,0.6642434597015381,0.047705078125,0.0040599573,-0.8845949959009886,-0.003356404908845434,86.39859293699264
897.21,-14.336429580000004,228,707,79,161792,0.2,0.0003,780,148.89511108398438,0.6264056265354156,0.085986328125,0.004753231,-0.8902962256222964,-0.003586703446126194,202.65665307343005
894.61,-13.943809730000003,231,706,80,163840,0.2,0.0003,790,29.797115325927734,0.5870310664176941,0.049560546875,0.008812802,-0.8904417272657156,-0.0017760857852408662,162.12061465382575
897.87,-11.553415750000001,234,706,81,165888,0.2,0.0003,800,25.099254608154297,0.7216423451900482,0.148291015625,0.009350972,-0.9285146467387676,-0.005499336989305448,65.73993419632316
897.87,-11.678268950000001,237,707,82,167936,0.2,0.0003,810,9.306873321533203,0.738321840763092,0.104443359375,0.0077756774,-0.8725823855027557,-0.0022752891745767556,49.33006826490164
874.47,-15.722465479999999,240,708,83,169984,0.2,0.0003,820,8.10141372680664,0.8377531915903091,0.071923828125,0.005976891,-0.8684919016435743,-0.004432590403303039,31.910589776933193
873.85,-13.1958477,244,704,84,172032,0.2,0.0003,830,27.49207305908203,0.7743297666311264,0.021142578125,0.0033325735,-0.8302316786721349,-0.0008053512588958256,104.8241939932108
873.43,-14.903428000000002,247,703,85,174080,0.2,0.0003,840,166.1405487060547,0.5901961326599121,0.05908203125,0.0106382575,-0.8174636762589216,-0.0016244195103354286,86.46611229032278
861.58,-19.48414283,250,703,86,176128,0.2,0.0003,850,2.1991450786590576,0.6672735214233398,0.076953125,0.0047490033,-0.8843274226412177,-0.0025255215987272095,78.28073994889856
854.4,-18.74594261,253,701,87,178176,0.2,0.0003,860,38.73952102661133,0.7929147332906723,0.027001953125,0.0031972413,-0.8617173036560416,-0.00146764090313809,90.70595465898514
848.85,-19.01896182,257,699,88,180224,0.2,0.0003,870,42.735355377197266,0.6264395713806152,0.08251953125,0.0028241808,-0.8329269116744399,-0.0032893969655560795,102.11818322390317
846.3,-20.634949730000002,261,698,89,182272,0.2,0.0003,880,66.20527648925781,0.7299593687057495,0.05244140625,0.005284881,-0.865984246507287,-0.0034417139169818254,70.72905928343535
840.62,-22.211815519999995,263,699,90,184320,0.2,0.0003,890,7.962688446044922,0.7939675152301788,0.056689453125,0.0045273756,-0.8029126083478332,-0.003359726283815689,82.05595190823078
828.02,-22.835544770000002,266,699,91,186368,0.2,0.0003,900,3.302482843399048,0.827798530459404,0.052978515625,0.005173277,-0.8389924870803952,0.00012211230423417874,40.76430141329765
828.05,-22.33170085,269,698,92,188416,0.2,0.0003,910,26.962657928466797,0.7762671262025833,0.04482421875,0.008063396,-0.8560222450643777,-0.0023400472447974606,96.34880353659392
825.3,-23.846602059999995,273,697,93,190464,0.2,0.0003,920,4.449418544769287,0.7808852195739746,0.077783203125,0.0049301414,-0.8101312572136521,-0.0010175601215451024,76.37733765989542
821.14,-25.891269689999998,276,695,94,192512,0.2,0.0003,930,2.1202738285064697,0.5867241322994232,0.06337890625,0.00727519,-0.8933143401518464,-0.0018554422793386038,87.28203918263316
814.81,-25.364614140000004,280,693,95,194560,0.2,0.0003,940,2.285897731781006,0.8429854512214661,0.09482421875,0.01116324,-0.8773403262719512,-0.0032607715562335215,39.0079484641552
810.71,-26.913328890000003,283,693,96,196608,0.2,0.0003,950,5.266414642333984,0.7260057032108307,0.0615234375,0.007060355,-0.811665085889399,-0.0019320423030876554,94.83966572657228
808.5,-27.33968636,286,693,97,198656,0.2,0.0003,960,47.27458572387695,0.758704274892807,0.039404296875,0.003121284,-0.8520984193310142,-0.0025423721664992625,71.59249575361609
809.66,-27.42619899,290,691,98,200704,0.2,0.0003,970,109.33528137207031,0.6199887096881866,0.021044921875,0.0033711134,-0.8270426454022527,-0.0010526964273594786,127.63006677776575
805.73,-29.809815829999998,294,687,99,202752,0.2,0.0003,980,2.8373918533325195,0.8740978240966797,0.126123046875,0.011837592,-0.9234630538150668,-0.0036735106252308468,31.569723487645387
791.11,-27.98010299,297,687,100,204800,0.2,0.0003,990,13.920256614685059,0.7686200737953186,0.06767578125,0.0056799334,-0.7978374388068914,-0.005702131363068475,58.585228502005336
788.44,-31.49072416,300,687,101,206848,0.2,0.0003,1000,114.36658477783203,0.57663494348526,0.032373046875,0.004774983,-0.7912682937458158,-0.0012895684587419965,156.86729742586613
783.31,-31.324157260000003,303,688,102,208896,0.2,0.0003,1010,38.370845794677734,0.5843465328216553,0.04560546875,0.0062914276,-0.8939801704138517,-0.002228125540568726,156.50846780091524
784.57,-31.40139408,306,687,103,210944,0.2,0.0003,1020,2.798238754272461,0.7506567090749741,0.066796875,0.0037037358,-0.9554377594962716,-0.0011332876412780025,52.081541654467586
788.08,-30.83169242,310,686,104,212992,0.2,0.0003,1030,4.149615287780762,0.636297732591629,0.105322265625,0.0074691847,-0.8937635792419314,-0.00454601027231547,35.26134400516749
788.08,-30.749071450000002,314,684,105,215040,0.2,0.0003,1040,24.866933822631836,0.6086007058620453,0.131494140625,0.010673724,-0.8163309078663588,-0.0035835778151522392,64.50952724888921
783.81,-29.442780789999997,317,683,106,217088,0.2,0.0003,1050,2.0352935791015625,0.48706573247909546,0.09619140625,0.00886504,-0.9269203396514059,-0.004432378416822758,54.587865725159645
773.29,-35.457655190000004,320,684,107,219136,0.2,0.0003,1060,1.666368842124939,0.4433097243309021,0.081201171875,0.005900231,-0.829298036172986,-0.004647569191729417,87.52886396870016
773.29,-34.95414361,323,684,108,221184,0.2,0.0003,1070,40.9034538269043,0.8102428615093231,0.03310546875,0.0034631528,-0.7879251707345247,-0.0018061260350805241,81.94006524682045
780.63,-32.43218759,326,683,109,223232,0.2,0.0003,1080,2.7768096923828125,0.9280702546238899,0.083837890625,0.006801729,-0.8567051503807306,-0.003337658535747323,19.261059810966252
