time/total_timesteps,rollout/ep_rew_mean,time/time_elapsed,rollout/ep_len_mean,time/iterations,time/fps,train/policy_gradient_loss,train/std,train/entropy_loss,train/explained_variance,train/loss,train/approx_kl,train/n_updates,train/clip_fraction,train/value_loss,train/learning_rate,train/clip_range
108544,-19.898951679999996,202,790.3,53,535,-0.002424212190817343,0.7494989037513733,-2.2640406861901283,0.38408273458480835,79.99513244628906,0.006122803,520,0.0626953125,192.22241268157958,0.0003,0.2
110592,-19.7202798,206,803.33,54,534,-0.005259805031528231,0.7496721744537354,-2.258016587048769,0.47326159477233887,5.995226860046387,0.00569944,530,0.0572265625,58.42043074518442,0.0003,0.2
112640,-19.0528114,212,803.33,55,531,-0.005424547728034667,0.7547510862350464,-2.2660484798252583,0.6286625862121582,33.53532028198242,0.0053240466,540,0.025341796875,107.93034056127071,0.0003,0.2
114688,-18.44596407,216,807.05,56,528,-0.002152117023797473,0.7626913785934448,-2.2845128521323206,0.8056790083646774,1.8151272535324097,0.005503308,550,0.062744140625,36.34165988750756,0.0003,0.2
116736,-18.01995808,221,802.12,57,528,-0.006330885420902632,0.7536911964416504,-2.2839313827455046,0.5772790312767029,9.785733222961426,0.009283656,560,0.09130859375,87.8752496778965,0.0003,0.2
118784,-11.082194479999998,225,807.22,58,525,-0.007007042932673358,0.7481885552406311,-2.264703366905451,0.6448631882667542,69.41263580322266,0.008312056,570,0.10498046875,86.23550409451127,0.0003,0.2
120832,-10.11494232,229,817.59,59,526,-0.0017362801689159823,0.749165415763855,-2.257320787757635,0.4403430223464966,61.33005142211914,0.0076214345,580,0.065869140625,111.17891691625118,0.0003,0.2
122880,-4.1610444999999965,232,824.34,60,529,-0.003064893349073827,0.7443720102310181,-2.25798399746418,0.5722289681434631,48.233062744140625,0.0046438947,590,0.09111328125,67.85051060318946,0.0003,0.2
124928,-3.1977552999999954,236,831.77,61,527,-0.0014922644819307606,0.7420251369476318,-2.244250873476267,0.6030288934707642,53.638427734375,0.00945697,600,0.080419921875,86.84484679996967,0.0003,0.2
126976,-2.234685499999998,240,822.75,62,528,-0.0026137629625736735,0.7348096370697021,-2.2319300398230553,0.8125532418489456,0.7962223291397095,0.0051735872,610,0.087451171875,31.93546630218625,0.0003,0.2
129024,-0.11651443999999969,243,818.35,63,528,-0.004975407930760412,0.7306580543518066,-2.216737175732851,0.4713118076324463,22.730356216430664,0.007450031,620,0.090966796875,94.70137494206429,0.0003,0.2
131072,0.40207230000000066,247,813.01,64,529,-0.00013922720827395097,0.7335385084152222,-2.214063813537359,0.4845837950706482,10.271747589111328,0.0074506123,630,0.06279296875,65.18268368691206,0.0003,0.2
133120,1.6115996200000011,250,818.2,65,531,-0.0013367510939133354,0.7343236207962036,-2.220962706953287,0.554755836725235,7.852336406707764,0.0062681995,640,0.07451171875,75.14743168130516,0.0003,0.2
135168,5.170559370000001,253,818.79,66,533,-0.005276558161858702,0.7278156280517578,-2.210675796121359,0.4523640275001526,7.4219465255737305,0.0068113543,650,0.067822265625,111.47824361324311,0.0003,0.2
137216,5.365809489999999,256,814.26,67,534,-0.0026623659265169407,0.7242095470428467,-2.196899327635765,0.6005904972553253,2.7180421352386475,0.0095243845,660,0.091064453125,65.85596544742585,0.0003,0.2
139264,8.30701768,261,824.41,68,533,-0.0012995436729397625,0.7179202437400818,-2.1813572026789187,0.6222934424877167,3.379866361618042,0.006072972,670,0.08251953125,61.51240656897426,0.0003,0.2
141312,8.81844862,264,820.91,69,533,-0.003808212860894855,0.7179962396621704,-2.1728225737810134,0.7465545237064362,2.4935617446899414,0.0069902483,680,0.076611328125,32.97423582747579,0.0003,0.2
143360,11.256030490000002,268,815.86,70,534,-0.0021502692528883927,0.714017927646637,-2.1702019065618514,0.5224515199661255,41.48925018310547,0.0045830673,690,0.053125,93.2296996191144,0.0003,0.2
145408,15.620455490000007,271,819.47,71,534,-0.0008731091202207608,0.7110222578048706,-2.1601360119879245,0.34885722398757935,78.87895202636719,0.006450503,700,0.06533203125,128.30800051689147,0.0003,0.2
147456,10.949002760000003,274,804.49,72,536,-0.003518449926195899,0.7131011486053467,-2.1580467507243157,0.42143678665161133,130.31666564941406,0.008314615,710,0.067529296875,157.9869345366955,0.0003,0.2
149504,15.257455470000002,278,800.63,73,537,-0.0017648242428549565,0.7168521881103516,-2.1665190145373345,0.6633566319942474,23.311325073242188,0.005678734,720,0.0638671875,100.09636915922165,0.0003,0.2
151552,16.940004470000005,281,799.34,74,537,-0.0022947415040107445,0.7190440893173218,-2.175017759203911,0.5512474179267883,11.337263107299805,0.006819934,730,0.071484375,93.35178031027317,0.0003,0.2
153600,19.866177510000004,285,792.7,75,537,-0.0034332288632867858,0.721954345703125,-2.182494080811739,0.537948727607727,1.9899171590805054,0.006398987,740,0.08447265625,68.09628673344851,0.0003,0.2
155648,20.8676704,290,783.69,76,536,-0.003451661247527227,0.70882648229599,-2.1681640475988386,0.25669777393341064,27.372821807861328,0.008272031,750,0.11025390625,67.7967180095613,0.0003,0.2
157696,23.073903780000002,293,778.78,77,537,-0.004344664205564186,0.70830899477005,-2.149776306003332,0.6374301314353943,4.382126331329346,0.007832867,760,0.070068359375,76.75578507184983,0.0003,0.2
159744,23.358342429999997,297,771.9,78,537,-0.003864611757308012,0.7105544209480286,-2.1506820797920225,0.6575331091880798,9.151825904846191,0.008855774,770,0.065380859375,116.93193808421492,0.0003,0.2
161792,24.95400622,301,777.03,79,537,-0.0030636293864517937,0.7115800976753235,-2.155792734026909,0.6548164486885071,17.527076721191406,0.010605893,780,0.06357421875,86.81525632143021,0.0003,0.2
163840,22.628617470000005,303,760.79,80,538,0.0006889705859066453,0.700985312461853,-2.139922355115414,0.861498698592186,2.4531264305114746,0.009017717,790,0.0857421875,48.78337603546679,0.0003,0.2
165888,21.18356689,307,748.15,81,539,-0.003118006514705485,0.698800802230835,-2.11890826895833,0.6423484086990356,84.12019348144531,0.0048055844,800,0.095166015625,138.33177415728568,0.0003,0.2
167936,24.3067215,311,739.84,82,539,-0.0018200079342932441,0.6966942548751831,-2.111835140734911,0.7068803608417511,8.26754379272461,0.0055296794,810,0.06494140625,124.84516809731721,0.0003,0.2
