time/total_timesteps,time/time_elapsed,time/iterations,time/fps,rollout/ep_rew_mean,rollout/ep_len_mean,train/entropy_loss,train/approx_kl,train/loss,train/learning_rate,train/clip_fraction,train/explained_variance,train/clip_range,train/value_loss,train/policy_gradient_loss,train/n_updates
141312,183,69,770,32.70455037,725.14,-0.8793682856485248,0.009432802,12.830968856811523,0.0003,0.065625,0.5316620469093323,0.2,126.52977954447269,-0.003248706061276607,680
143360,186,70,769,35.83143294,709.83,-0.7986040595918894,0.004211262,231.08236694335938,0.0003,0.02890625,0.525038331747055,0.2,112.10255979597568,-0.002435706542019034,690
145408,188,71,769,35.67892705,691.51,-0.8431788044050336,0.009242609,46.1735725402832,0.0003,0.090478515625,0.4925369620323181,0.2,105.8092191785574,-0.003291288443870144,700
147456,191,72,770,39.069421500000004,672.18,-0.8847686702385544,0.007910799,57.35799026489258,0.0003,0.0935546875,0.45588022470474243,0.2,175.84118638932705,-0.005200393897757749,710
149504,194,73,769,37.95956081,662.65,-0.8268796499818564,0.003287527,27.521713256835938,0.0003,0.02626953125,0.617827832698822,0.2,166.93593795895578,-0.0027914655620406847,720
151552,196,74,769,40.4825191,652.4,-0.740270640514791,0.01991691,62.848236083984375,0.0003,0.151513671875,0.24699479341506958,0.2,142.60468570142984,-0.00815673482575221,730
153600,199,75,770,45.065816090000006,642.05,-0.752553890645504,0.009505787,9.90868091583252,0.0003,0.032958984375,0.5939677059650421,0.2,90.17573950886727,-0.0010615071772917873,740
155648,201,76,770,48.78522425999999,623.24,-0.8825440937653184,0.0049319975,74.457275390625,0.0003,0.077978515625,0.6269687712192535,0.2,137.5857231706381,-0.0036257229134207592,750
157696,204,77,770,53.60019487999999,615.37,-0.9055419305339456,0.0050787055,14.864557266235352,0.0003,0.054296875,0.558938592672348,0.2,103.71072085499763,-0.001613764635840198,760
159744,207,78,770,54.749175490000006,603.4,-0.8196070911362767,0.0021762243,389.9256591796875,0.0003,0.040283203125,0.5116902589797974,0.2,126.43333241045475,-0.0004111427508178167,770
161792,209,79,771,53.45655935,587.03,-0.7168463299050927,0.003339652,74.04268646240234,0.0003,0.02470703125,0.3489031195640564,0.2,143.7193791925907,-0.0009610061417333782,780
