rollout/ep_rew_mean,time/fps,rollout/ep_len_mean,time/total_timesteps,time/time_elapsed,time/iterations,train/loss,train/policy_gradient_loss,train/clip_range,train/explained_variance,train/entropy_loss,train/approx_kl,train/learning_rate,train/value_loss,train/clip_fraction,train/n_updates
-114.72588028,1090,278.01,49152,45,24,285.2344665527344,-0.0057913119548175015,0.2,0.16675949096679688,-1.0757614217698575,0.005556507,0.0003,225.13174698352813,0.0396484375,230
-114.11963662,1087,283.98,51200,47,25,61.639774322509766,-0.003732185342232697,0.2,0.38977229595184326,-1.0370324531570076,0.004624984,0.0003,237.02722537517548,0.008056640625,240
-113.36621017000002,1073,296.62,53248,49,26,66.84691619873047,-0.0058141635687206875,0.2,0.5330325961112976,-1.0782571360468864,0.004935747,0.0003,219.17428332567215,0.033642578125,250
-108.48952284,1054,308.1,55296,52,27,279.3631591796875,-0.004330314899561927,0.2,0.7259616553783417,-1.0166810447350145,0.006750942,0.0003,135.68701257109643,0.054345703125,260
-104.55071325,1033,325.83,57344,55,28,15.832542419433594,-0.004688166670530336,0.2,0.7402350902557373,-1.0178528636693955,0.0061244466,0.0003,111.21322650909424,0.02333984375,270
-103.22005444999999,1020,337.96,59392,58,29,23.070634841918945,-0.007362689560250146,0.2,0.7185459136962891,-1.0505809815600515,0.01002926,0.0003,130.05829346776008,0.119482421875,280
-102.14574126,1001,354.4,61440,61,30,208.3556671142578,-0.004272409755503759,0.2,0.6902280151844025,-1.0806908253580332,0.005740717,0.0003,151.60270847678186,0.02548828125,290
-99.70465344,979,368.47,63488,64,31,174.21780395507812,-0.008381873371035908,0.2,0.82937091588974,-1.051036631502211,0.007435656,0.0003,63.072110345959665,0.074267578125,300
-96.49268174999997,964,383.96,65536,67,32,6.193946361541748,-0.009090922560426406,0.2,0.8846088647842407,-1.1265878830105067,0.01202341,0.0003,41.890286792814734,0.127197265625,310
-93.59403429,961,401.51,67584,70,33,81.44137573242188,-0.006769707144849235,0.2,0.6281545162200928,-1.0237761825323104,0.010764295,0.0003,143.63678945302962,0.08525390625,320
-90.39957447,939,418.03,69632,74,34,43.691925048828125,-0.0035939183937443884,0.2,0.40994107723236084,-0.9858717512339353,0.009444632,0.0003,196.26774735450743,0.069921875,330
-87.16579017999999,936,433.01,71680,76,35,6.082853317260742,-0.00406302272240282,0.2,0.9118855744600296,-1.1148898001760243,0.008069326,0.0003,35.94716614186764,0.083837890625,340
-88.07871281999998,925,444.27,73728,79,36,334.2457275390625,-0.002470331475342391,0.2,0.7456136047840118,-1.0179572742432357,0.0027087014,0.0003,124.54526009857655,0.005126953125,350
-85.56472781000001,920,461.6,75776,82,37,12.96350383758545,-0.007429935897380347,0.2,0.8193839937448502,-1.0178469141945243,0.011166757,0.0003,62.33139552175999,0.101611328125,360
-84.16960650000001,900,469.68,77824,86,38,4.674060344696045,-0.006341664074716391,0.2,0.883774571120739,-0.9234301917254925,0.007218751,0.0003,41.810451979935166,0.05966796875,370
-83.03051484,892,486.51,79872,89,39,4.509869575500488,-0.004411059878111701,0.2,0.9116540029644966,-1.0306173030287027,0.009442814,0.0003,27.12270318418741,0.09794921875,380
-78.68702991,877,503.09,81920,93,40,3.038341999053955,-0.0028848776768427343,0.2,0.826753169298172,-0.9797793485224247,0.0048693316,0.0003,52.892012140899894,0.033056640625,390
-74.95078228999999,871,517.69,83968,96,41,8.501728057861328,-0.0048704269007430415,0.2,0.8375380039215088,-1.0720773741602898,0.0073257284,0.0003,55.32895594611764,0.104541015625,400
-72.93393794,860,533.47,86016,99,42,1.3669837713241577,-0.00036484846787061543,0.2,0.8762167766690254,-1.0397033743560313,0.0088744275,0.0003,37.225116688013074,0.0453125,410
-74.21281498999998,861,535.18,88064,102,43,2.063617706298828,-0.005017102626152336,0.2,0.8538238257169724,-0.9456490691751241,0.006585683,0.0003,33.61692660525441,0.051953125,420
-71.97338017999999,857,551.79,90112,105,44,312.01983642578125,-0.001410841106553562,0.2,0.5140590071678162,-0.9767329435795545,0.0017689764,0.0003,219.331499928236,9.765625e-05,430
-68.89615640999999,855,561.62,92160,107,45,2.8888964653015137,-0.003799573811556911,0.2,0.8860946968197823,-0.9760964088141918,0.008981777,0.0003,43.42317845374346,0.117041015625,440
-67.35105109999999,838,576.43,94208,112,46,137.3976287841797,-0.0012231375185365323,0.2,0.7121968269348145,-1.0047515008598566,0.0024593566,0.0003,84.4999200552702,0.0123046875,450
-67.09313566,829,584.24,96256,116,47,0.6852884888648987,-0.00490238864076673,0.2,0.8952370509505272,-0.9147381896153093,0.021394823,0.0003,34.88551566563547,0.129248046875,460
-65.14203019,827,598.82,98304,118,48,1.0992963314056396,-0.00410711626172997,0.2,0.9069454520940781,-0.7951411515474319,0.017056206,0.0003,34.718552528321744,0.10576171875,470
-62.87063832,823,611.72,100352,121,49,60.3498420715332,-0.0005996270174364327,0.2,0.7485842108726501,-0.8826134476810694,0.0030149512,0.0003,90.99495390206576,0.01591796875,480
-57.20716182,819,628.6,102400,124,50,1.065624713897705,-0.0036106876556004862,0.2,0.8998383209109306,-0.7695503899827599,0.0037297183,0.0003,32.50429705791176,0.07578125,490
-55.470885360000004,815,643.17,104448,128,51,1.9705164432525635,-0.006500326761306496,0.2,0.7738265842199326,-0.8011203465983272,0.01658126,0.0003,97.07436370179057,0.08818359375,500
-53.23137887000001,806,655.32,106496,132,52,3.507449150085449,-0.002942889892437961,0.2,0.8318818956613541,-0.8771432192996145,0.0075167706,0.0003,36.87232064716518,0.07412109375,510
-46.85835891,804,663.42,108544,134,53,56.85654830932617,-0.0034410445652611086,0.2,0.5737822353839874,-0.9181809812784195,0.006291704,0.0003,128.88418402820827,0.02236328125,520
-38.35757048000001,798,674.54,110592,138,54,108.49078369140625,-0.005930939310928807,0.2,0.36602795124053955,-0.7902395522221923,0.013413771,0.0003,167.38857042193413,0.030712890625,530
-37.967429949999996,793,685.17,112640,141,55,11.973938941955566,-0.00210711079344037,0.2,0.3938977122306824,-0.8114065384492278,0.005571867,0.0003,162.550535979867,0.0287109375,540
