rollout/ep_rew_mean,time/fps,time/time_elapsed,time/total_timesteps,rollout/ep_len_mean,time/iterations,train/entropy_loss,train/explained_variance,train/n_updates,train/loss,train/value_loss,train/clip_fraction,train/clip_range,train/learning_rate,train/policy_gradient_loss,train/approx_kl
-95.07678476999997,965,63,61440,374.12,30,-1.104808359593153,0.28121817111968994,290,102.60315704345703,212.62825446128846,0.076416015625,0.2,0.0003,-0.009170927680679597,0.007674021
-90.05860862,959,66,63488,384.85,31,-1.1774562660604715,0.48669546842575073,300,34.033321380615234,129.24289693832398,0.086376953125,0.2,0.0003,-0.005679618604335701,0.0106558455
-90.5801852,949,69,65536,401.6,32,-1.0740675501525403,0.4493946433067322,310,42.56460189819336,253.11878050565718,0.029150390625,0.2,0.0003,-0.0044513563101645556,0.0065571014
-87.17913639000002,944,71,67584,412.99,33,-1.153103595227003,0.5820415914058685,320,21.194698333740234,130.59446222186088,0.0556640625,0.2,0.0003,-0.005975035186565947,0.0064306553
-85.00441878999999,932,74,69632,429.49,34,-1.029025842808187,0.44953131675720215,330,92.5981674194336,269.86520674228666,0.0546875,0.2,0.0003,-0.006102147588535445,0.008067204
-83.22285989,923,77,71680,444.49,35,-1.16085003092885,0.7479934692382812,340,13.79992961883545,56.70717335641384,0.04345703125,0.2,0.0003,-0.004502876652986742,0.008923804
-81.91181531999999,909,81,73728,451.79,36,-1.0232327127829195,0.8394556939601898,350,7.213688850402832,45.709540067613126,0.1572265625,0.2,0.0003,-0.008488863776437938,0.0146377515
-78.15971167,905,83,75776,459.12,37,-0.9779193446040153,0.7518256306648254,360,10.797775268554688,81.13764982521533,0.14091796875,0.2,0.0003,-0.005214370391331613,0.013240595
-71.90468437999999,898,86,77824,474.44,38,-0.8535583609715104,0.5680913627147675,370,85.85366821289062,143.68261696100234,0.0861328125,0.2,0.0003,-0.005247153217351297,0.0076959874
-74.44790569,895,89,79872,489.13,39,-0.8792168017476797,0.7871477603912354,380,12.223361015319824,45.87347108721733,0.05185546875,0.2,0.0003,-0.004886556687415578,0.0066538965
-71.05669718,881,92,81920,507.32,40,-1.0004030408337712,0.6507120728492737,390,133.8353729248047,139.52858859300613,0.053955078125,0.2,0.0003,-0.0065269480306596964,0.00835418
-71.52372461,877,95,83968,520.86,41,-1.0078880254179239,0.6729912161827087,400,85.96054077148438,144.18429933190345,0.0998046875,0.2,0.0003,-0.00518408750576782,0.010278368
-67.90463397,872,98,86016,535.23,42,-0.9966443041339517,0.6839092671871185,410,53.437313079833984,194.46425293087958,0.042333984375,0.2,0.0003,-0.004163682969374349,0.0075076264
-64.85478924,867,101,88064,551.35,43,-0.8149113541468977,0.7001411020755768,420,10.01955795288086,122.83787189126015,0.062109375,0.2,0.0003,-0.0037582521596050355,0.0106665
-64.88260224999999,862,104,90112,566.51,44,-0.9892106870189309,0.7762534320354462,430,62.731876373291016,106.88204192221164,0.032470703125,0.2,0.0003,-0.004754227330704452,0.005714688
-61.226654979999985,855,107,92160,578.92,45,-0.898356719315052,0.8652599602937698,440,5.695010662078857,33.32674232423305,0.11494140625,0.2,0.0003,-0.00612788511934923,0.0101254545
-59.833227259999994,848,111,94208,585.36,46,-0.9370923655107617,0.7033844888210297,450,8.19650936126709,103.55261460542678,0.031640625,0.2,0.0003,-0.002906414633980603,0.003727783
-55.99595835,840,114,96256,598.63,47,-0.9445721283555031,0.8203947097063065,460,8.27084732055664,56.64117683619261,0.062060546875,0.2,0.0003,-0.002513681475102203,0.009536369
-51.38635218,826,118,98304,613.43,48,-0.9336250303313136,0.6864414811134338,470,6.702658653259277,76.04566946923732,0.084228515625,0.2,0.0003,-0.004749469728994882,0.0076242215
-50.09961558,819,122,100352,623.42,49,-1.0213858772069215,0.8275596499443054,480,4.9903564453125,43.704509845376016,0.179052734375,0.2,0.0003,-0.005986187846428947,0.00821866
-49.16252165000001,808,126,102400,638.45,50,-0.9504760982468724,0.708286702632904,490,31.460710525512695,98.15217249542475,0.020947265625,0.2,0.0003,-0.0026698105786636004,0.0035160743
-50.5515099,803,130,104448,651.73,51,-0.9988534957170486,0.8749651163816452,500,2.4212112426757812,36.72684508636594,0.118701171875,0.2,0.0003,-0.007202056318783434,0.013023604
-50.59201236,801,132,106496,653.55,52,-0.9843462539836765,0.7118737101554871,510,11.600951194763184,116.43698543161153,0.03818359375,0.2,0.0003,-0.0021159135692869315,0.006795292
-50.64547145000002,798,135,108544,665.2,53,-0.8753149900585413,0.8343799561262131,520,34.03110122680664,50.047923773527145,0.031884765625,0.2,0.0003,-0.0031368106090667426,0.0056291604
