time/fps,time/time_elapsed,rollout/ep_rew_mean,time/total_timesteps,time/iterations,rollout/ep_len_mean,train/entropy_loss,train/learning_rate,train/clip_fraction,train/explained_variance,train/clip_range,train/value_loss,train/approx_kl,train/policy_gradient_loss,train/loss,train/n_updates
880,93,-72.00109322,81920,40,491.35,-0.9333505028858781,0.0003,0.08076171875,0.7582189440727234,0.2,55.48906012475491,0.004478298,-0.004146942644729279,6.450806617736816,390
870,96,-71.58219912999999,83968,41,508.83,-0.9997293977066875,0.0003,0.115576171875,0.8616478443145752,0.2,28.15034812092781,0.0072109536,-0.0069291404652176425,3.5531861782073975,400
859,100,-68.51502669999999,86016,42,523.88,-0.8978637738153339,0.0003,0.0587890625,0.568297266960144,0.2,134.0059025555849,0.008331796,-0.0028006335913232762,96.404541015625,410
845,104,-66.73259553000001,88064,43,537.59,-0.9918261660262943,0.0003,0.108056640625,0.827455073595047,0.2,32.75956063568592,0.009938381,-0.005964245694485726,5.122864723205566,420
837,107,-61.184217110000006,90112,44,555.2,-1.0499673368409277,0.0003,0.083642578125,0.6606012582778931,0.2,63.20334004312754,0.007362782,-0.004593163453682792,17.793930053710938,430
830,110,-59.866178229999996,92160,45,569.01,-0.9308136833831668,0.0003,0.0646484375,0.43222951889038086,0.2,137.7474720656872,0.008378321,-0.003681926505669253,24.273448944091797,440
822,114,-57.06087327000001,94208,46,584.3,-1.0038973370566964,0.0003,0.043408203125,0.43967968225479126,0.2,141.1799034357071,0.00600662,-0.003030968147504609,18.529949188232422,450
816,117,-58.19642004,96256,47,592.71,-0.9796588329598308,0.0003,0.167431640625,0.7584751844406128,0.2,44.67580742612481,0.011787301,-0.004452215792844072,5.698254108428955,460
814,120,-54.63065171,98304,48,605.32,-0.9876881109550595,0.0003,0.03447265625,0.5847351551055908,0.2,128.25937484800815,0.002879063,-0.002268326498233364,18.350364685058594,470
807,124,-51.97881148,100352,49,622.83,-0.8949705740436912,0.0003,0.07431640625,0.7000713646411896,0.2,88.27254738807679,0.008049499,-0.003160125483191223,5.956304550170898,480
802,127,-50.58867308,102400,50,638.56,-0.7777582604438067,0.0003,0.0408203125,0.8434540778398514,0.2,37.150110541284086,0.0025624787,-0.0006928863178472966,2.8402814865112305,490
795,131,-47.407532419999995,104448,51,652.48,-0.9167027872055769,0.0003,0.06162109375,0.775834932923317,0.2,45.87496167048812,0.0075807744,-0.002831635622715112,5.157212257385254,500
793,134,-43.87525994,106496,52,664.71,-0.920916847884655,0.0003,0.040234375,0.7268778681755066,0.2,68.14119890406728,0.009390321,-0.0006529171419970226,5.530041694641113,510
790,137,-41.072143759999996,108544,53,677.91,-0.8715016350150109,0.0003,0.07333984375,0.6288758516311646,0.2,149.1061732918024,0.0074464083,-0.007842962683207588,84.87823486328125,520
786,140,-36.53500506,110592,54,690.45,-0.8407508576288819,0.0003,0.04912109375,0.5984504222869873,0.2,122.52688273340463,0.008779424,-0.004510278892121277,70.77165985107422,530
779,144,-32.8721786,112640,55,703.99,-0.9587850417941809,0.0003,0.05263671875,0.5873202681541443,0.2,74.96493098139763,0.006898891,-0.0019220965048589278,15.66353702545166,540
777,147,-29.73543678,114688,56,723.61,-0.9536265203729272,0.0003,0.11201171875,0.49748390913009644,0.2,74.85778659582138,0.008279538,-0.002256782440963434,119.13066864013672,550
774,150,-26.468769159999997,116736,57,735.66,-0.9225940272212029,0.0003,0.053857421875,0.5606802403926849,0.2,94.71327301859856,0.0028432375,-3.7738764513051136e-05,17.188682556152344,560
776,153,-21.31335037,118784,58,748.24,-0.910063149407506,0.0003,0.055859375,0.6456075310707092,0.2,66.59635272473096,0.0066168234,-0.004163572898687562,2.287091016769409,570
774,155,-16.18913262,120832,59,757.67,-0.6972232230007649,0.0003,0.026611328125,0.3977261781692505,0.2,193.11805485486985,0.0024308378,-0.001836544142497587,115.5593032836914,580
770,159,-13.666552699999997,122880,60,773.82,-0.9217308860272169,0.0003,0.0453125,0.5772569179534912,0.2,79.31232916861772,0.0049642185,-0.0012114287337681162,10.066696166992188,590
769,162,-13.10925649,124928,61,781.33,-0.6742100838571787,0.0003,0.060107421875,0.715141087770462,0.2,39.37276849150658,0.0057208575,-0.0019880540123267563,1.5929738283157349,600
768,165,-10.533902869999999,126976,62,793.06,-0.9955026734620332,0.0003,0.12685546875,0.6333822011947632,0.2,69.17080254927278,0.010864012,-0.0020472667059948436,104.55016326904297,610
764,168,-10.668256860000003,129024,63,792.01,-1.0214870624244212,0.0003,0.095458984375,0.7937549501657486,0.2,37.31089218594134,0.008879973,-0.0028363519653794357,2.5173254013061523,620
761,172,-9.19912537,131072,64,793.37,-0.8492290459573268,0.0003,0.026904296875,0.4992538094520569,0.2,148.13604181557895,0.0050758217,-0.0014664544061815832,16.263967514038086,630
758,175,-3.724116690000002,133120,65,799.19,-0.9453222462907434,0.0003,0.063916015625,0.6351120173931122,0.2,63.02164217233658,0.0073569017,-0.003114352854026947,5.163785457611084,640
