time/fps,rollout/ep_rew_mean,rollout/ep_len_mean,time/total_timesteps,time/iterations,time/time_elapsed,train/explained_variance,train/value_loss,train/approx_kl,train/learning_rate,train/clip_fraction,train/entropy_loss,train/policy_gradient_loss,train/clip_range,train/loss,train/n_updates,train/std
513,-27.68224387,842.94,120832,59,235,0.8338673263788223,34.86506719738245,0.0070266426,0.0003,0.041943359375,-2.281078615784645,-0.0016557272923819256,0.2,2.958700656890869,580,0.7578779458999634
515,-24.551689810000003,852.18,122880,60,238,0.7923420965671539,47.46432127766311,0.00733025,0.0003,0.066162109375,-2.2809671841561796,-0.0005899153897189535,0.2,0.8418197631835938,590,0.7577775716781616
512,-24.38982414,852.18,124928,61,243,0.8010404258966446,70.31608095318079,0.006602424,0.0003,0.057666015625,-2.2810653001070023,-0.004249502636957914,0.2,132.0263671875,600,0.756476640701294
509,-20.79862207,859.27,126976,62,249,0.7537046819925308,41.85446877516806,0.0070409533,0.0003,0.07041015625,-2.2772690691053867,-0.004341672450391343,0.2,1.3699630498886108,610,0.7557656764984131
509,-19.539188830000004,865.18,129024,63,253,0.7281303703784943,43.40498837903142,0.00709594,0.0003,0.08564453125,-2.2653547398746015,-0.005491797471768223,0.2,19.492788314819336,620,0.7468171119689941
506,-19.57285436,872.31,131072,64,258,0.8095090687274933,46.57279170816764,0.0059032836,0.0003,0.090185546875,-2.2429043941199778,-0.001838239873177372,0.2,0.7753835320472717,630,0.7389917373657227
508,-16.599841259999998,851.15,133120,65,261,0.8716927319765091,30.6110990004614,0.008638753,0.0003,0.094921875,-2.2232529662549494,-0.0024432790349237623,0.2,139.1634521484375,640,0.7321748733520508
510,-13.170289239999999,847.03,135168,66,264,0.22558921575546265,189.56050087809564,0.006411114,0.0003,0.060400390625,-2.213480257987976,-0.005498407843333553,0.2,10.619911193847656,650,0.7321066856384277
510,-9.005139400000003,852.69,137216,67,268,0.4795646667480469,85.66609175801277,0.002767823,0.0003,0.038330078125,-2.2127059541642664,-0.0015659387034247629,0.2,18.082571029663086,660,0.7326611280441284
511,-5.802931860000004,857.64,139264,68,272,0.7000475823879242,34.409412116929886,0.0067820596,0.0003,0.072509765625,-2.2265294402837754,-0.001651198232138995,0.2,2.3623812198638916,670,0.7407000064849854
511,-1.7564751100000024,869.88,141312,69,276,0.5364055633544922,59.8176520511508,0.005568058,0.0003,0.063232421875,-2.226532143354416,-0.00576909080700716,0.2,11.714373588562012,680,0.7322746515274048
508,1.64922902,876.48,143360,70,281,0.6641931533813477,69.07436349019409,0.00907113,0.0003,0.05126953125,-2.2159850649535655,-0.001062387499405304,0.2,29.277320861816406,690,0.7334887981414795
509,2.1506680200000003,879.69,145408,71,285,0.6118233501911163,50.498849127441645,0.0050813537,0.0003,0.047607421875,-2.216545306891203,0.0010446500877151267,0.2,2.6959969997406006,700,0.7329443693161011
509,7.659461170000001,884.55,147456,72,289,0.5312934219837189,69.74587745815515,0.005929744,0.0003,0.034912109375,-2.2089568890631197,-0.0007878062955569476,0.2,5.813950538635254,710,0.7286792397499084
507,10.22529585,890.97,149504,73,294,0.6286295652389526,86.74391405954957,0.006263728,0.0003,0.058056640625,-2.1819418780505657,-0.003221705503528938,0.2,19.173439025878906,720,0.7121429443359375
506,12.40568142,890.91,151552,74,299,0.6995947957038879,40.18388425037265,0.008145988,0.0003,0.078955078125,-2.1567462369799615,-0.0008123680083372165,0.2,1.4287141561508179,730,0.7126317620277405
506,13.151052079999998,896.01,153600,75,303,0.7111587822437286,57.533279755711554,0.00804074,0.0003,0.086474609375,-2.1538771763443947,-0.0038530975856701844,0.2,2.2419273853302,740,0.7096043825149536
505,12.66511133,896.01,155648,76,307,0.8444792777299881,35.65502560865134,0.004564155,0.0003,0.049609375,-2.1574630118906497,-0.00025950416675186717,0.2,5.4000349044799805,750,0.7153016328811646
505,13.663324540000001,896.16,157696,77,311,0.842802420258522,39.12616829127073,0.008296896,0.0003,0.108935546875,-2.1474155209958554,-0.002343802701216191,0.2,1.3594480752944946,760,0.7019978761672974
506,15.376993930000001,895.17,159744,78,315,0.8002796471118927,41.758201280981304,0.008844055,0.0003,0.100146484375,-2.1362782694399356,-0.0029195746596087702,0.2,1.5038491487503052,770,0.7053488492965698
505,14.89284108,891.7,161792,79,320,0.6751703321933746,77.28800317645073,0.0037571206,0.0003,0.073681640625,-2.1360908165574073,-0.0035779752288362943,0.2,2.531144857406616,780,0.7039781808853149
504,18.27970603,892.13,163840,80,324,0.6436692476272583,114.56919397674501,0.009663784,0.0003,0.107666015625,-2.1371626280248166,-0.006844870533677749,0.2,2.6080055236816406,790,0.7066349983215332
503,20.22083895,895.12,165888,81,329,0.7291004359722137,65.62950090020895,0.0061370917,0.0003,0.07119140625,-2.1450408071279528,-0.0005011115936213173,0.2,9.056724548339844,800,0.7081764936447144
503,17.16891104,889.28,167936,82,333,0.7198315262794495,58.22723559439182,0.008251252,0.0003,0.0779296875,-2.1537054404616356,-0.002622048676130362,0.2,369.4283447265625,810,0.7122159004211426
502,18.453253869999998,891.11,169984,83,338,0.7868614792823792,76.4588131468743,0.0061225584,0.0003,0.071826171875,-2.162835367769003,-0.004782700169016607,0.2,2.0965192317962646,820,0.7143561244010925
500,17.71339385,891.11,172032,84,343,0.8331988453865051,48.243132593668996,0.008667176,0.0003,0.09453125,-2.1785450540483,-0.003996395411377307,0.2,0.7237128019332886,830,0.7235074043273926
499,17.64024024,891.11,174080,85,348,0.8796260505914688,32.15069959815592,0.00613055,0.0003,0.0826171875,-2.1964548349380495,-5.579397111432627e-05,0.2,0.7662426233291626,840,0.7267550826072693
498,19.367158279999998,892.37,176128,86,353,0.8622400015592575,42.48141244649887,0.0040957965,0.0003,0.03046875,-2.2004661269485952,-0.0012591581362357829,0.2,1.543296217918396,850,0.728264331817627
496,17.96993426,893.89,178176,87,358,0.8943953737616539,33.90883423686027,0.00902268,0.0003,0.10361328125,-2.197026190161705,-0.001573335865396075,0.2,2.183105230331421,860,0.723958432674408
494,18.720141509999998,889.36,180224,88,364,0.8605715930461884,43.31821218300611,0.0059111835,0.0003,0.07705078125,-2.1822095923125744,-0.0010351104239816778,0.2,1.905448317527771,870,0.7171410322189331
494,19.02464175,885.36,182272,89,368,0.775025486946106,67.3285627990961,0.0071541974,0.0003,0.0595703125,-2.1711897373199465,0.0010550100239925086,0.2,1.3315836191177368,880,0.7158830165863037
493,18.965782609999998,887.91,184320,90,373,0.7494790852069855,75.20362879931926,0.0056526572,0.0003,0.061181640625,-2.1686641193926333,-0.0022228690970223395,0.2,12.521797180175781,890,0.7160484790802002
494,17.547786509999998,890.55,186368,91,377,0.8538236618041992,38.37932014390826,0.007698293,0.0003,0.095068359375,-2.1653322383761404,-0.0019994052199763246,0.2,1.0461970567703247,900,0.7129557728767395
494,17.68408675,889.72,188416,92,381,0.811264768242836,51.257872639968994,0.0065327426,0.0003,0.061376953125,-2.160365315526724,-0.004449226004362572,0.2,1.0590698719024658,910,0.7120203971862793
495,16.90813982,893.34,190464,93,384,0.7405529618263245,85.85194665417075,0.004708691,0.0003,0.04072265625,-2.154033600538969,0.0001710395867121406,0.2,5.043328285217285,920,0.7089134454727173
496,18.06482158,882.9,192512,94,387,0.9033514112234116,30.352125827036797,0.00921151,0.0003,0.06328125,-2.1460013046860693,-0.0014712700984091498,0.2,0.7521149516105652,930,0.707793116569519
495,18.911870809999996,882.9,194560,95,392,0.7309420704841614,83.45581092238426,0.005927436,0.0003,0.068603515625,-2.135582523792982,-0.00020186982364975848,0.2,33.619293212890625,940,0.7008842825889587
494,19.739432,877.66,196608,96,397,0.7964532524347305,56.45704855108634,0.008276269,0.0003,0.06728515625,-2.1050364673137665,-0.0007492264398024417,0.2,0.24807508289813995,950,0.6863856315612793
493,20.48245551,874.19,198656,97,402,0.7704518586397171,53.21682381257415,0.00795255,0.0003,0.094189453125,-2.067354325950146,-0.003495712961739628,0.2,1.656052589416504,960,0.6772136092185974
493,22.08176457,869.25,200704,98,407,0.7775061577558517,60.7003478076309,0.0078888945,0.0003,0.095849609375,-2.0502188757061957,-0.005882439983543009,0.2,12.195100784301758,970,0.6751483082771301
492,20.344807880000005,861.7,202752,99,411,0.6352164149284363,57.19727699905634,0.0075760433,0.0003,0.06845703125,-2.0526934564113617,-0.0017894356620672624,0.2,38.782466888427734,980,0.6780915260314941
493,18.994066099999998,855.77,204800,100,415,0.6563195884227753,85.21462797522545,0.008206874,0.0003,0.06162109375,-2.058582655340433,-0.0033027054108970334,0.2,28.262556076049805,990,0.6778106689453125
493,20.04955637,842.13,206848,101,419,0.5269990563392639,98.96396907605231,0.008795206,0.0003,0.08583984375,-2.0596418477594853,-0.003967190699768253,0.2,31.401147842407227,1000,0.6793932318687439
494,20.24944033,835.49,208896,102,422,0.6536104381084442,168.37607381641865,0.005244268,0.0003,0.041162109375,-2.0645276695489883,-0.0026995188156433867,0.2,44.07417297363281,1010,0.6801966428756714
493,17.78917177,829.29,210944,103,427,0.657402366399765,98.43655570745469,0.005586076,0.0003,0.049267578125,-2.063158491998911,-0.005543517933256225,0.2,24.853200912475586,1020,0.6778373122215271
493,15.137500169999994,814.87,212992,104,431,0.7728437036275864,48.5240962985903,0.008358558,0.0003,0.068603515625,-2.048793538659811,-0.0014784771388804074,0.2,24.059001922607422,1030,0.6700551509857178
494,15.682824,824.88,215040,105,435,0.5030536353588104,149.8928371220827,0.008499262,0.0003,0.09521484375,-2.0309368200600146,-0.00019136637711199002,0.2,15.83324146270752,1040,0.6690183877944946
493,12.497175399999998,823.12,217088,106,439,0.6134922206401825,110.60391283780336,0.00773636,0.0003,0.077099609375,-2.0250848449766634,-0.0048444758191180885,0.2,91.1185302734375,1050,0.6624529361724854
492,14.341482690000003,818.03,219136,107,444,0.4536750316619873,194.6474487632513,0.0068438337,0.0003,0.077734375,-2.009758932888508,-0.0023025967078865507,0.2,28.40506362915039,1060,0.658873438835144
492,14.765401029999998,814.21,221184,108,449,0.5401162207126617,88.60040746331215,0.0061545954,0.0003,0.063818359375,-1.9918874494731427,-0.003221614438371034,0.2,8.772726058959961,1070,0.6528385877609253
490,13.7333983,817.14,223232,109,454,0.6073987782001495,67.52106600254774,0.009384764,0.0003,0.094775390625,-1.9710518199950458,-0.0013141684677975718,0.2,6.742885112762451,1080,0.6445021629333496
492,16.89968364,803.97,225280,110,457,0.6573145687580109,76.66641837861388,0.0054560443,0.0003,0.09326171875,-1.9608936682343483,-0.002176398409937974,0.2,10.61087417602539,1090,0.6442000865936279
492,15.96230069,807.58,227328,111,461,0.6560602188110352,107.76339739710093,0.008018028,0.0003,0.07294921875,-1.9597542274743318,-0.003338337398599833,0.2,24.70990562438965,1100,0.6449443101882935
491,14.795744929999998,810.7,229376,112,466,0.6832201480865479,34.97737575918436,0.0073343213,0.0003,0.1048828125,-1.953903841599822,0.0016868863996933215,0.2,3.543196439743042,1110,0.6402792930603027
492,12.827688139999998,809.72,231424,113,470,0.5692699253559113,65.12918798904866,0.006761562,0.0003,0.09501953125,-1.9481593020260335,0.0017513492493890226,0.2,138.81980895996094,1120,0.6414679288864136
491,12.194943849999998,803.73,233472,114,474,0.31791359186172485,116.91278008967637,0.0076165046,0.0003,0.0705078125,-1.943074470385909,-0.0026923748358967715,0.2,14.62436580657959,1130,0.6366316080093384
492,11.547883760000001,803.73,235520,115,478,0.7269859313964844,74.81565404236316,0.006664349,0.0003,0.1154296875,-1.9400141015648842,-0.0006708299049932975,0.2,20.48101806640625,1140,0.6401775479316711
493,13.447873099999999,793.78,237568,116,481,0.5992001295089722,52.042337361723185,0.01106291,0.0003,0.0986328125,-1.9567454170435667,0.0014728261478012428,0.2,3.76369571685791,1150,0.6466934680938721
494,8.628351340000002,782.86,239616,117,484,0.47382450103759766,72.94241266176104,0.0070624547,0.0003,0.06376953125,-1.9640067756175994,-0.004712957886658842,0.2,16.053190231323242,1160,0.6457908153533936
495,6.734700579999998,778.14,241664,118,487,0.5769201815128326,186.1260290876031,0.004692339,0.0003,0.085400390625,-1.9622150771319866,-0.00594965158670675,0.2,20.43728256225586,1170,0.6453800201416016
493,5.53789823,771.62,243712,119,493,0.6082523465156555,131.98872706890106,0.011052346,0.0003,0.136376953125,-1.9591262131929397,-0.007540715517825447,0.2,32.58017349243164,1180,0.642322838306427
494,4.53832741,759.36,245760,120,496,0.8319421708583832,69.83772455900908,0.016883079,0.0003,0.128173828125,-1.9653853803873063,-0.0005099718371639028,0.2,5.860981464385986,1190,0.6502487659454346
495,3.658935350000001,745.25,247808,121,499,0.6926737129688263,147.93703768849372,0.007145289,0.0003,0.05068359375,-1.9797852084040641,0.0004686915577622131,0.2,26.773372650146484,1200,0.6533001065254211
496,4.394499850000002,730.48,249856,122,503,0.7738804370164871,108.71651759147645,0.0066813566,0.0003,0.098486328125,-1.973677982762456,-0.002637757328193402,0.2,12.872483253479004,1210,0.6448212265968323
497,0.6958698500000001,725.65,251904,123,506,0.7192287445068359,136.16535060405732,0.0035803681,0.0003,0.031396484375,-1.9657564956694842,-7.078368289512583e-05,0.2,195.6462860107422,1220,0.647331953048706
615,-151.23216733333334,514.3333333333334,2048,1,3,0.7890855222940445,67.77779481858015,0.010273391,0.0003,0.076806640625,-1.957592858374119,-0.0009329016706033144,0.2,3.836322546005249,1230,0.6423576474189758
585,-155.0255595714286,573.1428571428571,4096,2,6,0.6030915677547455,102.84515908211469,0.011082232,0.0003,0.091748046875,-1.9511904980987311,-0.0012599620247783605,0.2,82.93335723876953,1240,0.6428007483482361
513,-136.60463833333336,668.0,6144,3,11,0.7712575942277908,140.85370492339135,0.009473087,0.0003,0.116357421875,-1.9557998396456242,-0.00848899411430466,0.2,88.28650665283203,1250,0.6444932222366333
509,-108.93117716666667,668.0,8192,4,16,0.84705550968647,35.288628715276715,0.005483103,0.0003,0.083349609375,-1.9657072905451058,-0.0017681460027233697,0.2,3.1440865993499756,1260,0.6480681300163269
503,-103.42180812499998,636.5625,10240,5,20,0.6482739746570587,112.00239142924548,0.009327581,0.0003,0.070751953125,-1.966541910916567,-7.17493923730217e-05,0.2,7.910014629364014,1270,0.6453436613082886
503,-113.21065549999999,653.7222222222222,12288,6,24,0.4764646291732788,147.28793375194073,0.007452984,0.0003,0.091748046875,-1.9586206905543804,-0.004164763250446413,0.2,113.72638702392578,1280,0.6425665020942688
518,-100.09743395238095,639.4761904761905,14336,7,27,0.7698991149663925,66.91477857083082,0.00554175,0.0003,0.06298828125,-1.9398864675313234,-0.003237907820584951,0.2,58.663658142089844,1290,0.6335461139678955
523,-106.29829329166667,665.9583333333334,16384,8,31,0.7470474541187286,95.26080424934625,0.009829536,0.0003,0.074560546875,-1.9072896305471658,-0.002456462808549986,0.2,44.37263107299805,1300,0.621461033821106
520,-112.85858351851851,658.1111111111111,18432,9,35,0.6575200855731964,87.77625707164407,0.010056743,0.0003,0.071435546875,-1.8706558015197516,-0.0007391522609395907,0.2,58.780792236328125,1310,0.612698495388031
515,-112.7569295,680.8333333333334,20480,10,39,0.8465122282505035,80.48278481066227,0.0038886876,0.0003,0.11630859375,-1.842143314704299,0.0019329150542034767,0.2,55.04560470581055,1320,0.6037949323654175
