time/iterations,rollout/ep_len_mean,time/time_elapsed,time/total_timesteps,time/fps,rollout/ep_rew_mean,train/clip_range,train/policy_gradient_loss,train/n_updates,train/learning_rate,train/clip_fraction,train/value_loss,train/loss,train/explained_variance,train/entropy_loss,train/approx_kl
67,804.42,180,137216,761,-16.64387608,0.2,-0.002003999653243227,660,0.0003,0.0955078125,179.07174763977528,35.89126968383789,0.5603933334350586,-0.8483303554356099,0.011313039
68,810.37,182,139264,763,-9.82051937,0.2,-0.0029446432306940553,670,0.0003,0.101904296875,60.08965956047177,6.243127346038818,0.7125898003578186,-0.8070819016546011,0.010855764
69,804.2,184,141312,764,-5.18591711,0.2,-0.0020274192949727874,680,0.0003,0.020166015625,204.71241276562213,69.55970764160156,0.5381165742874146,-0.8022245252504945,0.009180852
70,800.61,187,143360,764,-0.2080838799999998,0.2,-0.00470668485177157,690,0.0003,0.074658203125,153.7155246555805,50.70730209350586,0.5488509237766266,-0.8145267561078071,0.008120824
71,796.07,189,145408,765,2.3288677100000017,0.2,-0.0026831432391190902,700,0.0003,0.021728515625,125.11552400290967,35.241798400878906,0.5902145504951477,-0.6544831546023488,0.0029781035
72,780.37,192,147456,767,7.638845440000001,0.2,-0.0026921907076030037,710,0.0003,0.067919921875,92.0388097345829,7.534892559051514,0.5925944447517395,-0.7088083244860173,0.006049942
73,763.17,194,149504,769,12.26562539,0.2,-0.0016917341697990195,720,0.0003,0.0267578125,171.85232586413622,58.61614227294922,0.5195026397705078,-0.8257885480299592,0.0035811232
74,734.62,196,151552,770,19.263294270000003,0.2,-0.003497390615666518,730,0.0003,0.139453125,143.799737508595,16.715967178344727,0.38771772384643555,-0.8034789243713021,0.009744838
75,707.42,198,153600,772,18.81837642,0.2,-0.0013319457786565181,740,0.0003,0.060595703125,125.96163328140975,10.283101081848145,0.46407926082611084,-0.7861348500475287,0.0050322064
76,676.3,201,155648,774,21.87396177,0.2,-0.0046589936217060314,750,0.0003,0.041650390625,270.7577645838261,272.1488342285156,0.17098915576934814,-0.7654791349545121,0.005511176
77,645.7,203,157696,776,24.43732854,0.2,-0.0037198370442638406,760,0.0003,0.048828125,159.14826324880124,180.055908203125,0.42077672481536865,-0.8106946796178818,0.004876114
78,624.0,205,159744,777,28.67198375,0.2,-0.002278401497460436,770,0.0003,0.023583984375,163.94485301971434,42.737491607666016,0.5161669254302979,-0.736215990781784,0.00430586
79,592.1,207,161792,779,29.061483750000008,0.2,-0.00400760065895156,780,0.0003,0.037451171875,163.2239556849003,36.91499328613281,0.6410537362098694,-0.6365157634019851,0.0037717293
80,571.81,209,163840,781,39.943045739999995,0.2,-0.002842316316309734,790,0.0003,0.03212890625,230.50194703936577,366.9056091308594,0.6249643266201019,-0.8082972729578615,0.0038573192
81,546.57,211,165888,783,46.97347365,0.2,-0.0017805003255489283,800,0.0003,0.02724609375,187.7153567314148,48.757137298583984,0.4727853536605835,-0.7258375622332096,0.00322412
82,506.06,213,167936,786,52.6556273,0.2,-0.0021240069574560037,810,0.0003,0.064599609375,134.11393775045872,14.347532272338867,0.4186851978302002,-0.7287500146776438,0.00388142
83,469.27,215,169984,788,54.44277333000001,0.2,-0.0004994360577256884,820,0.0003,0.036376953125,151.50299056470394,230.4598846435547,0.5655368864536285,-0.7062725611031055,0.0041789096
84,439.05,217,172032,791,57.01338358,0.2,-0.002079560264246538,830,0.0003,0.026025390625,308.7282419890165,55.15205383300781,0.39325863122940063,-0.7676668494939805,0.0041472423
85,412.25,219,174080,794,56.691196859999984,0.2,-0.002274075090826955,840,0.0003,0.01142578125,348.57911317944524,166.0592041015625,0.5963084697723389,-0.7189775485545397,0.0026823794
86,386.63,220,176128,797,58.70730842999999,0.2,-0.00327417238659109,850,0.0003,0.045458984375,277.43645814061165,53.467105865478516,0.621733695268631,-0.6552539940923452,0.0051601278
87,378.6,222,178176,799,57.220817100000005,0.2,-0.0011564373024157248,860,0.0003,0.030615234375,268.294309091568,75.84095001220703,0.5511825382709503,-0.6385387888178229,0.0014977824
88,365.54,224,180224,801,55.22835126999999,0.2,-0.0006578025946510025,870,0.0003,0.031494140625,295.94935926198957,51.91984558105469,0.6498240828514099,-0.7016243610531092,0.0038336809
89,353.14,226,182272,803,56.41553242,0.2,-0.0028110258863307536,880,0.0003,0.07861328125,232.0783118903637,9.553215980529785,0.6267571747303009,-0.7072945581749082,0.008252017
90,353.81,228,184320,805,56.29285164,0.2,-0.0011453650717157871,890,0.0003,0.06982421875,169.93722936064006,40.93648910522461,0.5279902517795563,-0.7540495248511434,0.0043181814
91,350.03,230,186368,807,54.121653910000006,0.2,-0.005384030866844114,900,0.0003,0.069287109375,144.5455776333809,273.123291015625,0.796024277806282,-0.7024472838267684,0.005879571
92,345.05,232,188416,808,53.87801901999999,0.2,-0.005040433596877847,910,0.0003,0.077880859375,180.54118997752667,16.090137481689453,0.592751532793045,-0.7600711856037379,0.0080384165
93,342.15,234,190464,811,54.09043934,0.2,-0.0013504781472875038,920,0.0003,0.011376953125,316.4784438341856,173.30450439453125,0.6355676054954529,-0.7095070185139776,0.001888286
94,341.18,236,192512,812,54.16799806,0.2,-0.003358529871911742,930,0.0003,0.01845703125,265.8982587218285,57.14778518676758,0.663335919380188,-0.695770886912942,0.003046861
95,338.2,238,194560,814,56.697089430000005,0.2,-0.001225912504014559,940,0.0003,0.06982421875,139.4433152899146,18.497892379760742,0.5876055657863617,-0.7190699437633157,0.0050237784
96,338.65,240,196608,817,55.65093690999999,0.2,-0.004238249844274833,950,0.0003,0.05830078125,230.32848123908042,306.9124450683594,0.7424291968345642,-0.5825350867584348,0.0056901784
97,337.95,242,198656,818,54.17086139999999,0.2,-0.005950607686099829,960,0.0003,0.063037109375,194.07981654405594,32.289894104003906,0.781199648976326,-0.72850804310292,0.005237342
98,336.82,244,200704,820,49.99599746,0.2,-0.004229733313695761,970,0.0003,0.094677734375,170.31783736348152,64.13803100585938,0.3977082371711731,-0.8263355538249015,0.007903563
99,340.26,246,202752,821,51.7933108,0.2,-0.004560298177239019,980,0.0003,0.07763671875,212.8852315455675,17.70090675354004,0.7048044800758362,-0.7718939833343029,0.0071451124
100,342.78,248,204800,823,49.52754135,0.2,-0.005846460673637921,990,0.0003,0.05732421875,219.72975138127805,13.307913780212402,0.7367786467075348,-0.6441443828865886,0.010560289
101,346.81,250,206848,825,51.642129049999994,0.2,-0.0037671761132514804,1000,0.0003,0.043505859375,211.82935870885848,380.6895751953125,0.7692063450813293,-0.7625508859753609,0.0062641995
102,350.36,252,208896,826,55.99864985,0.2,-0.003952507799840532,1010,0.0003,0.034375,251.41613075733184,179.3754425048828,0.6211303472518921,-0.6901626158505678,0.0039359857
103,351.21,254,210944,828,51.44603420000001,0.2,-0.0018386036486845113,1020,0.0003,0.034765625,155.60751168131827,32.08916091918945,0.5564992427825928,-0.6920269368216395,0.00459142
104,351.73,256,212992,830,48.88050998000001,0.2,-0.002415562083479017,1030,0.0003,0.048388671875,170.70751217752695,31.06192970275879,0.825240284204483,-0.7678876418620348,0.0054232534
105,355.6,258,215040,831,55.51347138999999,0.2,-0.00590916253204341,1040,0.0003,0.0857421875,194.15725709795953,79.9005355834961,0.8189197778701782,-0.7116913329809904,0.008044768
106,356.36,260,217088,833,53.406503660000006,0.2,-0.004223200918204384,1050,0.0003,0.06884765625,107.78094174861909,11.246212005615234,0.7722668498754501,-0.7791945384815335,0.007516008
107,353.53,262,219136,835,53.63479625000001,0.2,-0.0030929764441680165,1060,0.0003,0.046484375,195.81875431537628,50.30394744873047,0.6090935170650482,-0.7535292766988277,0.0051628607
