rollout/ep_rew_mean,time/total_timesteps,time/time_elapsed,time/fps,rollout/ep_len_mean,time/iterations,train/clip_range,train/entropy_loss,train/value_loss,train/policy_gradient_loss,train/explained_variance,train/approx_kl,train/n_updates,train/loss,train/learning_rate,train/clip_fraction
-158.15870904,22528,16,1368,109.86,11,0.2,-1.2732593186199666,474.26077523231504,-0.0063475439375906715,-0.006973147392272949,0.00869085,100,483.98297119140625,0.0003,0.047607421875
-156.37693329,24576,18,1362,117.34,12,0.2,-1.2113131612539292,634.2481628417969,-0.0073574743611970915,-0.00014591217041015625,0.009861432,110,383.576904296875,0.0003,0.061767578125
-151.6204023,26624,20,1321,129.98,13,0.2,-1.190282627940178,455.63761525154115,-0.005829937744420022,-0.002415895462036133,0.0075110323,120,357.357177734375,0.0003,0.048291015625
-148.72366348,28672,21,1317,137.79,14,0.2,-1.2538331501185893,354.01026978492735,-0.0028323065998847596,0.007124364376068115,0.002536293,130,65.6560287475586,0.0003,0.0009765625
-145.65761232,30720,23,1307,147.31,15,0.2,-1.159772577136755,405.0966064453125,-0.005020193067321088,-0.002599000930786133,0.010717267,140,92.74784088134766,0.0003,0.028125
-141.97609527,32768,25,1270,160.75,16,0.2,-1.099354862049222,484.6643096446991,-0.006684503912401852,-0.0002905130386352539,0.007287154,150,161.5507354736328,0.0003,0.11201171875
-139.15564641999998,34816,27,1264,173.14,17,0.2,-1.1860960014164448,299.1581651687622,-0.0031355116589111276,0.004076838493347168,0.004765317,160,80.68806457519531,0.0003,0.004345703125
-140.33621833,36864,29,1255,185.56,18,0.2,-1.0828830244019627,378.8173279285431,-0.004440138147765537,-0.01683628559112549,0.0059879175,170,183.2034149169922,0.0003,0.055908203125
-132.89578574,38912,31,1234,200.45,19,0.2,-1.0885026887059213,436.09495439529417,-0.004994706164870877,-0.006271839141845703,0.0056104576,180,199.9738311767578,0.0003,0.06572265625
-130.48099171,40960,33,1220,213.61,20,0.2,-1.107071779295802,183.84635000228883,-0.004119993757922202,0.011967897415161133,0.008824197,190,82.49311065673828,0.0003,0.03212890625
