rollout/ep_len_mean,time/iterations,time/total_timesteps,rollout/ep_rew_mean,time/fps,time/time_elapsed,train/loss,train/explained_variance,train/learning_rate,train/clip_fraction,train/clip_range,train/policy_gradient_loss,train/value_loss,train/entropy_loss,train/approx_kl,train/n_updates
594.35,99,202752,44.48061167999998,767,264,29.343582153320312,0.6055971086025238,0.0003,0.043115234375,0.2,-0.002073087089956971,92.6885412544012,-0.7771466227248311,0.0059464183,980
595.9,100,204800,41.901371950000005,767,267,2.548576593399048,0.6613551080226898,0.0003,0.11025390625,0.2,-0.004702103557428927,79.03185338079929,-0.8242790559306741,0.010052504,990
596.26,101,206848,39.33156084,766,269,106.16047668457031,0.5680740475654602,0.0003,0.05947265625,0.2,-0.0038460466423202886,147.02577475607396,-0.7744444213807583,0.0056836274,1000
602.48,102,208896,40.52258441,767,272,30.221046447753906,0.3599697947502136,0.0003,0.022900390625,0.2,-0.0022258702381805053,236.7665547505021,-0.789560665935278,0.0023357728,1010
601.94,103,210944,43.61535188,765,275,1.7484935522079468,0.7138170897960663,0.0003,0.150732421875,0.2,-0.0027394124554120935,40.3050767313689,-0.7350837975740433,0.01167916,1020
599.08,104,212992,45.414224759999996,764,278,236.88418579101562,0.789122149348259,0.0003,0.038525390625,0.2,-0.0010875831387238577,76.76688497588039,-0.7636848328635096,0.0023637717,1030
600.28,105,215040,46.388461559999996,764,281,3.164625883102417,0.7829646617174149,0.0003,0.10458984375,0.2,-0.0032899528785492295,76.07715368270874,-0.7714091373607517,0.0054536387,1040
603.31,106,217088,49.91823501000001,764,284,92.5082015991211,0.44753289222717285,0.0003,0.01845703125,0.2,-0.0009592364254785935,241.72069496512412,-0.6957454934716225,0.005043556,1050
606.92,107,219136,49.54029527000001,762,287,239.66612243652344,0.5025469958782196,0.0003,0.05576171875,0.2,-0.002623985501122661,138.0317689806223,-0.728996254876256,0.0052449196,1060
605.61,108,221184,49.19063123,762,290,5.573474884033203,0.7183561623096466,0.0003,0.024560546875,0.2,-0.0013892595292418265,67.90169762969018,-0.6550364151597023,0.0031692414,1070
611.0,109,223232,48.98476107,761,293,24.426992416381836,0.635963499546051,0.0003,0.048095703125,0.2,-0.002114907172654057,132.97793888300657,-0.77973986659199,0.0062484983,1080
609.98,110,225280,55.65438835,761,295,83.66091918945312,0.4266146421432495,0.0003,0.03056640625,0.2,-0.002926105818914948,233.19420872181655,-0.7990492129698396,0.002806799,1090
605.28,111,227328,55.59668379000001,760,298,2.9840455055236816,0.6022017300128937,0.0003,0.0658203125,0.2,-0.0027807544505776606,116.52332480549812,-0.727430803142488,0.006146229,1100
601.29,112,229376,55.023796629999985,759,301,50.51222229003906,0.6129429042339325,0.0003,0.07822265625,0.2,-0.004237653675954789,126.10704579353333,-0.6397765226662159,0.018127922,1110
601.98,113,231424,56.376500159999985,760,304,41.5932502746582,0.606105238199234,0.0003,0.056689453125,0.2,-0.0007035566137346905,144.73579924851657,-0.7947870898991823,0.010715676,1120
