time/total_timesteps,time/time_elapsed,rollout/ep_len_mean,rollout/ep_rew_mean,time/fps,time/iterations,train/explained_variance,train/loss,train/approx_kl,train/learning_rate,train/n_updates,train/clip_fraction,train/policy_gradient_loss,train/clip_range,train/entropy_loss,train/value_loss
73728,76,420.15,-91.85684925,969,36,0.21484792232513428,11.748233795166016,0.0042835623,0.0003,350,0.0296875,-0.004089152776577976,0.2,-0.9678642550483346,73.5374286532402
75776,79,436.09,-90.70247864999997,949,37,0.3242207169532776,29.864768981933594,0.009581636,0.0003,360,0.07255859375,-0.006163703346101101,0.2,-1.0135408597067,90.85585004687309
77824,82,451.61,-89.12960583999997,939,38,0.23762786388397217,11.15990161895752,0.0069493344,0.0003,370,0.07197265625,-0.008605799223005306,0.2,-0.9887485176324844,42.46678236424923
79872,86,467.43,-86.08081576,927,39,0.32982271909713745,18.066482543945312,0.010595265,0.0003,380,0.0955078125,-0.006733516741223866,0.2,-1.0440972737967968,64.63526923060417
81920,90,482.8,-82.29097077,909,40,0.3975181579589844,5.395136833190918,0.009241257,0.0003,390,0.118896484375,-0.007811374615630484,0.2,-1.0627256397157907,34.33473414480686
83968,93,497.19,-80.59786955999999,893,41,0.2226107120513916,5.377823352813721,0.0055191396,0.0003,400,0.050537109375,-0.004256292444188148,0.2,-1.0306119054555893,51.279763692617415
86016,98,512.35,-77.02839473,877,42,0.24451607465744019,7.111664772033691,0.008679509,0.0003,410,0.082275390625,-0.005742869927780702,0.2,-1.0125317849218844,65.90245470702648
88064,101,527.29,-75.3422722,866,43,0.34268784523010254,25.342519760131836,0.011640693,0.0003,420,0.07685546875,-0.0072511057871452065,0.2,-0.9251816492527724,91.60719107240439
90112,105,543.66,-72.08357972,857,44,0.6700912117958069,384.6953125,0.027560316,0.0003,430,0.158642578125,-0.011662356749002355,0.2,-0.9955080868676305,70.20746758580208
92160,109,559.5,-70.23157017,845,45,0.7314150929450989,2.718717098236084,0.021799836,0.0003,440,0.16474609375,-0.008589298858714756,0.2,-1.0170847576111555,37.650517059862615
94208,112,575.04,-64.86010475999998,835,46,0.7387239038944244,8.353821754455566,0.012035516,0.0003,450,0.14091796875,-0.005575298779876903,0.2,-0.9911938216537237,52.52994731888175
96256,116,591.52,-64.49326952999999,826,47,0.7511137127876282,3.087095260620117,0.010662418,0.0003,460,0.092431640625,-0.00438949405652238,0.2,-0.9963850626721978,44.77039225474
98304,120,609.31,-62.63946141,818,48,0.8373973369598389,1.6123015880584717,0.0047295545,0.0003,470,0.068115234375,-0.0017065819891286082,0.2,-0.9938494002446532,28.92817192673683
100352,123,624.23,-61.59031688,812,49,0.5947403907775879,53.77046585083008,0.004323135,0.0003,480,0.026611328125,-0.003045398353424389,0.2,-0.8650410952046513,109.90597651451826
102400,126,638.86,-59.02440862,807,50,0.8315856903791428,1.8164869546890259,0.0055384687,0.0003,490,0.05927734375,-0.004342711773642804,0.2,-1.0131769813597202,41.38189864456653
104448,130,645.71,-57.00849091,801,51,0.837650328874588,3.306811571121216,0.0055323825,0.0003,500,0.053662109375,-0.005236448315554298,0.2,-0.9983086274936795,39.6605098798871
106496,133,659.61,-54.35194691999999,795,52,0.8011917918920517,394.54486083984375,0.013204219,0.0003,510,0.170458984375,-0.003152967842470389,0.2,-0.9980645617470145,63.91385090351105
108544,137,675.1,-51.00894033,788,53,0.8590311706066132,2.863609790802002,0.0073463945,0.0003,520,0.044873046875,-0.004921106123219943,0.2,-1.0201212968677282,39.567486910149455
110592,141,684.1,-49.86643956999999,783,54,0.8773949295282364,0.44546976685523987,0.0070460336,0.0003,530,0.0841796875,-0.0034365675135632047,0.2,-1.0290013087913394,31.07204477954656
112640,145,697.79,-45.95957393,776,55,0.5907161831855774,41.30229568481445,0.0055267583,0.0003,540,0.02958984375,-0.001667915572761558,0.2,-0.9024119848385453,131.31164462417365
114688,148,712.84,-43.755606809999996,773,56,0.8538317233324051,1.2188740968704224,0.0052187648,0.0003,550,0.046044921875,-0.002945211840415141,0.2,-1.0351156786084175,33.115132704749705
116736,152,728.12,-42.06447469,766,57,0.8377344161272049,2.2182974815368652,0.010786978,0.0003,560,0.09990234375,-0.0034738431466394106,0.2,-1.007579503953457,42.65349857062101
118784,155,736.26,-41.49011367,762,58,0.8787965476512909,1.0381954908370972,0.0051524113,0.0003,570,0.086865234375,-0.001136895822128281,0.2,-1.034134278818965,33.33694771490991
120832,158,755.17,-38.931516359999996,762,59,0.8711220175027847,4.606761455535889,0.0062958915,0.0003,580,0.0650390625,-0.002088627759076189,0.2,-1.0333674503490329,37.76021709702909
122880,161,769.9,-34.36689869,758,60,0.7670208960771561,25.139101028442383,0.005803253,0.0003,590,0.055615234375,-0.0007929302984848619,0.2,-0.9913520200178028,76.11617779806257
124928,165,783.7,-34.00437988,755,61,0.887025810778141,0.5390061736106873,0.006744755,0.0003,600,0.1423828125,-0.0029065008944598957,0.2,-1.0271840965375305,35.48952267486602
126976,168,794.04,-29.50093169,753,62,0.7660937756299973,1.1455477476119995,0.007864497,0.0003,610,0.1146484375,-0.0025420133577426897,0.2,-1.0116374326869846,73.4978973466903
129024,171,789.43,-30.105716909999998,751,63,0.7497080862522125,34.69889831542969,0.008726096,0.0003,620,0.04755859375,-0.004191171684215078,0.2,-0.8682633766904473,106.44497834146023
131072,174,801.36,-24.826563250000003,749,64,0.5852566361427307,247.0161590576172,0.009640038,0.0003,630,0.096337890625,-0.00316701414049021,0.2,-0.8872723514214158,231.14709669351578
133120,177,803.62,-26.332238430000004,750,65,0.8755937963724136,1.1301312446594238,0.0053693634,0.0003,640,0.080078125,-0.0018607237361720763,0.2,-0.9967353126034141,45.95638509113341
135168,180,818.46,-23.827067679999995,747,66,0.8427859544754028,11.420719146728516,0.0073838397,0.0003,650,0.033447265625,-0.0030459034966042963,0.2,-0.9336801245808601,117.21604746878147
137216,183,832.33,-20.10287999,745,67,0.8764715939760208,3.1723344326019287,0.010733111,0.0003,660,0.161279296875,-0.005347025662922533,0.2,-0.9859356103464961,42.49406879246235
139264,187,844.99,-18.131659310000003,744,68,0.8902714997529984,2.2874300479888916,0.0070190127,0.0003,670,0.07705078125,-0.0049163253977894785,0.2,-0.9950007705017925,41.52820777259767
141312,189,851.4,-17.610541169999998,745,69,0.8905199989676476,0.6445465087890625,0.012044568,0.0003,680,0.157666015625,-0.007163529077661224,0.2,-1.0340965192764997,35.191587997600436
143360,192,865.65,-15.23785247,746,70,0.9070411548018456,0.8062855005264282,0.004427163,0.0003,690,0.04755859375,2.7498916460899635e-05,0.2,-0.9941460531204939,41.389652229845524
145408,195,878.87,-14.606291689999999,745,71,0.8750218003988266,1.2467200756072998,0.006219922,0.0003,700,0.07080078125,-0.004541393992258236,0.2,-0.9373226033523678,42.044822689518334
147456,197,885.38,-10.2420147,744,72,0.7950436174869537,54.83393096923828,0.006910895,0.0003,710,0.091845703125,-0.0030651928449515254,0.2,-0.9952327653765678,114.08465324863792
149504,200,892.75,-10.18810629,743,73,0.7597624361515045,22.466541290283203,0.007225863,0.0003,720,0.03779296875,-0.002045536681180238,0.2,-0.8755998993292451,115.77976381778717
151552,204,892.75,-9.8416406,742,74,0.8975760117173195,0.7809435129165649,0.011834835,0.0003,730,0.148828125,-0.002709726631292142,0.2,-0.9954466184601187,38.001278809458015
153600,207,898.63,-8.924392750000003,741,75,0.89444400370121,0.5458522439002991,0.009377366,0.0003,740,0.09375,-0.00244308563778759,0.2,-0.9847671911120415,38.65435786563903
155648,210,898.63,-9.185687460000002,739,76,0.7823662012815475,1.2694048881530762,0.0043946225,0.0003,750,0.015380859375,-0.00045475170772988347,0.2,-0.8436036480590701,100.3934597050771
157696,213,898.63,-8.929482890000001,739,77,0.8521478772163391,2.9381604194641113,0.009932866,0.0003,760,0.1126953125,-0.0038136912669870073,0.2,-0.9552354779094457,53.98561691567302
159744,215,886.44,-8.99869168,739,78,0.8975103422999382,2.790557622909546,0.009829488,0.0003,770,0.10263671875,-0.0032305844346410596,0.2,-0.8919051123782993,39.983901135623455
161792,218,886.44,-8.59431553,739,79,0.7696580737829208,51.17820739746094,0.005263872,0.0003,780,0.012060546875,-0.0005020694847189588,0.2,-0.9010526333004236,106.4898227378726
163840,221,884.96,-8.051419150000001,738,80,0.8903534114360809,1.745780110359192,0.005397057,0.0003,790,0.14140625,-0.00015680956057622096,0.2,-0.9746500594541431,32.48071538703516
165888,224,884.65,-7.024116719999999,737,81,0.8326948434114456,2.5100417137145996,0.009975542,0.0003,800,0.087109375,-0.003116671690077055,0.2,-0.8603844279423356,70.95193574056029
167936,227,878.51,-6.49934726,736,82,0.8397350162267685,5.8840107917785645,0.003858944,0.0003,810,0.044970703125,-0.0025526349170831965,0.2,-0.9671963477507234,64.21109280046076
169984,231,878.51,-5.977730020000001,733,83,0.7921821177005768,6.532496929168701,0.005284019,0.0003,820,0.04609375,-0.0024007261694350746,0.2,-0.9216854054480791,94.861612033844
