time/time_elapsed,time/iterations,time/total_timesteps,time/fps,rollout/ep_rew_mean,rollout/ep_len_mean,train/policy_gradient_loss,train/std,train/clip_range,train/loss,train/approx_kl,train/n_updates,train/explained_variance,train/entropy_loss,train/clip_fraction,train/learning_rate,train/value_loss
147,44,90112,611,-66.31261366000001,578.94,-0.004619323989027179,0.8516169786453247,0.2,15.298388481140137,0.006738147,430,0.8610142022371292,-2.5144772686064245,0.07900390625,0.0003,36.050994496047494
151,45,92160,610,-63.969764560000016,597.58,-0.0028885660598461983,0.8422916531562805,0.2,388.576171875,0.008523461,440,0.8571628779172897,-2.507378804683685,0.06787109375,0.0003,55.568408351391554
157,46,94208,598,-60.96676861,613.55,-0.003391882321739104,0.839004397392273,0.2,1.3169913291931152,0.0036893517,450,0.8023959845304489,-2.487296961247921,0.034130859375,0.0003,73.22224445268512
161,47,96256,595,-59.740304179999995,628.97,-0.004750102659454569,0.8351051807403564,0.2,2.7278642654418945,0.009271091,460,0.8917435109615326,-2.4798764638602733,0.063525390625,0.0003,26.074318477883935
166,48,98304,590,-57.21781425999998,644.8,-0.0034249807467858773,0.833470344543457,0.2,4.465814113616943,0.0067896955,470,0.892213299870491,-2.475271910429001,0.088232421875,0.0003,23.070741087198257
172,49,100352,582,-54.85680985999999,661.78,-0.0011429394173319452,0.8284547328948975,0.2,2.0313720703125,0.0052622724,480,0.8949304521083832,-2.4667771227657793,0.048876953125,0.0003,38.15641798451543
176,50,102400,580,-49.522689639999996,674.38,-0.005905627089305199,0.8304478526115417,0.2,230.3241729736328,0.0062204665,490,0.8646581321954727,-2.463014004379511,0.06396484375,0.0003,42.88442714735866
181,51,104448,574,-50.473534429999994,686.76,-0.0029408689006231725,0.8163620233535767,0.2,2.1946933269500732,0.0065513444,500,0.8364850878715515,-2.448617048561573,0.056298828125,0.0003,47.14598220065236
186,52,106496,570,-45.16605594,703.02,-0.0015161797964537982,0.803748607635498,0.2,1.675051212310791,0.010145264,510,0.8610762357711792,-2.412083786725998,0.0736328125,0.0003,50.52551309540868
190,53,108544,569,-42.91532901000001,723.54,-0.004775838153000223,0.7917513251304626,0.2,2.0290143489837646,0.008806433,520,0.8327123075723648,-2.3842918731272222,0.075048828125,0.0003,39.644423303380606
196,54,110592,563,-41.358014950000005,738.12,-0.00642251467143069,0.7904062271118164,0.2,48.0367317199707,0.008404287,530,0.7257837355136871,-2.3667240969836714,0.07685546875,0.0003,71.86549354866148
199,55,112640,563,-36.26015103,752.43,-0.0035850491462042556,0.7866158485412598,0.2,1.1587179899215698,0.009215094,540,0.8594636917114258,-2.3610868752002716,0.1080078125,0.0003,45.96640768349171
205,56,114688,557,-37.68908526,760.4,-0.0035667772812303157,0.7863803505897522,0.2,0.5254133343696594,0.005684169,550,0.8475695103406906,-2.3562003426253795,0.0630859375,0.0003,34.32180674877018
210,57,116736,554,-34.21457108,775.47,-0.004812147283519153,0.7870051264762878,0.2,0.626522958278656,0.006458926,560,0.8555895537137985,-2.3590219154953957,0.0642578125,0.0003,37.78717391286045
215,58,118784,550,-31.4426159,788.85,-0.010174727221601643,0.7716131210327148,0.2,0.7679321765899658,0.011119686,570,0.8483635485172272,-2.333164518326521,0.112451171875,0.0003,31.48197856768966
219,59,120832,549,-31.28791699,804.84,-0.0004247946351824794,0.764206051826477,0.2,3.3774266242980957,0.0034877185,580,0.8006537407636642,-2.3076470024883746,0.049267578125,0.0003,55.01646143905818
224,60,122880,547,-26.657135020000005,819.2,-0.006705100665567443,0.7594035863876343,0.2,2.0628066062927246,0.0059977802,590,0.8180388659238815,-2.294526694715023,0.056982421875,0.0003,38.5003450024873
227,61,124928,548,-26.83496319,835.44,-0.005062218369857874,0.7543443441390991,0.2,2.6215412616729736,0.0062156226,600,0.8579944670200348,-2.2783712960779665,0.095556640625,0.0003,45.37274072468281
232,62,126976,545,-23.504670560000005,851.24,-0.005162806319276569,0.7524198293685913,0.2,1.4191302061080933,0.0071808044,610,0.8727172315120697,-2.272912649065256,0.07900390625,0.0003,30.271919682249425
237,63,129024,543,-23.686589340000005,858.04,-0.002969722161651589,0.7410463094711304,0.2,1.996578335762024,0.007586287,620,0.8583207577466965,-2.2530689112842084,0.10390625,0.0003,39.30605929773301
241,64,131072,543,-17.81052911,873.78,-0.005052615573367803,0.7450699806213379,0.2,0.6644299030303955,0.010482091,630,0.8882580026984215,-2.242486544698477,0.104443359375,0.0003,38.30941525287926
246,65,133120,540,-16.85318188,886.32,-0.001874004161800258,0.7437257766723633,0.2,2.023634910583496,0.0052805743,640,0.8069720566272736,-2.2471647866070272,0.04501953125,0.0003,70.43540509045124
249,66,135168,540,-15.0355296,893.57,-0.002144747387501411,0.7422658205032349,0.2,0.2853546738624573,0.0051545156,650,0.8953141421079636,-2.244230530411005,0.07275390625,0.0003,30.532224306184798
254,67,137216,540,-14.79945283,889.51,-0.0016630743171845096,0.7403231263160706,0.2,1.6117905378341675,0.005982527,660,0.8740556538105011,-2.2395041204988955,0.05576171875,0.0003,39.606820003548634
259,68,139264,537,-11.063104479999998,899.5,-0.003061022913425404,0.7402124404907227,0.2,49.63966751098633,0.004492294,670,0.7250454127788544,-2.235595266520977,0.039013671875,0.0003,102.42315240502357
263,69,141312,536,-8.74599301,914.62,-0.0007260231810505502,0.7389560341835022,0.2,2.3505802154541016,0.005603185,680,0.8220386803150177,-2.2351619146764277,0.03818359375,0.0003,64.0147900339216
267,70,143360,536,-5.979452899999999,925.31,-0.0011180567409610376,0.7297264337539673,0.2,0.21569274365901947,0.0050753537,690,0.931113675236702,-2.2206351459026337,0.048486328125,0.0003,35.61969471704215
272,71,145408,533,-4.79686143,920.9,-0.001251705137474346,0.7306714057922363,0.2,4.297131061553955,0.006892545,700,0.8296394795179367,-2.2080813094973566,0.06484375,0.0003,91.41457983776927
276,72,147456,532,-1.612842080000001,925.49,-0.0004523363091720967,0.7296522259712219,0.2,0.3226735591888428,0.0073612975,710,0.7681042551994324,-2.208878242224455,0.09033203125,0.0003,65.42819854896516
