time/time_elapsed,rollout/ep_rew_mean,time/total_timesteps,time/fps,rollout/ep_len_mean,time/iterations,train/entropy_loss,train/learning_rate,train/value_loss,train/policy_gradient_loss,train/loss,train/n_updates,train/clip_range,train/explained_variance,train/approx_kl,train/clip_fraction
58,-111.14849082999999,61440,1048,329.11,30,-1.0866705030202866,0.0003,95.24930170774459,-0.00721961832314264,74.31092071533203,290,0.2,0.4381951093673706,0.009989105,0.108935546875
61,-109.0111693,63488,1037,349.49,31,-1.072890492528677,0.0003,191.79384909868241,-0.006235261255642399,109.80863952636719,300,0.2,0.3346590995788574,0.0054908055,0.0359375
64,-104.33847771999997,65536,1013,364.13,32,-1.0385961150750518,0.0003,128.73614562749862,-0.010865522884341772,39.343116760253906,310,0.2,0.3434946537017822,0.00823123,0.070458984375
68,-102.37674886999997,67584,991,376.84,33,-1.0686714351177216,0.0003,48.05188234746456,-0.010113903056480921,5.4811272621154785,320,0.2,0.6709174811840057,0.014425988,0.124462890625
70,-98.89856379000001,69632,982,400.88,34,-1.0301329959183931,0.0003,82.58376777470112,-0.0031833157445362303,12.553163528442383,330,0.2,0.5217157602310181,0.007463428,0.043017578125
73,-96.86721776999998,71680,969,417.54,35,-1.0185356980189681,0.0003,66.69566080272197,-0.00820450105893542,7.82414436340332,340,0.2,0.5852656066417694,0.008371399,0.0732421875
76,-94.04908035999999,73728,959,435.27,36,-0.9866405108943581,0.0003,46.421428844332695,-0.005425332061713561,4.687450885772705,350,0.2,0.7228635549545288,0.011347929,0.075537109375
79,-91.93077236,75776,947,451.2,37,-1.017568544484675,0.0003,53.858985581994055,-0.006092580890981481,9.10582447052002,360,0.2,0.5731193721294403,0.008928811,0.060400390625
84,-86.84524223,77824,915,468.53,38,-0.9837546896189451,0.0003,76.70584694445134,-0.0023755540343699975,70.04067993164062,370,0.2,0.5947161614894867,0.01092211,0.072900390625
88,-88.04209934000001,79872,899,482.38,39,-1.0149907011538744,0.0003,63.67984355986118,-0.008212887295667316,9.583640098571777,380,0.2,0.3643515706062317,0.008171568,0.089404296875
92,-85.51395749,81920,885,498.51,40,-0.9819994090124965,0.0003,81.34276793897152,-0.004096630898857256,6.750772953033447,390,0.2,0.18184196949005127,0.0046366756,0.0564453125
96,-79.71922116,83968,865,520.28,41,-1.0098636720329524,0.0003,36.70320637822151,-0.006826620870560874,5.819003105163574,400,0.2,0.6697349548339844,0.0089100385,0.10830078125
100,-76.96288684,86016,854,536.36,42,-0.903520448319614,0.0003,110.99623280316591,-0.00575008745508967,7.9529829025268555,410,0.2,0.5497099757194519,0.014284787,0.065234375
