time/fps,rollout/ep_len_mean,time/time_elapsed,time/total_timesteps,rollout/ep_rew_mean,time/iterations,train/loss,train/policy_gradient_loss,train/clip_fraction,train/approx_kl,train/value_loss,train/learning_rate,train/n_updates,train/entropy_loss,train/explained_variance,train/clip_range
1037,325.37,53,55296,-106.40771571,27,14.616798400878906,-0.004867805106914602,0.066650390625,0.010471607,124.81667305231095,0.0003,260,-1.0701652865856885,0.4780545234680176,0.2
1021,343.02,56,57344,-105.51167588,28,42.10606002807617,-0.006407256468082778,0.0826171875,0.007105748,115.18947367072106,0.0003,270,-0.9996992787346244,0.5253824591636658,0.2
1003,360.53,59,59392,-101.2845946,29,21.620441436767578,-0.007724810586660169,0.124609375,0.010426352,56.419745427370074,0.0003,280,-1.0870749555528163,0.628422737121582,0.2
968,378.77,63,61440,-99.45720199000002,30,25.905799865722656,-0.007078175293281674,0.0458984375,0.0082064755,180.30703855752944,0.0003,290,-0.9212802816182375,0.5777385532855988,0.2
937,394.78,67,63488,-96.57152486,31,71.0512924194336,-0.009801314477954293,0.12890625,0.010035348,114.08822722434998,0.0003,300,-1.0730586547404528,0.17353910207748413,0.2
921,406.29,71,65536,-95.77065928999998,32,10.412766456604004,-0.00633764928788878,0.10009765625,0.011896178,63.747258332371715,0.0003,310,-0.9930944738909602,0.6569400429725647,0.2
906,423.49,74,67584,-89.31278883,33,20.228322982788086,-0.012390997065813281,0.096142578125,0.008657177,96.5824414551258,0.0003,320,-1.004641510732472,0.38083475828170776,0.2
894,440.39,77,69632,-86.88675014,34,6.7240986824035645,-0.009243023830640596,0.12099609375,0.012353989,57.52909963726997,0.0003,330,-0.9422716122120619,0.7775751948356628,0.2
886,454.51,80,71680,-86.24740460000001,35,6.443381309509277,-0.006965734614641406,0.133740234375,0.011509711,37.265297934412956,0.0003,340,-0.921357985213399,0.7300628423690796,0.2
872,470.27,84,73728,-82.36631553000001,36,15.46932601928711,-0.006304994300444377,0.040625,0.0055898316,45.18866193890572,0.0003,350,-0.9064549392089247,0.703711599111557,0.2
855,485.48,88,75776,-81.62005848,37,5.085687160491943,-0.005475599824421806,0.08115234375,0.00505885,37.52871867716313,0.0003,360,-0.9646225919947028,0.3984490633010864,0.2
852,510.49,91,77824,-77.27408185,38,3.3605499267578125,-0.009932106229825877,0.139990234375,0.007979296,14.866061291098594,0.0003,370,-0.9894101554527879,0.7266181707382202,0.2
851,527.8,93,79872,-74.17367906,39,9.360199928283691,-0.00467086281896627,0.045556640625,0.0054440633,44.509014782309535,0.0003,380,-0.9129014795646071,0.6079818606376648,0.2
847,544.01,96,81920,-72.65343082999999,40,9.907691955566406,-0.005845901001157472,0.132763671875,0.012974584,40.03987571597099,0.0003,390,-0.9786866314709186,0.6054868102073669,0.2
835,560.19,100,83968,-69.85401654,41,3.894346237182617,-0.0019121495381114074,0.03876953125,0.006375189,26.826688234508037,0.0003,400,-0.927426665276289,0.6584051549434662,0.2
827,576.7,103,86016,-67.40390044000002,42,2.5487277507781982,-0.008775766163307708,0.112060546875,0.007663386,39.5217148847878,0.0003,410,-0.9231767557561398,0.7303674817085266,0.2
823,584.44,106,88064,-66.72906897000001,43,3.729079246520996,-0.00174829648094601,0.034033203125,0.0062425663,23.39152131602168,0.0003,420,-0.9216285163536668,0.6869557201862335,0.2
812,601.1,110,90112,-64.27935001,44,1.7465389966964722,-0.005744666718965163,0.100146484375,0.007857993,13.262306873500346,0.0003,430,-0.9602217735722661,0.690687745809555,0.2
807,618.03,114,92160,-60.058475820000005,45,1.8973370790481567,-0.002191996691544773,0.08251953125,0.0082105305,29.694507490843534,0.0003,440,-0.9081695022061467,0.7142986059188843,0.2
795,635.29,118,94208,-58.26903285999999,46,2.3688771724700928,-0.004938338563079014,0.07119140625,0.008789667,14.60656388476491,0.0003,450,-0.9219434387981892,0.6522994935512543,0.2
789,652.84,121,96256,-55.46071898999999,47,0.6770336627960205,-0.006863827584311366,0.108740234375,0.006710642,14.025968723371625,0.0003,460,-0.8701118279248476,0.5944283306598663,0.2
782,668.64,125,98304,-53.77121714,48,0.7291445732116699,-0.004386528400937095,0.091015625,0.009265302,15.50446984320879,0.0003,470,-0.9135812450200319,0.49484050273895264,0.2
774,683.15,129,100352,-50.29949650999999,49,0.7204378843307495,-0.004825092271494214,0.08818359375,0.0058126585,20.46020672954619,0.0003,480,-0.8921421051025391,0.42572176456451416,0.2
767,698.21,133,102400,-46.67444818,50,5.990609645843506,-0.003325904800294666,0.014990234375,0.005856666,63.86881158351898,0.0003,490,-0.7983460363000632,0.28131622076034546,0.2
762,719.06,136,104448,-45.436675430000015,51,124.00679016113281,-0.002334319727378897,0.07431640625,0.006950198,35.19698626175523,0.0003,500,-0.8624353086575866,0.5152827799320221,0.2
757,725.59,140,106496,-45.80646271000001,52,48.30525207519531,-0.006201764983779867,0.024169921875,0.0064859902,106.46021577566862,0.0003,510,-0.803665011934936,0.4463062286376953,0.2
750,733.56,144,108544,-44.28642416,53,23.61609649658203,-0.003430410914006643,0.0439453125,0.0054936907,69.61330549940467,0.0003,520,-0.8283291140571236,0.7865200191736221,0.2
747,749.84,148,110592,-41.12173351000001,54,0.9383710622787476,-0.0015042759652715177,0.04423828125,0.004966159,19.452694974839687,0.0003,530,-0.8744240816682577,0.8847405388951302,0.2
743,764.57,151,112640,-39.296559740000006,55,5.193058967590332,-0.004180775763234124,0.046435546875,0.0047181416,23.205862062424423,0.0003,540,-0.863783847168088,0.7666185647249222,0.2
737,771.72,155,114688,-37.69538156,56,1.2450318336486816,-0.002965740613581147,0.059716796875,0.007444597,36.44564280770719,0.0003,550,-0.8206474220380187,0.8329072594642639,0.2
735,789.73,158,116736,-33.162662469999994,57,1.2551095485687256,-0.004471745529735926,0.058740234375,0.009211421,53.79973887987435,0.0003,560,-0.8127076743170619,0.7710705101490021,0.2
736,793.75,161,118784,-33.81610433,58,35.08404541015625,-0.005436729889333946,0.084765625,0.0067007863,119.7444257631898,0.0003,570,-0.7689458144828677,0.5815674066543579,0.2
731,809.52,165,120832,-32.13323795,59,3.2309021949768066,-0.002812349579107831,0.06435546875,0.0064422432,83.18429187685251,0.0003,580,-0.8370615489780903,0.5534950196743011,0.2
730,826.05,168,122880,-29.838192190000004,60,3.8044915199279785,0.00013194997518439777,0.086767578125,0.0074851876,39.53072550073266,0.0003,590,-0.7979543665423989,0.6948332786560059,0.2
725,837.85,172,124928,-26.289608230000002,61,1.5053337812423706,-0.0009188033873215318,0.0677734375,0.0071983645,47.21308763176203,0.0003,600,-0.7573450103402137,0.776917889714241,0.2
725,857.0,175,126976,-20.56125009,62,3.6399781703948975,-0.004451975390838925,0.0625,0.005795473,105.21207132488489,0.0003,610,-0.783360313437879,0.3027154207229614,0.2
722,871.21,178,129024,-22.075472370000004,63,18.291242599487305,-0.004084496562063578,0.0296875,0.0054243477,147.8207284554839,0.0003,620,-0.7608598057180643,0.4509674906730652,0.2
721,886.61,181,131072,-18.00411402,64,8.641270637512207,-0.0029092150940414284,0.06533203125,0.005783815,70.43206407055258,0.0003,630,-0.7764783093705774,0.4137018918991089,0.2
