rollout/ep_rew_mean,time/time_elapsed,time/iterations,time/total_timesteps,time/fps,rollout/ep_len_mean,train/clip_range,train/explained_variance,train/policy_gradient_loss,train/loss,train/value_loss,train/learning_rate,train/entropy_loss,train/clip_fraction,train/n_updates,train/approx_kl
-17.47118589,148,59,120832,812,715.38,0.2,0.7668385654687881,-0.004202619224815862,5.334689140319824,99.3692410260439,0.0003,-0.8432242043316365,0.01748046875,580,0.0034682297
-13.1591147,151,60,122880,813,715.43,0.2,0.3791090250015259,-0.0015989366351277568,295.3915100097656,260.48926770687103,0.0003,-0.8447483759373426,0.00908203125,590,0.0022233673
-5.720304589999999,153,61,124928,813,707.22,0.2,0.7438498437404633,-0.0058038902774569575,36.34832000732422,171.77409234046937,0.0003,-0.8528023108839988,0.046533203125,600,0.006497754
-0.3273993299999995,156,62,126976,811,710.85,0.2,0.5576200783252716,-0.00264128650596831,80.4465560913086,258.7263076543808,0.0003,-0.6912539742887021,0.017138671875,610,0.00417296
1.3542379399999995,158,63,129024,812,713.53,0.2,0.6148421764373779,-0.0027930362077313474,18.635013580322266,109.56437367498874,0.0003,-0.7877700109034776,0.056982421875,620,0.0050021242
7.44774793,161,64,131072,813,687.9,0.2,0.4544641375541687,-0.0023849426572269293,14.473095893859863,186.9705963164568,0.0003,-0.801999881491065,0.07763671875,630,0.01030128
6.983178910000003,163,65,133120,816,673.63,0.2,0.609961748123169,-0.004922837445337791,89.2162094116211,226.25271909832955,0.0003,-0.8151303421705961,0.049169921875,640,0.004153783
9.75587072,165,66,135168,816,659.81,0.2,0.4150128960609436,-0.003772335162284435,42.628414154052734,278.6837130367756,0.0003,-0.7920607859268785,0.051806640625,650,0.006776322
14.00582324,168,67,137216,814,654.11,0.2,0.5738508701324463,-0.003552814638169366,44.0745849609375,178.67444646954536,0.0003,-0.8498683074489236,0.058203125,660,0.005193469
19.63650941,170,68,139264,815,636.51,0.2,0.5473714470863342,-0.002490293425216805,5.852611541748047,101.78594257235527,0.0003,-0.8739629166200757,0.070263671875,670,0.006585285
26.513823950000003,173,69,141312,815,625.37,0.2,0.36919695138931274,-0.0015690602525864961,45.85597229003906,229.30394465923308,0.0003,-0.8926784014329314,0.041259765625,680,0.0031673657
28.8929711,175,70,143360,815,605.18,0.2,0.5185422003269196,-0.0031368969022878444,32.018882751464844,110.56099937856197,0.0003,-0.7667899675667286,0.047607421875,690,0.006894562
34.647425819999995,178,71,145408,814,587.01,0.2,0.5370723903179169,-0.004911654475290561,48.36268997192383,129.8212514102459,0.0003,-0.7998261338099837,0.07001953125,700,0.0076657147
39.39632924000001,180,72,147456,814,567.32,0.2,0.4962728023529053,-0.003946185155655257,363.967529296875,141.59140869379044,0.0003,-0.6347247515805066,0.04072265625,710,0.004443853
43.87829718999999,183,73,149504,815,537.62,0.2,0.5626263618469238,-0.0040932943033112675,40.99346160888672,130.94455412328244,0.0003,-0.8628100255504251,0.0802734375,720,0.0105795795
47.61194323999999,185,74,151552,816,509.46,0.2,0.41911953687667847,-0.0029608679295051845,20.857067108154297,251.3750616878271,0.0003,-0.7728316621854902,0.03681640625,730,0.0047738263
54.61475591000001,187,75,153600,817,501.95,0.2,0.45227551460266113,-0.0021878660045331344,15.530250549316406,185.96067592948674,0.0003,-0.7566990664228797,0.0416015625,740,0.0073817233
57.71879664,190,76,155648,819,483.71,0.2,0.4475446939468384,-0.006985921808518469,23.29756736755371,155.4898621201515,0.0003,-0.7640561044216156,0.044677734375,750,0.009250227
58.4798579,192,77,157696,820,472.74,0.2,0.47243279218673706,-0.00288772827370849,24.35055160522461,144.24479698240756,0.0003,-0.7492316281422973,0.0375,760,0.004521113
60.385115670000005,194,78,159744,823,452.58,0.2,0.5129830539226532,-0.005665594366291771,595.694580078125,185.35269956886768,0.0003,-0.807203970849514,0.060595703125,770,0.005503048
66.28012104,196,79,161792,825,440.94,0.2,0.5993130505084991,-0.0039948006080521735,14.954183578491211,156.8407981425524,0.0003,-0.7531736992299557,0.049267578125,780,0.004824961
66.63519389999999,198,80,163840,827,437.5,0.2,0.5177615582942963,-0.0023843387767556123,29.155603408813477,217.29263697862626,0.0003,-0.7522109923884273,0.016845703125,790,0.002859142
61.379308260000016,199,81,165888,829,425.93,0.2,0.5931115448474884,-0.003991690320981433,236.44322204589844,309.4023699939251,0.0003,-0.7180583015084266,0.06376953125,800,0.0053520175
58.94280817,201,82,167936,831,425.87,0.2,0.5730034112930298,-0.003053996146627469,27.464717864990234,324.760385286808,0.0003,-0.7696531994268299,0.042041015625,810,0.0052749794
59.26115819999998,204,83,169984,832,422.47,0.2,0.6680800020694733,-0.0032836998652783222,346.9753723144531,247.48778210878373,0.0003,-0.6654201501980423,0.057958984375,820,0.0063167135
61.28519397,206,84,172032,833,422.94,0.2,0.6328733861446381,-0.004932730624568648,37.48771667480469,179.89251080155373,0.0003,-0.8130066495388746,0.06142578125,830,0.004006635
60.80521735,208,85,174080,835,419.81,0.2,0.6607350707054138,-0.0019487973819195758,153.6608428955078,161.67004331052303,0.0003,-0.7398934507742524,0.021044921875,840,0.003741073
59.09749729999999,210,86,176128,837,414.73,0.2,0.6746782064437866,-0.003270544740371406,63.51222610473633,217.36879041790962,0.0003,-0.7855174349620938,0.048583984375,850,0.0059507275
57.36300442999999,212,87,178176,838,402.51,0.2,0.7483039498329163,-0.0071725499037711415,73.12025451660156,225.5918441593647,0.0003,-0.8681656153872609,0.06044921875,860,0.006121636
53.074758030000005,214,88,180224,840,400.79,0.2,0.63726606965065,-0.003345301303488668,35.93006134033203,189.8132617354393,0.0003,-0.6915699478238821,0.081689453125,870,0.007948151
52.390918219999996,216,89,182272,842,396.79,0.2,0.766912192106247,-0.0021570232216618023,30.055622100830078,217.60967315435408,0.0003,-0.6810338923707604,0.0349609375,880,0.0041529117
50.99855110000001,218,90,184320,844,391.62,0.2,0.6668684482574463,-0.004672016398399137,333.83709716796875,300.1643196582794,0.0003,-0.7527926959097385,0.09853515625,890,0.009582017
42.61708662,220,91,186368,845,383.4,0.2,0.7363205254077911,-0.004703552920545917,21.73090362548828,147.82386632859706,0.0003,-0.6811825962737202,0.052978515625,900,0.0056914296
40.999167420000006,222,92,188416,848,383.13,0.2,0.7423204779624939,-0.004743165830586804,52.87172317504883,299.62866311073304,0.0003,-0.7683354806154966,0.034765625,910,0.0037949712
38.46930227,224,93,190464,849,385.04,0.2,0.6683828234672546,-0.002583165024407208,59.567684173583984,242.710455930233,0.0003,-0.7126768656075001,0.04228515625,920,0.0072134207
36.46416568,226,94,192512,850,387.6,0.2,0.710890144109726,-0.005766213490642258,37.02947998046875,246.63886664509772,0.0003,-0.6854786180891097,0.05322265625,930,0.006515136
36.806018859999995,228,95,194560,851,389.27,0.2,0.7965559512376785,-0.0025431697846215683,29.687259674072266,147.03615059256555,0.0003,-0.6917278276756406,0.0431640625,940,0.005984095
