time/time_elapsed,rollout/ep_len_mean,time/total_timesteps,time/iterations,time/fps,rollout/ep_rew_mean,train/std,train/approx_kl,train/explained_variance,train/entropy_loss,train/n_updates,train/value_loss,train/clip_fraction,train/learning_rate,train/clip_range,train/loss,train/policy_gradient_loss
318,773.72,159744,78,502,-15.093091549999999,0.7383416295051575,0.0070681693,0.41738247871398926,-2.2190289802849295,770,214.63749144375325,0.04921875,0.0003,0.2,210.44049072265625,-0.0027208701387280597
322,766.79,161792,79,502,-16.79468885,0.7224833965301514,0.011812845,0.862603098154068,-2.200747476518154,780,27.624713603034614,0.09052734375,0.0003,0.2,0.39983922243118286,-0.002836524536542129
327,770.42,163840,80,500,-13.40946833,0.7247940301895142,0.00528036,0.6628761291503906,-2.1808719120919706,790,87.55134710073472,0.06201171875,0.0003,0.2,44.92588806152344,-0.005356801507514319
331,763.52,165888,81,500,-9.412902380000002,0.718582808971405,0.005563521,0.6223802864551544,-2.1766170747578144,800,90.32227891981601,0.0681640625,0.0003,0.2,8.201568603515625,-0.0022627710670349186
335,756.07,167936,82,500,-6.9696260400000005,0.7205244898796082,0.004551584,0.5605385899543762,-2.1679919436573982,810,143.30831411778928,0.0318359375,0.0003,0.2,228.98565673828125,-0.0008582614053011639
339,757.65,169984,83,500,-6.402874000000001,0.717833399772644,0.006350766,0.4687792658805847,-2.1665178000926972,820,179.46416594982148,0.042626953125,0.0003,0.2,180.20346069335938,-0.005060781127031078
344,761.18,172032,84,499,-7.621557370000001,0.7108354568481445,0.011782841,0.785105288028717,-2.1515835084021093,830,36.94398266114295,0.08759765625,0.0003,0.2,3.700765371322632,-0.0007101019175024704
347,756.73,174080,85,500,-5.967422700000002,0.7057965993881226,0.010254996,0.8021161556243896,-2.134851563721895,840,31.895342210680248,0.089697265625,0.0003,0.2,1.1186295747756958,-0.0021028544200817124
353,756.73,176128,86,497,-5.676038040000001,0.7043668627738953,0.008948898,0.6719113290309906,-2.127498971670866,850,138.54893314987422,0.088720703125,0.0003,0.2,17.89250946044922,-0.004955003084614873
356,741.05,178176,87,499,-6.633468379999999,0.6997977495193481,0.0066912817,0.7419718503952026,-2.118545754998922,860,45.705241080373526,0.08291015625,0.0003,0.2,2.35278058052063,-0.004806255704897922
360,741.15,180224,88,499,-2.915054740000001,0.6991304159164429,0.0034384246,0.6641197204589844,-2.109824675321579,870,165.8964654892683,0.017822265625,0.0003,0.2,8.753474235534668,-0.002563102803105721
364,720.62,182272,89,500,-5.404390009999999,0.6979621648788452,0.0075071,0.6110010743141174,-2.1074948735535144,880,139.59492372572421,0.06845703125,0.0003,0.2,119.94931030273438,-0.005553593231888953
368,722.8,184320,90,499,-1.1429281500000004,0.6972238421440125,0.006569942,0.4850637912750244,-2.1053851008415223,890,183.952933883667,0.080078125,0.0003,0.2,44.60712814331055,-0.0033482789436675374
373,722.89,186368,91,499,0.193579489999998,0.6936139464378357,0.008323029,0.5835942625999451,-2.1004292026162146,900,85.33982463181019,0.06396484375,0.0003,0.2,18.14277458190918,-0.004404937433719169
376,721.58,188416,92,500,2.557433749999996,0.690881609916687,0.00831295,0.6925517618656158,-2.09047207608819,910,67.87047690674663,0.099072265625,0.0003,0.2,9.362796783447266,-0.004469761671498418
380,721.58,190464,93,500,2.3964585899999955,0.6868522763252258,0.005574082,0.5271280705928802,-2.080820491909981,920,51.87337234318257,0.071484375,0.0003,0.2,13.505876541137695,-0.0014407719660084694
383,716.0,192512,94,501,1.8738672599999973,0.6823009252548218,0.013706677,0.707705557346344,-2.0733309663832187,930,40.80521257817745,0.12001953125,0.0003,0.2,2.1229562759399414,-0.005155312328133732
388,726.86,194560,95,500,1.242166819999997,0.6828128099441528,0.006630207,0.6660902202129364,-2.0653253316879274,940,67.24825179055333,0.073193359375,0.0003,0.2,1.8192026615142822,-0.0030751011523534543
392,725.68,196608,96,500,1.0831717099999976,0.6784559488296509,0.0051661027,0.6622859537601471,-2.0588243432343005,950,67.33242947421968,0.074658203125,0.0003,0.2,1.1594712734222412,-0.0006942411855561659
397,732.96,198656,97,500,4.649201399999999,0.6771941184997559,0.011169437,0.7262572050094604,-2.0520363226532936,960,91.33830032721161,0.08017578125,0.0003,0.2,41.44175338745117,-0.004483473458094522
402,737.26,200704,98,498,3.6742883599999994,0.6717019081115723,0.008550679,0.3711416721343994,-2.0438032604753973,970,62.44558070003986,0.081884765625,0.0003,0.2,7.629922389984131,-0.0019174530869349837
406,722.68,202752,99,498,0.6126795099999999,0.6711521148681641,0.0061399797,0.7164386510848999,-2.0336685217916965,980,41.854651843756436,0.07470703125,0.0003,0.2,1.7176955938339233,0.0011914814829651732
410,722.56,204800,100,499,-0.33927483000000136,0.6652742624282837,0.0041061486,0.7816150933504105,-2.026865943521261,990,59.39112498164177,0.05615234375,0.0003,0.2,179.52691650390625,0.001314917378476821
414,725.39,206848,101,499,-0.46485713000000173,0.663110077381134,0.003702293,0.7313444912433624,-2.010167384892702,1000,133.9487481892109,0.034716796875,0.0003,0.2,38.42649841308594,-0.0033627636898017955
418,725.27,208896,102,499,-0.4006231100000012,0.6632505655288696,0.010908063,0.6266896426677704,-2.008820592612028,1010,136.48926000595094,0.077978515625,0.0003,0.2,60.68119812011719,-0.005600435600354103
422,713.91,210944,103,499,0.33898919999999905,0.6681167483329773,0.0034184942,0.8203962594270706,-2.0152491867542266,1020,77.78914189711213,0.038720703125,0.0003,0.2,10.786703109741211,0.0005355373396014329
426,697.55,212992,104,499,-0.834987250000002,0.663611650466919,0.011920183,0.5560150444507599,-2.01849699690938,1030,122.14308682605625,0.09736328125,0.0003,0.2,21.330781936645508,-0.000901272046030499
431,701.96,215040,105,498,-1.2023250600000026,0.6615486741065979,0.0064315116,0.4449526071548462,-2.00651910007,1040,123.46431749463082,0.0556640625,0.0003,0.2,30.363027572631836,-8.405389089602978e-05
436,697.83,217088,106,497,-0.34861728000000203,0.6618394255638123,0.014908692,0.8359173387289047,-2.008116789907217,1050,29.89458014331758,0.143017578125,0.0003,0.2,1.1635609865188599,0.0006464796868385747
439,705.85,219136,107,498,2.6498350099999994,0.6529420614242554,0.00833278,0.6266754865646362,-1.9912297401577235,1060,82.54904832243919,0.09912109375,0.0003,0.2,15.595075607299805,-0.003040171859174734
444,706.5,221184,108,497,0.3313167899999994,0.6450490951538086,0.007155359,0.5897499918937683,-1.9709214154630899,1070,79.45348824635148,0.06259765625,0.0003,0.2,2.43468976020813,-9.856892575044185e-05
448,711.16,223232,109,497,2.7334533899999998,0.6408714056015015,0.006713952,0.3584006428718567,-1.9520767100155354,1080,60.88689664155245,0.06123046875,0.0003,0.2,32.1795654296875,-0.004943502710375469
451,710.32,225280,110,498,1.5621037099999984,0.6359219551086426,0.0063103884,0.8559948801994324,-1.9342910978943109,1090,28.363268257770688,0.097607421875,0.0003,0.2,0.5159959197044373,-0.0018503076513297855
456,711.1,227328,111,498,2.735906029999999,0.6323120594024658,0.0041288864,0.5445355176925659,-1.9254212502390147,1100,84.19514714032411,0.05458984375,0.0003,0.2,59.58329391479492,-0.0011097863294708076
461,722.16,229376,112,496,2.8190159899999987,0.6297667026519775,0.0116714705,0.6234621703624725,-1.9150811869651079,1110,96.80213746502996,0.07822265625,0.0003,0.2,70.75448608398438,-0.004604868090245873
464,701.44,231424,113,497,3.4086651599999986,0.6226298213005066,0.0067779403,0.8427315205335617,-1.899598691239953,1120,35.6342911475338,0.09794921875,0.0003,0.2,0.614778995513916,-0.0007061358846840449
469,702.23,233472,114,496,3.128448659999999,0.6219079494476318,0.007591216,0.42882269620895386,-1.8862674046307801,1130,199.51026581823825,0.077392578125,0.0003,0.2,21.3441162109375,-0.005760193627429544
473,704.07,235520,115,497,3.5591889300000004,0.6186655163764954,0.0043608285,0.7042293548583984,-1.8790416404604913,1140,75.39239146057517,0.054736328125,0.0003,0.2,16.187292098999023,-0.0022500720115203876
477,711.74,237568,116,497,6.3905761,0.6158057451248169,0.005997498,0.4387286901473999,-1.8702415209263563,1150,237.58569557964802,0.052490234375,0.0003,0.2,107.05342864990234,-0.004817558480863226
481,706.56,239616,117,498,5.066959799999999,0.6086736917495728,0.011866745,0.8500721603631973,-1.8502833936363459,1160,29.712856390001253,0.135693359375,0.0003,0.2,0.9017658829689026,-0.0011929545158636755
485,706.56,241664,118,497,6.510820009999999,0.606982946395874,0.0029984522,0.4032193422317505,-1.8404533177614213,1170,156.72527387142182,0.0462890625,0.0003,0.2,283.6473693847656,0.0007331283441089909
488,700.48,243712,119,498,7.41351784,0.5936374664306641,0.0052149454,0.7965555489063263,-1.818517679721117,1180,38.14646874517202,0.0822265625,0.0003,0.2,0.23256298899650574,-0.002706381437019445
492,702.3,245760,120,498,12.275985519999997,0.5905278921127319,0.0043569044,0.6886839270591736,-1.78892963193357,1190,95.32861663401127,0.02900390625,0.0003,0.2,72.2901840209961,-0.0011689556427882052
496,709.42,247808,121,499,14.751623549999998,0.5853832364082336,0.0071816333,0.6445257365703583,-1.7740773215889931,1200,86.5873527303338,0.05439453125,0.0003,0.2,7.6585693359375,-0.004555389555753209
