time/iterations,time/fps,rollout/ep_rew_mean,rollout/ep_len_mean,time/time_elapsed,time/total_timesteps,train/clip_range,train/policy_gradient_loss,train/clip_fraction,train/approx_kl,train/n_updates,train/loss,train/entropy_loss,train/learning_rate,train/value_loss,train/explained_variance
39,821,-44.17134566000001,542.4,97,79872,0.2,-0.003815804947225843,0.064599609375,0.007082537,380,14.036230087280273,-0.7440363181754946,0.0003,92.09396168887615,0.6869901418685913
40,817,-46.032675020000006,547.06,100,81920,0.2,-0.0020452237633435287,0.030859375,0.003417173,390,169.5817413330078,-0.7057255484163761,0.0003,230.76891083717345,0.4401317238807678
41,816,-39.553365,558.54,102,83968,0.2,-0.003196122620283859,0.079638671875,0.009100044,400,18.526987075805664,-0.9257287383079529,0.0003,58.89382949471474,0.7986117005348206
42,811,-35.78715116,573.61,105,86016,0.2,-0.003908026193676051,0.064013671875,0.0047738664,410,30.290693283081055,-0.6856009919196367,0.0003,149.7930736541748,0.5191428661346436
43,808,-33.28287353,583.87,108,88064,0.2,-0.005102490166609641,0.094677734375,0.00687577,420,72.1927719116211,-0.8604095028713346,0.0003,189.3006711065769,0.5392442047595978
44,805,-27.471001789999995,599.11,111,90112,0.2,-0.002133216820220696,0.033203125,0.0045371195,430,59.78733444213867,-0.7925298247486353,0.0003,187.46042319238185,0.4777613878250122
45,803,-26.57330307,612.63,114,92160,0.2,-0.0025993279778049327,0.030810546875,0.004124572,440,28.27699851989746,-0.8324521008878947,0.0003,117.4869560778141,0.6381926536560059
46,797,-23.959982899999996,623.8,118,94208,0.2,-0.005579052777829929,0.07431640625,0.011880315,450,186.27098083496094,-0.8350972024723887,0.0003,226.85331670045852,0.45230787992477417
47,792,-17.823206610000003,632.63,121,96256,0.2,-0.004604023478896125,0.075,0.0045867376,460,16.378719329833984,-0.8336438693106174,0.0003,56.90757895410061,0.8285869508981705
48,782,-14.43150419,645.67,125,98304,0.2,-0.003102473064791411,0.050537109375,0.006865764,470,17.688270568847656,-0.8736904967576266,0.0003,104.78011005222797,0.621348112821579
49,778,-14.48324999,655.66,128,100352,0.2,-0.004738803192594787,0.05078125,0.0072096777,480,43.09355926513672,-0.7615159077569842,0.0003,160.42646876573562,0.47416800260543823
50,779,-8.717329069999998,674.54,131,102400,0.2,-0.005927465746208327,0.1171875,0.00974131,490,13.68755054473877,-0.8392646927386522,0.0003,105.9330138579011,0.7655016481876373
51,774,-3.6310217800000033,681.53,134,104448,0.2,-0.011244656110648066,0.125927734375,0.021521013,500,23.46701431274414,-0.8435023384168744,0.0003,119.79795038104058,0.6231068074703217
52,768,-3.249556840000002,688.16,138,106496,0.2,-0.002987917966675013,0.081591796875,0.0073356507,510,21.373165130615234,-0.8025709806010127,0.0003,55.745740848779676,0.7096824645996094
53,767,-1.9128928900000037,695.44,141,108544,0.2,-0.0021739771458669566,0.08818359375,0.0066762636,520,2.5424909591674805,-1.030615421757102,0.0003,34.42924969866872,0.7947771549224854
54,760,1.5398833399999987,705.35,145,110592,0.2,-0.001907773214406916,0.055712890625,0.004489352,530,11.273824691772461,-0.9354446999728679,0.0003,100.39636017382145,0.5753020644187927
55,752,2.3117389399999997,711.16,149,112640,0.2,-0.0028219050451298243,0.02802734375,0.006349587,540,19.328203201293945,-0.9783714700490236,0.0003,109.75554040893913,0.5775717198848724
56,750,3.14098384,719.09,152,114688,0.2,-0.001752091910020681,0.104296875,0.008225607,550,1.9834927320480347,-0.8220563754439354,0.0003,37.079770567268135,0.8204113990068436
57,749,4.33177357,725.45,155,116736,0.2,-0.005199900391016854,0.069140625,0.007472873,560,3.891038656234741,-0.9154944643378258,0.0003,69.75691638290883,0.6667116284370422
58,742,4.99924939,729.96,160,118784,0.2,-0.002952228680078406,0.0841796875,0.0079465285,570,2.446866035461426,-0.8766137663275003,0.0003,32.83164628334343,0.8436039239168167
59,735,8.566870190000001,742.89,164,120832,0.2,-0.0032022811436036138,0.066064453125,0.006079144,580,1.5605459213256836,-1.0390064029023052,0.0003,40.83544787578285,0.7994722723960876
60,735,9.390573260000002,751.24,167,122880,0.2,-0.0033283077675150706,0.05341796875,0.005350333,590,5.383734226226807,-1.0004260014742612,0.0003,41.15317712649703,0.8052357882261276
61,731,9.5787893,752.65,170,124928,0.2,-0.002135991123941494,0.06728515625,0.009443359,600,4.356322765350342,-0.9267383625730872,0.0003,73.6660547800362,0.7867346256971359
62,731,7.941180500000001,761.68,173,126976,0.2,-0.0006642695596383418,0.060546875,0.0074555296,610,104.75442504882812,-1.0503133894875645,0.0003,67.83900439292192,0.6926498115062714
63,733,5.946929530000001,749.11,175,129024,0.2,-0.002226776871975744,0.044140625,0.0050301244,620,4.190491676330566,-0.9833997700363397,0.0003,98.69335636794567,0.6696223020553589
64,728,4.71885422,748.84,179,131072,0.2,-0.0032520252720132704,0.033935546875,0.008658772,630,45.99880599975586,-0.8207167103886605,0.0003,155.4272659868002,0.5053945481777191
65,729,3.8462872400000006,746.83,182,133120,0.2,-0.003429183121625101,0.065087890625,0.009250451,640,113.0693130493164,-0.9476369686424733,0.0003,111.9399898558855,0.6082166433334351
66,729,2.1714789700000003,746.4,185,135168,0.2,-0.0015153073240071536,0.01015625,0.003673581,650,338.1111755371094,-0.963006791472435,0.0003,102.53695152401924,0.6408701539039612
67,730,-0.9889899900000007,737.1,187,137216,0.2,-0.004300683912151726,0.056494140625,0.0049517965,660,10.759969711303711,-0.9015921218320727,0.0003,126.93345444500446,0.7036055028438568
68,729,-3.116939409999999,745.93,190,139264,0.2,-0.0018011660220508929,0.01953125,0.0048205303,670,239.57652282714844,-0.786247612722218,0.0003,173.1517735183239,0.7863622456789017
69,727,-5.2681289399999995,742.33,194,141312,0.2,-0.005334389548806939,0.0767578125,0.0065135765,680,2.162017822265625,-0.7430398324504495,0.0003,27.302553303167223,0.9500290527939796
70,726,-4.025954220000002,745.38,197,143360,0.2,-0.004660378842891078,0.071240234375,0.010826607,690,7.3787689208984375,-0.9551093017682433,0.0003,95.1486545190215,0.706611692905426
71,724,-4.7876667300000015,741.67,200,145408,0.2,-0.005498695735150249,0.09765625,0.011219545,700,8.05923080444336,-0.8761206775903702,0.0003,119.10869548618794,0.5188675820827484
72,722,-4.628444120000003,739.87,204,147456,0.2,-0.006176740425871685,0.0845703125,0.007101015,710,5.6724700927734375,-0.8802665321156382,0.0003,45.87502595111728,0.8742628693580627
73,720,-4.2913961500000015,741.51,207,149504,0.2,-0.003636171791004017,0.07080078125,0.007826369,720,5.902554512023926,-0.8299384666606784,0.0003,102.27876421809196,0.7615750283002853
74,719,-5.0331412600000025,739.6,210,151552,0.2,-0.001309926147405349,0.009033203125,0.0024498212,730,153.3524932861328,-0.8422611214220523,0.0003,238.19604477584363,0.5821660459041595
75,713,-3.1131939600000016,745.72,215,153600,0.2,-0.0018526168354583207,0.026708984375,0.0034299241,740,30.500028610229492,-0.9107454374432564,0.0003,147.70163473784925,0.43656742572784424
76,712,-4.427365820000002,752.16,218,155648,0.2,-0.0032318846679117996,0.057421875,0.0059028724,750,16.98705291748047,-0.8933620477095247,0.0003,108.9150610923767,0.6121675670146942
