time/time_elapsed,time/iterations,rollout/ep_rew_mean,rollout/ep_len_mean,time/total_timesteps,time/fps,train/policy_gradient_loss,train/explained_variance,train/approx_kl,train/clip_fraction,train/learning_rate,train/loss,train/entropy_loss,train/clip_range,train/value_loss,train/n_updates
104,41,-78.57788379,524.75,83968,805,-0.005053870046685916,0.36396557092666626,0.003860517,0.079248046875,0.0003,3.8288826942443848,-0.9512231031432747,0.2,21.995357255637646,400
108,42,-73.01243911999998,539.86,86016,793,-0.004581829459493747,0.41103875637054443,0.007330994,0.08330078125,0.0003,6.166958332061768,-1.0245268614962697,0.2,49.859942795336245,410
111,43,-75.23802604999999,546.95,88064,786,-0.003876382730959449,0.5713320374488831,0.006378266,0.058642578125,0.0003,3.7160637378692627,-0.965129810757935,0.2,29.57957382649183,420
116,44,-70.45082093,562.02,90112,773,-0.005090286681661382,0.5519610345363617,0.0073232865,0.091357421875,0.0003,3.3135409355163574,-0.9789328780025244,0.2,29.72072380930185,430
120,45,-68.84694229,578.26,92160,767,-0.006263371527165873,0.7237017154693604,0.00936939,0.10849609375,0.0003,3.3987691402435303,-0.8970630586147308,0.2,27.908531150221826,440
123,46,-65.28909117,601.43,94208,761,-0.004520726573537104,0.5779970288276672,0.006053229,0.055224609375,0.0003,5.873924732208252,-0.9096415439620614,0.2,46.80102883726359,450
126,47,-61.858416539999986,616.93,96256,760,-0.0020185971799946854,0.3338358402252197,0.0034399915,0.029052734375,0.0003,12.152959823608398,-0.8842524200677871,0.2,98.0368082895875,460
130,48,-63.209628759999994,619.42,98304,755,-0.003976955679900129,0.49968183040618896,0.007106675,0.061572265625,0.0003,5.517123222351074,-0.8700841249898076,0.2,58.67660583108663,470
133,49,-60.71343852999999,633.04,100352,750,-0.0007623528370459098,0.4174506664276123,0.004389176,0.035546875,0.0003,51.81167984008789,-0.9103924030438065,0.2,94.00947591811419,480
137,50,-58.53600731999999,648.39,102400,744,-0.0027258621041255536,0.5859427154064178,0.005555828,0.03125,0.0003,48.238868713378906,-0.9735249748453498,0.2,66.31006521880627,490
140,51,-53.55186487,669.4,104448,741,-0.004879900505329715,0.5251704752445221,0.0065016877,0.05859375,0.0003,4.431948184967041,-0.9523128729313612,0.2,46.038169303536414,500
144,52,-51.05766908,683.57,106496,736,-0.002743256169196684,0.42889654636383057,0.006428283,0.0748046875,0.0003,5.024655342102051,-0.9063162546604872,0.2,93.4414434723556,510
148,53,-49.38776267,697.98,108544,732,-0.0014753024122910574,0.5839116871356964,0.006116462,0.073974609375,0.0003,1.7391542196273804,-0.9147010577842594,0.2,36.15115957781673,520
151,54,-48.57559556000001,712.19,110592,727,-0.006631387155357516,0.63004469871521,0.006650625,0.08740234375,0.0003,1.244901180267334,-0.8847615083679556,0.2,33.84760424792766,530
155,55,-46.49406408000001,726.08,112640,725,-0.004558688894030638,0.6669943630695343,0.006470535,0.07724609375,0.0003,3.1354165077209473,-0.8781405402347445,0.2,36.12797443717718,540
158,56,-45.340188000000005,741.53,114688,722,-0.0020365767697512636,0.47039735317230225,0.004994914,0.0326171875,0.0003,6.289140224456787,-0.8743636459112167,0.2,78.00165531635284,550
161,57,-39.68828914,758.25,116736,723,-0.004072933035786264,0.8036097437143326,0.005178756,0.078369140625,0.0003,3.5771145820617676,-0.8113786684349179,0.2,23.289853190630673,560
164,58,-40.92872752,766.99,118784,722,-0.004433961675385944,0.4898894429206848,0.0068509355,0.064697265625,0.0003,7.28070068359375,-0.8069406416267156,0.2,112.45054839253426,570
167,59,-38.7944778,783.39,120832,722,-0.00033184275380335746,0.7193481028079987,0.005634891,0.02919921875,0.0003,14.404528617858887,-0.8437980469316244,0.2,68.36480525806546,580
171,60,-39.46890528,789.3,122880,716,-0.0018141619650123176,0.546103447675705,0.0038077943,0.03642578125,0.0003,7.511279106140137,-0.8532460581511259,0.2,128.06964552551509,590
174,61,-33.84042240000001,801.26,124928,715,-0.00226211028839316,0.7829911261796951,0.010587361,0.047412109375,0.0003,1.7730889320373535,-0.8865572711452842,0.2,48.49616305157542,600
177,62,-33.74718235000001,810.8,126976,715,-0.003703991252405103,0.6084456145763397,0.00671421,0.0556640625,0.0003,11.12283706665039,-0.752072049304843,0.2,138.26508265286685,610
180,63,-34.65727084,813.55,129024,716,-0.005705078989558387,0.7203044295310974,0.0042979065,0.049169921875,0.0003,256.3228454589844,-0.8855705177411437,0.2,113.21527824997902,620
182,64,-30.94253369,825.93,131072,717,-0.0054598313021415375,0.8168546408414841,0.0066872295,0.076513671875,0.0003,2.760187864303589,-0.7994045030325652,0.2,55.45265135839581,630
185,65,-28.43827906,840.01,133120,716,-0.0020534382580081,0.9175251573324203,0.0070319017,0.062255859375,0.0003,4.495649814605713,-0.830674029700458,0.2,47.15176090747118,640
188,66,-27.918559730000005,848.0,135168,717,-0.0009020144250825978,0.8135708272457123,0.0030104816,0.030029296875,0.0003,52.91502380371094,-0.8099300106987357,0.2,68.51462287455797,650
191,67,-21.638479119999992,862.23,137216,714,-0.0018010714593401644,0.7037729322910309,0.0067298417,0.05126953125,0.0003,12.565143585205078,-0.7574836267158389,0.2,123.42071137279272,660
195,68,-23.524829009999994,873.59,139264,713,-0.002411437429327634,0.6310892999172211,0.0039374055,0.032177734375,0.0003,5.07363224029541,-0.8337913386523723,0.2,98.88993039876223,670
198,69,-19.911309649999996,886.8,141312,713,-0.0018995192578586285,0.7752162367105484,0.009606815,0.05771484375,0.0003,8.098380088806152,-0.846542745269835,0.2,73.84208066165448,680
201,70,-18.300002349999996,899.2,143360,712,-0.006040924366243416,0.5877465605735779,0.02361501,0.08017578125,0.0003,137.36732482910156,-0.7823948768898845,0.2,170.49738151133062,690
205,71,-17.522492699999997,898.21,145408,708,-0.0036277243198128417,0.735327959060669,0.0049445033,0.071435546875,0.0003,5.884293556213379,-0.8588410198688508,0.2,53.80238128378987,700
208,72,-13.379352569999998,906.49,147456,705,-0.0019269747353973798,0.6637106537818909,0.007257847,0.062109375,0.0003,139.4498748779297,-0.7665172146633268,0.2,82.24550465047359,710
212,73,-9.708435209999998,897.7,149504,704,-0.0012649798853090033,0.5236314535140991,0.006449355,0.04052734375,0.0003,29.627899169921875,-0.836459563113749,0.2,113.99630774855613,720
214,74,-11.312167820000003,896.62,151552,705,-0.0021313353867299157,0.3287159204483032,0.0021391737,0.04228515625,0.0003,14.995720863342285,-0.8418660437688231,0.2,140.2714213207364,730
217,75,-8.817244719999998,894.54,153600,705,-0.0023764913337799955,0.6457251012325287,0.009443544,0.09521484375,0.0003,2.134363889694214,-0.7728538673371077,0.2,51.12529257759452,740
221,76,-4.524952090000002,892.16,155648,704,-0.0036426025737455346,0.5484528541564941,0.0047486657,0.04677734375,0.0003,18.514663696289062,-0.766781716234982,0.2,100.58870255276561,750
224,77,2.2867783299999997,890.53,157696,702,-0.005511267272231635,0.37454503774642944,0.0069684433,0.095263671875,0.0003,18.493810653686523,-0.8746632464230061,0.2,124.69079846292735,760
227,78,-1.8140040600000003,880.83,159744,702,-0.004596820434380788,0.4670514464378357,0.006638407,0.06103515625,0.0003,47.53540802001953,-0.7348352516070008,0.2,111.4329497858882,770
229,79,1.0987596499999992,873.24,161792,703,-0.001255996537656756,0.32951611280441284,0.0045429016,0.043115234375,0.0003,99.70052337646484,-0.8084130013361573,0.2,167.58937695026398,780
232,80,4.46321651,865.51,163840,703,-0.0026218301813059953,0.6163021624088287,0.0056644287,0.051611328125,0.0003,27.516788482666016,-0.778903492167592,0.2,128.6120640873909,790
235,81,5.1538586199999985,861.45,165888,703,-0.0035479285106703173,0.591153085231781,0.010402702,0.05224609375,0.0003,22.786882400512695,-0.7553507449105382,0.2,124.31001844406128,800
238,82,7.605912989999999,855.88,167936,703,-0.0009474145452259108,0.6565917432308197,0.009527393,0.093359375,0.0003,8.90646743774414,-0.7733596943318843,0.2,69.02449401617051,810
242,83,8.029934949999998,847.04,169984,701,-0.0020238766839611342,0.5134049952030182,0.0056679603,0.0505859375,0.0003,40.37592697143555,-0.7510674420744181,0.2,98.96489365249872,820
245,84,9.65731415,843.59,172032,702,-0.004707779290038161,0.2897563576698303,0.0084379,0.060205078125,0.0003,6.53314208984375,-0.7495404416695237,0.2,169.29095590412618,830
247,85,10.937489930000002,828.08,174080,702,-0.0009031106957991142,0.2753944396972656,0.006946142,0.084326171875,0.0003,7.52629280090332,-0.7897312665358186,0.2,35.327686204761264,840
250,86,8.83716121,819.91,176128,702,-0.0017263900706893764,0.4250015616416931,0.002625334,0.022314453125,0.0003,54.67574691772461,-0.7712198536843061,0.2,175.80521102845668,850
254,87,9.229781260000001,815.45,178176,701,-0.0012414534256095066,0.6734909117221832,0.006702696,0.07080078125,0.0003,9.694307327270508,-0.8470178922638297,0.2,110.78515340685844,860
257,88,10.480404580000002,809.94,180224,700,-0.00420587098597025,0.46714550256729126,0.008298551,0.10498046875,0.0003,9.138757705688477,-0.8499354124069214,0.2,71.91720469146966,870
260,89,10.384276770000003,805.99,182272,700,-0.001407589836162515,0.7270579040050507,0.008265162,0.0935546875,0.0003,4.450044631958008,-0.7359357658773661,0.2,93.23608810603619,880
262,90,9.841287750000001,798.45,184320,701,-0.0013952672270534094,0.37037384510040283,0.0033409367,0.041552734375,0.0003,17.10868263244629,-0.7367441941052675,0.2,134.14023602753878,890
265,91,10.72987283,789.67,186368,701,-0.0011672509208437987,0.25072991847991943,0.004085499,0.037158203125,0.0003,230.500732421875,-0.7762069014832378,0.2,239.45452794134616,900
268,92,14.501345419999996,781.03,188416,700,-0.0020991397141187917,0.6835556626319885,0.004829232,0.0578125,0.0003,10.388192176818848,-0.8626456208527088,0.2,95.75972486287355,910
271,93,14.395014339999996,772.08,190464,701,-0.0024501454769051633,0.44535762071609497,0.003842998,0.023193359375,0.0003,24.052837371826172,-0.7516948562115431,0.2,100.26847470402717,920
274,94,14.991657119999996,768.31,192512,701,-0.004748452284547966,0.4616025686264038,0.010347538,0.08125,0.0003,11.18110179901123,-0.7893590204417705,0.2,191.33405701965094,930
277,95,17.348359399999996,767.79,194560,700,-0.004395828583074035,0.7747597396373749,0.005845451,0.067236328125,0.0003,26.00142478942871,-0.848412187024951,0.2,51.827988888323304,940
281,96,20.840004200000003,773.25,196608,698,-0.0034958312106027735,0.8127928078174591,0.0051097083,0.07998046875,0.0003,4.121894359588623,-0.8362934395670891,0.2,60.280439148843286,950
285,97,23.643201780000005,770.3,198656,696,-0.0013289061622344888,0.3118182420730591,0.0049590855,0.061279296875,0.0003,16.862150192260742,-0.6852528417482973,0.2,71.74390136748552,960
287,98,25.204732689999997,768.73,200704,696,-0.003317267003149027,0.4530603289604187,0.0096057,0.081787109375,0.0003,9.574562072753906,-0.8004105802625417,0.2,77.88092989772558,970
291,99,27.687230669999995,770.61,202752,695,-0.002330303624330554,0.6957452893257141,0.006519397,0.059228515625,0.0003,11.60746955871582,-0.7590962162241339,0.2,37.94084833860397,980
294,100,32.22779011,767.38,204800,694,-0.0023531970855401596,0.5662837028503418,0.007418313,0.106005859375,0.0003,13.643665313720703,-0.77335104662925,0.2,66.78696880564094,990
298,101,35.76718425,767.77,206848,693,-0.0015667923780711135,0.6508183777332306,0.005511093,0.0373046875,0.0003,10.97440242767334,-0.7706984577700495,0.2,85.40871958434582,1000
302,102,37.56529678999999,762.99,208896,691,-0.0013700416762731037,0.7685681581497192,0.005187136,0.05849609375,0.0003,3.2700586318969727,-0.7220937058329582,0.2,62.63434209898114,1010
304,103,39.02406324,764.04,210944,691,-0.000873630259593483,0.5557990372180939,0.0093216635,0.09208984375,0.0003,9.629594802856445,-0.7448946136981249,0.2,98.21465279087424,1020
