time/fps,time/iterations,rollout/ep_rew_mean,rollout/ep_len_mean,time/time_elapsed,time/total_timesteps,train/policy_gradient_loss,train/learning_rate,train/clip_fraction,train/clip_range,train/explained_variance,train/approx_kl,train/loss,train/n_updates,train/entropy_loss,train/value_loss
1343,13,-123.84567617,146.11,19,26624,-0.005984136885672342,0.0003,0.04541015625,0.2,0.09208279848098755,0.008600227,76.36714935302734,120,-1.2322951667010784,242.24701159000398
1240,14,-115.62246505000002,163.97,23,28672,-0.0060837885488581375,0.0003,0.049267578125,0.2,-0.018309831619262695,0.0057406877,172.26022338867188,130,-1.1624978058040143,522.7638270378113
1218,15,-116.70388301999999,180.35,25,30720,-0.007960281100531574,0.0003,0.09736328125,0.2,0.4174962043762207,0.011449604,8.779362678527832,140,-1.3145306132733823,81.26902298629284
1199,16,-111.35375006,192.87,27,32768,-0.0031450544258404987,0.0003,0.026416015625,0.2,-0.06591296195983887,0.0045238296,155.4103546142578,150,-1.14007929302752,357.92366836071017
1162,17,-112.14408198000001,209.23,29,34816,-0.004190613905666396,0.0003,0.060595703125,0.2,0.11479151248931885,0.0099388985,118.32957458496094,160,-1.1184831976890564,280.9778902292252
1098,18,-110.74190841,222.29,33,36864,-0.008096118526736973,0.0003,0.06142578125,0.2,0.5628048479557037,0.008684829,53.99886703491211,170,-1.131874855607748,168.88805292844773
1078,19,-107.71738861,239.06,36,38912,-0.004990736093895975,0.0003,0.01572265625,0.2,0.60554438829422,0.0052940166,76.98949432373047,180,-1.1245303984731436,153.13478535413742
1046,20,-104.90975447000001,249.22,39,40960,-0.0047747844371770045,0.0003,0.0388671875,0.2,0.22031521797180176,0.0046233153,58.12095260620117,190,-1.1607096415013074,265.683807516098
1048,21,-99.41637582000001,266.24,41,43008,-0.010693288332549854,0.0003,0.07431640625,0.2,0.5867774188518524,0.009044581,54.13668441772461,200,-1.2213226541876794,149.0264417886734
1019,22,-103.55399305,281.4,44,45056,-0.00691087392042391,0.0003,0.031787109375,0.2,0.04367530345916748,0.004950639,201.52479553222656,210,-1.025586438179016,607.9909056186676
1014,23,-100.06569144999999,288.39,46,47104,-0.00625949297536863,0.0003,0.030126953125,0.2,0.21377897262573242,0.005154469,104.66259002685547,220,-1.0711396969854832,257.2813364028931
1001,24,-101.31467026,306.0,49,49152,-0.002859272330533713,0.0003,0.0185546875,0.2,0.24922823905944824,0.0050704177,95.73664855957031,230,-1.0350903909653426,231.87992558479309
974,25,-96.32481497999999,327.08,52,51200,-0.008109525735198986,0.0003,0.06064453125,0.2,0.3996557593345642,0.0067500873,259.4192199707031,240,-1.0409809343516827,262.55713419914247
956,26,-95.39041630999998,336.95,55,53248,-0.00656873394473223,0.0003,0.068408203125,0.2,0.25197553634643555,0.005691513,85.55907440185547,250,-1.0264230875298381,245.0726343870163
953,27,-95.99713962,354.23,57,55296,-0.00446912482730113,0.0003,0.058154296875,0.2,0.29861313104629517,0.006496563,402.0513000488281,260,-1.0924949035048486,126.5787534236908
940,28,-92.04516989,371.08,60,57344,-0.008214672575559235,0.0003,0.125146484375,0.2,0.3220231533050537,0.010149276,114.76565551757812,270,-1.0712781470268964,150.61078106164933
913,29,-92.17300689,384.18,64,59392,-0.007955689526716015,0.0003,0.09326171875,0.2,0.6784245073795319,0.009569139,14.998366355895996,280,-1.1160788845270873,50.60290901660919
898,30,-88.77658748,405.87,68,61440,-0.005895357776898891,0.0003,0.06787109375,0.2,0.6137792468070984,0.007008234,20.459259033203125,290,-1.0520441552624107,65.76527005434036
879,31,-87.44877606000001,417.86,72,63488,-0.00931249077693792,0.0003,0.152294921875,0.2,0.5960082709789276,0.010368536,8.497600555419922,300,-1.1179034374654293,72.59690758883953
861,32,-82.90357449999999,435.12,76,65536,-0.00674831069263746,0.0003,0.057568359375,0.2,0.5490069091320038,0.008926887,12.072883605957031,310,-1.0036246782168745,99.18385848701
852,33,-82.91832469000002,451.71,79,67584,-0.007795057947805617,0.0003,0.09716796875,0.2,0.7899594157934189,0.010172847,4.414186954498291,320,-1.0481787825003266,42.6647199228406
833,34,-78.87859695,468.83,83,69632,-0.00569627177392249,0.0003,0.066943359375,0.2,0.7559640854597092,0.0065626246,13.160390853881836,330,-0.9698950843885541,42.5462427854538
