rollout/ep_rew_mean,rollout/ep_len_mean,time/total_timesteps,time/time_elapsed,time/iterations,time/fps,train/entropy_loss,train/loss,train/clip_fraction,train/policy_gradient_loss,train/n_updates,train/value_loss,train/clip_range,train/explained_variance,train/approx_kl,train/learning_rate
-106.69426792,246.25,47104,41,23,1122,-1.097696940600872,179.17469787597656,0.049365234375,-0.00680708227591822,220,311.7214346170425,0.2,0.5147123038768768,0.0073806476,0.0003
-109.06582479000001,258.11,49152,44,24,1105,-1.1502508394420148,74.6698226928711,0.147216796875,-0.011280178552260623,230,126.63078873753548,0.2,0.6866075694561005,0.013183532,0.0003
-103.47438834000002,272.79,51200,46,25,1090,-1.160435114428401,27.680431365966797,0.027197265625,-0.004776225728710415,240,98.60804996490478,0.2,0.7599407434463501,0.005384054,0.0003
-103.91677911000001,289.72,53248,49,26,1071,-1.0493631662800909,34.4725456237793,0.088671875,-0.0063853949228359855,250,154.35692756175996,0.2,0.5990129709243774,0.007928426,0.0003
-100.17296877999999,301.01,55296,53,27,1041,-1.0213770978152752,141.92283630371094,0.060009765625,-0.005168421936468803,260,204.86830875873565,0.2,0.6177070438861847,0.007853889,0.0003
-101.69682825999999,319.72,57344,56,28,1020,-1.0709893237799406,17.447893142700195,0.122021484375,-0.009428761110757477,270,87.10021541714669,0.2,0.7524253875017166,0.00783542,0.0003
-97.21385902,337.53,59392,59,29,1005,-0.9944516971707344,33.358970642089844,0.0765625,-0.005819995668571209,280,139.0351975440979,0.2,0.6578492522239685,0.007709612,0.0003
-97.51787064000001,348.41,61440,62,30,988,-1.0439259752631187,260.4324035644531,0.116748046875,-0.008446383341652108,290,119.3615070283413,0.2,0.5703707635402679,0.010407286,0.0003
-93.64784490000002,365.28,63488,65,31,963,-1.0475428946316243,13.116605758666992,0.115771484375,-0.007151781080756337,300,81.42463451623917,0.2,0.6604919135570526,0.010276018,0.0003
-94.93644736000002,369.96,65536,69,32,937,-0.9553626414388419,5.403220176696777,0.14619140625,-0.008782441285438836,310,46.79665893018246,0.2,0.8041705340147018,0.012474675,0.0003
-91.80032460999999,379.51,67584,72,33,930,-1.0409734388813376,7.190071105957031,0.094970703125,-0.009923767484724521,320,72.10748076736927,0.2,0.7376923561096191,0.00864543,0.0003
-92.19911162,388.15,69632,75,34,925,-0.9440396033227444,30.753862380981445,0.037060546875,-0.0028996544700930827,330,196.49728801250458,0.2,0.3927004337310791,0.00640761,0.0003
-91.23885369,405.48,71680,78,35,907,-0.9067021600902081,58.88274383544922,0.099609375,-0.008360755266039632,340,109.81011931300164,0.2,0.6904127299785614,0.007694803,0.0003
-88.51466670000002,422.16,73728,83,36,886,-0.9980902120471,23.551820755004883,0.0775390625,-0.006644723178760614,350,80.5708090633154,0.2,0.6881113350391388,0.009399458,0.0003
-87.34778666,429.8,75776,86,37,875,-0.9686845960095525,8.046828269958496,0.06396484375,-0.007767540466738864,360,35.842137740552424,0.2,0.8584297895431519,0.008305042,0.0003
-85.64682854,443.11,77824,89,38,870,-0.9448428370058537,16.52520751953125,0.048486328125,-0.003490686695477052,370,63.08377074599266,0.2,0.798672080039978,0.008752993,0.0003
-82.48162413,464.32,79872,93,39,857,-0.9940977558493614,77.69432067871094,0.0802734375,-0.008317846385762096,380,79.90559369921684,0.2,0.7092251777648926,0.006621872,0.0003
-79.21403202,480.95,81920,96,40,850,-0.9738784842193127,7.22791051864624,0.097607421875,-0.009501529694534838,390,60.235561379790305,0.2,0.7608430683612823,0.010019035,0.0003
-77.96661572000001,497.88,83968,100,41,831,-0.9097236555069685,9.209756851196289,0.121630859375,-0.006267706069775158,400,51.273572236299515,0.2,0.8337581157684326,0.0108789615,0.0003
-77.42634012,510.57,86016,104,42,826,-1.0466049678623677,5.803171157836914,0.1470703125,-0.012371994360000827,410,36.82332981079817,0.2,0.7031338810920715,0.01118009,0.0003
-74.55427873,527.13,88064,107,43,817,-0.9639081766828894,10.486239433288574,0.05283203125,-0.0054338093483238484,420,74.54646973460913,0.2,0.6475064754486084,0.0076385424,0.0003
-72.83694618,539.9,90112,112,44,802,-0.9707270128652453,10.687527656555176,0.10966796875,-0.009124969478580169,430,53.11849132925272,0.2,0.7204278707504272,0.009299193,0.0003
-69.69781275,554.26,92160,115,45,796,-0.8786376724019647,32.64361572265625,0.06162109375,-0.0018693461381189991,440,81.40013151466846,0.2,0.5801848769187927,0.00548911,0.0003
-64.14981429999997,569.46,94208,118,46,793,-0.8751389987766742,12.450146675109863,0.095703125,-0.009191808158357162,450,86.61635939627885,0.2,0.4782946705818176,0.02359034,0.0003
-63.68443372000001,586.12,96256,121,47,793,-0.9209519488736987,19.42809295654297,0.033251953125,-0.002432544562179828,460,161.18891412317754,0.2,0.4138510227203369,0.0034409557,0.0003
-58.75508731,601.99,98304,124,48,790,-0.8835074629634618,18.64426612854004,0.03427734375,-0.004430088201297621,470,161.99525896310806,0.2,0.6118956804275513,0.004454093,0.0003
-53.01676814,615.81,100352,127,49,785,-0.8682614961639047,88.78778076171875,0.0146484375,-0.005178398703355925,480,169.8013622432947,0.2,0.35584336519241333,0.004339181,0.0003
-50.92063147,629.36,102400,131,50,780,-0.8702546333894133,5.321664333343506,0.08193359375,-0.00556619901326485,490,71.40454293340444,0.2,0.5972463488578796,0.0068937987,0.0003
-45.370192110000005,650.69,104448,135,51,771,-0.7173828022554517,15.763470649719238,0.058056640625,-0.0067687266164284665,500,85.22254290878773,0.2,0.5559382140636444,0.007534057,0.0003
-41.33562766000001,665.69,106496,138,52,770,-0.8473834794014692,19.177433013916016,0.068017578125,-0.002582594476189115,510,102.20561132729054,0.2,0.48445630073547363,0.008141174,0.0003
-36.28203003000001,677.42,108544,142,53,761,-0.843122992105782,160.4319305419922,0.034130859375,-0.005415883372188545,520,162.2382223457098,0.2,0.5048902928829193,0.004376351,0.0003
-32.50836076,692.77,110592,146,54,756,-0.9440563723444939,8.726638793945312,0.108544921875,-0.0036340468846901785,530,68.47772510796786,0.2,0.5639776885509491,0.0073519805,0.0003
-28.3107785,692.43,112640,149,55,754,-0.9324164448305965,34.832576751708984,0.037548828125,-0.002426784530689474,540,153.90109226703643,0.2,0.3443828225135803,0.0037718008,0.0003
-21.092163529999993,709.28,114688,151,56,754,-0.8683245584368706,327.92047119140625,0.071484375,-0.0029862849361961706,550,105.63334850668907,0.2,0.4985015392303467,0.007990568,0.0003
