time/fps,time/iterations,time/time_elapsed,time/total_timesteps,rollout/ep_rew_mean,rollout/ep_len_mean,train/clip_fraction,train/loss,train/approx_kl,train/explained_variance,train/learning_rate,train/value_loss,train/n_updates,train/entropy_loss,train/policy_gradient_loss,train/clip_range
687,90,268,184320,2.3964867499999984,827.06,0.076171875,14.519618034362793,0.007295053,0.8206314295530319,0.0003,52.09540461692959,890,-0.8601279670372606,-0.0057186466277926225,0.2
688,91,270,186368,4.02310667,823.05,0.1296875,0.9960945844650269,0.010888683,0.8638417422771454,0.0003,51.05606083907187,900,-0.8810535650700331,-0.0019266741604951677,0.2
686,92,274,188416,2.880328559999999,825.21,0.0814453125,65.13941955566406,0.005605148,0.5796296298503876,0.0003,248.7814410954714,910,-0.8459106093272567,-0.00257936474881717,0.2
683,93,278,190464,3.0006817499999987,831.9,0.077197265625,2.4360313415527344,0.0065071383,0.8328808844089508,0.0003,36.23236044459045,920,-0.8671764858067036,-0.002794203047233168,0.2
680,94,282,192512,5.60861664,839.18,0.105712890625,1.7870755195617676,0.0076868264,0.8815978392958641,0.0003,32.55754389986396,930,-0.8771774392575026,-0.0030757519802136813,0.2
678,95,286,194560,6.546412759999999,843.99,0.12060546875,0.8105339407920837,0.008038099,0.8800274729728699,0.0003,31.110035338066517,940,-0.8664378426969052,-0.004107622357696528,0.2
674,96,291,196608,6.295229840000001,837.61,0.07841796875,1.9237957000732422,0.006402605,0.868811771273613,0.0003,24.892347376421093,950,-0.8563147963955998,-0.003687820036066114,0.2
674,97,294,198656,6.416411330000001,834.0,0.023974609375,5.415600776672363,0.008951398,0.7762636244297028,0.0003,59.44082041680813,960,-0.8320274583995342,-0.0008678385187522508,0.2
674,98,297,200704,6.04332266,836.17,0.026171875,4.2562971115112305,0.005114238,0.7201969027519226,0.0003,123.2747828476131,970,-0.8225927069783211,-0.0012503915117122234,0.2
672,99,301,202752,4.56894295,842.02,0.026904296875,10.74135971069336,0.0028685397,0.7679317593574524,0.0003,61.092302745208144,980,-0.7562240665778518,-0.0027169319851964246,0.2
671,100,304,204800,4.54946817,841.79,0.09111328125,1.1575524806976318,0.0075771967,0.8487838059663773,0.0003,42.46427664645016,990,-0.681914309412241,2.8843136897194198e-05,0.2
672,101,307,206848,5.1408188400000006,834.38,0.12138671875,41.239227294921875,0.023390096,0.7044529020786285,0.0003,70.45137964524329,1000,-0.8325647069141269,-0.007032189024903346,0.2
672,102,310,208896,6.21766491,829.12,0.038427734375,22.975454330444336,0.0042687273,0.7277314364910126,0.0003,114.09830981642008,1010,-0.8667076526209712,-0.0019577189661504233,0.2
672,103,313,210944,6.920056109999999,824.23,0.045458984375,27.419069290161133,0.007878842,0.7287479639053345,0.0003,91.15289046019316,1020,-0.8477575628086924,-0.001356567417315091,0.2
671,104,317,212992,7.021636739999999,824.23,0.095947265625,2.7781624794006348,0.012699055,0.7841019034385681,0.0003,57.508246359974144,1030,-0.8632076082751154,-0.001094696317886701,0.2
672,105,319,215040,8.03695437,820.59,0.071875,1.6669048070907593,0.004985394,0.8881942108273506,0.0003,33.70582267940044,1040,-0.8446173256263136,-0.0015440094262885395,0.2
