time/fps,time/time_elapsed,time/iterations,rollout/ep_len_mean,rollout/ep_rew_mean,time/total_timesteps,train/approx_kl,train/loss,train/value_loss,train/explained_variance,train/learning_rate,train/n_updates,train/entropy_loss,train/clip_fraction,train/policy_gradient_loss,train/clip_range
1050,50,26,284.8,-106.90806917999998,53248,0.00421945,98.62759399414062,254.32421152591706,0.31795328855514526,0.0003,250,-1.1788671012967824,0.021337890625,-0.005784988456798601,0.2
1043,53,27,297.23,-103.55317133000003,55296,0.0061552506,176.81887817382812,328.988782453537,0.31619715690612793,0.0003,260,-1.0927848897874355,0.042626953125,-0.005289101926609874,0.2
1017,56,28,315.4,-100.73574153,57344,0.0073641585,187.36180114746094,371.4247120141983,0.3652915954589844,0.0003,270,-1.1243066973984241,0.057080078125,-0.005166599075892009,0.2
992,59,29,327.75,-99.59311893,59392,0.006183194,68.54316711425781,188.10751073360444,0.25822627544403076,0.0003,280,-1.1518633108586074,0.060498046875,-0.007878995469218353,0.2
980,62,30,347.02,-97.47673190999998,61440,0.0090198945,25.30695915222168,107.70421898365021,0.4837598204612732,0.0003,290,-1.1468333832919597,0.061181640625,-0.009047560771432473,0.2
965,65,31,364.39,-97.14785389999997,63488,0.0038917013,58.930904388427734,140.2097436904907,0.28647327423095703,0.0003,300,-1.1029999379068613,0.019189453125,-0.0032883069947274635,0.2
952,68,32,367.88,-96.68859934000002,65536,0.010144308,30.236392974853516,142.58717107772827,0.5006482601165771,0.0003,310,-1.1525148581713438,0.08994140625,-0.006105684822978219,0.2
945,71,33,376.78,-93.31332372000001,67584,0.01251677,69.24869537353516,278.56004893779755,0.2998425364494324,0.0003,320,-0.9366903377696871,0.08505859375,-0.010876238204946275,0.2
926,75,34,391.21,-91.77105905000002,69632,0.007179722,107.56893157958984,151.0712960600853,0.5717119872570038,0.0003,330,-1.0017672972753644,0.046240234375,-0.005099391927069518,0.2
919,77,35,410.28,-90.04184535000002,71680,0.007984763,44.685970306396484,110.79052323102951,0.39113157987594604,0.0003,340,-1.0327089445665478,0.07109375,-0.006678836973878788,0.2
904,81,36,427.79,-87.66270675000001,73728,0.009433919,43.89657211303711,195.94343762397767,0.16694658994674683,0.0003,350,-1.0624843360856175,0.121923828125,-0.005045003093255218,0.2
890,85,37,445.04,-85.61305281000001,75776,0.008435829,9.019399642944336,59.11070394814014,0.5358476042747498,0.0003,360,-1.0193002223968506,0.077734375,-0.006826358304533642,0.2
877,88,38,460.68,-83.23521714000002,77824,0.012720882,26.99967384338379,44.45855283141136,0.338931679725647,0.0003,370,-1.0830270633101464,0.18994140625,-0.012526491025346332,0.2
867,92,39,473.72,-83.43894718000001,79872,0.004868191,414.33074951171875,118.34315554499626,0.1127515435218811,0.0003,380,-1.0146408354863525,0.044140625,-0.003098564883111976,0.2
856,95,40,487.59,-81.2746625,81920,0.011850182,9.973431587219238,89.21168766617775,0.028854846954345703,0.0003,390,-0.9531169978901743,0.10654296875,-0.010185723585891537,0.2
