rollout/ep_rew_mean,rollout/ep_len_mean,time/iterations,time/total_timesteps,time/fps,time/time_elapsed,train/n_updates,train/value_loss,train/std,train/policy_gradient_loss,train/learning_rate,train/clip_fraction,train/explained_variance,train/entropy_loss,train/approx_kl,train/clip_range,train/loss
-34.838535300000004,710.32,51,104448,586,178,500,25.447582441568375,0.8038450479507446,0.0005896145099541173,0.0003,0.0662109375,0.9031393975019455,-2.412235277146101,0.006104492,0.2,4.932856559753418
-30.62792133,727.97,52,106496,585,182,510,85.06326578631997,0.804296612739563,-0.0053610520684742365,0.0003,0.083740234375,0.6589656174182892,-2.3999217346310617,0.007522148,0.2,5.981173515319824
-26.259804809999995,738.77,53,108544,586,185,520,75.21230618059636,0.802746057510376,-0.0044267669502005445,0.0003,0.06767578125,0.7099303603172302,-2.4000883147120478,0.0055463887,0.2,3.734114408493042
-25.619858839999996,747.7,54,110592,587,188,530,188.72296282351016,0.7988357543945312,-0.005731482063856675,0.0003,0.034130859375,0.5593336224555969,-2.3924217954277993,0.0047405073,0.2,49.255455017089844
-21.63163544,755.83,55,112640,585,192,540,162.5245530858636,0.7990049123764038,-0.004047344874197734,0.0003,0.051025390625,0.5990840494632721,-2.3886930629611016,0.0053350776,0.2,99.5302963256836
-17.806776850000002,769.03,56,114688,584,196,550,146.56288746744394,0.7920221090316772,-0.0008112334595352877,0.0003,0.1083984375,0.6513436734676361,-2.380582018196583,0.008961038,0.2,72.73469543457031
-18.103734270000004,761.32,57,116736,584,199,560,48.25484952069819,0.8003482818603516,-4.8425055865664035e-05,0.0003,0.10126953125,0.807155966758728,-2.3882878720760345,0.007895609,0.2,1.8813507556915283
-17.02336986,768.09,58,118784,583,203,570,184.83053704351187,0.7991378903388977,-0.0032577893922280054,0.0003,0.087255859375,0.5879095494747162,-2.390853976458311,0.00872385,0.2,10.656396865844727
-15.752048809999996,751.17,59,120832,584,206,580,70.93970485925675,0.7877241373062134,-0.0035187350353226067,0.0003,0.142236328125,0.7659820020198822,-2.373751687258482,0.013060389,0.2,206.1302490234375
-11.961775369999996,750.29,60,122880,583,210,590,216.52005204558372,0.7885300517082214,-0.0014213497008313425,0.0003,0.026513671875,0.5987421870231628,-2.36071869879961,0.0036216537,0.2,18.541767120361328
-9.891822089999998,741.69,61,124928,584,213,600,137.1261629655957,0.7833336591720581,-0.0023310456905164755,0.0003,0.062109375,0.3675345182418823,-2.355450649559498,0.0062894775,0.2,48.0135498046875
-7.6530222299999995,747.51,62,126976,581,218,610,103.14816909730435,0.7789716124534607,-0.0013165344586013815,0.0003,0.05556640625,0.5264513194561005,-2.3439958401024343,0.008042982,0.2,14.540142059326172
-8.383782289999997,742.01,63,129024,579,222,620,54.63848505243659,0.7810795307159424,-0.0016843798162881284,0.0003,0.083740234375,0.6517153978347778,-2.3426967471838,0.006874919,0.2,2.261613368988037
-11.156150119999998,737.2,64,131072,580,225,630,82.09210741892457,0.7676606774330139,-0.0044232928754354365,0.0003,0.080419921875,0.7333343029022217,-2.3306644327938555,0.007329258,0.2,6.482663154602051
-9.55806608,741.58,65,133120,578,230,640,49.33348526209593,0.7679456472396851,-0.0030095075446297413,0.0003,0.086767578125,0.8661442846059799,-2.308222180604935,0.006995488,0.2,12.461886405944824
-7.326927050000004,732.27,66,135168,578,233,650,20.79895392097533,0.7619411945343018,-0.0035465903831209287,0.0003,0.089404296875,0.902481734752655,-2.3018444582819937,0.007218364,0.2,1.7199171781539917
-8.090282120000001,728.22,67,137216,580,236,660,128.03350375294684,0.7520959377288818,-0.0051717876092880035,0.0003,0.058984375,0.7279628217220306,-2.281807020306587,0.0063897585,0.2,21.50349998474121
-7.24425209,722.77,68,139264,578,240,670,77.70410670563578,0.7498469352722168,-0.0009659231727709994,0.0003,0.0609375,0.7658120095729828,-2.265111321210861,0.005036059,0.2,28.63308334350586
-7.8611894699999985,722.77,69,141312,577,244,680,89.26488212943077,0.7489649057388306,-0.001177386119888979,0.0003,0.04599609375,0.7234768271446228,-2.261431562900543,0.0024772407,0.2,1.8185240030288696
-7.198842629999998,722.77,70,143360,576,248,690,35.47039292380214,0.7414382696151733,-0.0016252229823294328,0.0003,0.129638671875,0.8822375163435936,-2.2464377842843533,0.008592334,0.2,2.223325490951538
-7.071447589999996,702.34,71,145408,577,251,700,43.34545312505215,0.7293895483016968,-0.00017171119252452628,0.0003,0.1037109375,0.8666155189275742,-2.220203923434019,0.010793984,0.2,0.9509302973747253
-8.313337309999998,673.64,72,147456,579,254,710,135.1177552178502,0.7320996522903442,-0.004684944935434032,0.0003,0.07529296875,0.7471036016941071,-2.2090301744639875,0.005236945,0.2,95.81660461425781
-8.976617589999998,659.81,73,149504,579,257,720,250.84258968532086,0.7312953472137451,-0.006121255322068464,0.0003,0.07451171875,0.5157812833786011,-2.2133686847984793,0.0064779427,0.2,10.902304649353027
-11.628294129999999,644.77,74,151552,578,262,730,149.80055700540544,0.7361738681793213,-0.0030987762671429663,0.0003,0.039599609375,0.6450851261615753,-2.2173650681972505,0.0057868483,0.2,33.26150131225586
-5.468309379999999,650.72,75,153600,573,267,740,150.59443393647672,0.7299471497535706,-0.0026659580424166053,0.0003,0.063720703125,0.7424252927303314,-2.217229862511158,0.0070764227,0.2,24.150407791137695
-6.654795699999998,657.91,76,155648,572,271,750,70.64593835771083,0.7201136350631714,-0.007077338306771708,0.0003,0.068798828125,0.7311117053031921,-2.195938038080931,0.008833192,0.2,44.17543411254883
-7.171427099999996,657.91,77,157696,571,275,760,36.87016588076949,0.7279376983642578,-0.0008511152846040204,0.0003,0.083154296875,0.5559191405773163,-2.1900596767663956,0.00586514,0.2,3.183182716369629
-7.221738689999998,657.91,78,159744,568,281,770,39.92685408052057,0.7235571146011353,0.0016656883744872175,0.0003,0.070166015625,0.6322457492351532,-2.196155449002981,0.005857388,0.2,0.8257545828819275
-7.843117109999997,657.91,79,161792,568,284,780,51.84122212268412,0.7130596041679382,-0.0021440673561301084,0.0003,0.062890625,0.5900258421897888,-2.176553904265165,0.003770681,0.2,2.446340322494507
-2.3846445599999986,671.74,80,163840,566,289,790,26.82384833917022,0.7068942785263062,-0.004198550223009079,0.0003,0.077490234375,0.8936955332756042,-2.148954587429762,0.007314978,0.2,88.97978210449219
-3.295068269999998,677.33,81,165888,565,293,800,61.69237431436777,0.6937950849533081,-0.004358111580950208,0.0003,0.0876953125,0.6799319684505463,-2.1264611184597015,0.0068592057,0.2,5.190346717834473
-4.143932529999997,683.63,82,167936,563,297,810,93.19212524816393,0.6928807497024536,-0.0017851762677310035,0.0003,0.035498046875,0.5652264952659607,-2.1057126350700854,0.005282341,0.2,30.898853302001953
0.19617746000000294,693.01,83,169984,561,302,820,156.80455071181058,0.6903977394104004,-0.0028263164756936023,0.0003,0.05859375,0.6420155465602875,-2.100112532824278,0.0076096747,0.2,250.8173065185547
-1.7622103199999979,685.63,84,172032,560,306,830,54.95585837960243,0.6897192001342773,-0.00012061283850925975,0.0003,0.10146484375,0.7422600388526917,-2.095860897749662,0.01069198,0.2,12.07624626159668
-1.5656531599999985,685.63,85,174080,561,310,840,121.38728320747614,0.6814229488372803,0.000995457290991908,0.0003,0.0443359375,0.6996331214904785,-2.084005901962519,0.006711793,0.2,70.00791931152344
-2.077018949999999,692.4,86,176128,560,314,850,32.757830968126655,0.6725400686264038,-0.0021737019895226696,0.0003,0.11337890625,0.792161837220192,-2.057752974331379,0.018877195,0.2,1.2525511980056763
-2.065113229999997,698.09,87,178176,560,317,860,34.657034408673645,0.6752225756645203,-0.006632430969330016,0.0003,0.1318359375,0.8554568588733673,-2.0466147869825364,0.009013582,0.2,1.7249326705932617
-0.6441978099999998,702.02,88,180224,562,320,870,174.1581485018134,0.6722642183303833,-0.003921346789138624,0.0003,0.046875,0.6598790884017944,-2.046462830156088,0.008607093,0.2,6.4185895919799805
